,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
0,1,11:32.0,J. Butler misses 2-pt jump shot from 22 ft,,0,0
1,1,11:30.0,,Defensive rebound by H. Barnes,0,0
2,1,11:17.0,,H. Barnes makes 2-pt jump shot from 5 ft (assist by D. Nowitzki),0,2
3,1,10:53.0,J. Butler misses 2-pt jump shot from 2 ft,,0,2
4,1,10:52.0,,Defensive rebound by D. Nowitzki,0,2
5,1,10:46.0,,W. Matthews makes 3-pt jump shot from 25 ft,0,5
6,1,10:32.0,A. Wiggins makes 2-pt jump shot from 14 ft (assist by J. Teague),,2,5
7,1,10:16.0,,H. Barnes misses 2-pt jump shot from 18 ft,2,5
8,1,10:14.0,Defensive rebound by T. Gibson,,2,5
9,1,10:07.0,A. Wiggins misses 2-pt jump shot from 8 ft,,2,5
10,1,10:04.0,,Defensive rebound by D. Nowitzki,2,5
11,1,9:54.0,,H. Barnes misses 2-pt jump shot from 18 ft,2,5
12,1,9:52.0,Defensive rebound by J. Teague,,2,5
13,1,9:49.0,J. Butler makes 2-pt dunk at rim (assist by J. Teague),,4,5
14,1,9:33.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Smith),4,8
15,1,9:21.0,K. Towns makes 2-pt dunk at rim (assist by J. Teague),,6,8
16,1,9:21.0,Shooting foul by D. Nowitzki (drawn by K. Towns),,6,8
17,1,9:21.0,K. Towns makes free throw 1 of 1,,7,8
18,1,8:57.0,,D. Smith misses 2-pt layup from 1 ft,7,8
19,1,8:54.0,,Offensive rebound by H. Barnes,7,8
20,1,8:53.0,,H. Barnes misses 2-pt jump shot from 2 ft,7,8
21,1,8:53.0,,Offensive rebound by D. Smith,7,8
22,1,8:41.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,7,8
23,1,8:40.0,Defensive rebound by Team,,7,8
24,1,8:29.0,K. Towns makes 2-pt jump shot from 17 ft (assist by J. Butler),,9,8
25,1,8:11.0,,M. Kleber misses 3-pt jump shot from 23 ft,9,8
26,1,8:08.0,Defensive rebound by J. Butler,,9,8
27,1,8:02.0,J. Butler makes 2-pt jump shot from 16 ft,,11,8
28,1,7:45.0,,D. Smith misses 3-pt jump shot from 22 ft,11,8
29,1,7:45.0,,Offensive rebound by H. Barnes,11,8
30,1,7:43.0,,H. Barnes makes 2-pt layup from 1 ft,11,10
31,1,7:29.0,T. Gibson misses 2-pt jump shot from 4 ft,,11,10
32,1,7:27.0,,Defensive rebound by W. Matthews,11,10
33,1,7:23.0,,Shooting foul by A. Wiggins (drawn by H. Barnes),11,10
34,1,7:23.0,,H. Barnes makes free throw 1 of 2,11,11
35,1,7:23.0,,H. Barnes makes free throw 2 of 2,11,12
36,1,7:15.0,A. Wiggins makes 2-pt jump shot from 20 ft (assist by K. Towns),,13,12
37,1,6:53.0,,D. Nowitzki makes 2-pt layup from 2 ft,13,14
38,1,6:36.0,J. Teague misses 2-pt jump shot from 9 ft,,13,14
39,1,6:36.0,,Defensive rebound by H. Barnes,13,14
40,1,6:27.0,,D. Smith makes 2-pt dunk from 1 ft,13,16
41,1,6:08.0,K. Towns misses 2-pt jump shot from 13 ft,,13,16
42,1,6:08.0,,Defensive rebound by D. Nowitzki,13,16
43,1,5:59.0,,H. Barnes makes 2-pt jump shot from 1 ft (assist by D. Smith),13,18
44,1,5:51.0,Minnesota full timeout,,13,18
45,1,5:51.0,,Y. Ferrell enters the game for H. Barnes,13,18
46,1,5:51.0,,S. Mejri enters the game for D. Nowitzki,13,18
47,1,5:35.0,T. Gibson misses 2-pt jump shot from 9 ft,,13,18
48,1,5:32.0,Offensive rebound by T. Gibson,,13,18
49,1,5:23.0,J. Butler misses 2-pt jump shot from 19 ft,,13,18
50,1,5:20.0,,Defensive rebound by S. Mejri,13,18
51,1,4:59.0,,D. Smith makes 2-pt jump shot from 15 ft (assist by S. Mejri),13,20
52,1,4:38.0,J. Teague misses 3-pt jump shot from 24 ft,,13,20
53,1,4:36.0,,Defensive rebound by D. Smith,13,20
54,1,4:28.0,,M. Kleber misses 3-pt jump shot from 25 ft,13,20
55,1,4:24.0,Defensive rebound by T. Gibson,,13,20
