,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW ORLEANS_ACTION,MEMPHIS_SCORE,NEW ORLEANS_SCORE
48,1,6:39.0,,New Orleans full timeout,8,14
49,1,6:31.0,,Personal foul by M. Gasol (drawn by D. Cousins),8,14
50,1,6:31.0,,D. Cousins misses free throw 1 of 2,8,14
51,1,6:31.0,,Offensive rebound by Team,8,14
52,1,6:31.0,J. Martin enters the game for M. Gasol,,8,14
53,1,6:31.0,,D. Cousins makes free throw 2 of 2,8,15
54,1,6:06.0,D. Brooks misses 2-pt layup from 10 ft (block by A. Davis),,8,15
55,1,6:03.0,,Defensive rebound by D. Cousins,8,15
56,1,5:54.0,,Shooting foul by D. Brooks (drawn by A. Davis),8,15
57,1,5:54.0,,A. Davis makes free throw 1 of 2,8,16
58,1,5:54.0,,A. Davis makes free throw 2 of 2,8,17
59,1,5:41.0,T. Evans misses 3-pt jump shot from 26 ft,,8,17
60,1,5:36.0,Offensive rebound by J. Green,,8,17
61,1,5:36.0,,Offensive charge foul by T. Evans (drawn by D. Cousins),8,17
62,1,5:36.0,Turnover by T. Evans (offensive foul),,8,17
63,1,5:36.0,M. Henry enters the game for T. Evans,,8,17
64,1,5:20.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by J. Holiday),8,20
65,1,5:08.0,D. Brooks misses 3-pt jump shot from 26 ft,,8,20
66,1,5:04.0,,Defensive rebound by D. Cousins,8,20
67,1,4:59.0,,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),8,22
68,1,4:59.0,Memphis full timeout,,8,22
69,1,4:59.0,,D. Miller enters the game for J. Holiday,8,22
70,1,4:59.0,D. Davis enters the game for J. Green,,8,22
71,1,4:46.0,W. Selden misses 3-pt jump shot from 25 ft,,8,22
72,1,4:43.0,,Defensive rebound by D. Cousins,8,22
73,1,4:28.0,,D. Cousins misses 3-pt jump shot from 25 ft,8,22
74,1,4:26.0,Defensive rebound by Team,,8,22
75,1,4:15.0,J. Martin misses 2-pt jump shot from 17 ft,,8,22
76,1,4:12.0,,Defensive rebound by A. Davis,8,22
77,1,3:57.0,,E. Moore makes 2-pt layup at rim (assist by A. Davis),8,24
78,1,3:39.0,,D. Cunningham enters the game for D. Cousins,8,24
79,1,3:31.0,W. Selden misses 2-pt layup from 1 ft,,8,24
80,1,3:28.0,,Defensive rebound by A. Davis,8,24
81,1,3:23.0,,A. Davis misses 2-pt layup at rim,8,24
82,1,3:20.0,Defensive rebound by W. Selden,,8,24
83,1,3:20.0,Personal foul by D. Miller (drawn by W. Selden),,8,24
84,1,3:03.0,W. Selden makes 2-pt jump shot from 19 ft,,10,24
85,1,2:47.0,,D. Cunningham misses 3-pt jump shot from 22 ft,10,24
86,1,2:43.0,Defensive rebound by D. Brooks,,10,24
87,1,2:36.0,Turnover by M. Henry (bad pass; steal by D. Cunningham),,10,24
88,1,2:33.0,,Personal foul by W. Selden (drawn by A. Davis),10,24
89,1,2:33.0,,A. Davis misses free throw 1 of 2,10,24
90,1,2:33.0,,Offensive rebound by Team,10,24
91,1,2:33.0,,I. Clark enters the game for E. Moore,10,24
92,1,2:33.0,J. Green enters the game for D. Brooks,,10,24
93,1,2:33.0,,A. Davis makes free throw 2 of 2,10,25
94,1,2:27.0,W. Selden makes 2-pt layup from 1 ft,,12,25
95,1,2:15.0,,Personal foul by M. Henry (drawn by I. Clark),12,25
96,1,2:15.0,,I. Clark makes free throw 1 of 2,12,26
97,1,2:15.0,,I. Clark makes free throw 2 of 2,12,27
98,1,2:04.0,W. Selden misses 2-pt layup from 1 ft,,12,27
99,1,1:59.0,Offensive rebound by J. Green,,12,27
100,1,1:59.0,J. Green makes 2-pt dunk at rim,,14,27
101,1,1:52.0,,Shooting foul by D. Davis (drawn by A. Davis),14,27
102,1,1:52.0,,A. Davis makes free throw 1 of 2,14,28
103,1,1:52.0,,A. Davis makes free throw 2 of 2,14,29
104,1,1:32.0,J. Martin misses 2-pt layup from 2 ft,,14,29
105,1,1:28.0,,Defensive rebound by A. Davis,14,29
106,1,1:16.0,,Turnover by R. Rondo (bad pass; steal by J. Green),14,29
107,1,1:15.0,Turnover by M. Henry (bad pass),,14,29
108,1,1:15.0,,D. Cousins enters the game for R. Rondo,14,29
109,1,1:15.0,,J. Holiday enters the game for A. Davis,14,29
110,1,1:00.0,,J. Holiday misses 2-pt jump shot from 17 ft,14,29
111,1,0:58.0,Defensive rebound by J. Green,,14,29
112,1,0:54.0,,I. Clark makes technical free throw,14,30
113,1,0:50.0,Shooting foul by D. Cousins (drawn by W. Selden),,14,30
114,1,0:50.0,W. Selden makes free throw 1 of 2,,15,30
115,1,0:50.0,W. Selden makes free throw 2 of 2,,16,30
116,1,0:40.0,,D. Miller makes 2-pt jump shot from 16 ft (assist by D. Cousins),16,32
117,1,0:33.0,W. Selden makes 2-pt jump shot from 10 ft,,18,32
118,1,0:22.0,,Shooting foul by J. Martin (drawn by D. Cousins),18,32
119,1,0:22.0,,D. Cousins makes free throw 1 of 2,18,33
120,1,0:22.0,T. Evans enters the game for J. Martin,,18,33
121,1,0:22.0,B. McLemore enters the game for M. Henry,,18,33
122,1,0:22.0,,D. Cousins makes free throw 2 of 2,18,34
123,1,0:00.0,W. Selden misses 2-pt jump shot from 6 ft (block by D. Miller),,18,34
124,1,0:00.0,Offensive rebound by J. Green,,18,34
125,2,11:45.0,,D. Cunningham makes 2-pt layup from 1 ft (assist by J. Holiday),18,36
126,2,11:22.0,W. Selden makes 2-pt jump shot from 18 ft,,20,36
127,2,11:13.0,,D. Miller misses 3-pt jump shot from 24 ft,20,36
128,2,11:13.0,Defensive rebound by J. Green,,20,36
129,2,10:59.0,M. Gasol misses 2-pt jump shot from 17 ft,,20,36
130,2,10:55.0,,Defensive rebound by D. Miller,20,36
131,2,10:48.0,,D. Miller misses 3-pt jump shot from 25 ft,20,36
132,2,10:44.0,Defensive rebound by T. Evans,,20,36
133,2,10:38.0,T. Evans misses 2-pt jump shot from 21 ft,,20,36
134,2,10:34.0,,Defensive rebound by D. Miller,20,36
135,2,10:26.0,,Turnover by D. Cousins (bad pass),20,36
136,2,10:26.0,D. Brooks enters the game for W. Selden,,20,36
137,2,10:13.0,Turnover by B. McLemore (bad pass; steal by J. Holiday),,20,36
138,2,10:08.0,,I. Clark misses 3-pt jump shot from 29 ft,20,36
139,2,10:04.0,Defensive rebound by T. Evans,,20,36
140,2,9:58.0,Personal foul by D. Cousins (drawn by M. Gasol),,20,36
141,2,9:46.0,B. McLemore misses 3-pt jump shot from 23 ft,,20,36
142,2,9:43.0,Offensive rebound by J. Green,,20,36
143,2,9:43.0,Shooting foul by D. Cunningham (drawn by J. Green),,20,36
144,2,9:43.0,J. Green makes free throw 1 of 2,,21,36
145,2,9:43.0,J. Green makes free throw 2 of 2,,22,36
146,2,9:29.0,,Personal foul by D. Brooks (drawn by D. Cousins),22,36
147,2,9:19.0,,I. Clark makes 2-pt jump shot from 8 ft,22,38
148,2,9:04.0,B. McLemore misses 3-pt jump shot from 26 ft (block by J. Holiday),,22,38
149,2,8:59.0,Offensive rebound by D. Brooks,,22,38
150,2,8:53.0,D. Brooks makes 3-pt jump shot from 24 ft (assist by T. Evans),,25,38
151,2,8:41.0,,I. Clark makes 2-pt layup from 3 ft (assist by J. Holiday),25,40
152,2,8:20.0,Turnover by T. Evans (traveling),,25,40
