,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PORTLAND_ACTION,LA CLIPPERS_SCORE,PORTLAND_SCORE
0,1,11:35.0,T. Harris misses 3-pt jump shot from 25 ft,,0,0
1,1,11:31.0,Offensive rebound by D. Jordan,,0,0
2,1,11:24.0,Turnover by D. Jordan (bad pass; steal by A. Aminu),,0,0
3,1,11:19.0,,A. Aminu misses 2-pt layup at rim,0,0
4,1,11:17.0,Defensive rebound by D. Jordan,,0,0
5,1,10:58.0,D. Gallinari misses 2-pt layup from 2 ft,,0,0
6,1,10:54.0,Offensive rebound by D. Jordan,,0,0
7,1,10:50.0,Turnover by D. Jordan (bad pass; steal by A. Aminu),,0,0
8,1,10:44.0,,C. McCollum misses 3-pt jump shot from 24 ft,0,0
9,1,10:40.0,Defensive rebound by D. Jordan,,0,0
10,1,10:26.0,A. Rivers misses 3-pt jump shot from 27 ft,,0,0
11,1,10:24.0,Offensive rebound by T. Harris,,0,0
12,1,10:20.0,A. Rivers misses 3-pt jump shot from 25 ft,,0,0
13,1,10:17.0,,Defensive rebound by J. Nurkić,0,0
14,1,10:10.0,,D. Lillard misses 3-pt jump shot from 25 ft,0,0
15,1,10:07.0,Defensive rebound by T. Wallace,,0,0
16,1,9:53.0,T. Harris misses 2-pt jump shot from 6 ft (block by E. Turner),,0,0
17,1,9:53.0,Offensive rebound by Team,,0,0
18,1,9:43.0,T. Harris misses 3-pt jump shot from 24 ft,,0,0
19,1,9:42.0,,Defensive rebound by C. McCollum,0,0
20,1,9:27.0,,E. Turner misses 2-pt jump shot from 15 ft,0,0
21,1,9:26.0,,Offensive rebound by A. Aminu,0,0
22,1,9:24.0,,Turnover by A. Aminu (bad pass; steal by T. Wallace),0,0
23,1,9:21.0,Shooting foul by C. McCollum (drawn by T. Wallace),,0,0
24,1,9:21.0,T. Wallace makes free throw 1 of 2,,1,0
25,1,9:21.0,T. Wallace makes free throw 2 of 2,,2,0
26,1,9:03.0,,J. Nurkić misses 2-pt jump shot from 14 ft,2,0
27,1,9:00.0,,Offensive rebound by A. Aminu,2,0
28,1,8:56.0,,D. Lillard misses 3-pt jump shot from 25 ft,2,0
29,1,8:53.0,Defensive rebound by D. Jordan,,2,0
30,1,8:48.0,T. Wallace makes 2-pt layup from 1 ft,,4,0
31,1,8:37.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by E. Turner),4,3
32,1,8:21.0,T. Harris makes 2-pt jump shot from 16 ft (assist by D. Gallinari),,6,3
33,1,8:08.0,,J. Nurkić makes 2-pt layup at rim (assist by D. Lillard),6,5
34,1,7:52.0,D. Gallinari misses 2-pt layup from 1 ft (block by J. Nurkić),,6,5
35,1,7:52.0,Offensive rebound by Team,,6,5
36,1,7:49.0,D. Gallinari misses 2-pt jump shot from 22 ft,,6,5
37,1,7:47.0,,Defensive rebound by D. Lillard,6,5
38,1,7:41.0,,Personal foul by T. Wallace (drawn by D. Lillard),6,5
