,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PORTLAND_ACTION,GOLDEN STATE_SCORE,PORTLAND_SCORE
0,1,11:42.0,,C. McCollum misses 2-pt jump shot from 15 ft,0,0
1,1,11:39.0,,Offensive rebound by J. Nurkić,0,0
2,1,11:37.0,,J. Nurkić misses 2-pt layup from 2 ft,0,0
3,1,11:37.0,,Offensive rebound by J. Nurkić,0,0
4,1,11:33.0,,J. Nurkić makes 2-pt layup at rim,0,2
5,1,11:21.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by K. Durant),,2,2
6,1,11:08.0,,D. Lillard makes 2-pt jump shot from 20 ft,2,4
7,1,11:00.0,D. Green misses 2-pt hook shot from 3 ft,,2,4
8,1,10:55.0,Offensive rebound by D. Green,,2,4
9,1,10:55.0,D. Green makes 2-pt layup at rim,,4,4
10,1,10:42.0,,J. Nurkić misses 2-pt hook shot from 1 ft (block by K. Durant),4,4
11,1,10:40.0,Defensive rebound by K. Durant,,4,4
12,1,10:34.0,K. Durant makes 2-pt jump shot from 4 ft,,6,4
13,1,10:18.0,,A. Aminu makes 2-pt layup from 1 ft (assist by J. Nurkić),6,6
14,1,10:04.0,K. Durant makes 2-pt jump shot from 14 ft,,8,6
15,1,9:49.0,,Def 3 sec tech foul by D. Green,8,6
16,1,9:49.0,,D. Lillard makes technical free throw,8,7
17,1,9:42.0,,M. Harkless misses 3-pt jump shot from 23 ft,8,7
18,1,9:38.0,Defensive rebound by D. Green,,8,7
19,1,9:35.0,Turnover by S. Curry (lost ball; steal by A. Aminu),,8,7
20,1,9:31.0,,D. Lillard makes 3-pt jump shot from 27 ft (assist by C. McCollum),8,10
21,1,9:23.0,K. Thompson misses 2-pt jump shot from 11 ft,,8,10
22,1,9:21.0,,Defensive rebound by J. Nurkić,8,10
23,1,9:15.0,,D. Lillard makes 3-pt jump shot from 26 ft,8,13
24,1,8:58.0,S. Curry misses 2-pt jump shot from 12 ft,,8,13
25,1,8:55.0,,Defensive rebound by J. Nurkić,8,13
26,1,8:47.0,,D. Lillard misses 3-pt jump shot from 25 ft,8,13
27,1,8:45.0,Defensive rebound by S. Curry,,8,13
28,1,8:36.0,S. Curry misses 3-pt jump shot from 24 ft,,8,13
29,1,8:32.0,,Defensive rebound by A. Aminu,8,13
30,1,8:23.0,,D. Lillard misses 3-pt jump shot from 30 ft,8,13
31,1,8:21.0,,Offensive rebound by A. Aminu,8,13
32,1,8:18.0,,C. McCollum makes 3-pt jump shot from 24 ft,8,16
33,1,8:16.0,Golden State full timeout,,8,16
34,1,8:08.0,Offensive foul by Z. Pachulia (drawn by A. Aminu),,8,16
35,1,8:08.0,Turnover by Z. Pachulia (offensive foul),,8,16
36,1,7:54.0,,Turnover by M. Harkless (out of bounds lost ball),8,16
37,1,7:41.0,Z. Pachulia misses 2-pt jump shot from 4 ft,,8,16
38,1,7:36.0,Offensive rebound by D. Green,,8,16
39,1,7:36.0,D. Green misses 2-pt layup at rim,,8,16
40,1,7:36.0,,Defensive rebound by M. Harkless,8,16
41,1,7:31.0,,C. McCollum misses 2-pt layup from 1 ft,8,16
42,1,7:31.0,,Offensive rebound by J. Nurkić,8,16
43,1,7:28.0,,J. Nurkić misses 2-pt layup at rim,8,16
44,1,7:27.0,Defensive rebound by Z. Pachulia,,8,16
45,1,7:19.0,K. Thompson misses 3-pt jump shot from 22 ft,,8,16
46,1,7:16.0,,Defensive rebound by C. McCollum,8,16
47,1,7:06.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by M. Harkless),8,19
48,1,6:51.0,Shooting foul by J. Nurkić (drawn by Z. Pachulia),,8,19
49,1,6:51.0,Z. Pachulia makes free throw 1 of 2,,9,19
