,QUARTER,TIME_REMAINING,ATLANTA_ACTION,LA LAKERS_ACTION,ATLANTA_SCORE,LA LAKERS_SCORE
0,1,11:44.0,Turnover by D. Schröder (bad pass; steal by B. Lopez),,0,0
1,1,11:41.0,,Turnover by L. Ball (traveling),0,0
2,1,11:27.0,D. Schröder makes 2-pt jump shot from 17 ft,,2,0
3,1,11:12.0,,B. Lopez makes 2-pt dunk from 2 ft (assist by L. Ball),2,2
4,1,10:55.0,Shooting foul by L. Ball (drawn by D. Schröder),,2,2
5,1,10:55.0,D. Schröder makes free throw 1 of 2,,3,2
6,1,10:55.0,D. Schröder makes free throw 2 of 2,,4,2
7,1,10:45.0,,L. Ball misses 3-pt jump shot from 26 ft,4,2
8,1,10:41.0,Defensive rebound by T. Prince,,4,2
9,1,10:33.0,D. Schröder makes 2-pt layup from 2 ft,,6,2
10,1,10:22.0,,K. Caldwell-Pope misses 2-pt jump shot from 17 ft (block by K. Bazemore),6,2
11,1,10:21.0,,Offensive rebound by Team,6,2
12,1,10:10.0,,Turnover by J. Randle (traveling),6,2
13,1,9:52.0,E. İlyasova misses 2-pt jump shot from 2 ft,,6,2
14,1,9:50.0,Offensive rebound by E. İlyasova,,6,2
15,1,9:50.0,E. İlyasova makes 2-pt layup at rim,,8,2
16,1,9:35.0,,B. Lopez misses 2-pt jump shot from 20 ft,8,2
17,1,9:35.0,Defensive rebound by Team,,8,2
18,1,9:35.0,,Loose ball foul by J. Randle (drawn by E. İlyasova),8,2
19,1,9:25.0,T. Prince misses 2-pt jump shot from 7 ft,,8,2
20,1,9:24.0,Offensive rebound by M. Plumlee,,8,2
21,1,9:24.0,M. Plumlee makes 2-pt layup at rim,,10,2
22,1,9:22.0,,LA Lakers full timeout,10,2
23,1,9:04.0,,B. Ingram makes 2-pt layup from 2 ft (assist by J. Randle),10,4
24,1,9:04.0,,Shooting block foul by K. Bazemore (drawn by B. Ingram),10,4
25,1,9:04.0,,B. Ingram makes free throw 1 of 1,10,5
26,1,8:46.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by D. Schröder),,13,5
27,1,8:32.0,,L. Ball misses 2-pt jump shot from 6 ft,13,5
28,1,8:28.0,,Offensive rebound by L. Ball,13,5
29,1,8:28.0,,L. Ball misses 2-pt layup from 2 ft,13,5
30,1,8:28.0,,Offensive rebound by J. Randle,13,5
31,1,8:25.0,,L. Ball misses 3-pt jump shot from 23 ft,13,5
32,1,8:25.0,Defensive rebound by T. Prince,,13,5
33,1,8:18.0,D. Schröder misses 2-pt jump shot from 17 ft,,13,5
34,1,8:13.0,,Defensive rebound by J. Randle,13,5
35,1,8:07.0,,B. Lopez misses 3-pt jump shot from 26 ft,13,5
36,1,8:07.0,Defensive rebound by E. İlyasova,,13,5
37,1,7:50.0,E. İlyasova misses 2-pt layup from 2 ft,,13,5
38,1,7:48.0,,Defensive rebound by L. Ball,13,5
39,1,7:42.0,,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by B. Ingram),13,8
40,1,7:42.0,,K. Caldwell-Pope makes technical free throw,13,9
41,1,7:34.0,E. İlyasova misses 3-pt jump shot from 26 ft,,13,9
42,1,7:27.0,Offensive rebound by T. Prince,,13,9
43,1,7:24.0,D. Schröder misses 3-pt jump shot from 26 ft,,13,9
44,1,7:21.0,,Defensive rebound by L. Ball,13,9
45,1,7:17.0,,Turnover by B. Ingram (traveling),13,9
46,1,6:51.0,M. Plumlee makes 2-pt hook shot from 14 ft (assist by K. Bazemore),,15,9
47,1,6:34.0,,B. Ingram makes 3-pt jump shot from 25 ft (assist by J. Randle),15,12
48,1,6:20.0,Turnover by T. Prince (lost ball; steal by B. Lopez),,15,12
49,1,6:14.0,,J. Randle misses 2-pt layup from 1 ft,15,12
50,1,6:09.0,Defensive rebound by D. Schröder,,15,12
51,1,6:01.0,Atlanta full timeout,,15,12
52,1,6:01.0,,T. Ennis enters the game for L. Ball,15,12
53,1,6:01.0,M. Delaney enters the game for T. Prince,,15,12
54,1,6:01.0,J. Collins enters the game for M. Plumlee,,15,12
55,1,5:50.0,Turnover by D. Schröder (bad pass; steal by B. Lopez),,15,12
56,1,5:44.0,,J. Randle makes 2-pt dunk from 1 ft (assist by B. Ingram),15,14
57,1,5:29.0,J. Collins makes 3-pt jump shot from 23 ft (assist by K. Bazemore),,18,14
58,1,5:10.0,,J. Randle makes 2-pt hook shot from 5 ft,18,16
59,1,4:50.0,D. Schröder misses 2-pt layup from 1 ft (block by B. Lopez),,18,16
60,1,4:46.0,,Defensive rebound by B. Lopez,18,16
61,1,4:46.0,,Shooting block foul by M. Delaney (drawn by J. Randle),18,16
62,1,4:46.0,,J. Randle makes free throw 1 of 2,18,17
63,1,4:46.0,M. Belinelli enters the game for K. Bazemore,,18,17
64,1,4:46.0,,J. Randle makes free throw 2 of 2,18,18
65,1,4:30.0,Shooting foul by B. Lopez (drawn by J. Collins),,18,18
66,1,4:30.0,J. Collins makes free throw 1 of 2,,19,18
67,1,4:30.0,J. Collins makes free throw 2 of 2,,20,18
68,1,4:19.0,,B. Lopez misses 2-pt layup from 2 ft (block by J. Collins),20,18
69,1,4:18.0,Defensive rebound by Team,,20,18
70,1,4:03.0,D. Schröder misses 3-pt jump shot from 25 ft,,20,18
71,1,4:00.0,,Defensive rebound by J. Randle,20,18
72,1,3:44.0,,J. Randle misses 2-pt layup from 2 ft (block by J. Collins),20,18
73,1,3:42.0,Defensive rebound by J. Collins,,20,18
74,1,3:35.0,J. Collins misses 2-pt layup from 3 ft (block by B. Lopez),,20,18
75,1,3:31.0,Offensive rebound by D. Schröder,,20,18
76,1,3:21.0,D. Schröder misses 2-pt layup from 2 ft,,20,18
77,1,3:18.0,,Defensive rebound by T. Ennis,20,18
78,1,3:13.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by B. Ingram),20,21
79,1,3:11.0,,K. Kuzma enters the game for K. Caldwell-Pope,20,21
80,1,3:11.0,,L. Nance enters the game for B. Lopez,20,21
81,1,3:11.0,,J. Clarkson enters the game for J. Randle,20,21
82,1,3:11.0,T. Cavanaugh enters the game for J. Collins,,20,21
83,1,3:11.0,,Technical foul by J. Randle,20,21
84,1,3:11.0,M. Belinelli makes technical free throw,,21,21
85,1,2:55.0,Turnover by E. İlyasova (traveling),,21,21
86,1,2:32.0,,K. Kuzma misses 2-pt jump shot from 13 ft,21,21
87,1,2:30.0,Defensive rebound by T. Cavanaugh,,21,21
88,1,2:18.0,D. Schröder makes 2-pt jump shot from 8 ft,,23,21
89,1,2:00.0,,L. Nance makes 2-pt layup from 2 ft (assist by B. Ingram),23,23
90,1,1:46.0,E. İlyasova misses 3-pt jump shot from 23 ft,,23,23
91,1,1:42.0,,Defensive rebound by K. Kuzma,23,23
92,1,1:31.0,,Turnover by B. Ingram (step out of bounds),23,23
93,1,1:31.0,J. Collins enters the game for E. İlyasova,,23,23
94,1,1:31.0,I. Taylor enters the game for D. Schröder,,23,23
95,1,1:22.0,M. Belinelli misses 2-pt jump shot from 16 ft,,23,23
96,1,1:18.0,Offensive rebound by Team,,23,23
97,1,1:14.0,M. Delaney makes 2-pt layup from 2 ft (assist by M. Belinelli),,25,23
