,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,LA CLIPPERS_ACTION,LA LAKERS_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,,T. Harris makes 2-pt jump shot from 9 ft,0,2
1,1,11:13.0,J. Randle makes 2-pt layup from 2 ft,,2,2
2,1,10:54.0,,W. Johnson makes 2-pt jump shot from 18 ft (assist by A. Rivers),2,4
3,1,10:54.0,,Shooting foul by A. Caruso (drawn by W. Johnson),2,4
4,1,10:54.0,,W. Johnson makes free throw 1 of 1,2,5
5,1,10:38.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,2,5
6,1,10:32.0,,Defensive rebound by A. Rivers,2,5
7,1,10:19.0,,A. Rivers misses 2-pt layup from 5 ft,2,5
8,1,10:19.0,Defensive rebound by Team,,2,5
9,1,10:14.0,A. Caruso makes 2-pt layup at rim,,4,5
10,1,10:01.0,,T. Harris makes 3-pt jump shot from 24 ft (assist by S. Thornwell),4,8
11,1,9:51.0,LA Lakers full timeout,,4,8
12,1,9:51.0,A. Ingram enters the game for K. Caldwell-Pope,,4,8
13,1,9:47.0,J. Hart makes 3-pt jump shot from 23 ft (assist by B. Lopez),,7,8
14,1,9:32.0,,A. Rivers misses 2-pt jump shot from 8 ft,7,8
15,1,9:28.0,Defensive rebound by B. Lopez,,7,8
16,1,9:20.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by J. Randle),,10,8
17,1,9:03.0,,Shooting foul by J. Randle (drawn by T. Harris),10,8
18,1,9:03.0,,T. Harris makes free throw 1 of 3,10,9
19,1,9:03.0,,T. Harris makes free throw 2 of 3,10,10
20,1,9:03.0,,T. Harris makes free throw 3 of 3,10,11
21,1,8:52.0,A. Ingram makes 2-pt jump shot from 13 ft (assist by J. Randle),,12,11
22,1,8:42.0,,W. Johnson makes 2-pt layup at rim (assist by A. Rivers),12,13
23,1,8:28.0,A. Ingram misses 3-pt jump shot from 25 ft,,12,13
24,1,8:25.0,,Defensive rebound by D. Jordan,12,13
25,1,8:13.0,,T. Harris makes 2-pt layup from 1 ft,12,15
26,1,7:57.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by J. Hart),,15,15
27,1,7:40.0,,T. Harris misses 3-pt jump shot from 24 ft,15,15
28,1,7:36.0,Defensive rebound by J. Randle,,15,15
29,1,7:30.0,A. Ingram makes 3-pt jump shot from 23 ft (assist by J. Hart),,18,15
30,1,7:02.0,,T. Harris makes 2-pt jump shot from 4 ft,18,17
31,1,6:53.0,B. Lopez misses 3-pt jump shot from 27 ft,,18,17
32,1,6:49.0,,Defensive rebound by T. Harris,18,17
33,1,6:34.0,,S. Thornwell makes 3-pt jump shot from 26 ft (assist by W. Johnson),18,20
34,1,6:32.0,LA Lakers full timeout,,18,20
35,1,6:19.0,Shooting foul by T. Harris (drawn by J. Randle),,18,20
36,1,6:19.0,J. Randle makes free throw 1 of 2,,19,20
37,1,6:19.0,J. Randle makes free throw 2 of 2,,20,20
38,1,6:03.0,,A. Rivers misses 3-pt jump shot from 25 ft,20,20
39,1,6:00.0,Defensive rebound by J. Randle,,20,20
40,1,5:55.0,A. Ingram misses 3-pt jump shot from 26 ft,,20,20
41,1,5:52.0,,Defensive rebound by D. Jordan,20,20
42,1,5:43.0,,S. Thornwell misses 2-pt jump shot from 12 ft,20,20
43,1,5:42.0,Defensive rebound by J. Hart,,20,20
44,1,5:32.0,B. Lopez makes 2-pt hook shot from 13 ft (assist by A. Ingram),,22,20
45,1,5:14.0,,Shooting foul by J. Hart (drawn by A. Rivers),22,20
46,1,5:14.0,,A. Rivers misses free throw 1 of 2,22,20
47,1,5:14.0,,Offensive rebound by Team,22,20
48,1,5:14.0,G. Payton enters the game for J. Hart,,22,20
49,1,5:14.0,,A. Rivers makes free throw 2 of 2,22,21
50,1,5:01.0,A. Caruso misses 2-pt jump shot from 9 ft,,22,21
51,1,4:54.0,Offensive rebound by G. Payton,,22,21
52,1,4:54.0,G. Payton makes 2-pt dunk at rim,,24,21
53,1,4:39.0,,S. Thornwell makes 3-pt jump shot from 23 ft (assist by A. Rivers),24,24
54,1,4:21.0,G. Payton makes 2-pt layup from 1 ft,,26,24
55,1,4:09.0,,A. Rivers misses 2-pt hook shot from 4 ft,26,24
56,1,4:09.0,,Offensive rebound by Team,26,24
57,1,4:09.0,Loose ball foul by G. Payton (drawn by D. Jordan),,26,24
58,1,4:09.0,,T. Wallace enters the game for A. Rivers,26,24
59,1,4:09.0,,C. Williams enters the game for W. Johnson,26,24
60,1,4:00.0,,T. Harris misses 3-pt jump shot from 23 ft,26,24
61,1,3:56.0,Defensive rebound by A. Caruso,,26,24
62,1,3:52.0,G. Payton misses 3-pt jump shot from 25 ft,,26,24
63,1,3:46.0,,Defensive rebound by T. Harris,26,24
64,1,3:40.0,,S. Thornwell misses 2-pt dunk from 2 ft (block by B. Lopez),26,24
65,1,3:37.0,Defensive rebound by B. Lopez,,26,24
66,1,3:36.0,Shooting foul by D. Jordan (drawn by B. Lopez),,26,24
67,1,3:36.0,B. Lopez makes free throw 1 of 3,,27,24
68,1,3:36.0,B. Lopez makes free throw 2 of 3,,28,24
69,1,3:36.0,,M. Harrell enters the game for D. Jordan,28,24
70,1,3:36.0,B. Lopez makes free throw 3 of 3,,29,24
71,1,3:23.0,,T. Harris misses 2-pt layup from 2 ft,29,24
72,1,3:21.0,Defensive rebound by J. Randle,,29,24
73,1,3:13.0,J. Randle makes 2-pt hook shot from 5 ft,,31,24
74,1,2:46.0,,C. Williams misses 3-pt jump shot from 25 ft,31,24
75,1,2:41.0,Defensive rebound by A. Caruso,,31,24
76,1,2:36.0,J. Randle misses 3-pt jump shot from 25 ft,,31,24
77,1,2:33.0,,Defensive rebound by T. Harris,31,24
78,1,2:25.0,,C. Williams makes 2-pt dunk from 1 ft (assist by T. Wallace),31,26
79,1,2:12.0,G. Payton makes 3-pt jump shot from 22 ft (assist by A. Ingram),,34,26
80,1,1:53.0,,C. Williams makes 2-pt jump shot from 11 ft (assist by M. Harrell),34,28
81,1,1:40.0,A. Ingram misses 2-pt jump shot from 9 ft,,34,28
82,1,1:35.0,Offensive rebound by G. Payton,,34,28
83,1,1:35.0,G. Payton makes 2-pt layup at rim,,36,28
84,1,1:19.0,,T. Wallace makes 2-pt jump shot from 14 ft (assist by M. Harrell),36,30
85,1,1:00.0,A. Caruso makes 3-pt jump shot from 25 ft (assist by A. Ingram),,39,30
86,1,0:52.0,,T. Harris misses 3-pt jump shot from 24 ft,39,30
87,1,0:51.0,Defensive rebound by A. Ingram,,39,30
88,1,0:46.0,B. Lopez misses 3-pt jump shot from 26 ft,,39,30
89,1,0:44.0,,Defensive rebound by Team,39,30
90,1,0:44.0,,S. Dekker enters the game for T. Harris,39,30
91,1,0:44.0,T. Ennis enters the game for A. Caruso,,39,30
92,1,0:44.0,J. Hart enters the game for B. Lopez,,39,30
93,1,0:44.0,I. Zubac enters the game for J. Randle,,39,30
94,1,0:33.0,,T. Wallace makes 2-pt dunk from 1 ft,39,32
95,1,0:19.0,J. Hart misses 2-pt jump shot from 18 ft,,39,32
96,1,0:17.0,Offensive rebound by Team,,39,32
97,1,0:17.0,,Loose ball foul by C. Williams (drawn by I. Zubac),39,32
98,1,0:03.0,G. Payton misses 3-pt jump shot from 25 ft,,39,32
99,1,0:00.0,,Defensive rebound by M. Harrell,39,32
100,2,11:44.0,J. Hart makes 3-pt jump shot from 25 ft (assist by T. Ennis),,42,32
101,2,11:24.0,,C. Williams misses 2-pt jump shot from 9 ft,42,32
102,2,11:22.0,Defensive rebound by G. Payton,,42,32
103,2,11:12.0,T. Wear misses 2-pt jump shot from 16 ft,,42,32
104,2,11:09.0,,Defensive rebound by T. Wallace,42,32
105,2,10:54.0,,M. Harrell makes 2-pt jump shot from 1 ft (assist by A. Rivers),42,34
106,2,10:40.0,T. Ennis misses 2-pt jump shot from 5 ft,,42,34
107,2,10:38.0,,Defensive rebound by T. Wallace,42,34
108,2,10:26.0,,M. Harrell makes 2-pt hook shot from 5 ft,42,36
109,2,10:14.0,I. Zubac makes 2-pt hook shot from 4 ft (assist by J. Hart),,44,36
110,2,9:59.0,,Turnover by S. Dekker (traveling),44,36
111,2,9:48.0,T. Ennis makes 2-pt layup from 1 ft,,46,36
112,2,9:23.0,,T. Wallace misses 3-pt jump shot from 23 ft,46,36
113,2,9:19.0,Defensive rebound by I. Zubac,,46,36
114,2,9:11.0,T. Ennis misses 2-pt jump shot from 9 ft,,46,36
115,2,9:09.0,,Defensive rebound by S. Dekker,46,36
116,2,8:56.0,,M. Harrell misses 2-pt layup from 1 ft (block by I. Zubac),46,36
