,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,GOLDEN STATE_ACTION,BROOKLYN_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,,K. Durant misses 2-pt jump shot from 13 ft,0,0
1,1,11:38.0,Defensive rebound by D. Carroll,,0,0
2,1,11:20.0,D. Russell makes 2-pt layup from 2 ft (assist by D. Carroll),,2,0
3,1,11:12.0,,Turnover by K. Durant (palming),2,0
4,1,10:45.0,S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by D. Russell),,5,0
5,1,10:32.0,,S. Curry misses 3-pt jump shot from 26 ft,5,0
6,1,10:29.0,Defensive rebound by A. Crabbe,,5,0
7,1,10:24.0,D. Russell misses 3-pt jump shot from 26 ft,,5,0
8,1,10:21.0,,Defensive rebound by J. McGee,5,0
9,1,10:14.0,,S. Curry makes 2-pt jump shot from 18 ft (assist by J. McGee),5,2
10,1,9:49.0,A. Crabbe makes 2-pt layup from 2 ft,,7,2
11,1,9:32.0,,Turnover by K. Thompson (traveling),7,2
12,1,9:18.0,D. Russell misses 3-pt jump shot from 27 ft,,7,2
13,1,9:14.0,,Defensive rebound by D. Green,7,2
14,1,9:09.0,,J. McGee makes 2-pt layup from 2 ft (assist by D. Green),7,4
15,1,8:42.0,A. Crabbe misses 2-pt jump shot from 20 ft,,7,4
16,1,8:39.0,Offensive rebound by A. Crabbe,,7,4
17,1,8:38.0,A. Crabbe misses 3-pt jump shot from 22 ft,,7,4
18,1,8:35.0,Offensive rebound by J. Allen,,7,4
19,1,8:32.0,D. Carroll misses 3-pt jump shot from 24 ft,,7,4
20,1,8:30.0,Offensive rebound by J. Allen,,7,4
21,1,8:25.0,A. Crabbe misses 3-pt jump shot from 22 ft,,7,4
22,1,8:22.0,,Defensive rebound by K. Thompson,7,4
23,1,8:18.0,,J. McGee makes 2-pt dunk at rim (assist by D. Green),7,6
24,1,7:58.0,Shooting foul by K. Durant (drawn by S. Dinwiddie),,7,6
25,1,7:58.0,S. Dinwiddie makes free throw 1 of 3,,8,6
26,1,7:58.0,S. Dinwiddie makes free throw 2 of 3,,9,6
27,1,7:58.0,S. Dinwiddie makes free throw 3 of 3,,10,6
28,1,7:48.0,,Turnover by D. Green (bad pass; steal by D. Russell),10,6
29,1,7:43.0,D. Carroll misses 3-pt jump shot from 28 ft,,10,6
30,1,7:42.0,,Defensive rebound by Team,10,6
31,1,7:19.0,,K. Durant misses 2-pt jump shot from 15 ft,10,6
32,1,7:13.0,Defensive rebound by D. Carroll,,10,6
33,1,7:05.0,D. Carroll makes 2-pt jump shot from 11 ft (assist by D. Russell),,12,6
34,1,6:57.0,,S. Curry misses 3-pt jump shot from 26 ft,12,6
35,1,6:51.0,Defensive rebound by D. Carroll,,12,6
