,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
47,1,5:45.0,,Offensive rebound by R. Lopez,14,10
48,1,5:45.0,,R. Lopez makes 2-pt layup at rim,14,12
49,1,5:34.0,L. Aldridge misses 2-pt jump shot from 15 ft,,14,12
50,1,5:30.0,,Defensive rebound by J. Holiday,14,12
51,1,5:25.0,,J. Grant makes 2-pt layup from 1 ft (assist by J. Holiday),14,14
52,1,5:06.0,M. Ginóbili misses 2-pt jump shot from 19 ft,,14,14
53,1,5:06.0,Offensive rebound by L. Aldridge,,14,14
54,1,4:55.0,P. Gasol misses 2-pt jump shot from 10 ft,,14,14
55,1,4:55.0,Offensive rebound by L. Aldridge,,14,14
56,1,4:50.0,L. Aldridge misses 2-pt layup from 2 ft (block by R. Lopez),,14,14
57,1,4:48.0,,Defensive rebound by D. Valentine,14,14
58,1,4:45.0,,J. Holiday misses 2-pt jump shot from 5 ft,14,14
59,1,4:45.0,Defensive rebound by Team,,14,14
60,1,4:45.0,Personal foul by L. Markkanen (drawn by L. Aldridge),,14,14
61,1,4:45.0,,P. Zipser enters the game for L. Markkanen,14,14
62,1,4:45.0,R. Gay enters the game for K. Anderson,,14,14
63,1,4:45.0,J. Lauvergne enters the game for P. Gasol,,14,14
64,1,4:24.0,R. Gay misses 2-pt jump shot from 3 ft,,14,14
65,1,4:24.0,,Defensive rebound by R. Lopez,14,14
66,1,4:13.0,,P. Zipser misses 2-pt jump shot from 11 ft,14,14
67,1,4:13.0,Defensive rebound by P. Mills,,14,14
68,1,3:53.0,Shooting foul by P. Zipser (drawn by J. Lauvergne),,14,14
69,1,3:53.0,J. Lauvergne makes free throw 1 of 2,,15,14
70,1,3:53.0,J. Lauvergne misses free throw 2 of 2,,15,14
71,1,3:50.0,,Defensive rebound by P. Zipser,15,14
72,1,3:39.0,,Turnover by J. Holiday (bad pass),15,14
73,1,3:18.0,R. Gay misses 2-pt jump shot from 6 ft,,15,14
74,1,3:15.0,,Defensive rebound by R. Lopez,15,14
75,1,3:09.0,,D. Valentine misses 3-pt jump shot from 26 ft,15,14
76,1,3:04.0,Defensive rebound by P. Mills,,15,14
77,1,2:44.0,P. Mills makes 2-pt jump shot from 4 ft (assist by L. Aldridge),,17,14
78,1,2:29.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by R. Lopez),17,17
79,1,2:28.0,San Antonio full timeout,,17,17
80,1,2:28.0,,K. Felder enters the game for J. Grant,17,17
81,1,2:28.0,B. Forbes enters the game for L. Aldridge,,17,17
82,1,2:11.0,J. Lauvergne misses 2-pt layup from 1 ft (block by R. Lopez),,17,17
83,1,2:08.0,,Defensive rebound by P. Zipser,17,17
84,1,1:59.0,,R. Lopez misses 2-pt jump shot from 20 ft,17,17
85,1,1:55.0,Defensive rebound by J. Lauvergne,,17,17
86,1,1:45.0,M. Ginóbili misses 3-pt jump shot from 24 ft,,17,17
87,1,1:45.0,,Defensive rebound by D. Valentine,17,17
88,1,1:29.0,,J. Holiday makes 2-pt jump shot from 10 ft (assist by P. Zipser),17,19
89,1,1:16.0,B. Forbes makes 2-pt jump shot from 15 ft (assist by P. Mills),,19,19
90,1,0:57.0,,J. Holiday misses 2-pt jump shot from 10 ft,19,19
91,1,0:54.0,Defensive rebound by J. Lauvergne,,19,19
92,1,0:46.0,J. Lauvergne misses 2-pt layup from 1 ft (block by R. Lopez),,19,19
93,1,0:46.0,,Defensive rebound by P. Zipser,19,19
94,1,0:32.0,,J. Holiday misses 3-pt jump shot from 26 ft,19,19
95,1,0:28.0,,Offensive rebound by R. Lopez,19,19
96,1,0:28.0,,R. Lopez makes 2-pt layup from 1 ft,19,21
97,1,0:11.0,Turnover by P. Mills (bad pass),,19,21
