,QUARTER,TIME_REMAINING,TORONTO_ACTION,DALLAS_ACTION,TORONTO_SCORE,DALLAS_SCORE
0,1,11:47.0,,D. Smith misses 2-pt jump shot from 20 ft,0,0
1,1,11:46.0,Defensive rebound by S. Ibaka,,0,0
2,1,11:28.0,Turnover by K. Lowry (bad pass; steal by M. Kleber),,0,0
3,1,11:10.0,,H. Barnes misses 2-pt layup from 2 ft,0,0
4,1,11:08.0,,Offensive rebound by H. Barnes,0,0
5,1,11:06.0,,Turnover by H. Barnes (lost ball; steal by K. Lowry),0,0
6,1,10:59.0,J. Valančiūnas misses 2-pt jump shot from 10 ft,,0,0
7,1,10:57.0,,Defensive rebound by D. Nowitzki,0,0
8,1,10:51.0,,H. Barnes misses 3-pt jump shot from 22 ft,0,0
9,1,10:48.0,Defensive rebound by J. Valančiūnas,,0,0
10,1,10:37.0,D. DeRozan makes 2-pt jump shot from 19 ft (assist by K. Lowry),,2,0
11,1,10:17.0,,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by W. Matthews),2,2
12,1,10:02.0,K. Lowry misses 2-pt jump shot from 5 ft,,2,2
13,1,9:58.0,,Defensive rebound by D. Nowitzki,2,2
14,1,9:50.0,,D. Nowitzki makes 2-pt layup at rim (assist by M. Kleber),2,4
15,1,9:39.0,Personal foul by W. Matthews (drawn by D. DeRozan),,2,4
16,1,9:31.0,D. DeRozan misses 2-pt jump shot from 23 ft,,2,4
17,1,9:28.0,,Defensive rebound by D. Smith,2,4
18,1,9:18.0,,Personal foul by K. Lowry (drawn by D. Smith),2,4
19,1,9:07.0,,M. Kleber misses 2-pt jump shot from 5 ft,2,4
20,1,9:05.0,Defensive rebound by S. Ibaka,,2,4
21,1,8:56.0,J. Valančiūnas misses 2-pt jump shot from 4 ft (block by D. Nowitzki),,2,4
22,1,8:54.0,,Defensive rebound by M. Kleber,2,4
23,1,8:47.0,,Personal foul by J. Valančiūnas (drawn by D. Nowitzki),2,4
24,1,8:39.0,,Turnover by D. Smith (bad pass; steal by J. Valančiūnas),2,4
25,1,8:21.0,J. Valančiūnas misses 2-pt layup at rim (block by M. Kleber),,2,4
26,1,8:21.0,,Defensive rebound by Team,2,4
27,1,7:57.0,,H. Barnes makes 2-pt jump shot from 8 ft,2,6
28,1,7:41.0,K. Lowry makes 2-pt jump shot from 1 ft (assist by D. DeRozan),,4,6
29,1,7:26.0,,Shooting foul by O. Anunoby (drawn by H. Barnes),4,6
30,1,7:26.0,,H. Barnes misses free throw 1 of 2,4,6
31,1,7:26.0,,Offensive rebound by Team,4,6
32,1,7:26.0,,S. Mejri enters the game for D. Nowitzki,4,6
33,1,7:26.0,,H. Barnes makes free throw 2 of 2,4,7
34,1,7:11.0,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by D. DeRozan),,6,7
35,1,7:01.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by D. Smith),6,10
36,1,6:53.0,K. Lowry makes 3-pt jump shot from 24 ft,,9,10
37,1,6:43.0,,S. Mejri makes 2-pt layup from 1 ft (assist by D. Smith),9,12
38,1,6:32.0,Turnover by S. Ibaka (traveling),,9,12
39,1,6:32.0,,Dallas full timeout,9,12
40,1,6:19.0,,Personal foul by O. Anunoby (drawn by D. Smith),9,12
41,1,6:09.0,,M. Kleber makes 2-pt jump shot from 7 ft (assist by D. Smith),9,14
42,1,5:59.0,Shooting foul by D. Smith (drawn by K. Lowry),,9,14
43,1,5:59.0,K. Lowry makes free throw 1 of 2,,10,14
44,1,5:59.0,C. Miles enters the game for O. Anunoby,,10,14
45,1,5:59.0,K. Lowry makes free throw 2 of 2,,11,14
46,1,5:46.0,,D. Smith misses 2-pt jump shot from 6 ft,11,14
47,1,5:44.0,,Offensive rebound by D. Smith,11,14
48,1,5:37.0,,H. Barnes makes 2-pt jump shot from 8 ft,11,16
49,1,5:22.0,J. Valančiūnas misses 2-pt hook shot from 6 ft,,11,16
50,1,5:20.0,Offensive rebound by S. Ibaka,,11,16
51,1,5:20.0,S. Ibaka makes 2-pt layup at rim,,13,16
52,1,5:20.0,Shooting foul by S. Mejri (drawn by S. Ibaka),,13,16
53,1,5:20.0,S. Ibaka makes free throw 1 of 1,,14,16
54,1,5:11.0,,S. Mejri misses 2-pt jump shot from 2 ft (block by S. Ibaka),14,16
55,1,5:08.0,,Offensive rebound by Team,14,16
56,1,5:07.0,,D. Smith misses 3-pt jump shot from 25 ft,14,16
57,1,5:04.0,Defensive rebound by S. Ibaka,,14,16
58,1,4:54.0,J. Valančiūnas misses 2-pt hook shot from 1 ft,,14,16
59,1,4:54.0,Offensive rebound by J. Valančiūnas,,14,16
60,1,4:54.0,Shooting foul by S. Mejri (drawn by J. Valančiūnas),,14,16
61,1,4:54.0,J. Valančiūnas makes free throw 1 of 2,,15,16
62,1,4:54.0,J. Valančiūnas misses free throw 2 of 2,,15,16
63,1,4:50.0,,Defensive rebound by D. Smith,15,16
64,1,4:39.0,,D. Smith makes 2-pt layup from 1 ft,15,18
65,1,4:23.0,S. Ibaka misses 2-pt jump shot from 19 ft,,15,18
66,1,4:20.0,,Defensive rebound by S. Mejri,15,18
