,QUARTER,TIME_REMAINING,DETROIT_ACTION,TORONTO_ACTION,DETROIT_SCORE,TORONTO_SCORE
0,1,11:45.0,K. Caldwell-Pope makes 2-pt jump shot from 18 ft,,2,0
1,1,11:25.0,,D. DeRozan makes 2-pt jump shot from 4 ft,2,2
2,1,11:12.0,M. Morris makes 3-pt jump shot from 25 ft (assist by I. Smith),,5,2
3,1,10:53.0,,J. Valančiūnas makes 2-pt dunk at rim,5,4
4,1,10:46.0,Detroit full timeout,,5,4
5,1,10:36.0,T. Harris makes 2-pt hook shot from 5 ft,,7,4
6,1,10:16.0,,Turnover by D. DeRozan (bad pass; steal by K. Caldwell-Pope),7,4
7,1,10:10.0,A. Drummond makes 2-pt layup from 3 ft (assist by I. Smith),,9,4
8,1,10:04.0,,Turnover by K. Lowry (bad pass),9,4
9,1,9:51.0,M. Morris makes 2-pt hook shot from 5 ft,,11,4
10,1,9:31.0,,D. DeRozan misses 2-pt jump shot from 18 ft,11,4
11,1,9:31.0,Defensive rebound by T. Harris,,11,4
12,1,9:22.0,I. Smith misses 2-pt jump shot from 21 ft,,11,4
13,1,9:21.0,,Defensive rebound by P. Siakam,11,4
14,1,9:14.0,,Personal foul by A. Drummond (drawn by D. DeRozan),11,4
15,1,9:07.0,,K. Lowry misses 2-pt jump shot from 15 ft,11,4
16,1,9:06.0,,Offensive rebound by J. Valančiūnas,11,4
17,1,9:04.0,,Shooting foul by M. Morris (drawn by J. Valančiūnas),11,4
18,1,9:04.0,,J. Valančiūnas makes free throw 1 of 2,11,5
19,1,9:04.0,,J. Valančiūnas makes free throw 2 of 2,11,6
20,1,8:48.0,T. Harris misses 2-pt jump shot from 13 ft,,11,6
21,1,8:48.0,,Defensive rebound by K. Lowry,11,6
22,1,8:43.0,,Shooting foul by A. Drummond (drawn by J. Valančiūnas),11,6
23,1,8:43.0,,J. Valančiūnas makes free throw 1 of 2,11,7
24,1,8:43.0,A. Baynes enters the game for A. Drummond,,11,7
25,1,8:43.0,,J. Valančiūnas makes free throw 2 of 2,11,8
26,1,8:29.0,K. Caldwell-Pope misses 2-pt jump shot from 21 ft,,11,8
27,1,8:29.0,,Defensive rebound by P. Siakam,11,8
28,1,8:23.0,,Shooting foul by A. Baynes (drawn by J. Valančiūnas),11,8
29,1,8:23.0,,J. Valančiūnas makes free throw 1 of 2,11,9
30,1,8:23.0,,J. Valančiūnas makes free throw 2 of 2,11,10
31,1,8:12.0,Personal foul by D. Carroll (drawn by M. Morris),,11,10
32,1,8:05.0,I. Smith makes 2-pt jump shot from 17 ft,,13,10
33,1,7:46.0,,J. Valančiūnas misses 2-pt jump shot from 15 ft,13,10
34,1,7:46.0,Defensive rebound by T. Harris,,13,10
35,1,7:37.0,T. Harris misses 2-pt jump shot from 9 ft,,13,10
36,1,7:37.0,,Defensive rebound by J. Valančiūnas,13,10
37,1,7:18.0,,D. DeRozan makes 2-pt jump shot from 13 ft,13,12
38,1,7:06.0,K. Caldwell-Pope misses 2-pt jump shot from 11 ft,,13,12
39,1,7:05.0,,Defensive rebound by P. Siakam,13,12
40,1,6:47.0,,D. DeRozan makes 2-pt jump shot from 5 ft,13,14
41,1,6:33.0,M. Morris misses 3-pt jump shot from 25 ft,,13,14
42,1,6:32.0,,Defensive rebound by D. Carroll,13,14
43,1,6:24.0,,D. DeRozan makes 2-pt layup from 4 ft,13,16
44,1,6:24.0,,Shooting foul by A. Baynes (drawn by D. DeRozan),13,16
