,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
0,1,11:42.0,D. Rose misses 2-pt hook shot from 7 ft,,0,0
1,1,11:41.0,Offensive rebound by D. Rose,,0,0
2,1,11:38.0,D. Rose misses 2-pt jump shot from 7 ft,,0,0
3,1,11:37.0,Offensive rebound by M. Kuzminskas,,0,0
4,1,11:37.0,M. Kuzminskas makes 2-pt layup from 1 ft,,2,0
5,1,11:18.0,,A. Johnson makes 2-pt layup from 2 ft (assist by M. Smart),2,2
6,1,10:58.0,M. Kuzminskas misses 2-pt layup at rim,,2,2
7,1,10:56.0,,Defensive rebound by A. Johnson,2,2
8,1,10:41.0,,A. Horford misses 3-pt jump shot from 25 ft,2,2
9,1,10:40.0,Defensive rebound by R. Baker,,2,2
10,1,10:27.0,K. O'Quinn makes 2-pt jump shot from 19 ft (assist by D. Rose),,4,2
11,1,10:15.0,,Personal foul by R. Baker (drawn by J. Crowder),4,2
12,1,10:01.0,,M. Smart misses 2-pt jump shot from 14 ft,4,2
13,1,10:00.0,Defensive rebound by C. Anthony,,4,2
14,1,9:54.0,Turnover by R. Baker (bad pass; steal by A. Johnson),,4,2
15,1,9:49.0,,I. Thomas makes 3-pt jump shot from 27 ft,4,5
16,1,9:27.0,M. Kuzminskas makes 3-pt jump shot from 23 ft (assist by K. O'Quinn),,7,5
17,1,9:04.0,,A. Horford misses 2-pt layup from 2 ft,7,5
18,1,9:03.0,Defensive rebound by D. Rose,,7,5
19,1,8:58.0,M. Kuzminskas makes 2-pt dunk at rim (assist by D. Rose),,9,5
20,1,8:58.0,,Boston full timeout,9,5
21,1,8:44.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by M. Smart),9,8
22,1,8:19.0,D. Rose misses 2-pt layup from 1 ft (block by M. Smart),,9,8
23,1,8:18.0,Offensive rebound by K. O'Quinn,,9,8
24,1,8:17.0,K. O'Quinn misses 2-pt layup from 2 ft,,9,8
25,1,8:16.0,Offensive rebound by D. Rose,,9,8
26,1,8:13.0,Turnover by Team (shot clock),,9,8
27,1,8:00.0,,A. Horford misses 3-pt jump shot from 25 ft,9,8
28,1,7:59.0,,Offensive rebound by A. Horford,9,8
29,1,7:55.0,,J. Crowder makes 2-pt layup from 1 ft (assist by A. Horford),9,10
30,1,7:39.0,C. Anthony misses 3-pt jump shot from 27 ft,,9,10
31,1,7:38.0,,Defensive rebound by A. Horford,9,10
32,1,7:25.0,,A. Johnson makes 2-pt layup from 1 ft (assist by A. Horford),9,12
33,1,7:11.0,D. Rose makes 2-pt layup from 1 ft,,11,12
34,1,6:57.0,,M. Smart makes 2-pt layup from 2 ft (assist by A. Horford),11,14
35,1,6:39.0,K. O'Quinn misses 2-pt jump shot from 20 ft,,11,14
36,1,6:38.0,,Defensive rebound by A. Horford,11,14
37,1,6:31.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by I. Thomas),11,17
38,1,6:11.0,C. Anthony makes 2-pt jump shot from 12 ft,,13,17
39,1,6:05.0,,Personal block foul by R. Baker (drawn by I. Thomas),13,17
