,QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
0,1,11:36.0,J. Nelson makes 3-pt jump shot from 23 ft (assist by G. Harris),,3,0
1,1,11:23.0,,C. McCollum misses 3-pt jump shot from 26 ft,3,0
2,1,11:22.0,,Offensive rebound by J. Nurkić,3,0
3,1,11:15.0,,J. Nurkić makes 2-pt hook shot from 3 ft,3,2
4,1,11:08.0,Personal foul by N. Vonleh (drawn by D. Gallinari),,3,2
5,1,11:01.0,J. Nelson makes 2-pt layup from 2 ft,,5,2
6,1,10:46.0,,D. Lillard misses 2-pt jump shot from 17 ft,5,2
7,1,10:45.0,,Offensive rebound by N. Vonleh,5,2
8,1,10:40.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by N. Vonleh),5,5
9,1,10:28.0,Shooting foul by J. Nurkić (drawn by N. Jokić),,5,5
10,1,10:28.0,N. Jokić makes free throw 1 of 2,,6,5
11,1,10:28.0,N. Jokić makes free throw 2 of 2,,7,5
12,1,10:12.0,,M. Harkless misses 2-pt layup from 1 ft (block by W. Chandler),7,5
13,1,10:10.0,Defensive rebound by W. Chandler,,7,5
14,1,10:04.0,J. Nelson misses 3-pt jump shot from 24 ft,,7,5
15,1,10:03.0,,Defensive rebound by N. Vonleh,7,5
16,1,9:42.0,,D. Lillard misses 3-pt jump shot from 24 ft,7,5
17,1,9:40.0,Defensive rebound by N. Jokić,,7,5
18,1,9:28.0,W. Chandler misses 2-pt jump shot from 9 ft,,7,5
19,1,9:26.0,,Defensive rebound by D. Lillard,7,5
20,1,9:16.0,,J. Nurkić misses 2-pt hook shot from 3 ft,7,5
21,1,9:16.0,,Offensive rebound by J. Nurkić,7,5
22,1,9:16.0,,Shooting foul by D. Gallinari (drawn by J. Nurkić),7,5
23,1,9:16.0,,J. Nurkić makes free throw 1 of 2,7,6
24,1,9:16.0,,J. Nurkić makes free throw 2 of 2,7,7
25,1,8:54.0,N. Jokić makes 2-pt hook shot from 3 ft,,9,7
26,1,8:40.0,,J. Nurkić makes 2-pt hook shot from 3 ft,9,9
27,1,8:27.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Nelson),,12,9
28,1,8:12.0,,M. Harkless makes 2-pt layup from 1 ft,12,11
29,1,8:00.0,W. Chandler makes 2-pt hook shot from 3 ft,,14,11
30,1,8:00.0,Shooting foul by M. Harkless (drawn by W. Chandler),,14,11
31,1,8:00.0,W. Chandler makes free throw 1 of 1,,15,11
32,1,7:51.0,,M. Harkless makes 2-pt layup from 2 ft (assist by J. Nurkić),15,13
33,1,7:38.0,D. Gallinari misses 3-pt jump shot from 25 ft,,15,13
34,1,7:37.0,,Defensive rebound by D. Lillard,15,13
35,1,7:30.0,,Turnover by D. Lillard (bad pass),15,13
36,1,7:11.0,Shooting foul by M. Harkless (drawn by J. Nelson),,15,13
37,1,7:11.0,J. Nelson makes free throw 1 of 2,,16,13
38,1,7:11.0,,A. Crabbe enters the game for M. Harkless,16,13
39,1,7:11.0,J. Nelson makes free throw 2 of 2,,17,13
40,1,6:58.0,,C. McCollum makes 2-pt jump shot from 22 ft (assist by D. Lillard),17,15
41,1,6:45.0,D. Gallinari misses 2-pt jump shot from 9 ft,,17,15
42,1,6:44.0,,Defensive rebound by J. Nurkić,17,15
43,1,6:38.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),17,17
44,1,6:38.0,,Shooting block foul by D. Gallinari (drawn by J. Nurkić),17,17
45,1,6:38.0,K. Faried enters the game for D. Gallinari,,17,17
46,1,6:38.0,,J. Nurkić makes free throw 1 of 1,17,18
47,1,6:27.0,Personal foul by A. Crabbe (drawn by W. Chandler),,17,18
48,1,6:27.0,W. Chandler misses free throw 1 of 2,,17,18
49,1,6:27.0,Offensive rebound by Team,,17,18
50,1,6:27.0,W. Chandler makes free throw 2 of 2,,18,18
51,1,6:13.0,,N. Vonleh makes 2-pt dunk at rim (assist by C. McCollum),18,20
52,1,6:03.0,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),,20,20
53,1,5:52.0,,A. Crabbe misses 3-pt jump shot from 22 ft,20,20
