,QUARTER,TIME_REMAINING,UTAH_ACTION,LA CLIPPERS_ACTION,UTAH_SCORE,LA CLIPPERS_SCORE
0,1,11:37.0,,D. Jordan misses 2-pt layup at rim (block by R. Gobert),0,0
1,1,11:35.0,Defensive rebound by J. Ingles,,0,0
2,1,11:16.0,J. Ingles misses 3-pt jump shot from 27 ft,,0,0
3,1,11:14.0,,Defensive rebound by L. Mbah a Moute,0,0
4,1,11:09.0,,L. Mbah a Moute misses 2-pt layup from 1 ft,0,0
5,1,11:06.0,Defensive rebound by G. Hayward,,0,0
6,1,10:51.0,,Offensive charge foul by R. Gobert (drawn by M. Speights),0,0
7,1,10:51.0,Turnover by R. Gobert (offensive foul),,0,0
8,1,10:39.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),0,2
9,1,10:10.0,Turnover by Team (shot clock),,0,2
10,1,10:00.0,,C. Paul makes 2-pt jump shot from 16 ft,0,4
11,1,9:44.0,R. Gobert misses 2-pt dunk at rim (block by M. Speights),,0,4
12,1,9:43.0,,Defensive rebound by Team,0,4
13,1,9:29.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by D. Jordan),0,7
14,1,9:14.0,Shooting foul by L. Mbah a Moute (drawn by R. Gobert),,0,7
15,1,9:14.0,R. Gobert misses free throw 1 of 2,,0,7
16,1,9:14.0,Offensive rebound by Team,,0,7
17,1,9:14.0,R. Gobert makes free throw 2 of 2,,1,7
18,1,8:59.0,,L. Mbah a Moute misses 2-pt jump shot from 16 ft,1,7
19,1,8:56.0,Defensive rebound by R. Gobert,,1,7
20,1,8:46.0,G. Hayward makes 3-pt jump shot from 26 ft (assist by B. Diaw),,4,7
21,1,8:32.0,,J. Redick misses 3-pt jump shot from 25 ft,4,7
22,1,8:31.0,Defensive rebound by R. Gobert,,4,7
23,1,8:21.0,B. Diaw makes 2-pt layup from 2 ft (assist by G. Hill),,6,7
24,1,8:12.0,,M. Speights misses 3-pt jump shot from 26 ft,6,7
25,1,8:11.0,Defensive rebound by R. Gobert,,6,7
26,1,7:54.0,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),,8,7
27,1,7:39.0,,Turnover by J. Redick (traveling),8,7
28,1,7:28.0,B. Diaw misses 2-pt jump shot from 21 ft,,8,7
29,1,7:26.0,,Defensive rebound by C. Paul,8,7
30,1,7:18.0,,J. Redick misses 3-pt jump shot from 23 ft (block by J. Ingles),8,7
31,1,7:16.0,Defensive rebound by G. Hill,,8,7
32,1,7:10.0,G. Hayward makes 3-pt jump shot from 27 ft (assist by G. Hill),,11,7
33,1,7:09.0,,LA Clippers full timeout,11,7
34,1,6:57.0,,L. Mbah a Moute makes 3-pt jump shot from 26 ft (assist by C. Paul),11,10
35,1,6:31.0,G. Hayward makes 3-pt jump shot from 27 ft (assist by B. Diaw),,14,10
36,1,6:17.0,,C. Paul misses 2-pt jump shot from 6 ft,14,10
37,1,6:15.0,Defensive rebound by J. Ingles,,14,10
38,1,6:13.0,Personal take foul by M. Speights (drawn by G. Hayward),,14,10
39,1,6:13.0,,J. Crawford enters the game for J. Redick,14,10
40,1,6:13.0,,P. Pierce enters the game for M. Speights,14,10
41,1,6:13.0,J. Johnson enters the game for B. Diaw,,14,10
42,1,6:13.0,R. Hood enters the game for J. Ingles,,14,10
43,1,5:57.0,R. Gobert misses 2-pt layup from 3 ft,,14,10
44,1,5:56.0,,Defensive rebound by D. Jordan,14,10
45,1,5:49.0,,P. Pierce makes 3-pt jump shot from 25 ft (assist by C. Paul),14,13
46,1,5:24.0,R. Hood misses 2-pt layup from 3 ft,,14,13
47,1,5:23.0,,Defensive rebound by P. Pierce,14,13
48,1,5:15.0,,C. Paul makes 2-pt jump shot from 21 ft,14,15
49,1,4:59.0,R. Hood misses 3-pt jump shot from 23 ft,,14,15
50,1,4:58.0,,Defensive rebound by D. Jordan,14,15
51,1,4:48.0,,C. Paul misses 2-pt jump shot from 14 ft,14,15
52,1,4:45.0,Defensive rebound by J. Johnson,,14,15
53,1,4:39.0,G. Hill makes 2-pt jump shot from 15 ft,,16,15
54,1,4:39.0,Shooting foul by D. Jordan (drawn by G. Hill),,16,15
55,1,4:39.0,,A. Rivers enters the game for L. Mbah a Moute,16,15
56,1,4:39.0,G. Hill makes free throw 1 of 1,,17,15
57,1,4:24.0,,J. Crawford misses 2-pt jump shot from 19 ft,17,15
58,1,4:23.0,Defensive rebound by G. Hayward,,17,15
59,1,4:17.0,G. Hayward makes 2-pt jump shot from 9 ft,,19,15
60,1,4:03.0,,Turnover by P. Pierce (bad pass; steal by R. Gobert),19,15
61,1,3:52.0,G. Hill misses 2-pt jump shot from 20 ft,,19,15
62,1,3:51.0,Offensive rebound by G. Hill,,19,15
63,1,3:42.0,G. Hayward misses 2-pt jump shot from 20 ft,,19,15
64,1,3:41.0,,Defensive rebound by Team,19,15
65,1,3:41.0,D. Favors enters the game for R. Gobert,,19,15
66,1,3:21.0,,A. Rivers misses 3-pt jump shot from 28 ft,19,15
67,1,3:20.0,Defensive rebound by R. Hood,,19,15
68,1,3:01.0,J. Johnson misses 3-pt jump shot from 25 ft,,19,15
69,1,3:00.0,,Defensive rebound by D. Jordan,19,15
70,1,2:50.0,,Shooting foul by D. Favors (drawn by D. Jordan),19,15
71,1,2:50.0,Utah full timeout,,19,15
72,1,2:50.0,,D. Jordan misses free throw 1 of 2,19,15
73,1,2:50.0,,Offensive rebound by Team,19,15
74,1,2:50.0,,R. Felton enters the game for C. Paul,19,15
75,1,2:50.0,,D. Jordan makes free throw 2 of 2,19,16
76,1,2:30.0,G. Hill misses 3-pt jump shot from 26 ft,,19,16
77,1,2:29.0,,Defensive rebound by A. Rivers,19,16
78,1,2:10.0,,P. Pierce misses 2-pt jump shot from 9 ft,19,16
79,1,2:07.0,Defensive rebound by D. Favors,,19,16
80,1,1:54.0,G. Hayward misses 3-pt jump shot from 27 ft,,19,16
81,1,1:53.0,,Defensive rebound by D. Jordan,19,16
82,1,1:41.0,,A. Rivers misses 2-pt jump shot from 6 ft,19,16
83,1,1:40.0,,Offensive rebound by D. Jordan,19,16
84,1,1:40.0,,D. Jordan makes 2-pt dunk at rim,19,18
85,1,1:24.0,G. Hill misses 2-pt jump shot from 11 ft,,19,18
86,1,1:22.0,,Defensive rebound by P. Pierce,19,18
87,1,1:06.0,,P. Pierce makes 3-pt jump shot from 26 ft (assist by J. Crawford),19,21
88,1,0:48.0,R. Hood misses 3-pt jump shot from 28 ft,,19,21
89,1,0:47.0,,Defensive rebound by A. Rivers,19,21
90,1,0:34.0,,A. Rivers misses 3-pt jump shot from 27 ft,19,21
91,1,0:33.0,Defensive rebound by R. Hood,,19,21
92,1,0:17.0,G. Hill misses 3-pt jump shot from 28 ft,,19,21
93,1,0:15.0,,Defensive rebound by D. Jordan,19,21
94,1,0:03.0,,J. Crawford misses 3-pt jump shot from 25 ft,19,21
95,1,0:00.0,,Offensive rebound by Team,19,21
96,2,11:37.0,R. Hood makes 2-pt jump shot from 3 ft (assist by R. Neto),,21,21
97,2,11:13.0,,B. Bass misses 2-pt jump shot from 11 ft,21,21
98,2,11:11.0,,Offensive rebound by B. Bass,21,21
99,2,11:11.0,,B. Bass makes 2-pt layup from 2 ft,21,23
100,2,11:00.0,R. Neto makes 2-pt layup from 1 ft (assist by J. Ingles),,23,23
101,2,10:49.0,,Turnover by R. Felton (lost ball; steal by D. Favors),23,23
102,2,10:38.0,D. Favors misses 2-pt layup from 2 ft,,23,23
103,2,10:35.0,,Defensive rebound by P. Pierce,23,23
104,2,10:30.0,,Shooting foul by D. Favors (drawn by J. Redick),23,23
105,2,10:30.0,,J. Redick makes free throw 1 of 2,23,24
