,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
27,1,8:29.0,Personal foul by S. Hill (drawn by K. Love),,6,13
28,1,8:23.0,Def 3 sec tech foul by B. Hield,,6,13
29,1,8:23.0,K. Irving makes technical free throw,,7,13
30,1,8:09.0,L. James misses 3-pt jump shot from 28 ft,,7,13
31,1,8:07.0,,Defensive rebound by T. Jones,7,13
32,1,7:53.0,,T. Jones makes 3-pt jump shot from 24 ft (assist by J. Holiday),7,16
33,1,7:53.0,Cleveland full timeout,,7,16
34,1,7:39.0,I. Shumpert misses 3-pt jump shot from 25 ft,,7,16
35,1,7:38.0,,Defensive rebound by T. Jones,7,16
36,1,7:26.0,,T. Jones makes 2-pt layup from 2 ft (assist by J. Holiday),7,18
37,1,7:11.0,Turnover by L. James (bad pass; steal by T. Jones),,7,18
38,1,7:04.0,,Shooting foul by K. Irving (drawn by D. Cunningham),7,18
39,1,7:04.0,,D. Cunningham misses free throw 1 of 2,7,18
40,1,7:04.0,,Offensive rebound by Team,7,18
41,1,7:04.0,,D. Cunningham makes free throw 2 of 2,7,19
42,1,6:52.0,L. James makes 2-pt jump shot from 18 ft (assist by K. Irving),,9,19
43,1,6:36.0,,J. Holiday misses 2-pt jump shot from 20 ft,9,19
44,1,6:35.0,Defensive rebound by L. James,,9,19
45,1,6:32.0,K. Love makes 2-pt layup from 1 ft (assist by L. James),,11,19
46,1,6:07.0,,D. Cunningham misses 3-pt jump shot from 25 ft,11,19
47,1,6:06.0,Defensive rebound by T. Thompson,,11,19
48,1,5:56.0,L. James misses 2-pt jump shot from 7 ft,,11,19
49,1,5:56.0,,Defensive rebound by J. Holiday,11,19
50,1,5:46.0,,S. Hill misses 2-pt layup from 3 ft,11,19
51,1,5:45.0,,Offensive rebound by T. Jones,11,19
52,1,5:44.0,,T. Jones makes 2-pt layup from 2 ft,11,21
53,1,5:25.0,K. Irving makes 3-pt jump shot from 27 ft (assist by I. Shumpert),,14,21
