,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHILADELPHIA_ACTION,BOSTON_SCORE,PHILADELPHIA_SCORE
0,1,11:39.0,,N. Stauskas misses 3-pt jump shot from 26 ft,0,0
1,1,11:36.0,Defensive rebound by A. Bradley,,0,0
2,1,11:14.0,A. Horford makes 2-pt hook shot from 6 ft,,2,0
3,1,10:56.0,,E. İlyasova misses 3-pt jump shot from 25 ft,2,0
4,1,10:55.0,Defensive rebound by A. Bradley,,2,0
5,1,10:41.0,A. Bradley misses 2-pt jump shot from 13 ft (block by N. Stauskas),,2,0
6,1,10:39.0,,Defensive rebound by E. İlyasova,2,0
7,1,10:35.0,,G. Henderson makes 2-pt layup from 1 ft (assist by S. Rodríguez),2,2
8,1,10:26.0,I. Thomas misses 2-pt jump shot from 16 ft,,2,2
9,1,10:24.0,,Defensive rebound by Team,2,2
10,1,10:03.0,,Shooting block foul by A. Johnson (drawn by J. Okafor),2,2
11,1,10:03.0,,J. Okafor makes free throw 1 of 2,2,3
12,1,10:03.0,,J. Okafor misses free throw 2 of 2,2,3
13,1,10:02.0,Defensive rebound by A. Horford,,2,3
14,1,9:50.0,A. Bradley makes 2-pt jump shot from 17 ft (assist by I. Thomas),,4,3
15,1,9:30.0,,G. Henderson makes 3-pt jump shot from 24 ft (assist by J. Okafor),4,6
16,1,9:13.0,Turnover by A. Bradley (lost ball; steal by N. Stauskas),,4,6
17,1,9:07.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by S. Rodríguez),4,9
18,1,9:07.0,Boston full timeout,,4,9
19,1,8:48.0,A. Horford makes 2-pt jump shot from 8 ft,,6,9
20,1,8:35.0,,E. İlyasova misses 2-pt layup from 1 ft (block by A. Johnson),6,9
21,1,8:32.0,,Offensive rebound by S. Rodríguez,6,9
22,1,8:26.0,,E. İlyasova misses 2-pt jump shot from 13 ft,6,9
23,1,8:25.0,Defensive rebound by A. Horford,,6,9
24,1,8:17.0,A. Johnson makes 2-pt layup from 2 ft (assist by I. Thomas),,8,9
25,1,7:56.0,,J. Okafor makes 2-pt jump shot from 6 ft,8,11
26,1,7:48.0,Shooting foul by S. Rodríguez (drawn by I. Thomas),,8,11
27,1,7:48.0,I. Thomas makes free throw 1 of 2,,9,11
28,1,7:48.0,I. Thomas makes free throw 2 of 2,,10,11
29,1,7:36.0,,J. Okafor makes 2-pt jump shot from 13 ft,10,13
30,1,7:23.0,J. Crowder misses 2-pt layup from 1 ft,,10,13
31,1,7:20.0,,Defensive rebound by G. Henderson,10,13
32,1,7:13.0,,S. Rodríguez makes 3-pt jump shot from 26 ft (assist by E. İlyasova),10,16
33,1,7:02.0,I. Thomas makes 2-pt jump shot from 11 ft (assist by J. Crowder),,12,16
34,1,6:45.0,,J. Okafor makes 2-pt layup from 1 ft,12,18
35,1,6:34.0,Turnover by I. Thomas (lost ball; steal by S. Rodríguez),,12,18
36,1,6:29.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by S. Rodríguez),12,20
37,1,6:15.0,I. Thomas misses 2-pt layup from 2 ft,,12,20
38,1,6:13.0,,Defensive rebound by J. Okafor,12,20
39,1,6:08.0,,S. Rodríguez misses 3-pt jump shot from 26 ft,12,20
40,1,6:04.0,Defensive rebound by A. Johnson,,12,20
41,1,5:45.0,A. Johnson misses 3-pt jump shot from 25 ft,,12,20
42,1,5:44.0,,Defensive rebound by E. İlyasova,12,20
43,1,5:40.0,,Philadelphia full timeout,12,20
44,1,5:40.0,J. Brown enters the game for A. Johnson,,12,20
45,1,5:40.0,M. Smart enters the game for J. Crowder,,12,20
46,1,5:40.0,K. Olynyk enters the game for A. Horford,,12,20
47,1,5:40.0,,D. Šarić enters the game for N. Stauskas,12,20
48,1,5:29.0,,E. İlyasova misses 3-pt jump shot from 26 ft,12,20
49,1,5:27.0,Defensive rebound by A. Bradley,,12,20
50,1,5:11.0,A. Bradley makes 2-pt jump shot from 18 ft,,14,20
51,1,4:55.0,,Personal foul by K. Olynyk (drawn by J. Okafor),14,20
52,1,4:55.0,,R. Holmes enters the game for J. Okafor,14,20
53,1,4:55.0,,H. Thompson enters the game for G. Henderson,14,20
54,1,4:47.0,,S. Rodríguez makes 2-pt jump shot from 16 ft,14,22
55,1,4:28.0,Turnover by K. Olynyk (3 sec),,14,22
56,1,4:17.0,,Turnover by S. Rodríguez (lost ball),14,22
57,1,4:02.0,I. Thomas makes 2-pt layup from 1 ft,,16,22
58,1,3:50.0,,Personal foul by I. Thomas (drawn by S. Rodríguez),16,22
59,1,3:50.0,,T. McConnell enters the game for S. Rodríguez,16,22
60,1,3:50.0,,N. Stauskas enters the game for E. İlyasova,16,22
61,1,3:50.0,J. Jerebko enters the game for A. Bradley,,16,22
62,1,3:34.0,,N. Stauskas misses 3-pt jump shot from 28 ft,16,22
63,1,3:34.0,,Offensive rebound by Team,16,22
64,1,3:34.0,,Turnover by Team (shot clock),16,22
65,1,3:23.0,K. Olynyk makes 2-pt layup from 1 ft (assist by I. Thomas),,18,22
66,1,3:05.0,,R. Holmes misses 3-pt jump shot from 23 ft,18,22
67,1,3:03.0,Defensive rebound by J. Jerebko,,18,22
68,1,2:44.0,I. Thomas makes 2-pt layup from 3 ft (assist by K. Olynyk),,20,22
69,1,2:32.0,,Turnover by R. Holmes (offensive foul),20,22
70,1,2:32.0,,Offensive foul by R. Holmes (drawn by K. Olynyk),20,22
71,1,2:13.0,Turnover by K. Olynyk (lost ball),,20,22
72,1,2:09.0,,Personal foul by K. Olynyk (drawn by R. Holmes),20,22
73,1,2:01.0,,D. Šarić makes 3-pt jump shot from 27 ft (assist by R. Holmes),20,25
74,1,1:42.0,Shooting foul by R. Holmes (drawn by J. Brown),,20,25
75,1,1:42.0,J. Brown makes free throw 1 of 2,,21,25
76,1,1:42.0,T. Rozier enters the game for I. Thomas,,21,25
77,1,1:42.0,A. Horford enters the game for K. Olynyk,,21,25
78,1,1:42.0,J. Brown makes free throw 2 of 2,,22,25
79,1,1:22.0,,H. Thompson misses 2-pt jump shot from 19 ft,22,25
