,QUARTER,TIME_REMAINING,DETROIT_ACTION,WASHINGTON_ACTION,DETROIT_SCORE,WASHINGTON_SCORE
0,1,11:40.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by A. Drummond),,3,0
1,1,11:24.0,,O. Porter makes 2-pt jump shot from 16 ft (assist by M. Morris),3,2
2,1,11:08.0,R. Jackson misses 2-pt jump shot from 18 ft,,3,2
3,1,11:07.0,Offensive rebound by A. Drummond,,3,2
4,1,11:00.0,M. Morris misses 3-pt jump shot from 25 ft,,3,2
5,1,10:58.0,,Defensive rebound by M. Morris,3,2
6,1,10:49.0,,J. Wall misses 2-pt jump shot from 18 ft,3,2
7,1,10:47.0,Defensive rebound by A. Drummond,,3,2
8,1,10:40.0,Turnover by K. Caldwell-Pope (bad pass),,3,2
9,1,10:25.0,,B. Beal makes 2-pt jump shot from 16 ft (assist by J. Wall),3,4
10,1,10:02.0,M. Morris misses 3-pt jump shot from 25 ft,,3,4
11,1,10:01.0,,Defensive rebound by J. Wall,3,4
12,1,9:51.0,,M. Gortat misses 2-pt jump shot from 15 ft,3,4
13,1,9:50.0,Defensive rebound by K. Caldwell-Pope,,3,4
14,1,9:39.0,R. Jackson makes 2-pt jump shot from 15 ft,,5,4
15,1,9:19.0,,J. Wall misses 2-pt jump shot from 18 ft,5,4
16,1,9:18.0,Defensive rebound by M. Morris,,5,4
17,1,9:08.0,T. Harris misses 3-pt jump shot from 26 ft,,5,4
18,1,9:07.0,,Defensive rebound by B. Beal,5,4
19,1,8:56.0,,M. Gortat makes 2-pt layup from 1 ft (assist by M. Morris),5,6
20,1,8:31.0,T. Harris makes 2-pt jump shot from 21 ft (assist by M. Morris),,7,6
21,1,8:00.0,,O. Porter makes 2-pt layup from 2 ft (assist by M. Morris),7,8
22,1,7:46.0,T. Harris misses 2-pt jump shot from 19 ft,,7,8
23,1,7:45.0,,Defensive rebound by M. Gortat,7,8
24,1,7:36.0,,B. Beal makes 2-pt jump shot from 20 ft,7,10
25,1,7:16.0,Turnover by M. Morris (bad pass; steal by M. Morris),,7,10
26,1,7:08.0,,M. Morris makes 2-pt dunk at rim (assist by O. Porter),7,12
27,1,6:59.0,Personal foul by M. Morris (drawn by A. Drummond),,7,12
28,1,6:53.0,K. Caldwell-Pope makes 2-pt jump shot from 14 ft (assist by R. Jackson),,9,12
29,1,6:53.0,Shooting foul by B. Beal (drawn by K. Caldwell-Pope),,9,12
30,1,6:53.0,K. Caldwell-Pope misses free throw 1 of 1,,9,12
31,1,6:51.0,,Defensive rebound by M. Morris,9,12
32,1,6:37.0,,Turnover by M. Morris (lost ball; steal by M. Morris),9,12
33,1,6:30.0,Shooting foul by M. Morris (drawn by R. Jackson),,9,12
34,1,6:30.0,R. Jackson misses free throw 1 of 2,,9,12
35,1,6:30.0,Offensive rebound by Team,,9,12
36,1,6:30.0,,K. Oubre enters the game for M. Morris,9,12
37,1,6:30.0,R. Jackson makes free throw 2 of 2,,10,12
38,1,6:21.0,,O. Porter misses 2-pt jump shot from 16 ft,10,12
39,1,6:20.0,Defensive rebound by A. Drummond,,10,12
40,1,6:10.0,Offensive foul by A. Drummond (drawn by J. Wall),,10,12
41,1,6:10.0,Turnover by A. Drummond (offensive foul),,10,12
42,1,5:53.0,,J. Wall misses 2-pt jump shot from 19 ft,10,12
43,1,5:52.0,Defensive rebound by A. Drummond,,10,12
44,1,5:47.0,R. Jackson misses 3-pt jump shot from 26 ft,,10,12
45,1,5:45.0,,Defensive rebound by M. Gortat,10,12
46,1,5:35.0,,O. Porter makes 2-pt layup from 2 ft (assist by J. Wall),10,14
47,1,5:30.0,Detroit full timeout,,10,14
48,1,5:30.0,J. Leuer enters the game for T. Harris,,10,14
49,1,5:30.0,I. Smith enters the game for R. Jackson,,10,14
50,1,5:11.0,I. Smith misses 3-pt jump shot from 30 ft,,10,14
51,1,5:09.0,,Defensive rebound by O. Porter,10,14
52,1,5:03.0,,J. Wall misses 2-pt layup from 2 ft,10,14
53,1,5:02.0,Defensive rebound by K. Caldwell-Pope,,10,14
54,1,4:53.0,A. Drummond misses 2-pt hook shot at rim,,10,14
55,1,4:52.0,,Defensive rebound by B. Beal,10,14
56,1,4:41.0,,B. Beal misses 3-pt jump shot from 26 ft,10,14
57,1,4:38.0,Defensive rebound by K. Caldwell-Pope,,10,14
58,1,4:30.0,J. Leuer makes 2-pt jump shot from 11 ft (assist by K. Caldwell-Pope),,12,14
59,1,4:15.0,,Personal foul by A. Drummond (drawn by J. Wall),12,14
60,1,4:15.0,,T. Burke enters the game for O. Porter,12,14
61,1,4:15.0,A. Baynes enters the game for A. Drummond,,12,14
62,1,4:06.0,,Shooting foul by A. Baynes (drawn by K. Oubre),12,14
63,1,4:06.0,,K. Oubre makes free throw 1 of 2,12,15
64,1,4:06.0,,K. Oubre misses free throw 2 of 2,12,15
65,1,4:05.0,Defensive rebound by J. Leuer,,12,15
66,1,3:47.0,Turnover by I. Smith (lost ball),,12,15
67,1,3:39.0,,T. Burke misses 3-pt jump shot from 26 ft,12,15
68,1,3:38.0,Defensive rebound by K. Caldwell-Pope,,12,15
69,1,3:31.0,I. Smith makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,14,15
70,1,3:17.0,,B. Beal misses 3-pt jump shot from 25 ft,14,15
71,1,3:15.0,Defensive rebound by K. Caldwell-Pope,,14,15
72,1,3:09.0,K. Caldwell-Pope makes 2-pt layup from 2 ft,,16,15
73,1,3:06.0,,Washington full timeout,16,15
74,1,3:06.0,,M. Thornton enters the game for B. Beal,16,15
75,1,2:56.0,,J. Wall misses 2-pt layup from 1 ft,16,15
76,1,2:55.0,Defensive rebound by J. Leuer,,16,15
77,1,2:48.0,I. Smith makes 2-pt layup from 2 ft,,18,15
78,1,2:44.0,,Personal foul by K. Caldwell-Pope (drawn by T. Burke),18,15
79,1,2:32.0,,M. Gortat misses 2-pt jump shot from 10 ft,18,15
80,1,2:29.0,Defensive rebound by J. Leuer,,18,15
81,1,2:21.0,J. Leuer makes 2-pt jump shot from 15 ft (assist by I. Smith),,20,15
82,1,2:02.0,,T. Burke makes 3-pt jump shot from 23 ft (assist by J. Wall),20,18
83,1,1:41.0,K. Caldwell-Pope makes 2-pt jump shot from 19 ft,,22,18
84,1,1:25.0,,K. Oubre misses 3-pt jump shot from 24 ft,22,18
85,1,1:23.0,,Offensive rebound by M. Gortat,22,18
86,1,1:19.0,,Shooting foul by A. Baynes (drawn by J. Wall),22,18
87,1,1:19.0,,J. Wall makes free throw 1 of 2,22,19
88,1,1:19.0,S. Johnson enters the game for K. Caldwell-Pope,,22,19
89,1,1:19.0,,J. Wall makes free throw 2 of 2,22,20
90,1,1:02.0,M. Morris misses 2-pt jump shot from 5 ft,,22,20
91,1,1:00.0,,Defensive rebound by K. Oubre,22,20
92,1,0:56.0,,J. Wall makes 3-pt jump shot from 27 ft (assist by T. Burke),22,23
93,1,0:35.0,M. Morris misses 2-pt jump shot from 7 ft,,22,23
94,1,0:34.0,Offensive rebound by A. Baynes,,22,23
95,1,0:34.0,A. Baynes makes 2-pt layup at rim,,24,23
96,1,0:29.0,,Shooting foul by A. Baynes (drawn by J. Wall),24,23
97,1,0:29.0,,J. Wall makes free throw 1 of 2,24,24
98,1,0:29.0,T. Harris enters the game for A. Baynes,,24,24
99,1,0:29.0,,J. Wall makes free throw 2 of 2,24,25
100,1,0:09.0,I. Smith misses 2-pt layup from 1 ft,,24,25
101,1,0:08.0,Offensive rebound by T. Harris,,24,25
102,1,0:07.0,Shooting foul by M. Thornton (drawn by T. Harris),,24,25
