,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PORTLAND_ACTION,SAN ANTONIO_SCORE,PORTLAND_SCORE
0,1,11:32.0,,S. Napier makes 3-pt jump shot from 25 ft (assist by P. Connaughton),0,3
1,1,11:14.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by T. Parker),,2,3
2,1,10:53.0,,Turnover by S. Napier (bad pass),2,3
3,1,10:38.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by T. Parker),,4,3
4,1,10:19.0,,M. Leonard makes 2-pt jump shot from 20 ft (assist by E. Turner),4,5
5,1,10:05.0,L. Aldridge misses 2-pt jump shot from 20 ft,,4,5
6,1,10:03.0,,Defensive rebound by S. Napier,4,5
7,1,9:52.0,,S. Napier makes 3-pt jump shot from 26 ft,4,8
8,1,9:31.0,K. Leonard makes 2-pt jump shot from 20 ft,,6,8
9,1,9:03.0,,M. Leonard makes 3-pt jump shot from 24 ft (assist by E. Turner),6,11
10,1,8:42.0,Turnover by K. Leonard (lost ball; steal by E. Turner),,6,11
11,1,8:39.0,,P. Connaughton makes 2-pt dunk at rim (assist by E. Turner),6,13
12,1,8:22.0,D. Green makes 2-pt jump shot from 18 ft (assist by T. Parker),,8,13
13,1,7:59.0,,E. Turner misses 2-pt jump shot from 7 ft (block by L. Aldridge),8,13
14,1,7:57.0,,Offensive rebound by E. Turner,8,13
15,1,7:54.0,,E. Turner misses 3-pt jump shot from 24 ft,8,13
16,1,7:54.0,,Offensive rebound by N. Vonleh,8,13
17,1,7:49.0,,P. Connaughton makes 3-pt jump shot from 26 ft (assist by N. Vonleh),8,16
18,1,7:34.0,Shooting foul by S. Napier (drawn by D. Dedmon),,8,16
19,1,7:34.0,D. Dedmon makes free throw 1 of 2,,9,16
20,1,7:34.0,D. Dedmon misses free throw 2 of 2,,9,16
21,1,7:33.0,,Defensive rebound by M. Leonard,9,16
22,1,7:13.0,,S. Napier misses 2-pt jump shot from 22 ft,9,16
23,1,7:11.0,Defensive rebound by D. Green,,9,16
24,1,6:56.0,D. Green misses 3-pt jump shot from 26 ft,,9,16
25,1,6:55.0,Offensive rebound by D. Dedmon,,9,16
26,1,6:43.0,L. Aldridge misses 2-pt jump shot from 18 ft,,9,16
27,1,6:42.0,Offensive rebound by D. Dedmon,,9,16
28,1,6:33.0,T. Parker makes 2-pt jump shot from 20 ft,,11,16
29,1,6:12.0,,N. Vonleh misses 2-pt layup from 1 ft (block by D. Green),11,16
30,1,6:11.0,,Offensive rebound by N. Vonleh,11,16
31,1,6:11.0,,N. Vonleh makes 2-pt layup from 1 ft,11,18
32,1,6:00.0,T. Parker makes 2-pt jump shot from 16 ft,,13,18
33,1,5:41.0,,S. Napier misses 2-pt jump shot from 19 ft,13,18
34,1,5:40.0,,Offensive rebound by N. Vonleh,13,18
35,1,5:32.0,Violation by D. Dedmon (def goaltending),,13,18
36,1,5:32.0,,M. Leonard makes 2-pt layup from 2 ft (assist by E. Turner),13,20
37,1,5:32.0,San Antonio full timeout,,13,20
38,1,5:32.0,P. Gasol enters the game for D. Dedmon,,13,20
39,1,5:32.0,,J. Layman enters the game for E. Turner,13,20
40,1,5:32.0,,T. Quarterman enters the game for P. Connaughton,13,20
41,1,5:32.0,P. Mills enters the game for T. Parker,,13,20
42,1,5:18.0,K. Leonard makes 2-pt jump shot from 7 ft,,15,20
43,1,5:18.0,Shooting foul by M. Leonard (drawn by K. Leonard),,15,20
44,1,5:18.0,M. Ginóbili enters the game for D. Green,,15,20
45,1,5:18.0,K. Leonard makes free throw 1 of 1,,16,20
46,1,5:02.0,,Shooting foul by P. Mills (drawn by S. Napier),16,20
47,1,5:02.0,,S. Napier makes free throw 1 of 2,16,21
48,1,5:02.0,D. Lee enters the game for L. Aldridge,,16,21
49,1,5:02.0,,A. Aminu enters the game for M. Leonard,16,21
50,1,5:02.0,,S. Napier makes free throw 2 of 2,16,22
51,1,4:52.0,Turnover by M. Ginóbili (bad pass),,16,22
52,1,4:29.0,,T. Quarterman misses 3-pt jump shot from 24 ft,16,22
53,1,4:27.0,Defensive rebound by Team,,16,22
54,1,4:12.0,K. Leonard misses 2-pt layup from 1 ft,,16,22
55,1,4:12.0,Offensive rebound by Team,,16,22
56,1,4:09.0,M. Ginóbili misses 2-pt jump shot from 10 ft,,16,22
57,1,4:08.0,Offensive rebound by D. Lee,,16,22
58,1,4:08.0,Shooting foul by A. Aminu (drawn by D. Lee),,16,22
59,1,4:08.0,D. Lee makes free throw 1 of 2,,17,22
60,1,4:08.0,D. Lee misses free throw 2 of 2,,17,22
61,1,4:08.0,K. Anderson enters the game for K. Leonard,,17,22
62,1,4:06.0,Offensive rebound by P. Gasol,,17,22
63,1,4:05.0,P. Gasol misses 2-pt layup from 1 ft,,17,22
64,1,4:04.0,,Defensive rebound by N. Vonleh,17,22
65,1,3:47.0,,J. Layman misses 3-pt jump shot from 24 ft,17,22
66,1,3:46.0,Defensive rebound by P. Gasol,,17,22
67,1,3:35.0,P. Gasol misses 2-pt jump shot from 23 ft,,17,22
68,1,3:34.0,Offensive rebound by K. Anderson,,17,22
69,1,3:34.0,K. Anderson makes 2-pt layup from 1 ft,,19,22
70,1,3:12.0,,S. Napier misses 2-pt jump shot from 15 ft,19,22
71,1,3:11.0,Defensive rebound by P. Mills,,19,22
72,1,3:00.0,D. Lee makes 2-pt layup from 1 ft (assist by P. Gasol),,21,22
73,1,3:00.0,,Portland full timeout,21,22
74,1,3:00.0,,M. Leonard enters the game for N. Vonleh,21,22
75,1,2:35.0,,J. Layman misses 2-pt jump shot from 23 ft,21,22
76,1,2:35.0,Defensive rebound by K. Anderson,,21,22
77,1,2:18.0,P. Gasol makes 2-pt jump shot from 14 ft (assist by P. Mills),,23,22
78,1,1:54.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by S. Napier),23,25
79,1,1:38.0,,E. Turner enters the game for S. Napier,23,25
80,1,1:30.0,P. Gasol misses 2-pt hook shot from 6 ft,,23,25
81,1,1:29.0,,Defensive rebound by T. Quarterman,23,25
82,1,1:22.0,,M. Leonard makes 3-pt jump shot from 24 ft (assist by E. Turner),23,28
83,1,1:09.0,P. Gasol misses 2-pt layup from 2 ft,,23,28
84,1,1:08.0,Offensive rebound by D. Lee,,23,28
85,1,1:08.0,D. Lee misses 2-pt layup from 1 ft,,23,28
86,1,1:06.0,,Defensive rebound by M. Leonard,23,28
87,1,0:58.0,,E. Turner misses 2-pt layup from 2 ft,23,28
88,1,0:57.0,Defensive rebound by P. Gasol,,23,28
89,1,0:50.0,M. Ginóbili makes 3-pt jump shot from 24 ft,,26,28
90,1,0:34.0,,M. Leonard makes 3-pt jump shot from 25 ft (assist by E. Turner),26,31
91,1,0:31.0,Personal foul by E. Turner (drawn by M. Ginóbili),,26,31
92,1,0:25.0,Turnover by P. Mills (bad pass),,26,31
93,1,0:06.0,,M. Leonard misses 2-pt hook shot from 5 ft,26,31
94,1,0:05.0,Defensive rebound by P. Gasol,,26,31
95,1,0:01.0,P. Mills makes 2-pt layup from 1 ft (assist by M. Ginóbili),,28,31
96,1,0:00.0,,A. Aminu misses 3-pt jump shot from 51 ft,28,31
97,1,0:00.0,,Offensive rebound by Team,28,31
98,2,11:48.0,Turnover by M. Ginóbili (bad pass; steal by M. Leonard),,28,31
99,2,11:39.0,,Turnover by E. Turner (lost ball; steal by K. Anderson),28,31
100,2,11:28.0,P. Gasol misses 2-pt layup from 3 ft,,28,31
101,2,11:27.0,,Defensive rebound by E. Turner,28,31
102,2,11:22.0,,P. Connaughton misses 3-pt jump shot from 25 ft,28,31
103,2,11:22.0,Defensive rebound by P. Gasol,,28,31
104,2,11:14.0,P. Mills misses 2-pt jump shot from 20 ft,,28,31
105,2,11:13.0,,Defensive rebound by P. Connaughton,28,31
106,2,10:58.0,,J. Layman misses 2-pt layup from 2 ft,28,31
107,2,10:58.0,Defensive rebound by P. Gasol,,28,31
108,2,10:47.0,P. Gasol misses 2-pt jump shot from 22 ft,,28,31
109,2,10:47.0,Offensive rebound by D. Lee,,28,31
110,2,10:43.0,D. Lee misses 2-pt jump shot from 8 ft (block by A. Aminu),,28,31
111,2,10:43.0,D. Green enters the game for P. Mills,,28,31
112,2,10:43.0,L. Aldridge enters the game for P. Gasol,,28,31
113,2,10:43.0,T. Parker enters the game for M. Ginóbili,,28,31
114,2,10:37.0,,Offensive rebound by Team,28,31
115,2,10:32.0,,E. Turner misses 2-pt layup from 2 ft,28,31
116,2,10:32.0,Defensive rebound by T. Parker,,28,31
117,2,10:22.0,D. Green misses 3-pt jump shot from 25 ft,,28,31
118,2,10:22.0,,Defensive rebound by M. Leonard,28,31
119,2,10:13.0,,J. Layman misses 2-pt jump shot from 10 ft,28,31
120,2,10:13.0,Defensive rebound by D. Green,,28,31
121,2,10:05.0,T. Parker misses 2-pt layup from 2 ft,,28,31
122,2,10:04.0,,Defensive rebound by E. Turner,28,31
123,2,9:47.0,,P. Connaughton misses 2-pt jump shot from 18 ft,28,31
124,2,9:45.0,Defensive rebound by D. Green,,28,31
125,2,9:43.0,Shooting foul by E. Turner (drawn by T. Parker),,28,31
126,2,9:43.0,T. Parker makes free throw 1 of 2,,29,31
127,2,9:43.0,D. Bertāns enters the game for D. Lee,,29,31
128,2,9:43.0,T. Parker makes free throw 2 of 2,,30,31
129,2,9:25.0,,E. Turner misses 2-pt jump shot from 11 ft,30,31
130,2,9:24.0,Defensive rebound by L. Aldridge,,30,31
131,2,9:16.0,T. Parker misses 2-pt layup from 1 ft,,30,31
132,2,9:16.0,,Defensive rebound by A. Aminu,30,31
133,2,9:04.0,,J. Layman misses 3-pt jump shot from 24 ft,30,31
134,2,9:03.0,Defensive rebound by L. Aldridge,,30,31
135,2,8:53.0,L. Aldridge misses 3-pt jump shot from 24 ft,,30,31
136,2,8:52.0,Offensive rebound by D. Bertāns,,30,31
137,2,8:37.0,K. Anderson misses 3-pt jump shot from 23 ft,,30,31
138,2,8:36.0,,Defensive rebound by P. Connaughton,30,31
139,2,8:13.0,,J. Layman misses 2-pt jump shot from 18 ft,30,31
140,2,8:13.0,Defensive rebound by T. Parker,,30,31
141,2,7:56.0,Turnover by K. Anderson (back court),,30,31
142,2,7:56.0,Official timeout,,30,31
143,2,7:56.0,,S. Napier enters the game for J. Layman,30,31
144,2,7:56.0,K. Leonard enters the game for K. Anderson,,30,31
145,2,7:34.0,,E. Turner misses 2-pt jump shot from 20 ft,30,31
146,2,7:32.0,,Offensive rebound by S. Napier,30,31
147,2,7:14.0,,S. Napier misses 2-pt jump shot from 15 ft,30,31
148,2,7:13.0,Defensive rebound by D. Green,,30,31
149,2,7:03.0,K. Leonard misses 3-pt jump shot from 24 ft,,30,31
150,2,7:02.0,,Defensive rebound by M. Leonard,30,31
151,2,6:55.0,,E. Turner makes 2-pt layup from 2 ft,30,33
152,2,6:55.0,,Shooting foul by D. Bertāns (drawn by E. Turner),30,33
153,2,6:55.0,,N. Vonleh enters the game for M. Leonard,30,33
154,2,6:55.0,,E. Turner makes free throw 1 of 1,30,34
155,2,6:39.0,K. Leonard makes 2-pt jump shot from 19 ft (assist by D. Bertāns),,32,34
156,2,6:18.0,,S. Napier makes 2-pt jump shot from 20 ft,32,36
157,2,6:00.0,K. Leonard misses 2-pt hook shot from 8 ft,,32,36
158,2,5:59.0,,Defensive rebound by N. Vonleh,32,36
159,2,5:44.0,,N. Vonleh makes 2-pt hook shot from 4 ft (assist by S. Napier),32,38
160,2,5:28.0,D. Bertāns misses 3-pt jump shot from 26 ft,,32,38
161,2,5:26.0,,Defensive rebound by P. Connaughton,32,38
162,2,5:18.0,,A. Aminu misses 3-pt jump shot from 23 ft,32,38
163,2,5:16.0,Defensive rebound by L. Aldridge,,32,38
164,2,5:08.0,Shooting foul by N. Vonleh (drawn by L. Aldridge),,32,38
165,2,5:08.0,,Portland full timeout,32,38
166,2,5:08.0,L. Aldridge makes free throw 1 of 2,,33,38
