,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA CLIPPERS_ACTION,BOSTON_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by C. Paul),0,3
1,1,11:27.0,Shooting foul by B. Griffin (drawn by A. Johnson),,0,3
2,1,11:27.0,A. Johnson makes free throw 1 of 2,,1,3
3,1,11:27.0,A. Johnson misses free throw 2 of 2,,1,3
4,1,11:26.0,,Defensive rebound by Team,1,3
5,1,11:09.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),1,5
6,1,10:50.0,A. Bradley misses 3-pt jump shot from 27 ft,,1,5
7,1,10:49.0,,Defensive rebound by D. Jordan,1,5
8,1,10:40.0,,C. Paul makes 2-pt jump shot from 18 ft,1,7
9,1,10:24.0,I. Thomas makes 3-pt jump shot from 25 ft,,4,7
10,1,10:21.0,,Personal foul by I. Thomas (drawn by L. Mbah a Moute),4,7
11,1,10:05.0,,L. Mbah a Moute misses 2-pt jump shot from 4 ft,4,7
12,1,10:05.0,,Offensive rebound by D. Jordan,4,7
13,1,10:05.0,,Shooting foul by A. Johnson (drawn by D. Jordan),4,7
14,1,10:05.0,,D. Jordan misses free throw 1 of 2,4,7
15,1,10:05.0,,Offensive rebound by Team,4,7
16,1,10:05.0,,D. Jordan misses free throw 2 of 2,4,7
17,1,10:02.0,Defensive rebound by J. Brown,,4,7
18,1,9:39.0,J. Brown misses 3-pt jump shot from 25 ft,,4,7
19,1,9:35.0,,Defensive rebound by B. Griffin,4,7
20,1,9:21.0,,C. Paul misses 2-pt jump shot from 17 ft,4,7
21,1,9:19.0,,Offensive rebound by Team,4,7
22,1,9:17.0,,Shooting foul by I. Thomas (drawn by C. Paul),4,7
23,1,9:17.0,,C. Paul makes free throw 1 of 3,4,8
24,1,9:17.0,,C. Paul misses free throw 2 of 3,4,8
25,1,9:17.0,,Offensive rebound by Team,4,8
26,1,9:17.0,,C. Paul misses free throw 3 of 3,4,8
27,1,9:16.0,Defensive rebound by J. Brown,,4,8
28,1,8:58.0,I. Thomas misses 2-pt jump shot from 16 ft,,4,8
29,1,8:56.0,,Defensive rebound by B. Griffin,4,8
30,1,8:50.0,,Turnover by C. Paul (lost ball; steal by A. Johnson),4,8
31,1,8:49.0,Personal foul by C. Paul (drawn by J. Brown),,4,8
32,1,8:32.0,Shooting foul by J. Redick (drawn by J. Crowder),,4,8
33,1,8:32.0,J. Crowder makes free throw 1 of 2,,5,8
34,1,8:32.0,J. Crowder makes free throw 2 of 2,,6,8
35,1,8:20.0,,J. Redick misses 2-pt jump shot from 18 ft,6,8
36,1,8:19.0,Defensive rebound by A. Bradley,,6,8
37,1,7:57.0,J. Crowder misses 3-pt jump shot from 26 ft,,6,8
38,1,7:56.0,,Defensive rebound by D. Jordan,6,8
39,1,7:37.0,,B. Griffin misses 2-pt layup from 3 ft,6,8
40,1,7:35.0,Defensive rebound by J. Crowder,,6,8
41,1,7:32.0,A. Johnson makes 2-pt layup from 2 ft (assist by I. Thomas),,8,8
42,1,7:29.0,,Turnover by C. Paul (bad pass),8,8
43,1,7:20.0,I. Thomas misses 2-pt jump shot from 19 ft,,8,8
44,1,7:16.0,,Defensive rebound by J. Redick,8,8
45,1,7:01.0,,L. Mbah a Moute makes 2-pt jump shot from 21 ft (assist by B. Griffin),8,10
46,1,6:49.0,A. Johnson makes 2-pt layup from 2 ft (assist by J. Brown),,10,10
47,1,6:49.0,,Offensive foul by J. Redick (drawn by J. Brown),10,10
48,1,6:49.0,,Turnover by J. Redick (offensive foul),10,10
49,1,6:24.0,A. Bradley makes 3-pt jump shot from 26 ft (assist by J. Brown),,13,10
50,1,6:10.0,,B. Griffin makes 2-pt jump shot from 19 ft (assist by L. Mbah a Moute),13,12
51,1,5:54.0,J. Brown misses 2-pt layup from 3 ft,,13,12
52,1,5:49.0,,Defensive rebound by L. Mbah a Moute,13,12
53,1,5:39.0,,B. Griffin makes 2-pt hook shot from 7 ft,13,14
54,1,5:16.0,Turnover by I. Thomas (bad pass),,13,14
55,1,5:16.0,,LA Clippers full timeout,13,14
56,1,5:16.0,M. Smart enters the game for J. Brown,,13,14
57,1,5:16.0,K. Olynyk enters the game for A. Bradley,,13,14
58,1,5:16.0,,A. Rivers enters the game for J. Redick,13,14
59,1,5:00.0,,Turnover by B. Griffin (lost ball; steal by A. Johnson),13,14
60,1,4:56.0,I. Thomas makes 2-pt layup from 2 ft (assist by M. Smart),,15,14
61,1,4:29.0,,B. Griffin misses 3-pt jump shot from 25 ft,15,14
62,1,4:28.0,Defensive rebound by M. Smart,,15,14
63,1,4:20.0,K. Olynyk misses 3-pt jump shot from 25 ft,,15,14
64,1,4:19.0,,Defensive rebound by B. Griffin,15,14
65,1,4:05.0,,C. Paul makes 2-pt jump shot from 17 ft,15,16
66,1,3:56.0,I. Thomas makes 2-pt layup from 2 ft,,17,16
67,1,3:36.0,,C. Paul makes 2-pt jump shot from 11 ft (assist by B. Griffin),17,18
68,1,3:20.0,J. Crowder misses 3-pt jump shot from 26 ft,,17,18
69,1,3:18.0,,Defensive rebound by C. Paul,17,18
70,1,3:07.0,,Shooting foul by K. Olynyk (drawn by B. Griffin),17,18
