,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ORLANDO_ACTION,CHARLOTTE_SCORE,ORLANDO_SCORE
0,1,11:43.0,,S. Ibaka makes 2-pt jump shot from 13 ft (assist by D. Augustin),0,2
1,1,11:22.0,M. Kidd-Gilchrist makes 2-pt jump shot from 8 ft,,2,2
2,1,11:10.0,,J. Meeks misses 3-pt jump shot from 26 ft,2,2
3,1,11:09.0,,Offensive rebound by A. Gordon,2,2
4,1,10:53.0,,B. Biyombo misses 2-pt jump shot from 15 ft,2,2
5,1,10:52.0,Defensive rebound by K. Walker,,2,2
6,1,10:38.0,C. Zeller makes 2-pt dunk at rim (assist by M. Kidd-Gilchrist),,4,2
7,1,10:17.0,,S. Ibaka misses 2-pt jump shot from 14 ft,4,2
8,1,10:16.0,Defensive rebound by M. Williams,,4,2
9,1,10:08.0,Turnover by N. Batum (bad pass; steal by J. Meeks),,4,2
10,1,9:48.0,,A. Gordon misses 3-pt jump shot from 26 ft,4,2
11,1,9:47.0,Defensive rebound by M. Kidd-Gilchrist,,4,2
12,1,9:30.0,Turnover by K. Walker (bad pass),,4,2
13,1,9:16.0,,Shooting foul by K. Walker (drawn by D. Augustin),4,2
14,1,9:16.0,,D. Augustin makes free throw 1 of 2,4,3
15,1,9:16.0,,D. Augustin makes free throw 2 of 2,4,4
16,1,9:06.0,K. Walker makes 2-pt jump shot from 19 ft,,6,4
17,1,8:50.0,,Turnover by D. Augustin (bad pass; steal by M. Kidd-Gilchrist),6,4
18,1,8:47.0,Shooting foul by A. Gordon (drawn by M. Kidd-Gilchrist),,6,4
19,1,8:47.0,M. Kidd-Gilchrist makes free throw 1 of 2,,7,4
20,1,8:47.0,M. Kidd-Gilchrist makes free throw 2 of 2,,8,4
21,1,8:32.0,,Turnover by D. Augustin (lost ball),8,4
22,1,8:21.0,C. Zeller makes 2-pt dunk at rim (assist by K. Walker),,10,4
23,1,8:03.0,,S. Ibaka makes 2-pt jump shot from 11 ft,10,6
24,1,7:50.0,K. Walker makes 2-pt layup from 3 ft,,12,6
25,1,7:29.0,,B. Biyombo makes 2-pt dunk at rim (assist by S. Ibaka),12,8
26,1,7:15.0,C. Zeller makes 2-pt layup from 2 ft,,14,8
27,1,7:02.0,,D. Augustin makes 2-pt jump shot from 7 ft,14,10
28,1,6:51.0,K. Walker misses 3-pt jump shot from 25 ft,,14,10
29,1,6:49.0,,Defensive rebound by A. Gordon,14,10
30,1,6:36.0,,S. Ibaka makes 2-pt hook shot from 12 ft (assist by D. Augustin),14,12
31,1,6:22.0,N. Batum misses 2-pt jump shot from 15 ft,,14,12
32,1,6:21.0,Offensive rebound by C. Zeller,,14,12
33,1,6:13.0,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Walker),,17,12
34,1,5:50.0,,S. Ibaka makes 2-pt jump shot from 13 ft,17,14
35,1,5:35.0,N. Batum makes 2-pt jump shot from 19 ft,,19,14
36,1,5:28.0,,Orlando full timeout,19,14
37,1,5:28.0,J. Lamb enters the game for M. Kidd-Gilchrist,,19,14
38,1,5:12.0,,Personal foul by M. Williams (drawn by B. Biyombo),19,14
39,1,5:10.0,,Offensive foul by B. Biyombo (drawn by J. Lamb),19,14
40,1,5:10.0,,Turnover by B. Biyombo (offensive foul),19,14
41,1,5:10.0,,N. Vučević enters the game for B. Biyombo,19,14
42,1,5:10.0,,E. Payton enters the game for D. Augustin,19,14
43,1,4:58.0,N. Batum misses 3-pt jump shot from 26 ft,,19,14
44,1,4:57.0,,Defensive rebound by J. Meeks,19,14
45,1,4:49.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by E. Payton),19,17
46,1,4:28.0,C. Zeller misses 2-pt layup from 2 ft,,19,17
47,1,4:27.0,,Defensive rebound by N. Vučević,19,17
48,1,4:19.0,,J. Meeks makes 2-pt layup from 2 ft (assist by E. Payton),19,19
49,1,3:58.0,K. Walker makes 3-pt jump shot from 25 ft,,22,19
50,1,3:35.0,,J. Meeks makes 3-pt jump shot from 25 ft (assist by N. Vučević),22,22
51,1,3:27.0,Charlotte full timeout,,22,22
52,1,3:27.0,R. Sessions enters the game for M. Williams,,22,22
53,1,3:27.0,F. Kaminsky enters the game for K. Walker,,22,22
54,1,3:27.0,,J. Green enters the game for A. Gordon,22,22
55,1,3:13.0,C. Zeller misses 2-pt layup from 2 ft (block by S. Ibaka),,22,22
56,1,3:10.0,,Defensive rebound by N. Vučević,22,22
57,1,3:04.0,,S. Ibaka makes 2-pt layup from 3 ft (assist by J. Meeks),22,24
58,1,2:52.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,22,24
59,1,2:50.0,,Defensive rebound by S. Ibaka,22,24
60,1,2:39.0,,Turnover by N. Vučević (bad pass; steal by R. Sessions),22,24
61,1,2:29.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by N. Batum),,25,24
62,1,2:10.0,,J. Meeks makes 2-pt jump shot from 14 ft (assist by S. Ibaka),25,26
63,1,1:52.0,F. Kaminsky misses 2-pt jump shot from 8 ft,,25,26
64,1,1:51.0,,Defensive rebound by S. Ibaka,25,26
65,1,1:41.0,,Turnover by E. Payton (bad pass; steal by F. Kaminsky),25,26
66,1,1:36.0,F. Kaminsky misses 2-pt layup from 2 ft (block by S. Ibaka),,25,26
67,1,1:33.0,Offensive rebound by C. Zeller,,25,26
68,1,1:24.0,R. Sessions makes 2-pt jump shot from 17 ft,,27,26
69,1,1:08.0,,E. Payton misses 2-pt jump shot from 10 ft,27,26
70,1,1:06.0,Defensive rebound by N. Batum,,27,26
71,1,1:00.0,N. Batum makes 2-pt layup from 3 ft,,29,26
72,1,0:45.0,,N. Vučević misses 2-pt jump shot from 19 ft,29,26
73,1,0:44.0,Defensive rebound by J. Lamb,,29,26
74,1,0:37.0,J. Lamb makes 2-pt jump shot from 6 ft (assist by N. Batum),,31,26
75,1,0:37.0,Shooting foul by N. Vučević (drawn by J. Lamb),,31,26
76,1,0:37.0,R. Hibbert enters the game for C. Zeller,,31,26
77,1,0:37.0,J. Lamb makes free throw 1 of 1,,32,26
78,1,0:20.0,,S. Ibaka makes 2-pt dunk at rim (assist by N. Vučević),32,28
79,1,0:00.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,32,28
80,1,0:00.0,Offensive rebound by Team,,32,28
81,2,11:43.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by R. Sessions),,35,28
82,2,11:30.0,,J. Green misses 3-pt jump shot from 25 ft,35,28
83,2,11:29.0,Defensive rebound by R. Hibbert,,35,28
84,2,11:14.0,M. Kidd-Gilchrist misses 2-pt hook shot from 8 ft,,35,28
85,2,11:12.0,Offensive rebound by M. Kidd-Gilchrist,,35,28
86,2,11:11.0,R. Hibbert makes 2-pt dunk at rim (assist by M. Kidd-Gilchrist),,37,28
87,2,10:58.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by C. Watson),37,30
88,2,10:41.0,R. Sessions makes 2-pt jump shot from 16 ft,,39,30
89,2,10:22.0,,N. Vučević makes 2-pt jump shot from 11 ft,39,32
90,2,10:07.0,R. Sessions misses 2-pt jump shot from 11 ft,,39,32
91,2,10:06.0,,Defensive rebound by E. Payton,39,32
92,2,9:56.0,,Shooting foul by R. Hibbert (drawn by J. Green),39,32
93,2,9:56.0,,J. Green makes free throw 1 of 2,39,33
