,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHILADELPHIA_ACTION,ORLANDO_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,N. Vučević misses 2-pt jump shot from 16 ft,,0,0
1,1,11:42.0,,Defensive rebound by R. Covington,0,0
2,1,11:30.0,,G. Henderson misses 2-pt layup from 2 ft,0,0
3,1,11:30.0,Defensive rebound by E. Fournier,,0,0
4,1,11:23.0,A. Gordon misses 2-pt jump shot from 7 ft (block by R. Covington),,0,0
5,1,11:21.0,,Defensive rebound by R. Covington,0,0
6,1,11:13.0,,D. Šarić misses 2-pt jump shot from 5 ft,0,0
7,1,11:11.0,,Offensive rebound by J. Embiid,0,0
8,1,11:10.0,,J. Embiid misses 2-pt jump shot from 3 ft,0,0
9,1,11:08.0,,Offensive rebound by G. Henderson,0,0
10,1,11:06.0,,G. Henderson misses 2-pt jump shot from 11 ft,0,0
11,1,11:04.0,Defensive rebound by S. Ibaka,,0,0
12,1,10:49.0,A. Gordon misses 3-pt jump shot from 25 ft,,0,0
13,1,10:48.0,,Defensive rebound by S. Rodríguez,0,0
14,1,10:32.0,,R. Covington misses 2-pt layup from 2 ft,0,0
15,1,10:31.0,,Offensive rebound by Team,0,0
16,1,10:17.0,,S. Rodríguez makes 3-pt jump shot from 24 ft (assist by J. Embiid),0,3
17,1,10:02.0,Turnover by E. Fournier (bad pass),,0,3
18,1,9:51.0,,J. Embiid misses 2-pt dunk at rim,0,3
19,1,9:50.0,,Offensive rebound by Team,0,3
20,1,9:44.0,,G. Henderson makes 2-pt layup at rim,0,5
21,1,9:44.0,,Shooting foul by N. Vučević (drawn by G. Henderson),0,5
22,1,9:44.0,,G. Henderson makes free throw 1 of 1,0,6
23,1,9:24.0,E. Fournier misses 3-pt jump shot from 28 ft,,0,6
24,1,9:23.0,,Defensive rebound by D. Šarić,0,6
25,1,9:03.0,,S. Rodríguez makes 2-pt jump shot from 20 ft,0,8
26,1,8:37.0,Turnover by E. Payton (bad pass; steal by R. Covington),,0,8
27,1,8:31.0,,G. Henderson makes 2-pt jump shot from 4 ft (assist by R. Covington),0,10
28,1,8:30.0,Orlando full timeout,,0,10
29,1,8:30.0,,N. Stauskas enters the game for R. Covington,0,10
30,1,8:30.0,,R. Holmes enters the game for J. Embiid,0,10
31,1,8:14.0,S. Ibaka misses 2-pt hook shot from 6 ft,,0,10
32,1,8:11.0,Offensive rebound by A. Gordon,,0,10
33,1,8:10.0,A. Gordon makes 2-pt layup from 2 ft,,2,10
34,1,7:57.0,,G. Henderson makes 2-pt dunk at rim (assist by R. Holmes),2,12
35,1,7:43.0,E. Payton misses 3-pt jump shot from 25 ft,,2,12
36,1,7:42.0,,Defensive rebound by G. Henderson,2,12
37,1,7:30.0,,G. Henderson makes 2-pt layup from 1 ft (assist by S. Rodríguez),2,14
38,1,7:25.0,E. Fournier misses 2-pt layup from 3 ft,,2,14
39,1,7:24.0,,Defensive rebound by R. Holmes,2,14
40,1,7:05.0,,R. Holmes misses 2-pt jump shot from 10 ft,2,14
41,1,7:03.0,Defensive rebound by E. Fournier,,2,14
42,1,6:59.0,E. Fournier misses 2-pt layup from 2 ft (block by R. Holmes),,2,14
43,1,6:59.0,Offensive rebound by Team,,2,14
44,1,6:49.0,A. Gordon misses 2-pt layup from 1 ft,,2,14
45,1,6:48.0,Offensive rebound by N. Vučević,,2,14
46,1,6:46.0,N. Vučević makes 2-pt jump shot from 7 ft,,4,14
47,1,6:33.0,,Turnover by R. Holmes (lost ball; steal by A. Gordon),4,14
48,1,6:29.0,S. Ibaka makes 2-pt layup from 2 ft (assist by A. Gordon),,6,14
49,1,6:11.0,,D. Šarić misses 2-pt layup from 1 ft,6,14
50,1,6:09.0,Defensive rebound by N. Vučević,,6,14
51,1,6:04.0,S. Ibaka makes 2-pt dunk at rim (assist by E. Fournier),,8,14
52,1,5:40.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by S. Rodríguez),8,17
53,1,5:19.0,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),,10,17
54,1,5:19.0,Shooting foul by N. Stauskas (drawn by N. Vučević),,10,17
55,1,5:19.0,,R. Covington enters the game for D. Šarić,10,17
