,QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
0,1,11:48.0,G. Hill makes 2-pt layup at rim (assist by R. Gobert),,2,0
1,1,11:29.0,,Turnover by A. Wiggins (bad pass; steal by G. Hill),2,0
2,1,11:22.0,G. Hayward makes 2-pt jump shot from 15 ft (assist by G. Hill),,4,0
3,1,11:22.0,Shooting foul by R. Rubio (drawn by G. Hayward),,4,0
4,1,11:22.0,G. Hayward makes free throw 1 of 1,,5,0
5,1,11:13.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by R. Rubio),5,3
6,1,10:58.0,Offensive foul by G. Hayward (drawn by R. Rubio),,5,3
7,1,10:58.0,Turnover by G. Hayward (offensive foul),,5,3
8,1,10:48.0,,G. Dieng misses 2-pt jump shot from 6 ft,5,3
9,1,10:46.0,Defensive rebound by R. Hood,,5,3
10,1,10:38.0,Turnover by G. Hill (bad pass),,5,3
11,1,10:26.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by G. Dieng),5,5
12,1,10:26.0,,Shooting foul by R. Hood (drawn by Z. LaVine),5,5
13,1,10:26.0,,Z. LaVine makes free throw 1 of 1,5,6
14,1,10:07.0,D. Favors makes 2-pt layup at rim (assist by R. Hood),,7,6
15,1,9:52.0,,A. Wiggins misses 2-pt jump shot from 17 ft,7,6
16,1,9:51.0,Defensive rebound by R. Gobert,,7,6
17,1,9:42.0,G. Hill misses 2-pt jump shot from 15 ft,,7,6
18,1,9:40.0,Offensive rebound by R. Gobert,,7,6
19,1,9:21.0,D. Favors misses 2-pt jump shot from 16 ft,,7,6
20,1,9:20.0,,Defensive rebound by G. Dieng,7,6
21,1,9:07.0,,K. Towns misses 2-pt layup from 1 ft (block by D. Favors),7,6
22,1,9:06.0,Defensive rebound by D. Favors,,7,6
23,1,8:53.0,Shooting foul by R. Rubio (drawn by G. Hayward),,7,6
24,1,8:53.0,G. Hayward makes free throw 1 of 2,,8,6
25,1,8:53.0,G. Hayward makes free throw 2 of 2,,9,6
26,1,8:49.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),9,8
27,1,8:49.0,,Shooting foul by R. Hood (drawn by A. Wiggins),9,8
28,1,8:49.0,J. Ingles enters the game for R. Hood,,9,8
29,1,8:49.0,,A. Wiggins makes free throw 1 of 1,9,9
30,1,8:27.0,Turnover by J. Ingles (traveling),,9,9
