,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,OKLAHOMA CITY_ACTION,NEW ORLEANS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:49.0,Turnover by J. Holiday (traveling),,0,0
1,1,11:38.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by R. Westbrook),0,2
2,1,11:28.0,Personal foul by S. Adams (drawn by D. Cousins),,0,2
3,1,11:28.0,,Technical foul by S. Adams,0,2
4,1,11:28.0,Technical foul by D. Cousins,,0,2
5,1,11:19.0,A. Davis makes 2-pt jump shot from 6 ft (assist by D. Cousins),,2,2
6,1,11:19.0,Shooting foul by D. Sabonis (drawn by A. Davis),,2,2
7,1,11:19.0,A. Davis makes free throw 1 of 1,,3,2
8,1,11:00.0,,S. Adams makes 2-pt layup from 2 ft,3,4
9,1,11:00.0,,Shooting foul by D. Cousins (drawn by S. Adams),3,4
10,1,11:00.0,,S. Adams misses free throw 1 of 1,3,4
11,1,10:59.0,Defensive rebound by D. Cousins,,3,4
12,1,10:43.0,A. Davis makes 2-pt jump shot from 19 ft (assist by D. Cousins),,5,4
13,1,10:28.0,,S. Adams misses 2-pt hook shot from 9 ft,5,4
14,1,10:27.0,,Offensive rebound by S. Adams,5,4
15,1,10:25.0,,Personal foul by D. Cousins (drawn by D. Sabonis),5,4
16,1,10:25.0,D. Motiejūnas enters the game for D. Cousins,,5,4
17,1,10:14.0,,D. Sabonis misses 3-pt jump shot from 26 ft,5,4
18,1,10:13.0,,Offensive rebound by S. Adams,5,4
19,1,10:13.0,,S. Adams makes 2-pt dunk at rim,5,6
20,1,9:52.0,A. Davis misses 2-pt jump shot from 17 ft,,5,6
21,1,9:52.0,,Defensive rebound by A. Roberson,5,6
22,1,9:38.0,,Turnover by R. Westbrook (bad pass; steal by J. Holiday),5,6
23,1,9:31.0,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),,7,6
24,1,9:12.0,,R. Westbrook misses 2-pt jump shot from 17 ft,7,6
25,1,9:12.0,Defensive rebound by H. Thompson,,7,6
26,1,9:00.0,H. Thompson makes 3-pt jump shot from 25 ft (assist by A. Davis),,10,6
27,1,8:45.0,,Turnover by R. Westbrook (bad pass; steal by D. Motiejūnas),10,6
28,1,8:31.0,D. Motiejūnas misses 3-pt jump shot from 23 ft,,10,6
29,1,8:31.0,,Defensive rebound by A. Roberson,10,6
30,1,8:26.0,,Oklahoma City full timeout,10,6
31,1,8:21.0,,Turnover by R. Westbrook (bad pass; steal by S. Hill),10,6
32,1,8:15.0,J. Holiday makes 2-pt jump shot from 10 ft,,12,6
33,1,8:02.0,,R. Westbrook makes 2-pt layup from 1 ft,12,8
34,1,7:44.0,J. Holiday makes 2-pt jump shot from 10 ft (assist by A. Davis),,14,8
35,1,7:23.0,,S. Adams misses 2-pt hook shot from 6 ft,14,8
36,1,7:23.0,Defensive rebound by A. Davis,,14,8
37,1,7:16.0,Personal foul by Á. Abrines (drawn by H. Thompson),,14,8
38,1,7:13.0,J. Holiday misses 3-pt jump shot from 23 ft,,14,8
39,1,7:13.0,,Defensive rebound by A. Roberson,14,8
40,1,7:05.0,,R. Westbrook misses 2-pt layup from 2 ft,14,8
41,1,7:03.0,,Offensive rebound by S. Adams,14,8
42,1,7:02.0,,S. Adams makes 2-pt dunk at rim,14,10
43,1,6:45.0,A. Davis makes 2-pt jump shot from 21 ft (assist by J. Holiday),,16,10
44,1,6:33.0,,Á. Abrines misses 2-pt layup from 1 ft,16,10
45,1,6:32.0,Defensive rebound by S. Hill,,16,10
46,1,6:25.0,A. Davis makes 2-pt jump shot from 5 ft (assist by J. Holiday),,18,10
47,1,6:25.0,Shooting foul by D. Sabonis (drawn by A. Davis),,18,10
48,1,6:25.0,,E. Freedom enters the game for D. Sabonis,18,10
49,1,6:25.0,A. Davis makes free throw 1 of 1,,19,10
50,1,6:13.0,,Á. Abrines misses 2-pt jump shot from 22 ft,19,10
51,1,6:13.0,,Offensive rebound by S. Adams,19,10
52,1,6:08.0,,Á. Abrines misses 3-pt jump shot from 25 ft,19,10
53,1,6:08.0,,Offensive rebound by Team,19,10
54,1,6:08.0,Loose ball foul by D. Motiejūnas (drawn by S. Adams),,19,10
55,1,6:02.0,,Shooting foul by J. Holiday (drawn by R. Westbrook),19,10
56,1,6:02.0,,R. Westbrook makes free throw 1 of 2,19,11
57,1,6:02.0,,R. Westbrook makes free throw 2 of 2,19,12
58,1,5:52.0,Turnover by J. Holiday (lost ball; steal by A. Roberson),,19,12
59,1,5:46.0,,R. Westbrook misses 2-pt layup from 1 ft,19,12
60,1,5:44.0,,Offensive rebound by E. Freedom,19,12
61,1,5:44.0,,E. Freedom makes 2-pt layup from 1 ft,19,14
62,1,5:44.0,,Technical foul by R. Westbrook,19,14
63,1,5:44.0,A. Davis makes technical free throw,,20,14
64,1,5:44.0,,D. McDermott enters the game for A. Roberson,20,14
65,1,5:35.0,Personal foul by E. Freedom (drawn by D. Motiejūnas),,20,14
66,1,5:35.0,D. Motiejūnas makes free throw 1 of 2,,21,14
67,1,5:35.0,D. Motiejūnas misses free throw 2 of 2,,21,14
68,1,5:35.0,,Defensive rebound by Team,21,14
69,1,5:19.0,,E. Freedom makes 2-pt layup from 2 ft,21,16
70,1,5:05.0,S. Hill makes 3-pt jump shot from 25 ft (assist by A. Davis),,24,16
71,1,4:51.0,,R. Westbrook misses 3-pt jump shot from 24 ft,24,16
72,1,4:49.0,,Offensive rebound by S. Adams,24,16
73,1,4:49.0,,S. Adams makes 2-pt layup from 2 ft,24,18
74,1,4:37.0,A. Davis makes 3-pt jump shot from 25 ft (assist by J. Holiday),,27,18
75,1,4:25.0,,Personal block foul by A. Davis (drawn by R. Westbrook),27,18
76,1,4:25.0,,R. Westbrook makes free throw 1 of 2,27,19
77,1,4:25.0,E. Moore enters the game for H. Thompson,,27,19
78,1,4:25.0,,R. Westbrook makes free throw 2 of 2,27,20
79,1,4:10.0,E. Moore misses 2-pt jump shot from 14 ft,,27,20
80,1,4:10.0,,Defensive rebound by D. McDermott,27,20
81,1,3:55.0,,R. Westbrook makes 2-pt jump shot from 16 ft,27,22
82,1,3:37.0,A. Davis makes 2-pt jump shot from 9 ft,,29,22
83,1,3:22.0,,Turnover by R. Westbrook (bad pass; steal by E. Moore),29,22
84,1,3:18.0,Turnover by E. Moore (bad pass),,29,22
85,1,3:18.0,,T. Gibson enters the game for S. Adams,29,22
86,1,3:06.0,,Á. Abrines makes 3-pt jump shot from 23 ft (assist by R. Westbrook),29,25
87,1,3:00.0,New Orleans full timeout,,29,25
88,1,2:48.0,A. Davis misses 2-pt jump shot from 11 ft,,29,25
89,1,2:48.0,,Defensive rebound by D. McDermott,29,25
90,1,2:35.0,,E. Freedom makes 2-pt dunk at rim (assist by R. Westbrook),29,27
91,1,2:11.0,D. Motiejūnas misses 2-pt jump shot from 6 ft,,29,27
92,1,2:10.0,Offensive rebound by A. Davis,,29,27
93,1,2:10.0,A. Davis makes 2-pt dunk at rim,,31,27
94,1,1:58.0,,Turnover by E. Freedom (traveling),31,27
95,1,1:58.0,T. Frazier enters the game for J. Holiday,,31,27
96,1,1:58.0,,A. Roberson enters the game for Á. Abrines,31,27
97,1,1:58.0,,S. Christon enters the game for R. Westbrook,31,27
98,1,1:47.0,Shooting foul by A. Roberson (drawn by A. Davis),,31,27
99,1,1:47.0,A. Davis makes free throw 1 of 2,,32,27
100,1,1:47.0,D. Cunningham enters the game for S. Hill,,32,27
101,1,1:47.0,A. Davis makes free throw 2 of 2,,33,27
102,1,1:31.0,,E. Freedom makes 2-pt layup from 2 ft,33,29
103,1,1:10.0,E. Moore misses 2-pt jump shot from 13 ft,,33,29
104,1,1:09.0,,Defensive rebound by A. Roberson,33,29
105,1,0:56.0,,A. Roberson makes 3-pt jump shot from 25 ft (assist by D. McDermott),33,32
106,1,0:44.0,A. Davis misses 2-pt jump shot from 15 ft,,33,32
107,1,0:42.0,,Defensive rebound by E. Freedom,33,32
108,1,0:38.0,Offensive charge foul by E. Freedom (drawn by T. Frazier),,33,32
109,1,0:38.0,,Turnover by E. Freedom (offensive foul),33,32
110,1,0:30.0,T. Frazier misses 2-pt jump shot from 20 ft,,33,32
111,1,0:29.0,,Defensive rebound by E. Freedom,33,32
112,1,0:07.0,,S. Christon misses 2-pt jump shot from 8 ft,33,32
113,1,0:07.0,Defensive rebound by D. Motiejūnas,,33,32
114,1,0:01.0,A. Davis makes 2-pt layup from 1 ft,,35,32
115,1,0:00.0,,S. Christon misses 3-pt jump shot from 71 ft,35,32
116,1,0:00.0,,Offensive rebound by Team,35,32
117,2,11:43.0,,T. Gibson misses 2-pt hook shot from 3 ft,35,32
118,2,11:42.0,Defensive rebound by D. Cousins,,35,32
119,2,11:26.0,D. Cousins makes 2-pt jump shot from 12 ft,,37,32
120,2,11:12.0,,A. Roberson makes 2-pt layup from 1 ft,37,34
121,2,11:03.0,Shooting foul by D. McDermott (drawn by T. Frazier),,37,34
122,2,11:03.0,T. Frazier misses free throw 1 of 2,,37,34
123,2,11:03.0,Offensive rebound by Team,,37,34
124,2,11:03.0,T. Frazier misses free throw 2 of 2,,37,34
125,2,11:03.0,,Defensive rebound by T. Gibson,37,34
126,2,10:48.0,,E. Freedom makes 2-pt jump shot from 15 ft,37,36
127,2,10:28.0,E. Moore misses 2-pt layup from 1 ft,,37,36
