,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MEMPHIS_ACTION,OKLAHOMA CITY_SCORE,MEMPHIS_SCORE
0,1,11:39.0,T. Gibson makes 2-pt layup from 1 ft (assist by R. Westbrook),,2,0
1,1,11:23.0,,Turnover by M. Gasol (bad pass; steal by R. Westbrook),2,0
2,1,11:11.0,A. Roberson makes 2-pt layup from 1 ft (assist by V. Oladipo),,4,0
3,1,11:05.0,,Turnover by M. Gasol (bad pass),4,0
4,1,10:52.0,V. Oladipo misses 2-pt layup from 1 ft (block by M. Gasol),,4,0
5,1,10:50.0,Offensive rebound by T. Gibson,,4,0
6,1,10:49.0,T. Gibson makes 2-pt jump shot from 7 ft,,6,0
7,1,10:32.0,,V. Carter misses 3-pt jump shot from 26 ft,6,0
8,1,10:31.0,Defensive rebound by V. Oladipo,,6,0
9,1,10:22.0,Turnover by R. Westbrook (bad pass; steal by T. Allen),,6,0
10,1,10:13.0,,T. Allen makes 2-pt layup from 2 ft (assist by A. Harrison),6,2
11,1,9:55.0,S. Adams misses 2-pt jump shot from 12 ft,,6,2
12,1,9:54.0,,Defensive rebound by T. Allen,6,2
13,1,9:46.0,,T. Allen makes 2-pt jump shot from 4 ft,6,4
14,1,9:31.0,S. Adams misses 2-pt jump shot from 7 ft,,6,4
15,1,9:28.0,,Defensive rebound by M. Gasol,6,4
16,1,9:20.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by T. Allen),6,7
17,1,9:00.0,T. Gibson misses 2-pt jump shot from 6 ft,,6,7
18,1,8:59.0,,Defensive rebound by V. Carter,6,7
19,1,8:51.0,,T. Allen misses 2-pt jump shot from 5 ft (block by V. Oladipo),6,7
20,1,8:50.0,Defensive rebound by S. Adams,,6,7
21,1,8:45.0,R. Westbrook makes 3-pt jump shot from 25 ft (assist by V. Oladipo),,9,7
22,1,8:29.0,,T. Allen misses 2-pt layup from 1 ft,9,7
23,1,8:27.0,Defensive rebound by S. Adams,,9,7
