,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,ORLANDO_ACTION,NEW ORLEANS_SCORE,ORLANDO_SCORE
0,1,11:40.0,T. Jones misses 2-pt layup from 2 ft,,0,0
1,1,11:38.0,Offensive rebound by D. Cunningham,,0,0
2,1,11:38.0,D. Cunningham misses 2-pt layup from 1 ft,,0,0
3,1,11:35.0,,Defensive rebound by N. Vučević,0,0
4,1,11:33.0,,E. Payton misses 2-pt layup from 1 ft,0,0
5,1,11:30.0,Defensive rebound by Ö. Aşık,,0,0
6,1,11:24.0,T. Frazier misses 2-pt layup from 1 ft,,0,0
7,1,11:22.0,Offensive rebound by D. Cunningham,,0,0
8,1,11:22.0,D. Cunningham misses 2-pt layup from 1 ft,,0,0
9,1,11:21.0,,Defensive rebound by N. Vučević,0,0
10,1,11:15.0,,N. Vučević misses 2-pt jump shot from 14 ft,0,0
11,1,11:12.0,Defensive rebound by D. Cunningham,,0,0
12,1,11:04.0,E. Moore misses 2-pt jump shot from 14 ft,,0,0
13,1,11:02.0,,Defensive rebound by N. Vučević,0,0
14,1,10:40.0,,J. Green misses 2-pt layup from 2 ft,0,0
15,1,10:37.0,Defensive rebound by Ö. Aşık,,0,0
16,1,10:29.0,D. Cunningham misses 3-pt jump shot from 23 ft,,0,0
17,1,10:28.0,,Defensive rebound by S. Ibaka,0,0
18,1,10:12.0,,E. Fournier misses 3-pt jump shot from 28 ft,0,0
19,1,10:11.0,Defensive rebound by T. Jones,,0,0
20,1,10:00.0,T. Jones misses 3-pt jump shot from 27 ft,,0,0
21,1,9:59.0,,Defensive rebound by N. Vučević,0,0
22,1,9:55.0,,Shooting foul by E. Moore (drawn by E. Payton),0,0
23,1,9:55.0,,E. Payton misses free throw 1 of 2,0,0
24,1,9:55.0,,Offensive rebound by Team,0,0
25,1,9:55.0,,E. Payton makes free throw 2 of 2,0,1
26,1,9:40.0,Turnover by E. Moore (traveling),,0,1
27,1,9:29.0,,Turnover by E. Fournier (lost ball; steal by E. Moore),0,1
28,1,9:21.0,T. Frazier misses 2-pt jump shot from 18 ft (block by E. Payton),,0,1
29,1,9:19.0,,Defensive rebound by N. Vučević,0,1
30,1,9:11.0,,S. Ibaka misses 3-pt jump shot from 26 ft,0,1
31,1,9:10.0,Defensive rebound by Ö. Aşık,,0,1
32,1,8:52.0,T. Jones makes 2-pt hook shot from 4 ft,,2,1
33,1,8:28.0,,E. Payton misses 2-pt jump shot from 12 ft,2,1
34,1,8:26.0,Defensive rebound by T. Frazier,,2,1
35,1,8:01.0,T. Jones misses 2-pt jump shot from 5 ft,,2,1
36,1,8:00.0,Offensive rebound by Team,,2,1
37,1,7:50.0,D. Cunningham makes 2-pt jump shot from 18 ft (assist by T. Frazier),,4,1
38,1,7:39.0,,N. Vučević makes 2-pt hook shot from 3 ft,4,3
39,1,7:21.0,E. Moore makes 2-pt jump shot from 4 ft,,6,3
40,1,7:02.0,,S. Ibaka makes 2-pt hook shot from 6 ft,6,5
41,1,6:45.0,Turnover by D. Cunningham (bad pass),,6,5
42,1,6:29.0,,S. Ibaka makes 2-pt jump shot from 18 ft,6,7
43,1,6:17.0,T. Jones misses 2-pt layup from 3 ft (block by N. Vučević),,6,7
44,1,6:16.0,,Defensive rebound by S. Ibaka,6,7
45,1,6:07.0,,Turnover by J. Green (lost ball; steal by D. Cunningham),6,7
46,1,5:53.0,T. Frazier misses 2-pt jump shot from 6 ft,,6,7
47,1,5:52.0,,Defensive rebound by S. Ibaka,6,7
48,1,5:35.0,Violation by D. Cunningham (kicked ball),,6,7
49,1,5:35.0,,Orlando full timeout,6,7
50,1,5:35.0,A. Ajinça enters the game for Ö. Aşık,,6,7
51,1,5:32.0,,Turnover by S. Ibaka (illegal screen),6,7
52,1,5:06.0,E. Moore makes 2-pt jump shot from 16 ft,,8,7
53,1,4:46.0,,N. Vučević makes 2-pt jump shot from 17 ft (assist by E. Payton),8,9
