,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,TORONTO_ACTION,NEW ORLEANS_SCORE,TORONTO_SCORE
0,1,11:44.0,,J. Valančiūnas misses 2-pt hook shot from 4 ft,0,0
1,1,11:44.0,Defensive rebound by B. Hield,,0,0
2,1,11:31.0,Shooting foul by N. Powell (drawn by A. Davis),,0,0
3,1,11:31.0,A. Davis makes free throw 1 of 2,,1,0
4,1,11:31.0,A. Davis makes free throw 2 of 2,,2,0
5,1,11:16.0,,Turnover by P. Patterson (bad pass),2,0
6,1,11:03.0,A. Davis misses 2-pt jump shot from 20 ft,,2,0
7,1,11:03.0,,Defensive rebound by P. Patterson,2,0
8,1,10:55.0,,K. Lowry makes 3-pt jump shot from 27 ft,2,3
9,1,10:36.0,J. Holiday misses 2-pt jump shot from 9 ft,,2,3
10,1,10:36.0,,Defensive rebound by N. Powell,2,3
11,1,10:22.0,,K. Lowry misses 3-pt jump shot from 26 ft,2,3
12,1,10:22.0,Defensive rebound by S. Hill,,2,3
13,1,10:13.0,Turnover by S. Hill (bad pass; steal by D. Carroll),,2,3
14,1,9:58.0,,Shooting foul by S. Hill (drawn by N. Powell),2,3
15,1,9:58.0,,N. Powell makes free throw 1 of 2,2,4
16,1,9:58.0,,N. Powell makes free throw 2 of 2,2,5
17,1,9:40.0,B. Hield misses 3-pt jump shot from 22 ft (block by N. Powell),,2,5
18,1,9:40.0,Offensive rebound by Team,,2,5
19,1,9:35.0,A. Davis misses 2-pt jump shot from 6 ft,,2,5
20,1,9:35.0,Offensive rebound by D. Cunningham,,2,5
21,1,9:34.0,Turnover by Team (shot clock),,2,5
22,1,9:12.0,Violation by A. Davis (kicked ball),,2,5
23,1,9:05.0,,D. Carroll misses 2-pt jump shot from 15 ft (block by B. Hield),2,5
24,1,9:03.0,Defensive rebound by B. Hield,,2,5
25,1,8:57.0,B. Hield makes 3-pt jump shot from 25 ft,,5,5
26,1,8:45.0,,Turnover by P. Patterson (bad pass; steal by S. Hill),5,5
27,1,8:40.0,B. Hield makes 2-pt layup from 4 ft (assist by S. Hill),,7,5
28,1,8:20.0,,J. Valančiūnas makes 2-pt hook shot from 9 ft,7,7
29,1,8:09.0,B. Hield makes 3-pt jump shot from 27 ft (assist by J. Holiday),,10,7
30,1,7:57.0,,D. Carroll makes 2-pt layup from 4 ft (assist by K. Lowry),10,9
31,1,7:36.0,B. Hield misses 2-pt layup from 4 ft,,10,9
32,1,7:36.0,,Defensive rebound by J. Valančiūnas,10,9
33,1,7:24.0,,J. Valančiūnas misses 2-pt jump shot from 3 ft (block by A. Davis),10,9
34,1,7:22.0,Defensive rebound by A. Davis,,10,9
35,1,7:12.0,J. Holiday makes 2-pt layup at rim,,12,9
36,1,6:53.0,,N. Powell makes 2-pt layup at rim,12,11
37,1,6:41.0,J. Holiday makes 3-pt jump shot from 24 ft,,15,11
38,1,6:26.0,,K. Lowry makes 2-pt layup from 1 ft,15,13
39,1,6:05.0,J. Holiday makes 3-pt jump shot from 22 ft,,18,13
40,1,6:00.0,,Toronto full timeout,18,13
41,1,6:00.0,D. Motiejūnas enters the game for D. Cunningham,,18,13
42,1,5:53.0,,P. Patterson makes 2-pt layup from 3 ft (assist by D. Carroll),18,15
43,1,5:39.0,Turnover by S. Hill (traveling),,18,15
44,1,5:16.0,,K. Lowry makes 2-pt layup from 2 ft,18,17
45,1,5:11.0,Turnover by J. Holiday (bad pass),,18,17
46,1,5:01.0,,K. Lowry misses 3-pt jump shot from 26 ft (block by J. Holiday),18,17
47,1,5:00.0,Defensive rebound by B. Hield,,18,17
48,1,4:51.0,A. Davis misses 2-pt layup from 2 ft,,18,17
49,1,4:51.0,,Defensive rebound by D. Carroll,18,17
50,1,4:29.0,,D. Carroll misses 3-pt jump shot from 23 ft,18,17
51,1,4:29.0,Defensive rebound by A. Davis,,18,17
52,1,4:19.0,B. Hield misses 3-pt jump shot from 23 ft,,18,17
53,1,4:19.0,,Defensive rebound by N. Powell,18,17
54,1,4:12.0,,Personal foul by J. Holiday (drawn by N. Powell),18,17
55,1,4:12.0,,C. Joseph enters the game for K. Lowry,18,17
56,1,4:02.0,,N. Powell misses 3-pt jump shot from 26 ft,18,17
57,1,4:02.0,Defensive rebound by B. Hield,,18,17
58,1,3:47.0,A. Davis misses 2-pt jump shot from 6 ft,,18,17
59,1,3:47.0,,Defensive rebound by J. Valančiūnas,18,17
60,1,3:29.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft,18,19
61,1,3:16.0,Turnover by J. Holiday (bad pass; steal by N. Powell),,18,19
62,1,3:12.0,,Shooting foul by S. Hill (drawn by D. Carroll),18,19
63,1,3:12.0,,D. Carroll makes free throw 1 of 2,18,20
64,1,3:12.0,,L. Nogueira enters the game for J. Valančiūnas,18,20
65,1,3:12.0,E. Moore enters the game for S. Hill,,18,20
66,1,3:12.0,,P. Siakam enters the game for P. Patterson,18,20
67,1,3:12.0,T. Frazier enters the game for J. Holiday,,18,20
68,1,3:12.0,,D. Carroll makes free throw 2 of 2,18,21
69,1,2:58.0,D. Motiejūnas misses 2-pt hook shot from 8 ft,,18,21
70,1,2:58.0,,Defensive rebound by L. Nogueira,18,21
