,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MINNESOTA_ACTION,ATLANTA_SCORE,MINNESOTA_SCORE
0,1,11:45.0,Personal foul by Z. LaVine (drawn by D. Howard),,0,0
1,1,11:37.0,P. Millsap misses 2-pt layup from 1 ft,,0,0
2,1,11:35.0,,Defensive rebound by K. Towns,0,0
3,1,11:19.0,,A. Wiggins misses 2-pt dunk from 1 ft (block by T. Sefolosha),0,0
4,1,11:18.0,Defensive rebound by K. Bazemore,,0,0
5,1,11:07.0,D. Howard makes 2-pt dunk at rim (assist by K. Bazemore),,2,0
6,1,10:41.0,,G. Dieng misses 2-pt jump shot from 18 ft,2,0
7,1,10:40.0,Defensive rebound by D. Howard,,2,0
8,1,10:38.0,Turnover by D. Howard (bad pass; steal by R. Rubio),,2,0
9,1,10:34.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by R. Rubio),2,3
10,1,10:09.0,T. Sefolosha misses 2-pt layup at rim,,2,3
11,1,10:08.0,Offensive rebound by P. Millsap,,2,3
12,1,10:04.0,T. Sefolosha misses 3-pt jump shot from 24 ft,,2,3
13,1,10:03.0,Offensive rebound by D. Howard,,2,3
14,1,10:03.0,Personal foul by G. Dieng (drawn by D. Howard),,2,3
15,1,9:51.0,P. Millsap misses 2-pt jump shot from 8 ft,,2,3
16,1,9:51.0,,Defensive rebound by Team,2,3
17,1,9:51.0,Loose ball foul by D. Howard (drawn by R. Rubio),,2,3
18,1,9:36.0,,G. Dieng misses 2-pt jump shot from 19 ft,2,3
19,1,9:35.0,Defensive rebound by P. Millsap,,2,3
20,1,9:16.0,T. Sefolosha makes 3-pt jump shot from 24 ft (assist by D. Schröder),,5,3
21,1,9:02.0,,Shooting block foul by D. Howard (drawn by K. Towns),5,3
22,1,9:02.0,,K. Towns makes free throw 1 of 2,5,4
23,1,9:02.0,,K. Towns makes free throw 2 of 2,5,5
24,1,8:46.0,Shooting foul by K. Towns (drawn by D. Howard),,5,5
25,1,8:46.0,D. Howard makes free throw 1 of 2,,6,5
26,1,8:46.0,D. Howard misses free throw 2 of 2,,6,5
27,1,8:46.0,,Defensive rebound by G. Dieng,6,5
28,1,8:31.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by G. Dieng),6,8
29,1,8:13.0,T. Sefolosha makes 2-pt jump shot from 8 ft,,8,8
30,1,7:50.0,,Z. LaVine misses 3-pt jump shot from 23 ft,8,8
