,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW YORK_ACTION,DETROIT_SCORE,NEW YORK_SCORE
0,1,11:47.0,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Drummond),,3,0
1,1,11:35.0,,C. Anthony misses 3-pt jump shot from 24 ft,3,0
2,1,11:34.0,Defensive rebound by I. Smith,,3,0
3,1,11:30.0,Shooting foul by C. Anthony (drawn by T. Harris),,3,0
4,1,11:30.0,T. Harris makes free throw 1 of 2,,4,0
5,1,11:30.0,T. Harris makes free throw 2 of 2,,5,0
6,1,11:14.0,,K. Porziņģis makes 2-pt jump shot from 8 ft,5,2
7,1,10:58.0,Personal foul by C. Anthony (drawn by A. Drummond),,5,2
8,1,10:51.0,I. Smith misses 2-pt layup from 3 ft,,5,2
9,1,10:50.0,,Defensive rebound by W. Hernangómez,5,2
10,1,10:45.0,,Personal foul by M. Morris (drawn by K. Porziņģis),5,2
11,1,10:32.0,,C. Anthony misses 2-pt jump shot from 15 ft,5,2
12,1,10:31.0,Defensive rebound by A. Drummond,,5,2
13,1,10:21.0,I. Smith misses 2-pt layup from 1 ft,,5,2
14,1,10:20.0,Offensive rebound by A. Drummond,,5,2
15,1,10:20.0,A. Drummond makes 2-pt dunk at rim,,7,2
16,1,10:07.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by D. Rose),7,5
17,1,9:49.0,A. Drummond makes 2-pt hook shot from 7 ft (assist by M. Morris),,9,5
18,1,9:39.0,,W. Hernangómez makes 2-pt dunk at rim (assist by C. Anthony),9,7
19,1,9:39.0,,Shooting foul by A. Drummond (drawn by W. Hernangómez),9,7
20,1,9:39.0,,W. Hernangómez makes free throw 1 of 1,9,8
21,1,9:28.0,M. Morris makes 2-pt jump shot from 18 ft,,11,8
22,1,9:13.0,,W. Hernangómez misses 2-pt hook shot from 7 ft,11,8
23,1,9:11.0,Defensive rebound by A. Drummond,,11,8
24,1,9:02.0,I. Smith misses 2-pt jump shot from 9 ft,,11,8
25,1,9:01.0,Offensive rebound by A. Drummond,,11,8
26,1,9:00.0,A. Drummond makes 2-pt layup from 1 ft,,13,8
27,1,8:45.0,,D. Rose misses 2-pt jump shot from 12 ft,13,8
28,1,8:43.0,,Offensive rebound by W. Hernangómez,13,8
29,1,8:39.0,,C. Lee misses 2-pt jump shot from 22 ft,13,8
30,1,8:37.0,Defensive rebound by A. Drummond,,13,8
31,1,8:31.0,T. Harris makes 2-pt layup from 1 ft,,15,8
32,1,8:23.0,,New York full timeout,15,8
33,1,8:19.0,,Shooting foul by T. Harris (drawn by K. Porziņģis),15,8
34,1,8:19.0,,K. Porziņģis makes free throw 1 of 2,15,9
35,1,8:19.0,,K. Porziņģis makes free throw 2 of 2,15,10
36,1,8:03.0,M. Morris misses 2-pt jump shot from 12 ft,,15,10
37,1,8:01.0,Offensive rebound by A. Drummond,,15,10
38,1,7:59.0,A. Drummond makes 2-pt layup from 1 ft,,17,10
39,1,7:46.0,,K. Porziņģis makes 2-pt jump shot from 15 ft (assist by C. Anthony),17,12
40,1,7:31.0,I. Smith makes 2-pt jump shot from 4 ft,,19,12
41,1,7:19.0,,Turnover by C. Anthony (lost ball; steal by T. Harris),19,12
42,1,7:05.0,T. Harris misses 2-pt layup from 1 ft,,19,12
43,1,7:04.0,,Defensive rebound by Team,19,12
44,1,6:47.0,,C. Lee makes 2-pt jump shot from 14 ft,19,14
45,1,6:30.0,Shooting foul by K. Porziņģis (drawn by M. Morris),,19,14
46,1,6:30.0,M. Morris makes free throw 1 of 3,,20,14
47,1,6:30.0,M. Morris misses free throw 2 of 3,,20,14
48,1,6:30.0,Offensive rebound by Team,,20,14
49,1,6:30.0,M. Morris makes free throw 3 of 3,,21,14
50,1,6:17.0,,K. Porziņģis makes 2-pt jump shot from 12 ft (assist by C. Anthony),21,16
51,1,5:55.0,I. Smith makes 3-pt jump shot from 24 ft (assist by M. Morris),,24,16
52,1,5:43.0,,C. Lee makes 2-pt layup from 1 ft (assist by K. Porziņģis),24,18
53,1,5:24.0,Turnover by K. Caldwell-Pope (bad pass; steal by C. Lee),,24,18
54,1,5:17.0,,Turnover by C. Anthony (bad pass),24,18
55,1,5:02.0,T. Harris misses 2-pt jump shot from 10 ft,,24,18
56,1,5:01.0,,Defensive rebound by D. Rose,24,18
57,1,4:53.0,,W. Hernangómez makes 2-pt dunk at rim (assist by D. Rose),24,20
58,1,4:36.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,24,20
59,1,4:35.0,,Defensive rebound by C. Anthony,24,20
60,1,4:25.0,,Personal foul by T. Harris (drawn by K. Porziņģis),24,20
61,1,4:25.0,J. Leuer enters the game for T. Harris,,24,20
62,1,4:19.0,,D. Rose makes 2-pt jump shot from 20 ft,24,22
63,1,4:09.0,Turnover by I. Smith (lost ball; steal by K. Porziņģis),,24,22
64,1,3:58.0,,C. Anthony makes 2-pt jump shot from 13 ft,24,24
65,1,3:51.0,Detroit full timeout,,24,24
66,1,3:51.0,,M. Kuzminskas enters the game for C. Anthony,24,24
