,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MILWAUKEE_ACTION,NEW ORLEANS_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,,Shooting foul by T. Frazier (drawn by M. Dellavedova),0,0
1,1,11:46.0,,M. Dellavedova makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),0,2
2,1,11:46.0,,M. Dellavedova makes free throw 1 of 1,0,3
3,1,11:27.0,T. Jones misses 2-pt hook shot from 5 ft,,0,3
4,1,11:26.0,,Defensive rebound by G. Antetokounmpo,0,3
5,1,11:21.0,,Turnover by G. Antetokounmpo (lost ball; steal by D. Cunningham),0,3
6,1,11:15.0,E. Moore misses 2-pt layup from 1 ft,,0,3
7,1,11:13.0,Offensive rebound by T. Jones,,0,3
8,1,11:13.0,T. Jones misses 2-pt layup from 1 ft,,0,3
9,1,11:12.0,,Defensive rebound by J. Parker,0,3
10,1,11:04.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft (assist by M. Dellavedova),0,5
11,1,10:59.0,New Orleans full timeout,,0,5
12,1,10:41.0,T. Frazier makes 3-pt jump shot from 26 ft (assist by A. Davis),,3,5
13,1,10:11.0,,M. Dellavedova misses 2-pt jump shot from 14 ft,3,5
14,1,10:10.0,Defensive rebound by D. Cunningham,,3,5
15,1,9:58.0,D. Cunningham misses 3-pt jump shot from 24 ft,,3,5
16,1,9:57.0,,Defensive rebound by T. Snell,3,5
17,1,9:48.0,,J. Parker misses 2-pt hook shot from 6 ft,3,5
18,1,9:47.0,Defensive rebound by E. Moore,,3,5
19,1,9:36.0,D. Cunningham makes 2-pt jump shot from 18 ft (assist by E. Moore),,5,5
20,1,9:19.0,,M. Plumlee misses 2-pt layup at rim (block by D. Cunningham),5,5
21,1,9:17.0,Defensive rebound by T. Frazier,,5,5
22,1,9:11.0,E. Moore misses 3-pt jump shot from 26 ft,,5,5
23,1,9:10.0,,Defensive rebound by J. Parker,5,5
24,1,9:00.0,,J. Parker makes 2-pt jump shot from 21 ft (assist by M. Dellavedova),5,7
25,1,8:42.0,E. Moore misses 2-pt jump shot from 8 ft,,5,7
26,1,8:41.0,,Defensive rebound by G. Antetokounmpo,5,7
27,1,8:32.0,,T. Snell misses 3-pt jump shot from 23 ft,5,7
28,1,8:31.0,Defensive rebound by T. Jones,,5,7
29,1,8:21.0,A. Davis misses 2-pt jump shot from 19 ft,,5,7
30,1,8:19.0,,Defensive rebound by G. Antetokounmpo,5,7
31,1,8:12.0,,Turnover by G. Antetokounmpo (bad pass; steal by A. Davis),5,7
32,1,8:06.0,E. Moore misses 3-pt jump shot from 24 ft,,5,7
33,1,8:04.0,,Defensive rebound by J. Parker,5,7
34,1,7:50.0,,G. Antetokounmpo misses 2-pt hook shot from 4 ft,5,7
35,1,7:48.0,Defensive rebound by D. Cunningham,,5,7
36,1,7:41.0,Turnover by A. Davis (lost ball),,5,7
