,QUARTER,TIME_REMAINING,MIAMI_ACTION,MILWAUKEE_ACTION,MIAMI_SCORE,MILWAUKEE_SCORE
0,1,11:35.0,W. Ellington makes 3-pt jump shot from 24 ft (assist by R. McGruder),,3,0
1,1,11:19.0,,J. Parker makes 2-pt layup at rim (assist by M. Dellavedova),3,2
2,1,11:02.0,H. Whiteside misses 2-pt hook shot from 3 ft,,3,2
3,1,11:01.0,,Defensive rebound by J. Henson,3,2
4,1,10:55.0,,M. Dellavedova misses 2-pt layup from 1 ft,3,2
5,1,10:53.0,Defensive rebound by H. Whiteside,,3,2
6,1,10:40.0,R. McGruder makes 3-pt jump shot from 23 ft (assist by G. Dragić),,6,2
7,1,10:22.0,,J. Henson misses 2-pt hook shot from 5 ft,6,2
8,1,10:21.0,Defensive rebound by W. Ellington,,6,2
9,1,10:10.0,Turnover by L. Babbitt (bad pass; steal by J. Henson),,6,2
10,1,9:55.0,,G. Antetokounmpo misses 2-pt jump shot from 12 ft,6,2
11,1,9:52.0,Defensive rebound by Team,,6,2
12,1,9:29.0,G. Dragić makes 2-pt jump shot from 11 ft (assist by R. McGruder),,8,2
13,1,9:11.0,,Turnover by T. Snell (bad pass),8,2
14,1,9:01.0,G. Dragić makes 2-pt layup at rim,,10,2
15,1,9:01.0,,Milwaukee full timeout,10,2
16,1,8:48.0,,Turnover by J. Parker (bad pass),10,2
17,1,8:35.0,Def 3 sec tech foul by J. Henson,,10,2
18,1,8:35.0,G. Dragić makes technical free throw,,11,2
19,1,8:22.0,Turnover by G. Dragić (bad pass; steal by J. Parker),,11,2
20,1,8:21.0,,Personal foul by R. McGruder (drawn by J. Parker),11,2
21,1,8:09.0,,Turnover by J. Henson (traveling),11,2
22,1,7:57.0,G. Dragić misses 2-pt jump shot from 5 ft,,11,2
23,1,7:56.0,Offensive rebound by H. Whiteside,,11,2
24,1,7:56.0,H. Whiteside misses 2-pt layup at rim,,11,2
25,1,7:55.0,Offensive rebound by G. Dragić,,11,2
26,1,7:52.0,G. Dragić makes 2-pt hook shot from 5 ft,,13,2
27,1,7:27.0,,G. Antetokounmpo misses 2-pt jump shot from 17 ft,13,2
28,1,7:27.0,,Offensive rebound by Team,13,2
29,1,7:27.0,,Turnover by Team (shot clock),13,2
30,1,7:27.0,,K. Middleton enters the game for G. Antetokounmpo,13,2
31,1,7:27.0,,G. Monroe enters the game for J. Henson,13,2
32,1,7:17.0,Personal foul by M. Dellavedova (drawn by H. Whiteside),,13,2
33,1,7:06.0,L. Babbitt misses 3-pt jump shot from 23 ft,,13,2
34,1,7:06.0,Offensive rebound by Team,,13,2
35,1,7:04.0,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),,15,2
36,1,6:47.0,,J. Parker misses 3-pt jump shot from 25 ft,15,2
37,1,6:45.0,Defensive rebound by R. McGruder,,15,2
38,1,6:34.0,G. Dragić makes 2-pt layup at rim,,17,2
39,1,6:34.0,,Milwaukee full timeout,17,2
40,1,6:34.0,,M. Brogdon enters the game for M. Dellavedova,17,2
41,1,6:34.0,T. Johnson enters the game for G. Dragić,,17,2
42,1,6:22.0,,J. Parker makes 2-pt layup at rim (assist by M. Brogdon),17,4
43,1,6:07.0,H. Whiteside makes 2-pt dunk at rim,,19,4
44,1,5:53.0,,J. Parker makes 2-pt jump shot from 16 ft (assist by M. Brogdon),19,6
45,1,5:29.0,R. McGruder misses 3-pt jump shot from 24 ft,,19,6
46,1,5:29.0,Offensive rebound by Team,,19,6
47,1,5:29.0,,Loose ball foul by T. Snell (drawn by H. Whiteside),19,6
48,1,5:16.0,L. Babbitt misses 3-pt jump shot from 25 ft,,19,6
49,1,5:15.0,Offensive rebound by R. McGruder,,19,6
50,1,5:10.0,Personal foul by K. Middleton (drawn by H. Whiteside),,19,6
51,1,5:03.0,W. Ellington misses 3-pt jump shot from 26 ft,,19,6
52,1,5:02.0,Offensive rebound by L. Babbitt,,19,6
53,1,5:02.0,L. Babbitt misses 2-pt layup from 2 ft,,19,6
54,1,5:00.0,,Defensive rebound by G. Monroe,19,6
