,QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
0,1,11:42.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by T. Hardaway),0,3
1,1,11:25.0,S. Ibaka makes 3-pt jump shot from 26 ft (assist by E. Fournier),,3,3
2,1,11:14.0,,D. Schröder misses 2-pt jump shot from 16 ft,3,3
3,1,11:11.0,,Offensive rebound by D. Howard,3,3
4,1,11:08.0,,D. Howard makes 2-pt dunk at rim,3,5
5,1,10:52.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by B. Biyombo),,6,5
6,1,10:38.0,,Personal foul by S. Ibaka (drawn by T. Sefolosha),6,5
7,1,10:30.0,,P. Millsap misses 2-pt jump shot from 4 ft (block by B. Biyombo),6,5
8,1,10:26.0,Defensive rebound by A. Gordon,,6,5
9,1,10:19.0,A. Gordon makes 2-pt layup from 5 ft,,8,5
10,1,10:08.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by P. Millsap),8,8
11,1,9:42.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by D. Augustin),,10,8
12,1,9:28.0,,P. Millsap misses 2-pt jump shot from 7 ft,10,8
13,1,9:28.0,,Offensive rebound by D. Howard,10,8
14,1,9:28.0,,D. Howard makes 2-pt layup from 3 ft (assist by P. Millsap),10,10
15,1,9:28.0,,Shooting foul by B. Biyombo (drawn by D. Howard),10,10
16,1,9:28.0,,D. Howard makes free throw 1 of 1,10,11
17,1,9:16.0,E. Fournier makes 2-pt jump shot from 12 ft (assist by A. Gordon),,12,11
18,1,9:07.0,,Turnover by D. Howard (3 sec),12,11
19,1,8:56.0,D. Augustin misses 3-pt jump shot from 25 ft,,12,11
20,1,8:55.0,,Defensive rebound by P. Millsap,12,11
21,1,8:46.0,,Personal foul by A. Gordon (drawn by T. Hardaway),12,11
22,1,8:34.0,,P. Millsap misses 2-pt layup from 3 ft,12,11
23,1,8:31.0,,Offensive rebound by T. Sefolosha,12,11
24,1,8:29.0,,T. Sefolosha makes 2-pt dunk at rim,12,13
25,1,8:19.0,A. Gordon misses 2-pt jump shot from 6 ft,,12,13
26,1,8:16.0,,Defensive rebound by D. Howard,12,13
27,1,8:09.0,,D. Schröder misses 2-pt jump shot from 11 ft,12,13
28,1,8:07.0,Defensive rebound by B. Biyombo,,12,13
29,1,7:58.0,D. Augustin misses 2-pt jump shot from 11 ft,,12,13
30,1,7:56.0,,Defensive rebound by T. Hardaway,12,13
31,1,7:48.0,,Shooting foul by D. Augustin (drawn by P. Millsap),12,13
32,1,7:48.0,,P. Millsap makes free throw 1 of 2,12,14
33,1,7:48.0,,P. Millsap makes free throw 2 of 2,12,15
34,1,7:36.0,A. Gordon misses 3-pt jump shot from 26 ft,,12,15
35,1,7:34.0,,Defensive rebound by P. Millsap,12,15
36,1,7:24.0,,D. Howard makes 2-pt hook shot from 7 ft (assist by D. Schröder),12,17
37,1,7:16.0,Orlando full timeout,,12,17
38,1,6:59.0,S. Ibaka misses 3-pt jump shot from 26 ft,,12,17
39,1,6:58.0,,Defensive rebound by D. Howard,12,17
40,1,6:47.0,,D. Howard misses 2-pt layup from 2 ft,12,17
41,1,6:46.0,,Offensive rebound by D. Howard,12,17
42,1,6:44.0,,D. Howard makes 2-pt layup from 2 ft,12,19
43,1,6:29.0,S. Ibaka makes 2-pt jump shot from 19 ft (assist by D. Augustin),,14,19
44,1,6:11.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by D. Schröder),14,22
45,1,5:59.0,Shooting foul by P. Millsap (drawn by B. Biyombo),,14,22
46,1,5:59.0,B. Biyombo misses free throw 1 of 2,,14,22
47,1,5:59.0,Offensive rebound by Team,,14,22
48,1,5:59.0,,M. Muscala enters the game for D. Howard,14,22
49,1,5:59.0,E. Payton enters the game for D. Augustin,,14,22
50,1,5:59.0,B. Biyombo makes free throw 2 of 2,,15,22
51,1,5:43.0,,D. Schröder makes 2-pt jump shot from 9 ft,15,24
52,1,5:37.0,J. Green enters the game for B. Biyombo,,15,24
53,1,5:37.0,,K. Korver enters the game for T. Hardaway,15,24
54,1,5:34.0,Shooting foul by D. Schröder (drawn by E. Payton),,15,24
55,1,5:34.0,E. Payton makes 2-pt layup from 3 ft (assist by J. Green),,17,24
56,1,5:34.0,E. Payton misses free throw 1 of 1,,17,24
57,1,5:32.0,,Defensive rebound by T. Sefolosha,17,24
58,1,5:24.0,,Turnover by T. Sefolosha (bad pass; steal by E. Fournier),17,24
59,1,5:16.0,E. Fournier makes 2-pt dunk from 4 ft,,19,24
60,1,5:06.0,,T. Sefolosha misses 2-pt dunk from 2 ft (block by A. Gordon),19,24
61,1,5:06.0,,Offensive rebound by Team,19,24
62,1,4:55.0,,Turnover by P. Millsap (bad pass),19,24
63,1,4:43.0,J. Green makes 2-pt jump shot from 14 ft (assist by E. Payton),,21,24
64,1,4:31.0,,D. Schröder misses 2-pt jump shot from 20 ft,21,24
65,1,4:29.0,,Offensive rebound by M. Muscala,21,24
66,1,4:27.0,,M. Muscala makes 2-pt layup from 4 ft,21,26
67,1,4:10.0,A. Gordon makes 3-pt jump shot from 23 ft (assist by E. Payton),,24,26
68,1,4:05.0,,Atlanta full timeout,24,26
69,1,4:05.0,,K. Bazemore enters the game for P. Millsap,24,26
70,1,4:05.0,,M. Delaney enters the game for D. Schröder,24,26
71,1,3:57.0,,M. Muscala misses 3-pt jump shot from 23 ft,24,26
72,1,3:56.0,Defensive rebound by A. Gordon,,24,26
73,1,3:51.0,J. Green misses 2-pt hook shot from 4 ft,,24,26
74,1,3:49.0,,Defensive rebound by M. Delaney,24,26
75,1,3:35.0,,M. Delaney misses 3-pt jump shot from 26 ft,24,26
76,1,3:35.0,Defensive rebound by Team,,24,26
77,1,3:35.0,,Loose ball foul by M. Muscala (drawn by J. Green),24,26
78,1,3:35.0,D. Rudež enters the game for A. Gordon,,24,26
79,1,3:19.0,E. Payton makes 3-pt jump shot from 25 ft (assist by E. Fournier),,27,26
80,1,2:56.0,,D. Howard enters the game for T. Sefolosha,27,26
81,1,2:56.0,B. Biyombo enters the game for S. Ibaka,,27,26
82,1,2:53.0,,M. Muscala misses 2-pt jump shot from 12 ft,27,26
83,1,2:52.0,Defensive rebound by B. Biyombo,,27,26
84,1,2:35.0,J. Green misses 2-pt jump shot from 8 ft (block by D. Howard),,27,26
85,1,2:31.0,Offensive rebound by J. Green,,27,26
86,1,2:31.0,D. Rudež misses 3-pt jump shot from 23 ft (block by M. Muscala),,27,26
87,1,2:31.0,Offensive rebound by D. Rudež,,27,26
88,1,2:29.0,E. Fournier misses 2-pt layup from 2 ft,,27,26
89,1,2:20.0,,Defensive rebound by M. Muscala,27,26
90,1,2:18.0,,Turnover by D. Howard (bad pass; steal by D. Rudež),27,26
91,1,2:12.0,E. Fournier makes 2-pt layup from 3 ft (assist by D. Rudež),,29,26
92,1,2:08.0,,Shooting foul by B. Biyombo (drawn by M. Delaney),29,26
93,1,2:08.0,,M. Delaney makes free throw 1 of 2,29,27
94,1,2:08.0,,M. Delaney makes free throw 2 of 2,29,28
95,1,1:58.0,E. Payton makes 2-pt jump shot from 15 ft,,31,28
96,1,1:49.0,,Turnover by M. Delaney (bad pass; steal by E. Fournier),31,28
97,1,1:43.0,E. Fournier makes 2-pt layup from 3 ft (assist by D. Rudež),,33,28
98,1,1:29.0,,K. Bazemore misses 2-pt jump shot from 7 ft (block by E. Fournier),33,28
99,1,1:29.0,Defensive rebound by Team,,33,28
100,1,1:15.0,D. Rudež misses 3-pt jump shot from 26 ft,,33,28
101,1,1:11.0,,Defensive rebound by K. Bazemore,33,28
102,1,1:06.0,,M. Muscala makes 2-pt dunk at rim (assist by M. Delaney),33,30
103,1,0:54.0,E. Fournier misses 3-pt jump shot from 27 ft,,33,30
104,1,0:53.0,,Defensive rebound by D. Howard,33,30
105,1,0:50.0,,Turnover by D. Howard (bad pass),33,30
106,1,0:50.0,E. Payton makes 2-pt dunk at rim,,35,30
107,1,0:40.0,,M. Delaney makes 2-pt jump shot from 19 ft,35,32
108,1,0:26.0,B. Biyombo misses 2-pt jump shot from 13 ft,,35,32
109,1,0:25.0,,Defensive rebound by K. Bazemore,35,32
110,1,0:07.0,,K. Bazemore makes 2-pt jump shot from 9 ft,35,34
111,1,0:00.0,E. Fournier misses 3-pt jump shot from 27 ft,,35,34
112,1,0:00.0,Offensive rebound by Team,,35,34
113,2,11:39.0,J. Green makes 2-pt jump shot from 11 ft (assist by D. Rudež),,37,34
114,2,11:23.0,,K. Bazemore misses 2-pt jump shot from 20 ft,37,34
115,2,11:20.0,,Offensive rebound by D. Howard,37,34
116,2,11:19.0,,D. Howard makes 2-pt layup from 1 ft,37,36
117,2,11:03.0,Shooting foul by K. Korver (drawn by J. Green),,37,36
118,2,11:03.0,J. Green makes free throw 1 of 2,,38,36
119,2,11:03.0,,P. Millsap enters the game for M. Muscala,38,36
120,2,11:03.0,,T. Hardaway enters the game for K. Bazemore,38,36
121,2,11:03.0,J. Green makes free throw 2 of 2,,39,36
122,2,10:47.0,,Turnover by M. Delaney (bad pass),39,36
123,2,10:35.0,E. Payton misses 2-pt jump shot from 10 ft,,39,36
124,2,10:34.0,Offensive rebound by E. Payton,,39,36
125,2,10:32.0,E. Payton makes 2-pt layup from 1 ft,,41,36
126,2,10:17.0,,T. Hardaway misses 2-pt jump shot from 13 ft,41,36
127,2,10:16.0,,Offensive rebound by T. Hardaway,41,36
128,2,10:15.0,,T. Hardaway makes 2-pt layup from 1 ft,41,38
129,2,9:51.0,B. Biyombo makes 2-pt jump shot from 3 ft (assist by D. Rudež),,43,38
130,2,9:34.0,,Shooting foul by E. Payton (drawn by M. Delaney),43,38
131,2,9:34.0,,M. Delaney makes free throw 1 of 2,43,39
132,2,9:34.0,A. Gordon enters the game for D. Rudež,,43,39
133,2,9:34.0,,M. Delaney makes free throw 2 of 2,43,40
134,2,9:19.0,J. Green makes 3-pt jump shot from 25 ft (assist by E. Payton),,46,40
135,2,9:06.0,,T. Hardaway misses 2-pt jump shot from 9 ft,46,40
136,2,9:05.0,,Offensive rebound by D. Howard,46,40
137,2,9:04.0,,D. Howard makes 2-pt layup from 1 ft,46,42
138,2,8:53.0,Personal foul by M. Delaney (drawn by E. Payton),,46,42
139,2,8:53.0,Official timeout,,46,42
140,2,8:53.0,,D. Schröder enters the game for M. Delaney,46,42
141,2,8:38.0,A. Gordon misses 3-pt jump shot from 25 ft,,46,42
142,2,8:36.0,,Defensive rebound by P. Millsap,46,42
143,2,8:29.0,,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),46,44
144,2,8:12.0,J. Meeks makes 3-pt jump shot from 25 ft (assist by A. Gordon),,49,44
145,2,7:58.0,,Turnover by D. Howard (bad pass; steal by J. Meeks),49,44
146,2,7:51.0,A. Gordon makes 2-pt dunk from 1 ft (assist by J. Meeks),,51,44
147,2,7:44.0,,Atlanta full timeout,51,44
148,2,7:44.0,,M. Muscala enters the game for D. Howard,51,44
149,2,7:44.0,S. Ibaka enters the game for B. Biyombo,,51,44
150,2,7:37.0,,M. Muscala makes 2-pt layup from 1 ft (assist by D. Schröder),51,46
151,2,7:23.0,J. Green misses 3-pt jump shot from 24 ft,,51,46
152,2,7:22.0,,Defensive rebound by M. Muscala,51,46
153,2,7:15.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by D. Schröder),51,49
154,2,7:00.0,Shooting foul by T. Hardaway (drawn by J. Meeks),,51,49
155,2,7:00.0,J. Meeks misses free throw 1 of 2,,51,49
156,2,7:00.0,Offensive rebound by Team,,51,49
157,2,7:00.0,J. Meeks makes free throw 2 of 2,,52,49
