,QUARTER,TIME_REMAINING,DENVER_ACTION,INDIANA_ACTION,DENVER_SCORE,INDIANA_SCORE
0,1,11:37.0,,C. Miles misses 2-pt jump shot from 18 ft,0,0
1,1,11:37.0,Defensive rebound by D. Gallinari,,0,0
2,1,11:19.0,D. Gallinari makes 2-pt jump shot from 20 ft (assist by J. Nelson),,2,0
3,1,11:05.0,,J. Teague makes 2-pt layup from 2 ft (assist by C. Miles),2,2
4,1,10:40.0,W. Chandler makes 3-pt jump shot from 26 ft (assist by D. Gallinari),,5,2
5,1,10:33.0,,P. George makes 2-pt jump shot from 17 ft,5,4
6,1,10:14.0,Turnover by W. Chandler (bad pass; steal by J. Teague),,5,4
7,1,10:06.0,,C. Miles misses 3-pt jump shot from 25 ft,5,4
8,1,10:06.0,,Offensive rebound by M. Turner,5,4
9,1,10:02.0,,J. Teague misses 3-pt jump shot from 25 ft,5,4
10,1,10:01.0,Defensive rebound by N. Jokić,,5,4
11,1,9:45.0,W. Chandler makes 3-pt jump shot from 25 ft (assist by G. Harris),,8,4
12,1,9:31.0,,P. George makes 2-pt jump shot from 12 ft (assist by J. Teague),8,6
13,1,9:12.0,W. Chandler misses 2-pt jump shot from 18 ft,,8,6
14,1,9:11.0,,Defensive rebound by P. George,8,6
15,1,9:01.0,,P. George makes 2-pt jump shot from 20 ft,8,8
16,1,8:54.0,Shooting foul by C. Miles (drawn by D. Gallinari),,8,8
17,1,8:54.0,D. Gallinari makes free throw 1 of 2,,9,8
18,1,8:54.0,D. Gallinari makes free throw 2 of 2,,10,8
19,1,8:42.0,,Turnover by J. Teague (bad pass; steal by D. Gallinari),10,8
20,1,8:31.0,N. Jokić makes 2-pt jump shot from 4 ft (assist by J. Nelson),,12,8
21,1,8:14.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by J. Teague),12,10
22,1,8:06.0,G. Harris makes 2-pt jump shot from 12 ft (assist by J. Nelson),,14,10
23,1,7:51.0,,Turnover by J. Teague (bad pass; steal by N. Jokić),14,10
24,1,7:46.0,W. Chandler makes 2-pt layup from 1 ft (assist by N. Jokić),,16,10
25,1,7:31.0,,Shooting foul by J. Nelson (drawn by P. George),16,10
26,1,7:31.0,,P. George makes free throw 1 of 2,16,11
27,1,7:31.0,,P. George misses free throw 2 of 2,16,11
28,1,7:31.0,Defensive rebound by N. Jokić,,16,11
29,1,7:16.0,G. Harris makes 3-pt jump shot from 27 ft (assist by N. Jokić),,19,11
30,1,7:07.0,,Indiana full timeout,19,11
31,1,6:56.0,,P. George misses 2-pt jump shot from 12 ft (block by W. Chandler),19,11
32,1,6:55.0,Defensive rebound by G. Harris,,19,11
33,1,6:54.0,Turnover by G. Harris (lost ball; steal by P. George),,19,11
34,1,6:50.0,,T. Young makes 2-pt layup from 2 ft (assist by P. George),19,13
35,1,6:40.0,D. Gallinari misses 2-pt jump shot from 16 ft,,19,13
36,1,6:39.0,,Defensive rebound by T. Young,19,13
37,1,6:21.0,,M. Turner misses 2-pt jump shot from 20 ft,19,13
38,1,6:21.0,Defensive rebound by D. Gallinari,,19,13
39,1,6:07.0,N. Jokić makes 2-pt hook shot from 5 ft (assist by W. Chandler),,21,13
40,1,5:50.0,,C. Miles misses 2-pt jump shot from 13 ft,21,13
41,1,5:49.0,Defensive rebound by N. Jokić,,21,13
42,1,5:49.0,,M. Ellis enters the game for C. Miles,21,13
43,1,5:49.0,Turnover by N. Jokić (lost ball; steal by M. Turner),,21,13
44,1,5:37.0,,M. Ellis misses 2-pt layup from 4 ft,21,13
45,1,5:37.0,Defensive rebound by N. Jokić,,21,13
46,1,5:28.0,W. Chandler makes 2-pt dunk from 3 ft (assist by N. Jokić),,23,13
47,1,5:11.0,,J. Teague misses 2-pt jump shot from 10 ft (block by D. Gallinari),23,13
48,1,5:10.0,Defensive rebound by D. Gallinari,,23,13
49,1,5:07.0,N. Jokić makes 2-pt dunk from 3 ft (assist by G. Harris),,25,13
50,1,5:07.0,Shooting foul by P. George (drawn by N. Jokić),,25,13
51,1,5:07.0,N. Jokić makes free throw 1 of 1,,26,13
52,1,4:51.0,,M. Ellis makes 3-pt jump shot from 24 ft (assist by P. George),26,16
53,1,4:42.0,Turnover by J. Nelson (bad pass; steal by M. Ellis),,26,16
54,1,4:35.0,,J. Teague misses 3-pt jump shot from 24 ft,26,16
55,1,4:33.0,Defensive rebound by D. Gallinari,,26,16
56,1,4:23.0,D. Gallinari misses 2-pt jump shot from 9 ft,,26,16
57,1,4:22.0,Offensive rebound by N. Jokić,,26,16
58,1,4:22.0,N. Jokić makes 2-pt layup from 1 ft,,28,16
59,1,4:04.0,,P. George misses 2-pt jump shot from 19 ft,28,16
60,1,4:04.0,Defensive rebound by D. Gallinari,,28,16
61,1,3:57.0,Turnover by D. Gallinari (bad pass; steal by P. George),,28,16
62,1,3:51.0,,M. Turner makes 2-pt dunk from 2 ft (assist by T. Young),28,18
63,1,3:50.0,Denver full timeout,,28,18
64,1,3:50.0,W. Barton enters the game for D. Gallinari,,28,18
65,1,3:50.0,M. Plumlee enters the game for G. Harris,,28,18
66,1,3:50.0,,L. Allen enters the game for T. Young,28,18
67,1,3:41.0,Turnover by N. Jokić (bad pass; steal by P. George),,28,18
68,1,3:36.0,,M. Ellis misses 2-pt layup from 2 ft,28,18
69,1,3:34.0,,Offensive rebound by M. Turner,28,18
70,1,3:34.0,,M. Turner makes 2-pt layup from 1 ft,28,20
71,1,3:14.0,W. Barton misses 3-pt jump shot from 24 ft,,28,20
72,1,3:14.0,,Defensive rebound by M. Turner,28,20
73,1,2:59.0,,M. Turner misses 3-pt jump shot from 26 ft,28,20
74,1,2:58.0,Defensive rebound by N. Jokić,,28,20
75,1,2:46.0,W. Barton misses 2-pt jump shot from 6 ft (block by M. Turner),,28,20
76,1,2:45.0,,Defensive rebound by P. George,28,20
77,1,2:37.0,,L. Allen makes 2-pt jump shot from 19 ft (assist by J. Teague),28,22
78,1,2:21.0,J. Nelson makes 2-pt jump shot from 8 ft,,30,22
79,1,2:05.0,,J. Teague misses 2-pt jump shot from 5 ft,30,22
80,1,2:04.0,Defensive rebound by N. Jokić,,30,22
81,1,1:54.0,M. Plumlee makes 2-pt layup from 4 ft (assist by J. Nelson),,32,22
