,QUARTER,TIME_REMAINING,TORONTO_ACTION,SACRAMENTO_ACTION,TORONTO_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,,R. Gay misses 2-pt jump shot from 9 ft,0,0
1,1,11:41.0,,Offensive rebound by Team,0,0
2,1,11:24.0,,T. Lawson misses 3-pt jump shot from 24 ft,0,0
3,1,11:23.0,Defensive rebound by K. Lowry,,0,0
4,1,11:07.0,D. Carroll makes 2-pt jump shot from 3 ft (assist by J. Valančiūnas),,2,0
5,1,10:53.0,,M. Barnes makes 3-pt jump shot from 24 ft (assist by D. Collison),2,3
6,1,10:26.0,K. Lowry misses 3-pt jump shot from 28 ft,,2,3
7,1,10:25.0,,Defensive rebound by R. Gay,2,3
8,1,10:17.0,,D. Cousins misses 2-pt jump shot from 19 ft,2,3
9,1,10:16.0,Defensive rebound by P. Siakam,,2,3
10,1,10:04.0,J. Valančiūnas makes 2-pt layup from 4 ft,,4,3
11,1,9:53.0,,M. Barnes misses 3-pt jump shot from 25 ft,4,3
12,1,9:52.0,Defensive rebound by J. Valančiūnas,,4,3
13,1,9:41.0,D. DeRozan makes 2-pt jump shot from 13 ft,,6,3
14,1,9:16.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by D. Collison),6,6
15,1,9:02.0,Turnover by D. DeRozan (lost ball; steal by T. Lawson),,6,6
16,1,8:59.0,,R. Gay makes 2-pt dunk at rim (assist by D. Collison),6,8
17,1,8:43.0,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),,8,8
18,1,8:31.0,,D. Cousins makes 2-pt hook shot from 5 ft,8,10
19,1,8:17.0,D. DeRozan makes 2-pt layup from 2 ft,,10,10
20,1,8:17.0,Shooting foul by M. Barnes (drawn by D. DeRozan),,10,10
21,1,8:17.0,D. DeRozan makes free throw 1 of 1,,11,10
22,1,7:59.0,,D. Cousins misses 2-pt jump shot from 5 ft (block by P. Siakam),11,10
23,1,7:59.0,,Offensive rebound by Team,11,10
24,1,7:56.0,,Turnover by D. Cousins (lost ball; steal by K. Lowry),11,10
25,1,7:53.0,Turnover by K. Lowry (bad pass; steal by T. Lawson),,11,10
26,1,7:49.0,,Turnover by M. Barnes (bad pass),11,10
27,1,7:43.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,14,10
28,1,7:32.0,,Def 3 sec tech foul by J. Valančiūnas,14,10
29,1,7:32.0,,D. Collison misses technical free throw,14,10
30,1,7:32.0,,Offensive rebound by Team,14,10
31,1,7:25.0,,M. Barnes misses 2-pt jump shot from 13 ft (block by P. Siakam),14,10
32,1,7:25.0,,Offensive rebound by Team,14,10
33,1,7:22.0,,Shooting foul by K. Lowry (drawn by D. Collison),14,10
34,1,7:22.0,,D. Collison misses free throw 1 of 2,14,10
35,1,7:22.0,,Offensive rebound by Team,14,10
36,1,7:22.0,,D. Collison makes free throw 2 of 2,14,11
37,1,7:04.0,Shooting foul by D. Cousins (drawn by J. Valančiūnas),,14,11
38,1,7:04.0,J. Valančiūnas makes free throw 1 of 2,,15,11
39,1,7:04.0,J. Valančiūnas makes free throw 2 of 2,,16,11
40,1,6:48.0,,M. Barnes misses 2-pt jump shot from 7 ft,16,11
41,1,6:48.0,Defensive rebound by D. DeRozan,,16,11
42,1,6:29.0,D. Carroll misses 3-pt jump shot from 24 ft,,16,11
43,1,6:29.0,,Defensive rebound by D. Cousins,16,11
44,1,6:23.0,,Shooting foul by P. Siakam (drawn by D. Collison),16,11
45,1,6:23.0,,D. Collison makes free throw 1 of 2,16,12
46,1,6:23.0,,K. Koufos enters the game for T. Lawson,16,12
47,1,6:23.0,,D. Collison makes free throw 2 of 2,16,13
48,1,5:59.0,K. Lowry makes 2-pt layup from 3 ft (assist by J. Valančiūnas),,18,13
49,1,5:48.0,,R. Gay makes 2-pt dunk at rim,18,15
50,1,5:33.0,P. Siakam makes 2-pt hook shot from 10 ft,,20,15
51,1,5:16.0,,D. Cousins makes 2-pt jump shot from 21 ft (assist by D. Collison),20,17
52,1,5:02.0,J. Valančiūnas misses 2-pt jump shot from 17 ft,,20,17
53,1,5:01.0,,Defensive rebound by D. Cousins,20,17
54,1,4:53.0,,K. Koufos makes 2-pt layup from 1 ft (assist by D. Collison),20,19
55,1,4:48.0,Toronto full timeout,,20,19
56,1,4:48.0,,A. Afflalo enters the game for M. Barnes,20,19
57,1,4:42.0,K. Lowry misses 2-pt jump shot from 8 ft (block by K. Koufos),,20,19
58,1,4:41.0,,Defensive rebound by D. Cousins,20,19
59,1,4:33.0,,A. Afflalo makes 3-pt jump shot from 24 ft (assist by R. Gay),20,22
60,1,4:07.0,Shooting foul by D. Cousins (drawn by K. Lowry),,20,22
61,1,4:07.0,K. Lowry makes free throw 1 of 2,,21,22
62,1,4:07.0,K. Lowry makes free throw 2 of 2,,22,22
63,1,3:59.0,,Personal foul by D. Carroll (drawn by R. Gay),22,22
64,1,3:46.0,P. Patterson enters the game for P. Siakam,,22,22
65,1,3:42.0,,D. Cousins makes 3-pt jump shot from 26 ft (assist by R. Gay),22,25
66,1,3:26.0,J. Valančiūnas makes 2-pt hook shot from 5 ft,,24,25
67,1,3:04.0,,A. Afflalo misses 3-pt jump shot from 26 ft,24,25
68,1,3:04.0,Defensive rebound by J. Valančiūnas,,24,25
69,1,2:53.0,Turnover by K. Lowry (step out of bounds),,24,25
70,1,2:53.0,,Sacramento full timeout,24,25
71,1,2:53.0,C. Joseph enters the game for K. Lowry,,24,25
72,1,2:53.0,,A. Tolliver enters the game for D. Cousins,24,25
73,1,2:53.0,,T. Lawson enters the game for D. Collison,24,25
74,1,2:37.0,,A. Afflalo makes 2-pt jump shot from 19 ft (assist by T. Lawson),24,27
75,1,2:15.0,J. Valančiūnas makes 2-pt hook shot from 6 ft,,26,27
76,1,2:04.0,,Shooting foul by D. Carroll (drawn by R. Gay),26,27
77,1,2:04.0,,R. Gay makes 2-pt jump shot from 8 ft (assist by T. Lawson),26,29
78,1,2:04.0,L. Nogueira enters the game for J. Valančiūnas,,26,29
79,1,2:04.0,T. Ross enters the game for D. Carroll,,26,29
80,1,2:04.0,,R. Gay makes free throw 1 of 1,26,30
81,1,1:53.0,Personal foul by A. Tolliver (drawn by D. DeRozan),,26,30
82,1,1:39.0,C. Joseph misses 2-pt jump shot from 9 ft,,26,30
83,1,1:38.0,,Defensive rebound by R. Gay,26,30
84,1,1:33.0,,Shooting foul by T. Ross (drawn by R. Gay),26,30
85,1,1:33.0,,R. Gay makes free throw 1 of 2,26,31
86,1,1:33.0,,R. Gay makes free throw 2 of 2,26,32
87,1,1:10.0,Turnover by C. Joseph (bad pass),,26,32
88,1,1:01.0,,T. Lawson misses 2-pt layup from 4 ft (block by L. Nogueira),26,32
89,1,1:00.0,Defensive rebound by D. DeRozan,,26,32
90,1,0:52.0,L. Nogueira misses 2-pt dunk at rim (block by R. Gay),,26,32
91,1,0:52.0,,Defensive rebound by A. Tolliver,26,32
92,1,0:45.0,,K. Koufos makes 2-pt hook shot from 4 ft (assist by R. Gay),26,34
93,1,0:45.0,,Shooting foul by C. Joseph (drawn by K. Koufos),26,34
94,1,0:45.0,,K. Koufos misses free throw 1 of 1,26,34
95,1,0:43.0,Defensive rebound by T. Ross,,26,34
96,1,0:30.0,C. Joseph misses 2-pt layup from 4 ft,,26,34
97,1,0:28.0,,Defensive rebound by T. Lawson,26,34
