,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ATLANTA_ACTION,CHICAGO_SCORE,ATLANTA_SCORE
0,1,11:48.0,,Turnover by P. Millsap (bad pass),0,0
1,1,11:33.0,J. Butler makes 3-pt jump shot from 25 ft (assist by R. Rondo),,3,0
2,1,11:15.0,,D. Schröder misses 2-pt jump shot from 8 ft,3,0
3,1,11:14.0,,Offensive rebound by D. Schröder,3,0
4,1,11:12.0,,D. Schröder makes 2-pt layup from 2 ft,3,2
5,1,10:53.0,T. Gibson misses 2-pt jump shot from 9 ft,,3,2
6,1,10:52.0,,Defensive rebound by D. Howard,3,2
7,1,10:34.0,,P. Millsap misses 2-pt jump shot from 6 ft,3,2
8,1,10:33.0,Defensive rebound by T. Gibson,,3,2
9,1,10:25.0,R. Rondo misses 2-pt jump shot from 19 ft,,3,2
10,1,10:23.0,,Defensive rebound by P. Millsap,3,2
11,1,10:06.0,,K. Bazemore misses 2-pt jump shot from 19 ft,3,2
12,1,10:04.0,Defensive rebound by R. Lopez,,3,2
13,1,9:52.0,J. Butler makes 3-pt jump shot from 25 ft (assist by D. Wade),,6,2
14,1,9:19.0,,D. Schröder makes 3-pt jump shot from 23 ft (assist by K. Bazemore),6,5
15,1,9:11.0,Shooting block foul by D. Schröder (drawn by R. Rondo),,6,5
16,1,9:11.0,R. Rondo misses free throw 1 of 2,,6,5
17,1,9:11.0,Offensive rebound by Team,,6,5
18,1,9:11.0,R. Rondo makes free throw 2 of 2,,7,5
19,1,9:05.0,,Personal foul by R. Lopez (drawn by D. Howard),7,5
20,1,8:50.0,,P. Millsap misses 2-pt jump shot from 8 ft,7,5
21,1,8:48.0,Defensive rebound by T. Gibson,,7,5
22,1,8:33.0,R. Rondo misses 3-pt jump shot from 25 ft,,7,5
23,1,8:27.0,,Defensive rebound by D. Howard,7,5
24,1,8:18.0,,D. Schröder misses 3-pt jump shot from 22 ft,7,5
25,1,8:16.0,,Offensive rebound by D. Howard,7,5
26,1,8:11.0,,Shooting foul by T. Gibson (drawn by P. Millsap),7,5
27,1,8:11.0,,P. Millsap makes free throw 1 of 2,7,6
28,1,8:11.0,,P. Millsap makes free throw 2 of 2,7,7
29,1,7:50.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by D. Wade),,9,7
30,1,7:38.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by D. Schröder),9,10
31,1,7:28.0,D. Wade makes 3-pt jump shot from 25 ft (assist by J. Butler),,12,10
32,1,7:14.0,,Personal foul by R. Rondo (drawn by D. Schröder),12,10
33,1,7:09.0,,D. Schröder makes 2-pt jump shot from 17 ft,12,12
34,1,6:54.0,J. Butler misses 2-pt jump shot from 19 ft,,12,12
35,1,6:53.0,,Defensive rebound by P. Millsap,12,12
36,1,6:43.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by P. Millsap),12,15
37,1,6:31.0,D. Wade makes 2-pt jump shot from 19 ft,,14,15
38,1,6:25.0,,Shooting foul by D. Wade (drawn by K. Bazemore),14,15
39,1,6:25.0,,K. Bazemore misses free throw 1 of 2,14,15
40,1,6:25.0,,Offensive rebound by Team,14,15
41,1,6:25.0,,M. Muscala enters the game for P. Millsap,14,15
42,1,6:25.0,,K. Bazemore makes free throw 2 of 2,14,16
43,1,6:10.0,T. Gibson makes 2-pt hook shot from 7 ft,,16,16
44,1,5:57.0,,M. Muscala misses 2-pt jump shot from 18 ft,16,16
45,1,5:55.0,,Offensive rebound by D. Howard,16,16
46,1,5:52.0,,Turnover by K. Korver (lost ball; steal by D. Wade),16,16
