,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
119,2,8:06.0,C. LeVert misses 3-pt jump shot from 25 ft,,36,35
120,2,8:05.0,,Defensive rebound by W. Reed,36,35
121,2,7:43.0,,T. Johnson misses 2-pt jump shot from 15 ft,36,35
122,2,7:42.0,Defensive rebound by S. Kilpatrick,,36,35
123,2,7:36.0,S. Kilpatrick makes 2-pt jump shot from 16 ft,,38,35
124,2,7:36.0,,Miami full timeout,38,35
125,2,7:36.0,B. Lopez enters the game for J. Hamilton,,38,35
126,2,7:36.0,,H. Whiteside enters the game for J. Johnson,38,35
127,2,7:36.0,,O. White enters the game for W. Reed,38,35
128,2,7:22.0,,Turnover by H. Whiteside (bad pass; steal by C. LeVert),38,35
129,2,7:18.0,S. Kilpatrick makes 2-pt dunk at rim (assist by C. LeVert),,40,35
130,2,7:02.0,,W. Ellington misses 3-pt jump shot from 23 ft,40,35
131,2,7:01.0,,Offensive rebound by Team,40,35
132,2,7:00.0,Loose ball foul by R. Hollis-Jefferson (drawn by O. White),,40,35
133,2,6:55.0,,Personal foul by S. Kilpatrick (drawn by O. White),40,35
134,2,6:43.0,,G. Dragić misses 2-pt jump shot from 17 ft,40,35
135,2,6:42.0,,Offensive rebound by G. Dragić,40,35
136,2,6:38.0,,O. White makes 2-pt jump shot from 19 ft (assist by G. Dragić),40,37
137,2,6:15.0,I. Whitehead makes 2-pt layup from 2 ft,,42,37
138,2,6:03.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),42,39
139,2,5:45.0,B. Lopez makes 2-pt hook shot from 11 ft,,44,39
140,2,5:26.0,,T. Johnson misses 3-pt jump shot from 26 ft,44,39
141,2,5:25.0,,Offensive rebound by O. White,44,39
142,2,5:18.0,,O. White misses 3-pt jump shot from 25 ft,44,39
143,2,5:17.0,Defensive rebound by S. Kilpatrick,,44,39
144,2,5:06.0,B. Lopez misses 2-pt jump shot from 16 ft,,44,39
145,2,5:05.0,,Defensive rebound by T. Johnson,44,39
146,2,4:57.0,,T. Johnson misses 2-pt jump shot from 9 ft,44,39
147,2,4:56.0,Defensive rebound by R. Hollis-Jefferson,,44,39
148,2,4:46.0,I. Whitehead makes 2-pt layup from 1 ft (assist by B. Lopez),,46,39
149,2,4:46.0,,Miami full timeout,46,39
150,2,4:46.0,Official timeout,,46,39
151,2,4:46.0,B. Bogdanović enters the game for C. LeVert,,46,39
152,2,4:46.0,S. Dinwiddie enters the game for R. Hollis-Jefferson,,46,39
153,2,4:46.0,R. Foye enters the game for S. Kilpatrick,,46,39
154,2,4:46.0,T. Booker enters the game for I. Whitehead,,46,39
155,2,4:46.0,,R. McGruder enters the game for G. Dragić,46,39
156,2,4:46.0,,D. Waiters enters the game for T. Johnson,46,39
157,2,4:33.0,,W. Ellington misses 2-pt jump shot from 20 ft,46,39
158,2,4:32.0,Defensive rebound by S. Dinwiddie,,46,39
159,2,4:14.0,S. Dinwiddie makes 2-pt jump shot from 9 ft,,48,39
160,2,3:59.0,,H. Whiteside misses 2-pt hook shot from 8 ft,48,39
161,2,3:58.0,Defensive rebound by T. Booker,,48,39
162,2,3:42.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by B. Lopez),,50,39
163,2,3:22.0,,R. McGruder makes 2-pt jump shot from 8 ft,50,41
164,2,3:08.0,S. Dinwiddie misses 2-pt layup from 3 ft,,50,41
165,2,3:07.0,,Defensive rebound by H. Whiteside,50,41
166,2,3:01.0,,W. Ellington makes 2-pt layup from 1 ft (assist by D. Waiters),50,43
167,2,2:43.0,B. Bogdanović misses 2-pt jump shot from 16 ft,,50,43
168,2,2:42.0,,Defensive rebound by D. Waiters,50,43
169,2,2:34.0,,O. White makes 3-pt jump shot from 25 ft (assist by D. Waiters),50,46
170,2,2:34.0,Brooklyn full timeout,,50,46
171,2,2:34.0,,J. Johnson enters the game for W. Ellington,50,46
172,2,2:20.0,B. Lopez misses 2-pt layup from 2 ft,,50,46
173,2,2:19.0,,Defensive rebound by O. White,50,46
174,2,2:00.0,,D. Waiters makes 2-pt jump shot from 20 ft,50,48
175,2,1:45.0,B. Bogdanović misses 2-pt layup from 2 ft (block by H. Whiteside),,50,48
176,2,1:44.0,,Defensive rebound by H. Whiteside,50,48
177,2,1:32.0,,D. Waiters makes 3-pt jump shot from 24 ft,50,51
178,2,1:10.0,B. Lopez misses 2-pt jump shot from 10 ft (block by H. Whiteside),,50,51
