,QUARTER,TIME_REMAINING,TORONTO_ACTION,SAN ANTONIO_ACTION,TORONTO_SCORE,SAN ANTONIO_SCORE
0,1,11:43.0,,Turnover by D. Green (bad pass),0,0
1,1,11:28.0,D. DeRozan misses 2-pt jump shot from 20 ft,,0,0
2,1,11:25.0,Offensive rebound by P. Siakam,,0,0
3,1,11:25.0,P. Siakam makes 2-pt layup from 3 ft,,2,0
4,1,11:09.0,,T. Parker makes 2-pt jump shot from 6 ft (assist by L. Aldridge),2,2
5,1,10:56.0,J. Valančiūnas misses 2-pt jump shot from 12 ft,,2,2
6,1,10:54.0,,Defensive rebound by L. Aldridge,2,2
7,1,10:45.0,,P. Gasol misses 2-pt jump shot from 20 ft,2,2
8,1,10:43.0,Defensive rebound by K. Lowry,,2,2
9,1,10:36.0,P. Siakam misses 2-pt layup from 1 ft (block by P. Gasol),,2,2
10,1,10:31.0,,Defensive rebound by T. Parker,2,2
11,1,10:26.0,,K. Leonard makes 2-pt jump shot from 19 ft,2,4
12,1,10:10.0,Turnover by K. Lowry (bad pass; steal by K. Leonard),,2,4
13,1,10:05.0,,K. Leonard makes 2-pt layup from 1 ft (assist by P. Gasol),2,6
14,1,9:51.0,Shooting foul by L. Aldridge (drawn by K. Lowry),,2,6
15,1,9:51.0,K. Lowry makes free throw 1 of 2,,3,6
16,1,9:51.0,K. Lowry makes free throw 2 of 2,,4,6
17,1,9:38.0,,D. Green makes 3-pt jump shot from 24 ft (assist by T. Parker),4,9
18,1,9:29.0,J. Valančiūnas misses 2-pt layup from 4 ft (block by K. Leonard),,4,9
19,1,9:29.0,,Defensive rebound by Team,4,9
20,1,9:19.0,,Shooting foul by J. Valančiūnas (drawn by P. Gasol),4,9
21,1,9:19.0,,P. Gasol misses free throw 1 of 2,4,9
22,1,9:19.0,,Offensive rebound by Team,4,9
23,1,9:19.0,,P. Gasol makes free throw 2 of 2,4,10
24,1,9:04.0,D. DeRozan misses 2-pt jump shot from 10 ft,,4,10
25,1,8:57.0,,Defensive rebound by K. Leonard,4,10
26,1,8:46.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by T. Parker),4,12
27,1,8:39.0,Toronto full timeout,,4,12
28,1,8:24.0,D. DeRozan makes 2-pt jump shot from 19 ft,,6,12
29,1,8:07.0,,L. Aldridge makes 2-pt hook shot from 9 ft,6,14
30,1,7:56.0,Personal foul by K. Leonard (drawn by D. Carroll),,6,14
31,1,7:49.0,D. DeRozan misses 2-pt jump shot from 11 ft,,6,14
32,1,7:49.0,,Defensive rebound by Team,6,14
33,1,7:33.0,,L. Aldridge makes 2-pt jump shot from 7 ft,6,16
34,1,7:14.0,D. DeRozan makes 2-pt jump shot from 17 ft,,8,16
35,1,6:59.0,,D. Green misses 2-pt layup from 4 ft,8,16
36,1,6:57.0,Defensive rebound by D. DeRozan,,8,16
37,1,6:49.0,D. DeRozan misses 2-pt jump shot from 12 ft (block by P. Gasol),,8,16
38,1,6:47.0,,Defensive rebound by T. Parker,8,16
39,1,6:42.0,,P. Gasol makes 2-pt layup from 1 ft (assist by K. Leonard),8,18
40,1,6:31.0,Turnover by D. Carroll (bad pass),,8,18
41,1,6:14.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by L. Aldridge),8,21
42,1,5:54.0,K. Lowry misses 3-pt jump shot from 26 ft,,8,21
43,1,5:53.0,Offensive rebound by D. Carroll,,8,21
44,1,5:49.0,D. Carroll misses 3-pt jump shot from 28 ft,,8,21
45,1,5:48.0,,Defensive rebound by L. Aldridge,8,21
46,1,5:33.0,,Turnover by T. Parker (bad pass; steal by D. Carroll),8,21
47,1,5:29.0,D. Carroll makes 2-pt dunk at rim,,10,21
48,1,5:14.0,,P. Gasol misses 2-pt jump shot from 15 ft,10,21
49,1,5:14.0,,Offensive rebound by L. Aldridge,10,21
50,1,5:14.0,Loose ball foul by D. DeRozan (drawn by L. Aldridge),,10,21
51,1,5:14.0,L. Nogueira enters the game for P. Siakam,,10,21
52,1,5:14.0,,M. Ginóbili enters the game for D. Green,10,21
