,QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
0,1,11:44.0,,N. Vučević makes 2-pt jump shot from 15 ft (assist by E. Payton),0,2
1,1,11:22.0,P. George makes 3-pt jump shot from 25 ft (assist by M. Turner),,3,2
2,1,11:08.0,,S. Ibaka misses 2-pt jump shot from 14 ft,3,2
3,1,11:06.0,Defensive rebound by C. Miles,,3,2
4,1,11:00.0,P. George misses 2-pt jump shot from 6 ft,,3,2
5,1,10:59.0,,Defensive rebound by N. Vučević,3,2
6,1,10:49.0,,E. Payton makes 2-pt jump shot from 20 ft,3,4
7,1,10:40.0,P. George makes 2-pt jump shot from 9 ft (assist by J. Teague),,5,4
8,1,10:25.0,,E. Payton misses 2-pt jump shot from 5 ft,5,4
9,1,10:23.0,Defensive rebound by T. Young,,5,4
10,1,10:09.0,T. Young makes 2-pt layup from 3 ft (assist by J. Teague),,7,4
11,1,9:54.0,,E. Payton misses 3-pt jump shot from 25 ft,7,4
12,1,9:53.0,Defensive rebound by P. George,,7,4
13,1,9:36.0,T. Young misses 3-pt jump shot from 23 ft,,7,4
14,1,9:35.0,,Defensive rebound by E. Payton,7,4
15,1,9:21.0,,N. Vučević makes 2-pt hook shot from 12 ft,7,6
16,1,9:04.0,C. Miles makes 2-pt jump shot from 17 ft (assist by J. Teague),,9,6
17,1,8:51.0,,E. Fournier misses 2-pt jump shot from 15 ft,9,6
18,1,8:50.0,Defensive rebound by C. Miles,,9,6
19,1,8:39.0,J. Teague makes 3-pt jump shot from 25 ft,,12,6
20,1,8:19.0,,A. Gordon misses 3-pt jump shot from 25 ft,12,6
21,1,8:17.0,Defensive rebound by T. Young,,12,6
22,1,8:05.0,T. Young makes 2-pt jump shot from 17 ft (assist by J. Teague),,14,6
23,1,8:04.0,,Orlando full timeout,14,6
24,1,7:53.0,,N. Vučević misses 2-pt jump shot from 18 ft,14,6
25,1,7:52.0,Defensive rebound by P. George,,14,6
26,1,7:38.0,T. Young makes 2-pt dunk at rim (assist by P. George),,16,6
27,1,7:20.0,,N. Vučević misses 2-pt hook shot from 12 ft,16,6
28,1,7:19.0,,Offensive rebound by N. Vučević,16,6
29,1,7:15.0,,A. Gordon misses 3-pt jump shot from 24 ft,16,6
30,1,7:13.0,Defensive rebound by Team,,16,6
31,1,6:51.0,T. Young makes 2-pt jump shot from 9 ft (assist by J. Teague),,18,6
32,1,6:41.0,,Shooting foul by C. Miles (drawn by E. Fournier),18,6
33,1,6:41.0,,E. Fournier makes free throw 1 of 2,18,7
34,1,6:41.0,,E. Fournier makes free throw 2 of 2,18,8
35,1,6:28.0,P. George misses 2-pt jump shot from 8 ft,,18,8
36,1,6:26.0,,Defensive rebound by S. Ibaka,18,8
37,1,6:20.0,,Shooting foul by C. Miles (drawn by N. Vučević),18,8
38,1,6:20.0,,N. Vučević misses free throw 1 of 2,18,8
39,1,6:20.0,,Offensive rebound by Team,18,8
40,1,6:20.0,M. Ellis enters the game for C. Miles,,18,8
41,1,6:20.0,,N. Vučević makes free throw 2 of 2,18,9
42,1,6:06.0,Turnover by M. Ellis (bad pass; steal by E. Fournier),,18,9
43,1,6:00.0,,A. Gordon makes 2-pt dunk at rim (assist by E. Fournier),18,11
44,1,5:44.0,M. Turner makes 2-pt jump shot from 20 ft (assist by M. Ellis),,20,11
45,1,5:30.0,,E. Fournier misses 2-pt layup from 2 ft,20,11
46,1,5:29.0,Defensive rebound by T. Young,,20,11
47,1,5:19.0,Shooting foul by E. Payton (drawn by J. Teague),,20,11
48,1,5:19.0,J. Teague makes free throw 1 of 2,,21,11
49,1,5:19.0,J. Teague makes free throw 2 of 2,,22,11
50,1,5:10.0,,E. Payton misses 2-pt layup from 2 ft (block by M. Turner),22,11
51,1,5:09.0,,Offensive rebound by Team,22,11
52,1,5:05.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by E. Fournier),22,14
53,1,4:41.0,P. George misses 3-pt jump shot from 24 ft,,22,14
54,1,4:40.0,,Defensive rebound by E. Payton,22,14
55,1,4:32.0,,E. Payton makes 2-pt layup from 2 ft (assist by N. Vučević),22,16
56,1,4:13.0,P. George misses 2-pt jump shot from 18 ft,,22,16
57,1,4:12.0,,Defensive rebound by S. Ibaka,22,16
58,1,3:59.0,,A. Gordon makes 2-pt jump shot from 10 ft,22,18
59,1,3:50.0,Turnover by J. Teague (bad pass; steal by E. Fournier),,22,18
60,1,3:32.0,L. Allen enters the game for T. Young,,22,18
