,QUARTER,TIME_REMAINING,DALLAS_ACTION,BOSTON_ACTION,DALLAS_SCORE,BOSTON_SCORE
0,1,11:41.0,D. Williams misses 3-pt jump shot from 25 ft,,0,0
1,1,11:40.0,,Defensive rebound by A. Bradley,0,0
2,1,11:19.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by I. Thomas),0,3
3,1,11:02.0,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by A. Bogut),,3,3
4,1,10:40.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by I. Thomas),3,5
5,1,10:30.0,Def 3 sec tech foul by A. Johnson,,3,5
6,1,10:30.0,H. Barnes misses technical free throw,,3,5
7,1,10:30.0,Offensive rebound by Team,,3,5
8,1,10:18.0,H. Barnes misses 2-pt jump shot from 13 ft,,3,5
9,1,10:17.0,Offensive rebound by A. Bogut,,3,5
10,1,10:16.0,A. Bogut misses 2-pt layup from 2 ft,,3,5
11,1,10:15.0,,Defensive rebound by A. Johnson,3,5
12,1,10:10.0,,I. Thomas makes 2-pt jump shot from 3 ft,3,7
13,1,10:10.0,,Shooting foul by W. Matthews (drawn by I. Thomas),3,7
14,1,10:10.0,,I. Thomas misses free throw 1 of 1,3,7
15,1,10:10.0,Defensive rebound by A. Bogut,,3,7
16,1,9:55.0,Turnover by W. Matthews (lost ball; steal by A. Johnson),,3,7
17,1,9:50.0,,I. Thomas makes 2-pt layup from 2 ft (assist by A. Johnson),3,9
18,1,9:40.0,Dallas full timeout,,3,9
19,1,9:25.0,D. Williams misses 3-pt jump shot from 25 ft,,3,9
20,1,9:24.0,,Defensive rebound by M. Smart,3,9
21,1,9:21.0,,A. Bradley makes 2-pt layup from 2 ft (assist by M. Smart),3,11
22,1,9:21.0,,Shooting foul by H. Barnes (drawn by A. Bradley),3,11
23,1,9:21.0,,A. Bradley misses free throw 1 of 1,3,11
24,1,9:19.0,,Offensive rebound by A. Johnson,3,11
25,1,9:11.0,,Turnover by I. Thomas (discontinued dribble),3,11
26,1,8:53.0,Personal foul by I. Thomas (drawn by W. Matthews),,3,11
27,1,8:45.0,Personal foul by A. Johnson (drawn by A. Bogut),,3,11
28,1,8:31.0,D. Finney-Smith misses 3-pt jump shot from 22 ft,,3,11
29,1,8:30.0,,Defensive rebound by A. Bradley,3,11
30,1,8:16.0,,Turnover by A. Bradley (bad pass; steal by A. Bogut),3,11
31,1,8:04.0,H. Barnes misses 2-pt hook shot from 4 ft,,3,11
32,1,8:03.0,Offensive rebound by D. Finney-Smith,,3,11
33,1,8:03.0,D. Finney-Smith makes 2-pt dunk at rim,,5,11
34,1,7:50.0,,I. Thomas misses 2-pt layup from 3 ft (block by A. Bogut),5,11
35,1,7:49.0,Defensive rebound by W. Matthews,,5,11
36,1,7:42.0,D. Finney-Smith misses 2-pt layup from 2 ft,,5,11
37,1,7:41.0,,Defensive rebound by M. Smart,5,11
38,1,7:30.0,,K. Olynyk misses 2-pt jump shot from 4 ft,5,11
39,1,7:29.0,Defensive rebound by A. Bogut,,5,11
40,1,7:10.0,H. Barnes makes 2-pt jump shot from 8 ft,,7,11
41,1,6:58.0,,Shooting foul by D. Williams (drawn by M. Smart),7,11
42,1,6:58.0,,M. Smart misses free throw 1 of 2,7,11
43,1,6:58.0,,Offensive rebound by Team,7,11
44,1,6:58.0,J. Barea enters the game for D. Finney-Smith,,7,11
45,1,6:58.0,,M. Smart makes free throw 2 of 2,7,12
46,1,6:46.0,W. Matthews misses 3-pt jump shot from 25 ft,,7,12
47,1,6:45.0,,Defensive rebound by M. Smart,7,12
48,1,6:36.0,,I. Thomas misses 2-pt jump shot from 4 ft,7,12
49,1,6:35.0,,Offensive rebound by I. Thomas,7,12
50,1,6:29.0,,A. Bradley misses 2-pt jump shot from 17 ft,7,12
51,1,6:28.0,,Offensive rebound by Team,7,12
52,1,6:28.0,D. Powell enters the game for A. Bogut,,7,12
53,1,6:28.0,,J. Jerebko enters the game for A. Johnson,7,12
54,1,6:25.0,,A. Bradley misses 2-pt jump shot from 19 ft,7,12
55,1,6:24.0,Defensive rebound by D. Powell,,7,12
56,1,6:09.0,H. Barnes misses 2-pt jump shot from 13 ft,,7,12
57,1,6:08.0,,Defensive rebound by A. Bradley,7,12
58,1,5:56.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by M. Smart),7,15
59,1,5:42.0,W. Matthews misses 2-pt layup from 2 ft,,7,15
60,1,5:41.0,,Defensive rebound by A. Bradley,7,15
61,1,5:33.0,,I. Thomas misses 2-pt layup from 1 ft,7,15
62,1,5:32.0,,Offensive rebound by A. Bradley,7,15
63,1,5:32.0,,A. Bradley makes 2-pt layup from 1 ft,7,17
64,1,5:32.0,Dallas full timeout,,7,17
65,1,5:32.0,S. Curry enters the game for D. Williams,,7,17
66,1,5:18.0,H. Barnes makes 2-pt jump shot from 14 ft (assist by J. Barea),,9,17
67,1,5:02.0,,K. Olynyk makes 2-pt layup from 2 ft,9,19
68,1,4:48.0,J. Barea misses 2-pt layup from 1 ft,,9,19
69,1,4:47.0,,Defensive rebound by A. Bradley,9,19
70,1,4:42.0,,A. Bradley misses 2-pt layup from 2 ft (block by D. Powell),9,19
71,1,4:41.0,,Offensive rebound by Team,9,19
72,1,4:41.0,,T. Rozier enters the game for M. Smart,9,19
73,1,4:41.0,A. Bogut enters the game for H. Barnes,,9,19
74,1,4:37.0,,I. Thomas misses 2-pt jump shot from 16 ft,9,19
75,1,4:36.0,Defensive rebound by D. Powell,,9,19
76,1,4:22.0,J. Barea makes 3-pt jump shot from 25 ft (assist by A. Bogut),,12,19
77,1,4:10.0,,J. Jerebko makes 2-pt jump shot from 18 ft (assist by I. Thomas),12,21
78,1,3:51.0,A. Bogut misses 2-pt hook shot from 5 ft,,12,21
79,1,3:50.0,,Defensive rebound by J. Jerebko,12,21
80,1,3:43.0,,Turnover by I. Thomas (bad pass),12,21
81,1,3:35.0,J. Barea misses 3-pt jump shot from 26 ft,,12,21
82,1,3:34.0,Offensive rebound by D. Powell,,12,21
