,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
0,1,11:46.0,K. Towns misses 2-pt jump shot from 3 ft (block by D. Nowitzki),,0,0
1,1,11:45.0,,Defensive rebound by H. Barnes,0,0
2,1,11:30.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,0,0
3,1,11:30.0,Defensive rebound by R. Rubio,,0,0
4,1,11:16.0,G. Dieng makes 2-pt layup from 2 ft (assist by K. Towns),,2,0
5,1,10:59.0,,H. Barnes makes 2-pt jump shot from 1 ft (assist by D. Williams),2,2
6,1,10:44.0,A. Wiggins misses 3-pt jump shot from 22 ft,,2,2
7,1,10:43.0,,Defensive rebound by W. Matthews,2,2
8,1,10:27.0,,W. Matthews misses 2-pt jump shot from 18 ft,2,2
9,1,10:26.0,Defensive rebound by Z. LaVine,,2,2
10,1,10:02.0,K. Towns makes 2-pt hook shot from 11 ft,,4,2
11,1,9:41.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,4,2
12,1,9:40.0,Defensive rebound by A. Wiggins,,4,2
13,1,9:27.0,G. Dieng makes 2-pt jump shot from 13 ft,,6,2
14,1,9:10.0,,D. Nowitzki misses 2-pt jump shot from 17 ft,6,2
15,1,9:09.0,Defensive rebound by Z. LaVine,,6,2
16,1,8:59.0,R. Rubio misses 2-pt jump shot from 22 ft,,6,2
17,1,8:57.0,,Defensive rebound by H. Barnes,6,2
18,1,8:42.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by W. Matthews),6,5
19,1,8:27.0,Turnover by A. Wiggins (offensive foul),,6,5
20,1,8:27.0,Offensive foul by A. Wiggins (drawn by W. Matthews),,6,5
21,1,8:05.0,,W. Matthews misses 3-pt jump shot from 27 ft,6,5
22,1,8:04.0,Defensive rebound by K. Towns,,6,5
23,1,7:53.0,A. Wiggins makes 2-pt jump shot from 15 ft (assist by R. Rubio),,8,5
24,1,7:35.0,,Turnover by W. Matthews (offensive foul),8,5
25,1,7:35.0,,Offensive foul by W. Matthews (drawn by R. Rubio),8,5
26,1,7:35.0,,S. Mejri enters the game for D. Nowitzki,8,5
27,1,7:21.0,Turnover by R. Rubio (bad pass; steal by D. Williams),,8,5
28,1,7:15.0,,D. Williams misses 3-pt jump shot from 26 ft,8,5
29,1,7:13.0,Defensive rebound by A. Wiggins,,8,5
30,1,7:07.0,Turnover by R. Rubio (bad pass; steal by S. Curry),,8,5
31,1,6:59.0,,W. Matthews makes 3-pt jump shot from 22 ft (assist by D. Williams),8,8
32,1,6:42.0,K. Towns makes 2-pt jump shot from 19 ft (assist by R. Rubio),,10,8
33,1,6:32.0,,H. Barnes misses 3-pt jump shot from 26 ft,10,8
34,1,6:31.0,Defensive rebound by K. Towns,,10,8
35,1,6:10.0,Z. LaVine makes 3-pt jump shot from 26 ft (assist by A. Wiggins),,13,8
36,1,6:09.0,,Dallas full timeout,13,8
37,1,5:56.0,,S. Curry misses 2-pt jump shot from 20 ft,13,8
38,1,5:55.0,,Offensive rebound by S. Mejri,13,8
39,1,5:52.0,,S. Mejri makes 2-pt layup from 1 ft,13,10
40,1,5:32.0,K. Towns makes 3-pt jump shot from 24 ft (assist by Z. LaVine),,16,10
41,1,5:18.0,,Shooting block foul by K. Towns (drawn by H. Barnes),16,10
42,1,5:18.0,,H. Barnes misses free throw 1 of 2,16,10
43,1,5:18.0,,Offensive rebound by Team,16,10
44,1,5:18.0,S. Muhammad enters the game for Z. LaVine,,16,10
45,1,5:18.0,,H. Barnes makes free throw 2 of 2,16,11
46,1,5:13.0,R. Rubio misses 2-pt layup from 1 ft,,16,11
47,1,5:09.0,,Defensive rebound by S. Mejri,16,11
48,1,5:05.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Williams),16,14
49,1,4:35.0,A. Wiggins misses 2-pt jump shot from 20 ft,,16,14
50,1,4:34.0,,Defensive rebound by S. Mejri,16,14
51,1,4:21.0,,H. Barnes makes 2-pt jump shot from 4 ft,16,16
52,1,4:03.0,A. Wiggins makes 3-pt jump shot from 27 ft (assist by K. Towns),,19,16
53,1,3:46.0,,H. Barnes makes 2-pt jump shot from 12 ft (assist by D. Williams),19,18
54,1,3:28.0,N. Bjelica enters the game for G. Dieng,,19,18
55,1,3:24.0,K. Towns misses 3-pt jump shot from 24 ft,,19,18
56,1,3:24.0,Offensive rebound by A. Wiggins,,19,18
57,1,3:20.0,A. Wiggins makes 2-pt jump shot from 10 ft,,21,18
58,1,3:15.0,,Personal foul by R. Rubio (drawn by D. Williams),21,18
59,1,3:15.0,,D. Williams misses free throw 1 of 2,21,18
60,1,3:15.0,,Offensive rebound by Team,21,18
61,1,3:15.0,,D. Williams misses free throw 2 of 2,21,18
62,1,3:15.0,,D. Nowitzki enters the game for H. Barnes,21,18
63,1,3:15.0,,D. Harris enters the game for S. Curry,21,18
64,1,3:14.0,Defensive rebound by N. Bjelica,,21,18
65,1,3:05.0,A. Wiggins misses 2-pt jump shot from 17 ft,,21,18
66,1,3:04.0,,Defensive rebound by D. Williams,21,18
67,1,2:49.0,,Turnover by D. Williams (bad pass; steal by K. Towns),21,18
68,1,2:39.0,S. Muhammad misses 2-pt jump shot from 8 ft,,21,18
69,1,2:37.0,,Defensive rebound by W. Matthews,21,18
70,1,2:29.0,,D. Harris makes 2-pt jump shot from 10 ft (assist by D. Williams),21,20
71,1,2:29.0,,Shooting foul by R. Rubio (drawn by D. Harris),21,20
72,1,2:29.0,Minnesota full timeout,,21,20
73,1,2:29.0,,J. Barea enters the game for D. Williams,21,20
74,1,2:29.0,K. Dunn enters the game for R. Rubio,,21,20
75,1,2:29.0,,D. Harris makes free throw 1 of 1,21,21
76,1,2:13.0,N. Bjelica makes 2-pt jump shot from 18 ft (assist by A. Wiggins),,23,21
77,1,1:48.0,,D. Nowitzki makes 2-pt jump shot from 10 ft,23,23
78,1,1:29.0,S. Muhammad misses 2-pt jump shot from 13 ft,,23,23
79,1,1:27.0,,Defensive rebound by S. Mejri,23,23
80,1,1:10.0,,D. Nowitzki misses 2-pt jump shot from 7 ft,23,23
81,1,1:08.0,Defensive rebound by K. Towns,,23,23
82,1,0:49.0,N. Bjelica makes 2-pt jump shot from 3 ft,,25,23
83,1,0:35.0,,Shooting foul by K. Dunn (drawn by D. Harris),25,23
84,1,0:35.0,,D. Harris makes free throw 1 of 2,25,24
85,1,0:35.0,,D. Powell enters the game for D. Nowitzki,25,24
86,1,0:35.0,,D. Finney-Smith enters the game for W. Matthews,25,24
87,1,0:35.0,,D. Harris makes free throw 2 of 2,25,25
88,1,0:30.0,Turnover by K. Dunn (lost ball; steal by D. Finney-Smith),,25,25
89,1,0:12.0,,Personal take foul by S. Muhammad (drawn by D. Harris),25,25
90,1,0:12.0,,D. Harris makes free throw 1 of 2,25,26
91,1,0:12.0,,D. Harris makes free throw 2 of 2,25,27
92,1,0:04.0,Personal take foul by D. Finney-Smith (drawn by A. Wiggins),,25,27
93,1,0:04.0,,S. Curry enters the game for J. Barea,25,27
94,1,0:01.0,Turnover by A. Wiggins (traveling),,25,27
95,2,11:44.0,,D. Harris makes 2-pt jump shot from 9 ft (assist by D. Powell),25,29
96,2,11:44.0,,Shooting block foul by C. Aldrich (drawn by D. Harris),25,29
97,2,11:44.0,,D. Harris makes free throw 1 of 1,25,30
98,2,11:24.0,K. Dunn misses 3-pt jump shot from 25 ft,,25,30
99,2,11:23.0,,Defensive rebound by D. Harris,25,30
100,2,11:16.0,,D. Nowitzki makes 3-pt jump shot from 27 ft (assist by J. Barea),25,33
101,2,10:58.0,S. Muhammad misses 2-pt hook shot from 7 ft,,25,33
102,2,10:57.0,,Defensive rebound by D. Nowitzki,25,33
103,2,10:48.0,,Shooting foul by K. Dunn (drawn by J. Barea),25,33
104,2,10:48.0,,J. Barea makes free throw 1 of 2,25,34
105,2,10:48.0,,J. Barea misses free throw 2 of 2,25,34
106,2,10:48.0,B. Rush enters the game for S. Muhammad,,25,34
107,2,10:47.0,Defensive rebound by C. Aldrich,,25,34
108,2,10:35.0,Z. LaVine misses 3-pt jump shot from 25 ft,,25,34
109,2,10:34.0,,Defensive rebound by D. Powell,25,34
110,2,10:21.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,25,34
111,2,10:21.0,Defensive rebound by C. Aldrich,,25,34
112,2,10:15.0,N. Bjelica makes 2-pt jump shot from 4 ft,,27,34
113,2,10:15.0,Shooting foul by D. Powell (drawn by N. Bjelica),,27,34
114,2,10:15.0,N. Bjelica misses free throw 1 of 1,,27,34
115,2,10:14.0,,Defensive rebound by D. Nowitzki,27,34
116,2,10:01.0,,Shooting foul by K. Dunn (drawn by J. Barea),27,34
117,2,10:01.0,,J. Barea makes free throw 1 of 3,27,35
118,2,10:01.0,,J. Barea makes free throw 2 of 3,27,36
119,2,10:01.0,,S. Curry enters the game for D. Harris,27,36
120,2,10:01.0,R. Rubio enters the game for K. Dunn,,27,36
121,2,10:01.0,,J. Barea makes free throw 3 of 3,27,37
122,2,9:50.0,Z. LaVine misses 2-pt layup from 2 ft (block by D. Nowitzki),,27,37
123,2,9:49.0,,Defensive rebound by S. Curry,27,37
124,2,9:42.0,,Turnover by J. Barea (bad pass; steal by N. Bjelica),27,37
125,2,9:29.0,Turnover by N. Bjelica (lost ball; steal by S. Curry),,27,37
126,2,9:19.0,,S. Curry misses 2-pt layup from 4 ft,27,37
127,2,9:16.0,Defensive rebound by C. Aldrich,,27,37
128,2,8:53.0,N. Bjelica makes 2-pt jump shot from 15 ft,,29,37
129,2,8:35.0,,D. Nowitzki makes 2-pt jump shot from 4 ft (assist by J. Barea),29,39
130,2,8:21.0,B. Rush misses 2-pt jump shot from 21 ft,,29,39
131,2,8:20.0,,Defensive rebound by J. Barea,29,39
132,2,8:08.0,,D. Nowitzki makes 2-pt jump shot from 22 ft (assist by J. Barea),29,41
133,2,7:45.0,R. Rubio misses 2-pt layup from 2 ft (block by D. Finney-Smith),,29,41
134,2,7:44.0,,Defensive rebound by D. Nowitzki,29,41
135,2,7:35.0,,D. Nowitzki makes 3-pt jump shot from 29 ft (assist by D. Finney-Smith),29,44
136,2,7:27.0,Minnesota full timeout,,29,44
137,2,7:27.0,,H. Barnes enters the game for D. Nowitzki,29,44
138,2,7:27.0,G. Dieng enters the game for N. Bjelica,,29,44
139,2,7:27.0,K. Towns enters the game for C. Aldrich,,29,44
140,2,7:27.0,A. Wiggins enters the game for B. Rush,,29,44
