,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA CLIPPERS_ACTION,ORLANDO_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,,D. Jordan misses 2-pt layup from 3 ft (block by N. Vučević),0,0
1,1,11:36.0,Defensive rebound by N. Vučević,,0,0
2,1,11:26.0,Turnover by E. Fournier (lost ball; steal by D. Jordan),,0,0
3,1,11:10.0,,C. Paul makes 2-pt jump shot from 17 ft,0,2
4,1,10:55.0,N. Vučević misses 2-pt hook shot from 13 ft,,0,2
5,1,10:51.0,,Defensive rebound by D. Jordan,0,2
6,1,10:42.0,,Personal foul by A. Gordon (drawn by D. Jordan),0,2
7,1,10:27.0,,J. Redick misses 2-pt jump shot from 21 ft,0,2
8,1,10:24.0,Defensive rebound by E. Payton,,0,2
9,1,10:23.0,Turnover by E. Payton (lost ball; steal by C. Paul),,0,2
10,1,10:20.0,,C. Paul misses 3-pt jump shot from 25 ft,0,2
11,1,10:18.0,Defensive rebound by E. Fournier,,0,2
12,1,10:10.0,Shooting foul by J. Redick (drawn by A. Gordon),,0,2
13,1,10:10.0,A. Gordon misses free throw 1 of 2,,0,2
14,1,10:10.0,Offensive rebound by Team,,0,2
15,1,10:10.0,A. Gordon makes free throw 2 of 2,,1,2
16,1,9:48.0,,J. Redick misses 3-pt jump shot from 27 ft,1,2
17,1,9:47.0,,Offensive rebound by D. Jordan,1,2
18,1,9:45.0,,Shooting foul by J. Green (drawn by D. Jordan),1,2
19,1,9:45.0,,D. Jordan makes free throw 1 of 2,1,3
20,1,9:45.0,,D. Jordan misses free throw 2 of 2,1,3
21,1,9:44.0,Defensive rebound by J. Green,,1,3
22,1,9:34.0,E. Fournier misses 2-pt layup from 3 ft (block by D. Jordan),,1,3
23,1,9:32.0,Offensive rebound by J. Green,,1,3
24,1,9:27.0,E. Payton makes 2-pt jump shot from 11 ft,,3,3
25,1,9:26.0,,Turnover by C. Paul (traveling),3,3
26,1,9:19.0,J. Green misses 3-pt jump shot from 27 ft,,3,3
27,1,9:18.0,,Defensive rebound by D. Jordan,3,3
28,1,9:13.0,,Personal foul by J. Green (drawn by C. Paul),3,3
29,1,9:13.0,J. Meeks enters the game for J. Green,,3,3
30,1,9:03.0,,A. Rivers makes 3-pt jump shot from 26 ft (assist by C. Paul),3,6
31,1,8:51.0,E. Payton misses 2-pt layup from 3 ft,,3,6
32,1,8:50.0,,Defensive rebound by D. Jordan,3,6
33,1,8:42.0,,D. Jordan misses 2-pt hook shot from 5 ft,3,6
34,1,8:41.0,Defensive rebound by N. Vučević,,3,6
35,1,8:33.0,A. Gordon makes 2-pt jump shot from 14 ft (assist by E. Payton),,5,6
36,1,8:16.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by A. Rivers),5,8
37,1,7:58.0,Shooting foul by L. Mbah a Moute (drawn by E. Fournier),,5,8
38,1,7:58.0,E. Fournier makes free throw 1 of 2,,6,8
39,1,7:58.0,E. Fournier makes free throw 2 of 2,,7,8
40,1,7:45.0,,Shooting foul by J. Meeks (drawn by J. Redick),7,8
41,1,7:45.0,,J. Redick makes free throw 1 of 2,7,9
42,1,7:45.0,,J. Redick makes free throw 2 of 2,7,10
43,1,7:37.0,Def 3 sec tech foul by L. Mbah a Moute,,7,10
44,1,7:37.0,E. Fournier misses technical free throw,,7,10
45,1,7:37.0,Offensive rebound by Team,,7,10
46,1,7:29.0,N. Vučević makes 2-pt jump shot from 16 ft,,9,10
47,1,7:15.0,,C. Paul makes 2-pt jump shot from 15 ft,9,12
48,1,7:04.0,E. Payton misses 2-pt jump shot from 17 ft,,9,12
49,1,7:02.0,,Defensive rebound by J. Redick,9,12
50,1,6:45.0,,J. Redick makes 2-pt jump shot from 22 ft,9,14
51,1,6:26.0,J. Meeks misses 3-pt jump shot from 25 ft,,9,14
52,1,6:26.0,Offensive rebound by Team,,9,14
53,1,6:21.0,A. Gordon makes 2-pt layup from 4 ft,,11,14
54,1,6:21.0,Shooting foul by L. Mbah a Moute (drawn by A. Gordon),,11,14
55,1,6:21.0,A. Gordon makes free throw 1 of 1,,12,14
56,1,6:07.0,,Turnover by L. Mbah a Moute (bad pass; steal by N. Vučević),12,14
57,1,6:01.0,J. Meeks misses 3-pt jump shot from 26 ft,,12,14
58,1,5:57.0,,Defensive rebound by C. Paul,12,14
59,1,5:45.0,,A. Rivers misses 3-pt jump shot from 27 ft,12,14
60,1,5:44.0,Defensive rebound by J. Meeks,,12,14
61,1,5:39.0,A. Gordon makes 2-pt dunk at rim (assist by J. Meeks),,14,14
62,1,5:18.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by A. Rivers),14,17
63,1,5:00.0,N. Vučević misses 2-pt hook shot from 9 ft,,14,17
64,1,4:58.0,,Defensive rebound by D. Jordan,14,17
65,1,4:52.0,,Personal foul by E. Payton (drawn by C. Paul),14,17
66,1,4:52.0,,LA Clippers full timeout,14,17
67,1,4:52.0,Violation by Team (jump ball),,14,17
68,1,4:52.0,,C. Paul makes free throw 1 of 2,14,18
69,1,4:52.0,,B. Bass enters the game for L. Mbah a Moute,14,17
70,1,4:52.0,D. Augustin enters the game for E. Payton,,14,17
71,1,4:52.0,,C. Paul makes free throw 2 of 2,14,19
72,1,4:38.0,N. Vučević makes 2-pt jump shot from 15 ft (assist by E. Fournier),,16,19
73,1,4:25.0,,D. Jordan makes 2-pt layup from 2 ft (assist by C. Paul),16,21
74,1,4:14.0,J. Meeks makes 2-pt jump shot from 21 ft (assist by D. Augustin),,18,21
75,1,3:54.0,,Personal foul by D. Augustin (drawn by C. Paul),18,21
76,1,3:54.0,,C. Paul misses free throw 1 of 2,18,21
77,1,3:54.0,,Offensive rebound by Team,18,21
78,1,3:54.0,B. Biyombo enters the game for N. Vučević,,18,21
79,1,3:54.0,,C. Paul makes free throw 2 of 2,18,22
80,1,3:42.0,D. Augustin makes 2-pt jump shot from 16 ft,,20,22
81,1,3:26.0,,J. Redick misses 3-pt jump shot from 26 ft,20,22
82,1,3:25.0,,Offensive rebound by D. Jordan,20,22
83,1,3:21.0,,Offensive foul by C. Paul (drawn by J. Meeks),20,22
84,1,3:21.0,,Turnover by C. Paul (offensive foul),20,22
85,1,3:21.0,,R. Felton enters the game for C. Paul,20,22
86,1,3:21.0,,J. Crawford enters the game for J. Redick,20,22
87,1,3:05.0,A. Gordon makes 3-pt jump shot from 23 ft (assist by J. Meeks),,23,22
88,1,2:38.0,,A. Rivers makes 2-pt jump shot from 4 ft,23,24
89,1,2:22.0,A. Gordon makes 2-pt dunk at rim,,25,24
90,1,2:22.0,Shooting foul by D. Jordan (drawn by A. Gordon),,25,24
91,1,2:22.0,Orlando full timeout,,25,24
92,1,2:22.0,A. Gordon misses free throw 1 of 1,,25,24
93,1,2:20.0,,Defensive rebound by B. Bass,25,24
94,1,2:05.0,,A. Rivers makes 2-pt jump shot from 3 ft,25,26
95,1,1:35.0,E. Fournier misses 2-pt jump shot from 8 ft,,25,26
96,1,1:33.0,,Defensive rebound by D. Jordan,25,26
97,1,1:22.0,,A. Rivers misses 3-pt jump shot from 25 ft,25,26
98,1,1:21.0,,Offensive rebound by D. Jordan,25,26
