,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DENVER_ACTION,MEMPHIS_SCORE,DENVER_SCORE
0,1,11:36.0,M. Conley makes 3-pt jump shot from 23 ft,,3,0
1,1,11:19.0,,K. Faried makes 2-pt hook shot from 4 ft (assist by J. Nelson),3,2
2,1,11:01.0,C. Parsons misses 2-pt jump shot from 19 ft,,3,2
3,1,11:00.0,,Defensive rebound by K. Faried,3,2
4,1,10:49.0,,D. Gallinari misses 2-pt jump shot from 13 ft,3,2
5,1,10:48.0,,Offensive rebound by D. Gallinari,3,2
6,1,10:48.0,,D. Gallinari misses 2-pt layup from 2 ft,3,2
7,1,10:44.0,,Offensive rebound by J. Nurkić,3,2
8,1,10:44.0,,J. Nurkić makes 2-pt layup from 1 ft,3,4
9,1,10:28.0,C. Parsons misses 3-pt jump shot from 26 ft,,3,4
10,1,10:27.0,,Defensive rebound by G. Harris,3,4
11,1,10:24.0,,Personal foul by C. Parsons (drawn by D. Gallinari),3,4
12,1,10:22.0,Violation by M. Gasol (kicked ball),,3,4
13,1,10:13.0,,K. Faried misses 2-pt jump shot from 13 ft,3,4
14,1,10:11.0,Defensive rebound by C. Parsons,,3,4
15,1,10:02.0,Shooting foul by J. Nelson (drawn by C. Parsons),,3,4
16,1,10:02.0,C. Parsons makes free throw 1 of 2,,4,4
17,1,10:02.0,C. Parsons makes free throw 2 of 2,,5,4
18,1,9:49.0,,D. Gallinari makes 2-pt jump shot from 20 ft (assist by J. Nurkić),5,6
19,1,9:39.0,M. Conley misses 3-pt jump shot from 26 ft,,5,6
20,1,9:35.0,,Defensive rebound by J. Nelson,5,6
21,1,9:33.0,,D. Gallinari makes 2-pt layup from 3 ft (assist by J. Nelson),5,8
22,1,9:33.0,,Shooting foul by T. Allen (drawn by D. Gallinari),5,8
23,1,9:33.0,,D. Gallinari misses free throw 1 of 1,5,8
24,1,9:32.0,Defensive rebound by M. Gasol,,5,8
25,1,9:14.0,M. Gasol makes 2-pt jump shot from 14 ft,,7,8
26,1,9:09.0,,Turnover by K. Faried (lost ball),7,8
27,1,8:59.0,M. Gasol makes 2-pt jump shot from 18 ft (assist by M. Conley),,9,8
28,1,8:40.0,,J. Nelson misses 2-pt jump shot from 10 ft,9,8
29,1,8:39.0,,Offensive rebound by Team,9,8
30,1,8:39.0,Loose ball foul by J. Green (drawn by K. Faried),,9,8
31,1,8:26.0,,D. Gallinari makes 2-pt jump shot from 4 ft (assist by J. Nurkić),9,10
32,1,8:11.0,Personal foul by J. Nelson (drawn by J. Green),,9,10
33,1,8:11.0,,E. Mudiay enters the game for J. Nelson,9,10
34,1,8:03.0,M. Conley makes 2-pt jump shot from 20 ft (assist by M. Gasol),,11,10
35,1,7:53.0,,Technical foul by J. Nelson,11,10
36,1,7:53.0,,Technical foul by J. Nelson,11,10
37,1,7:53.0,M. Conley makes technical free throw,,12,10
38,1,7:53.0,M. Conley makes technical free throw,,13,10
39,1,7:48.0,,Shooting foul by C. Parsons (drawn by D. Gallinari),13,10
40,1,7:48.0,,D. Gallinari makes free throw 1 of 2,13,11
41,1,7:48.0,,D. Gallinari misses free throw 2 of 2,13,11
42,1,7:47.0,Defensive rebound by C. Parsons,,13,11
43,1,7:28.0,M. Gasol misses 2-pt jump shot from 17 ft,,13,11
44,1,7:28.0,,Defensive rebound by E. Mudiay,13,11
