,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DENVER_ACTION,CHARLOTTE_SCORE,DENVER_SCORE
0,1,11:46.0,,Turnover by N. Jokić (bad pass; steal by C. Zeller),0,0
1,1,11:33.0,C. Zeller misses 2-pt jump shot from 21 ft,,0,0
2,1,11:32.0,,Defensive rebound by J. Nelson,0,0
3,1,11:21.0,,N. Jokić makes 2-pt hook shot from 4 ft (assist by W. Chandler),0,2
4,1,11:05.0,C. Zeller makes 2-pt jump shot from 5 ft (assist by K. Walker),,2,2
5,1,10:48.0,,Shooting foul by N. Batum (drawn by D. Gallinari),2,2
6,1,10:48.0,,D. Gallinari makes free throw 1 of 2,2,3
7,1,10:48.0,,D. Gallinari makes free throw 2 of 2,2,4
8,1,10:29.0,C. Zeller makes 2-pt layup from 1 ft (assist by N. Batum),,4,4
9,1,10:19.0,,W. Chandler misses 3-pt jump shot from 26 ft,4,4
10,1,10:19.0,Defensive rebound by K. Walker,,4,4
11,1,10:04.0,C. Zeller misses 2-pt layup from 2 ft,,4,4
12,1,10:03.0,,Defensive rebound by N. Jokić,4,4
13,1,9:48.0,,N. Jokić makes 2-pt hook shot from 4 ft,4,6
14,1,9:33.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,4,6
15,1,9:32.0,,Defensive rebound by J. Nelson,4,6
16,1,9:26.0,,Shooting block foul by C. Zeller (drawn by W. Chandler),4,6
17,1,9:26.0,,W. Chandler makes free throw 1 of 2,4,7
18,1,9:26.0,,W. Chandler makes free throw 2 of 2,4,8
19,1,9:12.0,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,,4,8
20,1,9:12.0,,Defensive rebound by N. Jokić,4,8
21,1,8:59.0,,W. Chandler misses 2-pt layup from 2 ft,4,8
22,1,8:58.0,,Offensive rebound by D. Gallinari,4,8
23,1,8:58.0,,D. Gallinari misses 2-pt layup from 2 ft,4,8
24,1,8:57.0,Defensive rebound by M. Kidd-Gilchrist,,4,8
25,1,8:57.0,Personal take foul by W. Chandler (drawn by M. Kidd-Gilchrist),,4,8
26,1,8:48.0,K. Walker makes 3-pt jump shot from 25 ft,,7,8
27,1,8:37.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by J. Nelson),7,11
28,1,8:24.0,K. Walker makes 2-pt jump shot from 17 ft,,9,11
29,1,8:14.0,,J. Nelson makes 2-pt layup from 1 ft,9,13
30,1,8:00.0,Shooting foul by W. Chandler (drawn by K. Walker),,9,13
31,1,8:00.0,K. Walker makes free throw 1 of 2,,10,13
32,1,8:00.0,K. Walker makes free throw 2 of 2,,11,13
33,1,7:50.0,,J. Nelson misses 3-pt jump shot from 26 ft,11,13
34,1,7:49.0,,Offensive rebound by D. Gallinari,11,13
35,1,7:42.0,,D. Gallinari makes 2-pt dunk at rim,11,15
36,1,7:32.0,K. Walker misses 3-pt jump shot from 25 ft,,11,15
37,1,7:29.0,,Defensive rebound by W. Chandler,11,15
38,1,7:12.0,,W. Chandler misses 2-pt layup from 2 ft,11,15
39,1,7:12.0,Defensive rebound by C. Zeller,,11,15
40,1,7:03.0,C. Zeller misses 2-pt jump shot from 22 ft,,11,15
41,1,7:02.0,,Defensive rebound by W. Chandler,11,15
42,1,6:57.0,J. Lamb enters the game for M. Williams,,11,15
43,1,6:57.0,,D. Arthur enters the game for W. Chandler,11,15
44,1,6:45.0,,J. Nelson misses 2-pt layup from 2 ft,11,15
45,1,6:45.0,Defensive rebound by M. Kidd-Gilchrist,,11,15
46,1,6:30.0,J. Lamb misses 2-pt jump shot from 7 ft,,11,15
47,1,6:30.0,,Defensive rebound by D. Arthur,11,15
48,1,6:11.0,,D. Gallinari misses 3-pt jump shot from 26 ft,11,15
49,1,6:10.0,Defensive rebound by K. Walker,,11,15
50,1,6:00.0,K. Walker misses 2-pt layup from 2 ft,,11,15
51,1,5:59.0,,Defensive rebound by N. Jokić,11,15
52,1,5:53.0,,Personal foul by M. Kidd-Gilchrist (drawn by D. Gallinari),11,15
53,1,5:53.0,,Denver full timeout,11,15
54,1,5:46.0,,N. Jokić makes 2-pt jump shot from 18 ft (assist by J. Nelson),11,17
55,1,5:30.0,N. Batum makes 3-pt jump shot from 24 ft (assist by M. Kidd-Gilchrist),,14,17
56,1,5:08.0,,D. Gallinari misses 2-pt jump shot from 21 ft,14,17
57,1,5:06.0,,Offensive rebound by D. Arthur,14,17
58,1,5:06.0,,D. Arthur makes 2-pt layup from 1 ft,14,19
59,1,4:52.0,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by N. Batum),,16,19
60,1,4:33.0,,J. Nelson misses 3-pt jump shot from 25 ft,16,19
61,1,4:32.0,Defensive rebound by J. Lamb,,16,19
62,1,4:20.0,K. Walker misses 2-pt jump shot from 3 ft,,16,19
63,1,4:19.0,Offensive rebound by C. Zeller,,16,19
64,1,4:19.0,C. Zeller makes 2-pt layup from 1 ft,,18,19
65,1,4:08.0,,D. Gallinari misses 2-pt jump shot from 4 ft,18,19
66,1,4:07.0,Defensive rebound by C. Zeller,,18,19
67,1,4:02.0,Personal foul by G. Harris (drawn by K. Walker),,18,19
68,1,4:02.0,,W. Barton enters the game for G. Harris,18,19
69,1,4:02.0,,M. Plumlee enters the game for N. Jokić,18,19
70,1,4:02.0,C. Wood enters the game for M. Kidd-Gilchrist,,18,19
71,1,4:02.0,B. Roberts enters the game for C. Zeller,,18,19
72,1,4:02.0,M. Williams enters the game for K. Walker,,18,19
73,1,3:51.0,N. Batum makes 3-pt jump shot from 25 ft (assist by M. Williams),,21,19
74,1,3:32.0,,D. Gallinari misses 3-pt jump shot from 23 ft,21,19
75,1,3:32.0,Defensive rebound by M. Williams,,21,19
76,1,3:17.0,N. Batum makes 2-pt jump shot from 13 ft (assist by B. Roberts),,23,19
77,1,3:17.0,,Denver full timeout,23,19
78,1,3:17.0,,J. Hernangómez enters the game for D. Gallinari,23,19
79,1,3:17.0,,J. Murray enters the game for J. Nelson,23,19
80,1,3:00.0,,Turnover by D. Arthur (bad pass; steal by C. Wood),23,19
81,1,2:54.0,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),,26,19
82,1,2:35.0,,W. Barton misses 2-pt jump shot from 9 ft,26,19
83,1,2:34.0,Defensive rebound by J. Lamb,,26,19
84,1,2:26.0,J. Lamb makes 2-pt jump shot from 16 ft,,28,19
85,1,2:16.0,,M. Plumlee misses 2-pt jump shot from 6 ft (block by C. Wood),28,19
86,1,2:14.0,Defensive rebound by Team,,28,19
87,1,2:14.0,M. Belinelli enters the game for N. Batum,,28,19
88,1,1:57.0,B. Roberts misses 2-pt layup from 2 ft,,28,19
89,1,1:55.0,,Defensive rebound by M. Plumlee,28,19
90,1,1:45.0,,W. Barton misses 3-pt jump shot from 25 ft,28,19
91,1,1:45.0,Defensive rebound by M. Belinelli,,28,19
92,1,1:34.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,31,19
93,1,1:28.0,,Personal foul by J. Lamb (drawn by W. Barton),31,19
94,1,1:22.0,,J. Murray makes 2-pt layup at rim (assist by W. Barton),31,21
