,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DENVER_ACTION,MEMPHIS_SCORE,DENVER_SCORE
0,1,11:39.0,,W. Chandler misses 3-pt jump shot from 23 ft,0,0
1,1,11:38.0,Defensive rebound by J. Green,,0,0
2,1,11:22.0,M. Gasol misses 2-pt jump shot from 11 ft,,0,0
3,1,11:21.0,,Defensive rebound by N. Jokić,0,0
4,1,11:04.0,,G. Harris misses 2-pt layup from 3 ft,0,0
5,1,11:03.0,Defensive rebound by J. Green,,0,0
6,1,10:52.0,Turnover by J. Green (lost ball; steal by G. Harris),,0,0
7,1,10:46.0,,G. Harris misses 3-pt jump shot from 25 ft,0,0
8,1,10:42.0,Defensive rebound by M. Conley,,0,0
9,1,10:37.0,Personal foul by W. Chandler (drawn by M. Gasol),,0,0
10,1,10:32.0,T. Allen makes 2-pt layup from 1 ft (assist by M. Gasol),,2,0
11,1,10:16.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by N. Jokić),2,3
12,1,10:06.0,T. Allen misses 2-pt jump shot from 4 ft,,2,3
13,1,10:05.0,,Defensive rebound by N. Jokić,2,3
14,1,9:56.0,,N. Jokić misses 3-pt jump shot from 25 ft,2,3
15,1,9:55.0,Defensive rebound by M. Conley,,2,3
16,1,9:53.0,Turnover by M. Conley (bad pass; steal by N. Jokić),,2,3
17,1,9:50.0,,Personal foul by T. Allen (drawn by N. Jokić),2,3
18,1,9:33.0,,J. Nelson misses 3-pt jump shot from 26 ft,2,3
19,1,9:33.0,,Offensive rebound by W. Chandler,2,3
20,1,9:29.0,,W. Chandler misses 2-pt layup from 3 ft (block by M. Gasol),2,3
21,1,9:28.0,,Offensive rebound by W. Chandler,2,3
22,1,9:24.0,,W. Chandler misses 2-pt jump shot from 21 ft,2,3
23,1,9:23.0,Defensive rebound by C. Parsons,,2,3
24,1,9:06.0,J. Green misses 3-pt jump shot from 23 ft,,2,3
25,1,9:05.0,Offensive rebound by J. Green,,2,3
26,1,9:02.0,Shooting foul by N. Jokić (drawn by J. Green),,2,3
27,1,9:02.0,J. Green makes free throw 1 of 2,,3,3
28,1,9:02.0,J. Green makes free throw 2 of 2,,4,3
29,1,8:46.0,,Turnover by W. Chandler (bad pass; steal by M. Conley),4,3
30,1,8:34.0,C. Parsons misses 3-pt jump shot from 25 ft,,4,3
31,1,8:33.0,Offensive rebound by T. Allen,,4,3
32,1,8:17.0,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),,7,3
33,1,8:00.0,,N. Jokić makes 2-pt jump shot from 23 ft,7,5
34,1,7:44.0,T. Allen misses 3-pt jump shot from 22 ft,,7,5
35,1,7:44.0,,Defensive rebound by W. Chandler,7,5
36,1,7:34.0,,D. Gallinari makes 2-pt dunk at rim (assist by N. Jokić),7,7
37,1,7:14.0,M. Conley makes 2-pt jump shot from 8 ft,,9,7
38,1,7:03.0,,D. Gallinari makes 2-pt layup from 1 ft (assist by J. Nelson),9,9
39,1,6:45.0,C. Parsons misses 3-pt jump shot from 25 ft,,9,9
40,1,6:45.0,,Defensive rebound by N. Jokić,9,9
41,1,6:43.0,,Personal foul by C. Parsons (drawn by D. Gallinari),9,9
42,1,6:30.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by W. Chandler),9,12
43,1,6:21.0,Memphis full timeout,,9,12
44,1,6:21.0,T. Douglas enters the game for J. Green,,9,12
45,1,6:21.0,V. Carter enters the game for T. Allen,,9,12
46,1,6:10.0,M. Conley misses 2-pt jump shot from 11 ft,,9,12
47,1,6:09.0,,Defensive rebound by N. Jokić,9,12
