,QUARTER,TIME_REMAINING,DETROIT_ACTION,CLEVELAND_ACTION,DETROIT_SCORE,CLEVELAND_SCORE
0,1,11:37.0,A. Drummond misses 2-pt hook shot from 12 ft,,0,0
1,1,11:37.0,Offensive rebound by Team,,0,0
2,1,11:23.0,M. Morris makes 2-pt jump shot from 10 ft (assist by R. Jackson),,2,0
3,1,11:05.0,,I. Shumpert misses 2-pt jump shot from 7 ft,2,0
4,1,11:04.0,Defensive rebound by A. Drummond,,2,0
5,1,10:54.0,R. Jackson misses 2-pt jump shot from 14 ft,,2,0
6,1,10:52.0,,Defensive rebound by L. James,2,0
7,1,10:45.0,,K. Irving makes 2-pt jump shot from 12 ft,2,2
8,1,10:29.0,M. Morris makes 3-pt jump shot from 27 ft (assist by R. Jackson),,5,2
9,1,10:11.0,,I. Shumpert makes 2-pt jump shot from 17 ft,5,4
10,1,9:47.0,A. Drummond makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,7,4
11,1,9:37.0,,L. James makes 2-pt jump shot from 19 ft (assist by K. Irving),7,6
12,1,9:12.0,M. Morris misses 2-pt jump shot from 10 ft,,7,6
13,1,9:09.0,,Defensive rebound by L. James,7,6
14,1,9:07.0,Violation by R. Jackson (def goaltending),,7,6
15,1,9:07.0,,L. James makes 2-pt layup from 3 ft,7,8
16,1,8:47.0,K. Caldwell-Pope makes 2-pt jump shot from 18 ft,,9,8
17,1,8:32.0,,T. Thompson makes 2-pt jump shot from 7 ft,9,10
18,1,8:15.0,R. Jackson misses 2-pt jump shot from 14 ft,,9,10
19,1,8:15.0,,Defensive rebound by I. Shumpert,9,10
20,1,8:05.0,,R. Jefferson makes 3-pt jump shot from 23 ft (assist by L. James),9,13
21,1,7:48.0,R. Jackson misses 2-pt layup from 3 ft,,9,13
22,1,7:47.0,,Defensive rebound by L. James,9,13
23,1,7:38.0,,L. James makes 2-pt jump shot from 14 ft (assist by K. Irving),9,15
24,1,7:17.0,T. Harris makes 2-pt jump shot from 4 ft (assist by R. Jackson),,11,15
25,1,7:13.0,,Personal foul by R. Jackson (drawn by I. Shumpert),11,15
26,1,7:06.0,,Personal foul by R. Jackson (drawn by T. Thompson),11,15
27,1,7:06.0,I. Smith enters the game for R. Jackson,,11,15
28,1,6:54.0,,R. Jefferson makes 3-pt jump shot from 26 ft (assist by L. James),11,18
29,1,6:33.0,T. Harris makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),,14,18
30,1,6:13.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by R. Jefferson),14,21
31,1,5:45.0,T. Harris makes 2-pt jump shot from 15 ft,,16,21
32,1,5:30.0,,Personal foul by I. Smith (drawn by T. Thompson),16,21
33,1,5:30.0,,Cleveland full timeout,16,21
34,1,5:16.0,,K. Irving misses 2-pt jump shot from 18 ft,16,21
35,1,5:15.0,Defensive rebound by T. Harris,,16,21
36,1,5:01.0,A. Drummond misses 2-pt hook shot from 15 ft,,16,21
37,1,4:59.0,,Defensive rebound by L. James,16,21
38,1,4:55.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by L. James),16,24
39,1,4:40.0,M. Morris misses 2-pt jump shot from 18 ft,,16,24
40,1,4:40.0,,Defensive rebound by I. Shumpert,16,24
41,1,4:28.0,,I. Shumpert makes 2-pt jump shot from 16 ft,16,26
42,1,4:13.0,Shooting foul by K. Irving (drawn by K. Caldwell-Pope),,16,26
43,1,4:13.0,K. Caldwell-Pope makes free throw 1 of 3,,17,26
44,1,4:13.0,K. Caldwell-Pope makes free throw 2 of 3,,18,26
45,1,4:13.0,J. Leuer enters the game for T. Harris,,18,26
46,1,4:13.0,K. Caldwell-Pope makes free throw 3 of 3,,19,26
47,1,3:56.0,,K. Irving makes 2-pt jump shot from 20 ft (assist by L. James),19,28
48,1,3:40.0,A. Drummond misses 2-pt layup from 1 ft,,19,28
49,1,3:38.0,,Defensive rebound by T. Thompson,19,28
50,1,3:36.0,,L. James makes 2-pt layup from 1 ft,19,30
51,1,3:36.0,,Shooting foul by M. Morris (drawn by L. James),19,30
52,1,3:36.0,,J. Smith enters the game for R. Jefferson,19,30
53,1,3:36.0,,L. James makes free throw 1 of 1,19,31
54,1,3:13.0,I. Smith misses 2-pt jump shot from 16 ft,,19,31
55,1,3:13.0,Offensive rebound by A. Drummond,,19,31
56,1,3:09.0,A. Drummond misses 2-pt layup at rim,,19,31
57,1,3:07.0,Offensive rebound by A. Drummond,,19,31
58,1,3:07.0,A. Drummond makes 2-pt layup from 2 ft,,21,31
59,1,2:49.0,,T. Thompson misses 2-pt layup from 2 ft,21,31
60,1,2:48.0,Defensive rebound by M. Morris,,21,31
61,1,2:43.0,K. Caldwell-Pope makes 2-pt jump shot from 16 ft,,23,31
62,1,2:42.0,,Cleveland full timeout,23,31
63,1,2:42.0,Detroit full timeout,,23,31
64,1,2:42.0,,D. Williams enters the game for L. James,23,31
65,1,2:42.0,,D. Williams enters the game for I. Shumpert,23,31
66,1,2:42.0,S. Johnson enters the game for M. Morris,,23,31
67,1,2:31.0,,Shooting foul by K. Caldwell-Pope (drawn by K. Irving),23,31
68,1,2:31.0,,K. Irving makes free throw 1 of 2,23,32
69,1,2:31.0,,C. Frye enters the game for T. Thompson,23,32
70,1,2:31.0,,K. Irving makes free throw 2 of 2,23,33
71,1,2:19.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,,23,33
72,1,2:19.0,,Defensive rebound by C. Frye,23,33
73,1,2:07.0,,K. Irving makes 3-pt jump shot from 27 ft,23,36
74,1,1:46.0,Personal block foul by C. Frye (drawn by S. Johnson),,23,36
75,1,1:38.0,I. Smith misses 2-pt jump shot from 17 ft,,23,36
76,1,1:38.0,,Defensive rebound by D. Williams,23,36
77,1,1:19.0,,D. Williams makes 2-pt jump shot from 10 ft (assist by D. Williams),23,38
78,1,1:05.0,K. Caldwell-Pope misses 2-pt jump shot from 11 ft,,23,38
79,1,1:04.0,,Defensive rebound by D. Williams,23,38
