,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHARLOTTE_ACTION,CLEVELAND_SCORE,CHARLOTTE_SCORE
0,1,11:45.0,,M. Williams misses 2-pt jump shot from 22 ft,0,0
1,1,11:43.0,Defensive rebound by T. Thompson,,0,0
2,1,11:39.0,Shooting foul by M. Williams (drawn by K. Love),,0,0
3,1,11:39.0,K. Love misses free throw 1 of 2,,0,0
4,1,11:39.0,Offensive rebound by Team,,0,0
5,1,11:39.0,K. Love makes free throw 2 of 2,,1,0
6,1,11:29.0,,Turnover by K. Walker (bad pass; steal by K. Irving),1,0
7,1,11:23.0,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),,4,0
8,1,10:58.0,,M. Kidd-Gilchrist misses 2-pt layup at rim,4,0
9,1,10:58.0,,Offensive rebound by Team,4,0
10,1,10:58.0,,Turnover by Team (shot clock),4,0
11,1,10:40.0,L. James misses 3-pt jump shot from 23 ft,,4,0
12,1,10:38.0,Offensive rebound by K. Love,,4,0
13,1,10:38.0,L. James makes 2-pt layup at rim (assist by K. Love),,6,0
14,1,10:38.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. James),,6,0
15,1,10:38.0,L. James makes free throw 1 of 1,,7,0
16,1,10:25.0,,C. Zeller makes 2-pt jump shot from 7 ft (assist by N. Batum),7,2
17,1,10:15.0,Turnover by K. Irving (bad pass; steal by N. Batum),,7,2
18,1,10:01.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by C. Zeller),7,4
19,1,9:40.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Love),,7,4
20,1,9:40.0,K. Love makes free throw 1 of 2,,8,4
21,1,9:40.0,K. Love makes free throw 2 of 2,,9,4
22,1,9:20.0,,K. Walker makes 3-pt jump shot from 24 ft (assist by C. Zeller),9,7
23,1,9:11.0,L. James makes 2-pt dunk from 1 ft,,11,7
24,1,8:58.0,,K. Walker misses 2-pt jump shot from 7 ft,11,7
25,1,8:56.0,Defensive rebound by K. Love,,11,7
26,1,8:50.0,K. Irving makes 2-pt jump shot from 17 ft (assist by L. James),,13,7
27,1,8:31.0,,N. Batum misses 3-pt jump shot from 25 ft,13,7
28,1,8:30.0,Defensive rebound by J. Smith,,13,7
29,1,8:23.0,K. Irving misses 2-pt jump shot from 14 ft,,13,7
30,1,8:22.0,,Defensive rebound by C. Zeller,13,7
31,1,8:14.0,,Personal foul by K. Irving (drawn by K. Walker),13,7
32,1,8:07.0,,K. Walker makes 3-pt jump shot from 24 ft,13,10
33,1,7:44.0,K. Irving makes 2-pt jump shot from 5 ft,,15,10
34,1,7:33.0,,K. Walker makes 3-pt jump shot from 25 ft,15,13
35,1,7:16.0,K. Love misses 2-pt jump shot from 19 ft,,15,13
36,1,7:15.0,,Defensive rebound by N. Batum,15,13
37,1,7:06.0,,Shooting foul by K. Love (drawn by C. Zeller),15,13
38,1,7:06.0,,C. Zeller makes free throw 1 of 2,15,14
39,1,7:06.0,,C. Zeller misses free throw 2 of 2,15,14
40,1,7:05.0,Defensive rebound by L. James,,15,14
41,1,6:48.0,L. James misses 2-pt layup from 2 ft (block by C. Zeller),,15,14
42,1,6:47.0,,Defensive rebound by M. Williams,15,14
43,1,6:37.0,,M. Williams misses 2-pt layup from 2 ft,15,14
44,1,6:37.0,,Offensive rebound by C. Zeller,15,14
45,1,6:37.0,,C. Zeller makes 2-pt dunk at rim,15,16
46,1,6:37.0,Cleveland full timeout,,15,16
47,1,6:22.0,Turnover by K. Irving (traveling),,15,16
48,1,6:22.0,,F. Kaminsky enters the game for M. Williams,15,16
49,1,6:11.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,15,16
50,1,6:10.0,,Offensive rebound by C. Zeller,15,16
51,1,6:03.0,,F. Kaminsky misses 3-pt jump shot from 23 ft,15,16
