,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DETROIT_ACTION,LA CLIPPERS_SCORE,DETROIT_SCORE
0,1,11:40.0,Turnover by D. Jordan (bad pass; steal by K. Caldwell-Pope),,0,0
1,1,11:31.0,,I. Smith misses 2-pt jump shot from 4 ft,0,0
2,1,11:29.0,,Offensive rebound by A. Drummond,0,0
3,1,11:22.0,,A. Drummond makes 2-pt dunk at rim (assist by T. Harris),0,2
4,1,11:06.0,J. Redick makes 2-pt jump shot from 22 ft (assist by C. Paul),,2,2
5,1,10:44.0,,M. Morris makes 2-pt jump shot from 16 ft,2,4
6,1,10:31.0,D. Jordan makes 2-pt layup from 1 ft (assist by C. Paul),,4,4
7,1,10:31.0,Shooting foul by M. Morris (drawn by D. Jordan),,4,4
8,1,10:31.0,D. Jordan makes free throw 1 of 1,,5,4
9,1,10:17.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by K. Caldwell-Pope),5,7
10,1,9:58.0,J. Redick misses 2-pt jump shot from 18 ft,,5,7
11,1,9:57.0,,Defensive rebound by T. Harris,5,7
12,1,9:51.0,,I. Smith misses 2-pt layup from 1 ft (block by D. Jordan),5,7
13,1,9:50.0,Defensive rebound by J. Redick,,5,7
14,1,9:44.0,B. Griffin misses 2-pt layup from 1 ft,,5,7
15,1,9:43.0,,Defensive rebound by A. Drummond,5,7
16,1,9:30.0,,T. Harris makes 2-pt jump shot from 8 ft,5,9
17,1,9:19.0,J. Redick misses 3-pt jump shot from 26 ft,,5,9
18,1,9:18.0,,Defensive rebound by T. Harris,5,9
19,1,9:03.0,,K. Caldwell-Pope makes 2-pt jump shot from 6 ft,5,11
20,1,8:52.0,Personal foul by M. Morris (drawn by D. Jordan),,5,11
21,1,8:52.0,,Violation by Team (delay of game),5,11
22,1,8:52.0,,J. Leuer enters the game for M. Morris,5,11
23,1,8:42.0,C. Paul makes 2-pt jump shot from 14 ft (assist by D. Jordan),,7,11
24,1,8:25.0,,I. Smith makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),7,14
25,1,8:20.0,Turnover by D. Jordan (offensive foul),,7,14
26,1,8:20.0,Offensive foul by D. Jordan (drawn by A. Drummond),,7,14
27,1,8:06.0,,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,7,14
28,1,8:05.0,Defensive rebound by Team,,7,14
29,1,7:48.0,B. Griffin makes 2-pt layup from 1 ft,,9,14
30,1,7:32.0,,Offensive foul by A. Drummond (drawn by J. Redick),9,14
31,1,7:32.0,,Turnover by A. Drummond (offensive foul),9,14
32,1,7:18.0,Turnover by B. Griffin (bad pass; steal by A. Drummond),,9,14
33,1,7:10.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by A. Drummond),9,17
34,1,7:10.0,LA Clippers full timeout,,9,17
35,1,6:59.0,Turnover by C. Paul (bad pass; steal by A. Drummond),,9,17
36,1,6:53.0,,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),9,19
37,1,6:36.0,B. Griffin misses 2-pt jump shot from 17 ft,,9,19
38,1,6:35.0,,Defensive rebound by A. Drummond,9,19
39,1,6:28.0,,I. Smith makes 2-pt layup at rim,9,21
40,1,6:14.0,D. Jordan makes 2-pt layup at rim,,11,21
41,1,5:54.0,,T. Harris makes 2-pt jump shot from 12 ft,11,23
42,1,5:32.0,L. Mbah a Moute misses 3-pt jump shot from 24 ft,,11,23
43,1,5:31.0,,Defensive rebound by J. Leuer,11,23
44,1,5:22.0,,A. Drummond makes 2-pt hook shot from 8 ft (assist by I. Smith),11,25
45,1,5:00.0,Personal foul by A. Drummond (drawn by D. Jordan),,11,25
46,1,5:00.0,J. Crawford enters the game for J. Redick,,11,25
47,1,5:00.0,A. Rivers enters the game for L. Mbah a Moute,,11,25
48,1,5:00.0,,A. Baynes enters the game for A. Drummond,11,25
49,1,4:47.0,C. Paul misses 2-pt jump shot from 8 ft,,11,25
50,1,4:45.0,,Defensive rebound by A. Baynes,11,25
51,1,4:40.0,,A. Baynes misses 2-pt layup from 2 ft (block by B. Griffin),11,25
52,1,4:38.0,Defensive rebound by Team,,11,25
53,1,4:31.0,J. Crawford makes 3-pt jump shot from 26 ft (assist by C. Paul),,14,25
54,1,4:19.0,,Personal foul by A. Rivers (drawn by T. Harris),14,25
55,1,4:11.0,,I. Smith makes 2-pt jump shot from 18 ft,14,27
56,1,4:01.0,Personal foul by K. Caldwell-Pope (drawn by C. Paul),,14,27
57,1,4:01.0,M. Speights enters the game for D. Jordan,,14,27
58,1,3:49.0,B. Griffin misses 2-pt hook shot from 3 ft,,14,27
59,1,3:48.0,Offensive rebound by B. Griffin,,14,27
60,1,3:45.0,B. Griffin misses 2-pt layup at rim,,14,27
61,1,3:43.0,,Defensive rebound by J. Leuer,14,27
62,1,3:40.0,,J. Leuer makes 2-pt dunk at rim (assist by I. Smith),14,29
63,1,3:40.0,,Offensive charge foul by C. Paul (drawn by J. Leuer),14,29
64,1,3:40.0,Turnover by C. Paul (offensive foul),,14,29
65,1,3:32.0,,Shooting foul by J. Crawford (drawn by K. Caldwell-Pope),14,29
66,1,3:32.0,,K. Caldwell-Pope makes free throw 1 of 2,14,30
67,1,3:32.0,R. Felton enters the game for C. Paul,,14,30
68,1,3:32.0,,B. Udrih enters the game for I. Smith,14,30
69,1,3:32.0,,K. Caldwell-Pope makes free throw 2 of 2,14,31
70,1,3:06.0,J. Crawford misses 3-pt jump shot from 24 ft,,14,31
71,1,3:06.0,,Defensive rebound by A. Baynes,14,31
72,1,2:54.0,,J. Leuer misses 3-pt jump shot from 24 ft,14,31
73,1,2:54.0,,Offensive rebound by A. Baynes,14,31
74,1,2:49.0,,A. Baynes misses 2-pt jump shot from 5 ft (block by M. Speights),14,31
75,1,2:48.0,Defensive rebound by R. Felton,,14,31
76,1,2:42.0,R. Felton makes 2-pt layup from 1 ft,,16,31
77,1,2:20.0,,T. Harris makes 2-pt layup at rim,16,33
78,1,2:04.0,J. Crawford misses 3-pt jump shot from 29 ft,,16,33
79,1,2:03.0,,Defensive rebound by K. Caldwell-Pope,16,33
80,1,1:54.0,,K. Caldwell-Pope misses 2-pt jump shot from 10 ft,16,33
81,1,1:52.0,Defensive rebound by B. Griffin,,16,33
82,1,1:28.0,B. Griffin makes 3-pt jump shot from 23 ft (assist by R. Felton),,19,33
83,1,1:27.0,,Detroit full timeout,19,33
84,1,1:27.0,W. Johnson enters the game for B. Griffin,,19,33
85,1,1:27.0,,D. Hilliard enters the game for K. Caldwell-Pope,19,33
86,1,1:08.0,,D. Hilliard makes 2-pt jump shot from 17 ft,19,35
87,1,0:57.0,Turnover by M. Speights (offensive foul),,19,35
88,1,0:57.0,Offensive foul by M. Speights (drawn by D. Hilliard),,19,35
89,1,0:40.0,,B. Udrih misses 2-pt jump shot from 18 ft,19,35
90,1,0:40.0,Defensive rebound by A. Rivers,,19,35
91,1,0:35.0,Shooting foul by D. Hilliard (drawn by J. Crawford),,19,35
