,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MIAMI_ACTION,OKLAHOMA CITY_SCORE,MIAMI_SCORE
0,1,11:44.0,,J. Winslow makes 2-pt layup from 1 ft,0,2
1,1,11:30.0,S. Adams misses 2-pt hook shot from 8 ft,,0,2
2,1,11:29.0,Offensive rebound by S. Adams,,0,2
3,1,11:09.0,A. Roberson misses 2-pt jump shot from 19 ft,,0,2
4,1,11:08.0,,Defensive rebound by D. Williams,0,2
5,1,11:00.0,,J. Richardson makes 2-pt jump shot from 17 ft,0,4
6,1,10:40.0,A. Morrow misses 3-pt jump shot from 25 ft,,0,4
7,1,10:39.0,Offensive rebound by S. Adams,,0,4
8,1,10:37.0,S. Adams misses 2-pt hook shot from 9 ft,,0,4
9,1,10:36.0,Offensive rebound by S. Adams,,0,4
10,1,10:34.0,S. Adams makes 2-pt layup from 1 ft,,2,4
11,1,10:05.0,,R. McGruder misses 2-pt jump shot from 9 ft,2,4
12,1,10:04.0,Defensive rebound by R. Westbrook,,2,4
13,1,9:51.0,R. Westbrook misses 2-pt jump shot from 19 ft,,2,4
14,1,9:50.0,,Defensive rebound by J. Richardson,2,4
15,1,9:41.0,,Turnover by J. Winslow (step out of bounds),2,4
16,1,9:21.0,R. Westbrook misses 2-pt layup from 2 ft,,2,4
17,1,9:20.0,Offensive rebound by Team,,2,4
18,1,9:16.0,Shooting foul by J. Richardson (drawn by R. Westbrook),,2,4
19,1,9:16.0,R. Westbrook makes free throw 1 of 2,,3,4
20,1,9:16.0,R. Westbrook makes free throw 2 of 2,,4,4
21,1,9:03.0,,D. Williams makes 2-pt jump shot from 12 ft (assist by J. Winslow),4,6
22,1,8:42.0,Turnover by S. Adams (3 sec),,4,6
23,1,8:20.0,,J. Richardson misses 3-pt jump shot from 25 ft,4,6
24,1,8:19.0,Defensive rebound by A. Roberson,,4,6
25,1,8:03.0,Def 3 sec tech foul by H. Whiteside,,4,6
26,1,8:03.0,R. Westbrook misses technical free throw,,4,6
27,1,8:03.0,Offensive rebound by Team,,4,6
28,1,7:55.0,Turnover by R. Westbrook (bad pass; steal by H. Whiteside),,4,6
29,1,7:45.0,,Turnover by H. Whiteside (offensive goaltending),4,6
30,1,7:31.0,A. Roberson misses 2-pt hook shot from 4 ft,,4,6
31,1,7:30.0,Offensive rebound by Team,,4,6
32,1,7:24.0,R. Westbrook makes 2-pt jump shot from 17 ft (assist by A. Roberson),,6,6
33,1,7:04.0,,Turnover by J. Winslow (bad pass),6,6
34,1,6:54.0,D. Sabonis makes 2-pt jump shot from 19 ft (assist by R. Westbrook),,8,6
35,1,6:31.0,,D. Williams makes 2-pt layup from 2 ft (assist by J. Richardson),8,8
36,1,6:17.0,,Violation by H. Whiteside (def goaltending),8,8
37,1,6:17.0,D. Sabonis makes 2-pt layup from 2 ft (assist by A. Morrow),,10,8
38,1,5:58.0,,H. Whiteside makes 2-pt jump shot from 3 ft (assist by J. Winslow),10,10
39,1,5:48.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,12,10
40,1,5:26.0,,J. Winslow misses 2-pt jump shot from 6 ft,12,10
41,1,5:25.0,Defensive rebound by D. Sabonis,,12,10
42,1,5:22.0,R. Westbrook makes 2-pt layup from 1 ft,,14,10
43,1,5:22.0,Shooting foul by R. McGruder (drawn by R. Westbrook),,14,10
44,1,5:22.0,,Miami full timeout,14,10
45,1,5:22.0,R. Westbrook misses free throw 1 of 1,,14,10
46,1,5:22.0,Á. Abrines enters the game for A. Roberson,,14,10
47,1,5:21.0,Offensive rebound by D. Sabonis,,14,10
48,1,5:13.0,R. Westbrook makes 2-pt layup from 2 ft,,16,10
49,1,4:57.0,,J. Richardson makes 2-pt layup from 1 ft,16,12
50,1,4:42.0,Á. Abrines misses 3-pt jump shot from 24 ft,,16,12
51,1,4:41.0,,Defensive rebound by J. Winslow,16,12
52,1,4:33.0,,Turnover by D. Williams (bad pass; steal by D. Sabonis),16,12
53,1,4:28.0,Turnover by R. Westbrook (lost ball; steal by J. Winslow),,16,12
54,1,4:20.0,,Shooting foul by Á. Abrines (drawn by J. Winslow),16,12
55,1,4:20.0,,J. Winslow makes free throw 1 of 2,16,13
56,1,4:20.0,,W. Reed enters the game for H. Whiteside,16,13
57,1,4:20.0,,J. Johnson enters the game for D. Williams,16,13
58,1,4:20.0,,T. Johnson enters the game for J. Richardson,16,13
59,1,4:20.0,,J. Winslow makes free throw 2 of 2,16,14
60,1,4:09.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,18,14
61,1,3:52.0,,J. Johnson makes 2-pt jump shot from 23 ft (assist by R. McGruder),18,16
62,1,3:37.0,A. Morrow misses 3-pt jump shot from 24 ft,,18,16
63,1,3:36.0,Offensive rebound by S. Adams,,18,16
64,1,3:30.0,Á. Abrines misses 2-pt jump shot from 14 ft,,18,16
65,1,3:29.0,Offensive rebound by Á. Abrines,,18,16
66,1,3:22.0,A. Morrow misses 3-pt jump shot from 25 ft,,18,16
67,1,3:21.0,Offensive rebound by S. Adams,,18,16
68,1,3:19.0,S. Adams makes 2-pt dunk at rim,,20,16
69,1,2:59.0,,Personal foul by Á. Abrines (drawn by J. Winslow),20,16
70,1,2:59.0,Oklahoma City full timeout,,20,16
71,1,2:59.0,E. Freedom enters the game for D. Sabonis,,20,16
72,1,2:59.0,J. Grant enters the game for A. Morrow,,20,16
73,1,2:50.0,,T. Johnson misses 2-pt jump shot from 17 ft,20,16
74,1,2:49.0,Defensive rebound by R. Westbrook,,20,16
75,1,2:37.0,Á. Abrines makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,23,16
76,1,2:20.0,,J. Johnson misses 2-pt jump shot from 4 ft,23,16
77,1,2:19.0,Defensive rebound by R. Westbrook,,23,16
78,1,2:15.0,Shooting foul by J. Johnson (drawn by J. Grant),,23,16
79,1,2:15.0,J. Grant makes free throw 1 of 2,,24,16
80,1,2:15.0,J. Lauvergne enters the game for S. Adams,,24,16
81,1,2:15.0,S. Christon enters the game for R. Westbrook,,24,16
82,1,2:15.0,J. Grant makes free throw 2 of 2,,25,16
83,1,1:59.0,,Turnover by J. Johnson (bad pass),25,16
84,1,1:42.0,E. Freedom makes 2-pt layup from 1 ft,,27,16
85,1,1:33.0,,Shooting foul by J. Lauvergne (drawn by J. Johnson),27,16
86,1,1:33.0,,J. Johnson misses free throw 1 of 2,27,16
87,1,1:33.0,,Offensive rebound by Team,27,16
88,1,1:33.0,,J. Johnson makes free throw 2 of 2,27,17
