,QUARTER,TIME_REMAINING,MIAMI_ACTION,GOLDEN STATE_ACTION,MIAMI_SCORE,GOLDEN STATE_SCORE
0,1,11:38.0,D. Waiters misses 2-pt jump shot from 5 ft (block by D. Green),,0,0
1,1,11:36.0,,Defensive rebound by S. Curry,0,0
2,1,11:32.0,,D. Green makes 2-pt layup from 2 ft,0,2
3,1,11:17.0,H. Whiteside misses 2-pt jump shot from 13 ft,,0,2
4,1,11:17.0,,Defensive rebound by K. Durant,0,2
5,1,10:52.0,,S. Curry misses 3-pt jump shot from 23 ft,0,2
6,1,10:51.0,Defensive rebound by R. McGruder,,0,2
7,1,10:45.0,H. Whiteside makes 2-pt layup from 3 ft (assist by G. Dragić),,2,2
8,1,10:45.0,Shooting foul by Z. Pachulia (drawn by H. Whiteside),,2,2
9,1,10:45.0,H. Whiteside makes free throw 1 of 1,,3,2
10,1,10:36.0,,Personal foul by R. McGruder (drawn by K. Durant),3,2
11,1,10:27.0,,D. Green misses 2-pt jump shot from 18 ft,3,2
12,1,10:26.0,Defensive rebound by H. Whiteside,,3,2
13,1,10:11.0,G. Dragić makes 2-pt jump shot from 12 ft (assist by D. Waiters),,5,2
14,1,10:00.0,,S. Curry makes 2-pt jump shot from 21 ft,5,4
15,1,9:44.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by R. McGruder),,8,4
16,1,9:28.0,,K. Durant misses 2-pt jump shot from 20 ft,8,4
17,1,9:28.0,,Offensive rebound by Z. Pachulia,8,4
18,1,9:28.0,,Z. Pachulia misses 2-pt layup from 3 ft,8,4
19,1,9:28.0,,Offensive rebound by Team,8,4
20,1,9:20.0,,S. Curry misses 3-pt jump shot from 25 ft,8,4
21,1,9:19.0,Defensive rebound by H. Whiteside,,8,4
22,1,9:13.0,G. Dragić makes 2-pt layup from 2 ft,,10,4
23,1,9:05.0,,Personal foul by G. Dragić (drawn by S. Curry),10,4
24,1,9:04.0,,Turnover by S. Curry (illegal screen),10,4
25,1,8:48.0,D. Waiters misses 2-pt layup from 2 ft,,10,4
26,1,8:48.0,,Defensive rebound by P. McCaw,10,4
27,1,8:42.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),10,6
28,1,8:27.0,R. McGruder misses 3-pt jump shot from 23 ft,,10,6
29,1,8:26.0,,Defensive rebound by P. McCaw,10,6
30,1,8:10.0,,S. Curry misses 2-pt layup from 3 ft (block by R. McGruder),10,6
31,1,8:09.0,,Offensive rebound by S. Curry,10,6
32,1,8:06.0,,K. Durant misses 3-pt jump shot from 27 ft,10,6
33,1,8:05.0,Defensive rebound by G. Dragić,,10,6
34,1,7:59.0,G. Dragić misses 2-pt layup from 2 ft,,10,6
35,1,7:57.0,,Defensive rebound by Z. Pachulia,10,6
36,1,7:52.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),10,9
