,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,,A. Afflalo makes 2-pt jump shot from 11 ft,0,2
1,1,11:26.0,Personal foul by K. Koufos (drawn by D. Jordan),,0,2
2,1,11:21.0,D. Jordan makes 2-pt hook shot from 6 ft,,2,2
3,1,10:59.0,,D. Cousins makes 2-pt jump shot from 18 ft (assist by R. Gay),2,4
4,1,10:45.0,J. Redick misses 2-pt layup from 2 ft,,2,4
5,1,10:44.0,,Defensive rebound by K. Koufos,2,4
6,1,10:31.0,,T. Lawson makes 2-pt jump shot from 16 ft,2,6
7,1,10:22.0,B. Griffin makes 2-pt jump shot from 19 ft (assist by C. Paul),,4,6
8,1,10:08.0,,R. Gay makes 2-pt jump shot from 17 ft (assist by T. Lawson),4,8
9,1,9:50.0,D. Jordan makes 2-pt layup from 4 ft,,6,8
10,1,9:36.0,,D. Cousins misses 2-pt jump shot from 6 ft,6,8
11,1,9:35.0,Defensive rebound by C. Paul,,6,8
12,1,9:31.0,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),,8,8
13,1,9:14.0,,D. Cousins makes 2-pt layup from 4 ft,8,10
14,1,8:57.0,D. Jordan makes 2-pt hook shot from 7 ft,,10,10
15,1,8:38.0,,D. Cousins misses 2-pt jump shot from 11 ft,10,10
16,1,8:37.0,Defensive rebound by L. Mbah a Moute,,10,10
17,1,8:31.0,J. Redick makes 3-pt jump shot from 23 ft (assist by B. Griffin),,13,10
18,1,8:15.0,,Personal foul by J. Redick (drawn by A. Afflalo),13,10
19,1,8:05.0,,D. Cousins misses 2-pt hook shot from 4 ft,13,10
20,1,8:04.0,Defensive rebound by D. Jordan,,13,10
21,1,8:00.0,Shooting foul by K. Koufos (drawn by L. Mbah a Moute),,13,10
22,1,8:00.0,L. Mbah a Moute misses free throw 1 of 2,,13,10
23,1,8:00.0,Offensive rebound by Team,,13,10
24,1,8:00.0,L. Mbah a Moute misses free throw 2 of 2,,13,10
25,1,8:00.0,,W. Cauley-Stein enters the game for K. Koufos,13,10
26,1,7:58.0,,Defensive rebound by A. Afflalo,13,10
27,1,7:47.0,,W. Cauley-Stein misses 2-pt layup from 4 ft,13,10
28,1,7:45.0,Defensive rebound by C. Paul,,13,10
29,1,7:42.0,Turnover by C. Paul (bad pass),,13,10
