,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MILWAUKEE_ACTION,CHARLOTTE_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,,Turnover by J. Parker (bad pass; steal by N. Batum),0,0
1,1,11:31.0,M. Kidd-Gilchrist makes 2-pt hook shot from 5 ft,,2,0
2,1,11:13.0,,M. Dellavedova makes 2-pt jump shot from 5 ft,2,2
3,1,10:59.0,K. Walker makes 2-pt jump shot from 6 ft,,4,2
4,1,10:46.0,,J. Parker misses 2-pt layup from 1 ft (block by R. Hibbert),4,2
5,1,10:43.0,Defensive rebound by M. Williams,,4,2
6,1,10:28.0,K. Walker misses 2-pt jump shot from 18 ft,,4,2
7,1,10:27.0,,Defensive rebound by G. Antetokounmpo,4,2
8,1,10:24.0,,Shooting foul by M. Williams (drawn by G. Antetokounmpo),4,2
9,1,10:24.0,,G. Antetokounmpo makes free throw 1 of 2,4,3
10,1,10:24.0,,G. Antetokounmpo makes free throw 2 of 2,4,4
11,1,10:12.0,Def 3 sec tech foul by J. Parker,,4,4
12,1,10:12.0,N. Batum makes technical free throw,,5,4
13,1,10:00.0,R. Hibbert misses 2-pt jump shot from 5 ft (block by M. Plumlee),,5,4
14,1,9:58.0,Offensive rebound by M. Kidd-Gilchrist,,5,4
15,1,9:55.0,K. Walker misses 3-pt jump shot from 26 ft,,5,4
16,1,9:54.0,,Defensive rebound by J. Parker,5,4
17,1,9:51.0,,Turnover by J. Parker (bad pass),5,4
18,1,9:35.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by R. Hibbert),,7,4
19,1,9:18.0,,Turnover by M. Teletović (bad pass; steal by M. Kidd-Gilchrist),7,4
20,1,9:16.0,Personal foul by M. Dellavedova (drawn by M. Kidd-Gilchrist),,7,4
21,1,9:05.0,M. Williams makes 2-pt jump shot from 13 ft (assist by K. Walker),,9,4
22,1,8:50.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,9,4
23,1,8:48.0,Defensive rebound by N. Batum,,9,4
24,1,8:44.0,K. Walker makes 2-pt layup from 1 ft (assist by N. Batum),,11,4
25,1,8:43.0,,Milwaukee full timeout,11,4
26,1,8:27.0,,M. Plumlee misses 2-pt layup from 1 ft (block by R. Hibbert),11,4
27,1,8:24.0,Defensive rebound by R. Hibbert,,11,4
28,1,8:15.0,R. Hibbert makes 2-pt dunk at rim (assist by K. Walker),,13,4
29,1,8:00.0,,G. Antetokounmpo misses 2-pt jump shot from 15 ft,13,4
30,1,7:58.0,Defensive rebound by M. Williams,,13,4
31,1,7:50.0,M. Williams misses 3-pt jump shot from 27 ft,,13,4
32,1,7:49.0,,Defensive rebound by M. Dellavedova,13,4
33,1,7:42.0,,M. Dellavedova makes 3-pt jump shot from 26 ft (assist by M. Plumlee),13,7
34,1,7:19.0,M. Kidd-Gilchrist misses 3-pt jump shot from 23 ft,,13,7
35,1,7:18.0,Offensive rebound by Team,,13,7
