,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHICAGO_ACTION,NEW ORLEANS_SCORE,CHICAGO_SCORE
0,1,11:47.0,A. Davis makes 2-pt jump shot from 5 ft (assist by S. Hill),,2,0
1,1,11:31.0,,R. Lopez misses 2-pt hook shot from 9 ft,2,0
2,1,11:30.0,Defensive rebound by B. Hield,,2,0
3,1,11:19.0,A. Davis misses 2-pt jump shot from 22 ft,,2,0
4,1,11:18.0,,Defensive rebound by J. Butler,2,0
5,1,11:01.0,,T. Gibson misses 2-pt jump shot from 20 ft,2,0
6,1,11:00.0,Defensive rebound by S. Hill,,2,0
7,1,10:50.0,S. Hill misses 3-pt jump shot from 25 ft,,2,0
8,1,10:49.0,,Defensive rebound by T. Gibson,2,0
9,1,10:40.0,,M. Carter-Williams misses 2-pt jump shot from 13 ft,2,0
10,1,10:39.0,Defensive rebound by T. Jones,,2,0
11,1,10:28.0,J. Holiday misses 3-pt jump shot from 25 ft,,2,0
12,1,10:27.0,,Defensive rebound by J. Butler,2,0
13,1,10:19.0,,J. Butler makes 2-pt jump shot from 19 ft,2,2
14,1,10:04.0,Turnover by B. Hield (lost ball; steal by J. Butler),,2,2
15,1,10:04.0,,Personal foul by B. Hield (drawn by J. Butler),2,2
16,1,9:48.0,,J. Butler makes 3-pt jump shot from 25 ft (assist by R. Lopez),2,5
17,1,9:41.0,Personal foul by M. Carter-Williams (drawn by J. Holiday),,2,5
18,1,9:27.0,B. Hield makes 2-pt jump shot from 20 ft,,4,5
19,1,9:07.0,,M. Carter-Williams makes 2-pt layup from 2 ft (assist by D. Wade),4,7
20,1,8:51.0,T. Jones misses 2-pt layup from 2 ft (block by T. Gibson),,4,7
21,1,8:49.0,,Defensive rebound by D. Wade,4,7
22,1,8:44.0,,D. Wade misses 2-pt jump shot from 6 ft,4,7
23,1,8:41.0,Defensive rebound by A. Davis,,4,7
24,1,8:34.0,J. Holiday misses 2-pt layup from 2 ft,,4,7
25,1,8:33.0,,Defensive rebound by T. Gibson,4,7
26,1,8:28.0,,Shooting foul by A. Davis (drawn by J. Butler),4,7
27,1,8:28.0,,J. Butler makes free throw 1 of 2,4,8
28,1,8:28.0,,J. Butler misses free throw 2 of 2,4,8
29,1,8:24.0,,Offensive rebound by J. Butler,4,8
30,1,8:17.0,,M. Carter-Williams misses 2-pt jump shot from 5 ft,4,8
31,1,8:15.0,,Offensive rebound by R. Lopez,4,8
