,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHARLOTTE_ACTION,PORTLAND_SCORE,CHARLOTTE_SCORE
0,1,11:45.0,M. Harkless makes 2-pt layup from 1 ft (assist by A. Aminu),,2,0
1,1,11:22.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by M. Kidd-Gilchrist),2,3
2,1,11:06.0,C. McCollum misses 3-pt jump shot from 25 ft,,2,3
3,1,11:05.0,,Defensive rebound by N. Batum,2,3
4,1,10:55.0,,K. Walker misses 2-pt jump shot from 18 ft (block by A. Aminu),2,3
5,1,10:53.0,Defensive rebound by M. Plumlee,,2,3
6,1,10:32.0,A. Aminu misses 2-pt jump shot from 19 ft,,2,3
7,1,10:30.0,,Defensive rebound by M. Williams,2,3
8,1,10:22.0,,N. Batum misses 3-pt jump shot from 24 ft,2,3
9,1,10:21.0,Defensive rebound by D. Lillard,,2,3
10,1,10:12.0,D. Lillard misses 2-pt jump shot from 11 ft,,2,3
11,1,10:11.0,,Defensive rebound by N. Batum,2,3
12,1,10:00.0,,N. Batum misses 2-pt jump shot from 9 ft,2,3
13,1,9:59.0,,Offensive rebound by C. Zeller,2,3
14,1,9:54.0,,C. Zeller misses 2-pt dunk at rim,2,3
15,1,9:53.0,Defensive rebound by M. Harkless,,2,3
16,1,9:45.0,Turnover by D. Lillard (bad pass; steal by K. Walker),,2,3
17,1,9:39.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,2,3
18,1,9:37.0,,Offensive rebound by M. Williams,2,3
19,1,9:37.0,,M. Williams misses 2-pt layup from 1 ft,2,3
20,1,9:35.0,,Offensive rebound by M. Williams,2,3
21,1,9:35.0,,M. Williams makes 2-pt layup at rim,2,5
22,1,9:21.0,Turnover by C. McCollum (lost ball),,2,5
23,1,9:06.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by K. Walker),2,7
24,1,8:49.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),,5,7
25,1,8:30.0,,K. Walker misses 3-pt jump shot from 25 ft,5,7
26,1,8:29.0,Defensive rebound by M. Plumlee,,5,7
27,1,8:13.0,C. McCollum makes 2-pt jump shot from 10 ft (assist by D. Lillard),,7,7
28,1,7:58.0,,K. Walker misses 3-pt jump shot from 25 ft,7,7
29,1,7:57.0,Defensive rebound by D. Lillard,,7,7
30,1,7:43.0,M. Harkless makes 2-pt layup at rim,,9,7
31,1,7:32.0,,Turnover by N. Batum (bad pass),9,7
32,1,7:15.0,M. Harkless misses 3-pt jump shot from 25 ft,,9,7
33,1,7:13.0,,Defensive rebound by M. Williams,9,7
34,1,7:05.0,,C. Zeller misses 2-pt layup from 1 ft (block by M. Plumlee),9,7
35,1,7:03.0,Defensive rebound by M. Plumlee,,9,7
36,1,6:52.0,C. McCollum misses 3-pt jump shot from 28 ft,,9,7
37,1,6:51.0,,Defensive rebound by C. Zeller,9,7
38,1,6:37.0,,N. Batum misses 2-pt jump shot from 6 ft,9,7
39,1,6:35.0,Defensive rebound by M. Plumlee,,9,7
40,1,6:28.0,D. Lillard misses 3-pt jump shot from 25 ft,,9,7
41,1,6:27.0,Offensive rebound by M. Plumlee,,9,7
42,1,6:27.0,M. Plumlee makes 2-pt dunk at rim,,11,7
43,1,6:21.0,,Charlotte full timeout,11,7
44,1,6:08.0,,Turnover by K. Walker (bad pass; steal by A. Aminu),11,7
45,1,6:03.0,M. Harkless misses 2-pt layup from 1 ft,,11,7
46,1,6:02.0,Offensive rebound by A. Aminu,,11,7
