,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW ORLEANS_ACTION,CHARLOTTE_SCORE,NEW ORLEANS_SCORE
0,1,11:40.0,M. Kidd-Gilchrist misses 2-pt hook shot from 8 ft,,0,0
1,1,11:40.0,Offensive rebound by Team,,0,0
2,1,11:29.0,K. Walker misses 3-pt jump shot from 26 ft,,0,0
3,1,11:29.0,,Defensive rebound by A. Davis,0,0
4,1,11:04.0,,E. Moore misses 2-pt jump shot from 18 ft,0,0
5,1,11:04.0,,Offensive rebound by Ö. Aşık,0,0
6,1,10:49.0,,A. Davis makes 2-pt jump shot from 12 ft (assist by T. Frazier),0,2
7,1,10:30.0,Turnover by K. Walker (bad pass; steal by Ö. Aşık),,0,2
8,1,10:15.0,,A. Davis misses 2-pt jump shot from 20 ft,0,2
9,1,10:13.0,Defensive rebound by M. Kidd-Gilchrist,,0,2
10,1,10:03.0,R. Hibbert misses 2-pt hook shot from 10 ft,,0,2
11,1,10:01.0,,Defensive rebound by A. Davis,0,2
12,1,9:48.0,,A. Davis makes 2-pt jump shot from 5 ft (assist by T. Frazier),0,4
13,1,9:48.0,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Davis),0,4
14,1,9:48.0,,A. Davis makes free throw 1 of 1,0,5
15,1,9:30.0,K. Walker makes 2-pt jump shot from 11 ft,,2,5
16,1,9:22.0,,Turnover by A. Davis (traveling),2,5
17,1,9:09.0,N. Batum misses 2-pt jump shot from 8 ft,,2,5
18,1,9:07.0,,Defensive rebound by E. Moore,2,5
19,1,8:54.0,,T. Frazier misses 3-pt jump shot from 26 ft,2,5
20,1,8:53.0,Defensive rebound by M. Williams,,2,5
21,1,8:40.0,M. Williams misses 2-pt layup from 2 ft,,2,5
22,1,8:39.0,,Defensive rebound by Ö. Aşık,2,5
23,1,8:38.0,,Turnover by Ö. Aşık (bad pass; steal by R. Hibbert),2,5
24,1,8:30.0,M. Williams misses 3-pt jump shot from 23 ft,,2,5
25,1,8:30.0,,Defensive rebound by Ö. Aşık,2,5
26,1,8:19.0,,D. Cunningham misses 2-pt jump shot from 7 ft (block by N. Batum),2,5
27,1,8:19.0,,Offensive rebound by Team,2,5
28,1,8:16.0,,A. Davis misses 3-pt jump shot from 27 ft,2,5
29,1,8:14.0,Defensive rebound by K. Walker,,2,5
30,1,8:09.0,N. Batum makes 3-pt jump shot from 27 ft (assist by K. Walker),,5,5
31,1,7:53.0,,T. Frazier misses 2-pt jump shot from 14 ft,5,5
32,1,7:52.0,Defensive rebound by N. Batum,,5,5
33,1,7:40.0,M. Williams makes 2-pt jump shot from 14 ft,,7,5
34,1,7:24.0,,Personal foul by M. Williams (drawn by A. Davis),7,5
35,1,7:24.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,7,5
36,1,7:17.0,,A. Davis makes 2-pt jump shot from 17 ft (assist by Ö. Aşık),7,7
37,1,7:01.0,M. Williams misses 3-pt jump shot from 27 ft,,7,7
38,1,7:01.0,,Defensive rebound by Ö. Aşık,7,7
39,1,6:48.0,,E. Moore misses 2-pt jump shot from 19 ft,7,7
40,1,6:46.0,,Offensive rebound by Ö. Aşık,7,7
41,1,6:41.0,,A. Davis misses 3-pt jump shot from 25 ft,7,7
42,1,6:40.0,Defensive rebound by N. Batum,,7,7
43,1,6:32.0,K. Walker misses 3-pt jump shot from 26 ft,,7,7
44,1,6:32.0,,Defensive rebound by A. Davis,7,7
45,1,6:22.0,,A. Davis makes 2-pt jump shot from 5 ft,7,9
46,1,6:07.0,Turnover by N. Batum (step out of bounds),,7,9
47,1,5:55.0,,A. Davis misses 2-pt jump shot from 8 ft,7,9
48,1,5:54.0,Defensive rebound by M. Belinelli,,7,9
49,1,5:45.0,Turnover by M. Belinelli (bad pass; steal by E. Moore),,7,9
50,1,5:37.0,,D. Cunningham misses 2-pt layup from 2 ft,7,9
51,1,5:35.0,Defensive rebound by K. Walker,,7,9
52,1,5:30.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by K. Walker),,10,9
53,1,5:09.0,,T. Frazier makes 2-pt layup from 2 ft (assist by A. Davis),10,11
54,1,4:50.0,R. Hibbert makes 2-pt hook shot from 9 ft (assist by M. Belinelli),,12,11
55,1,4:38.0,,A. Davis misses 2-pt jump shot from 18 ft,12,11
56,1,4:37.0,,Offensive rebound by D. Cunningham,12,11
57,1,4:32.0,,D. Cunningham misses 2-pt layup from 2 ft,12,11
58,1,4:32.0,,Offensive rebound by D. Cunningham,12,11
59,1,4:32.0,,D. Cunningham misses 2-pt layup from 2 ft,12,11
60,1,4:31.0,Defensive rebound by N. Batum,,12,11
61,1,4:26.0,M. Williams misses 3-pt jump shot from 24 ft,,12,11
62,1,4:24.0,,Defensive rebound by T. Frazier,12,11
63,1,4:19.0,,New Orleans full timeout,12,11
64,1,4:19.0,S. Hawes enters the game for M. Williams,,12,11
65,1,4:19.0,M. Kidd-Gilchrist enters the game for R. Hibbert,,12,11
66,1,4:19.0,F. Kaminsky enters the game for N. Batum,,12,11
67,1,4:19.0,,T. Jones enters the game for D. Cunningham,12,11
68,1,4:19.0,,S. Hill enters the game for Ö. Aşık,12,11
69,1,4:19.0,,J. Holiday enters the game for E. Moore,12,11
70,1,4:08.0,,T. Frazier misses 3-pt jump shot from 23 ft,12,11
71,1,4:08.0,Defensive rebound by S. Hawes,,12,11
72,1,3:57.0,Personal foul by A. Davis (drawn by M. Belinelli),,12,11
73,1,3:46.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,12,11
74,1,3:46.0,,Defensive rebound by Team,12,11
75,1,3:46.0,,L. Galloway enters the game for T. Frazier,12,11
76,1,3:30.0,,T. Jones makes 2-pt jump shot from 7 ft,12,13
77,1,3:30.0,,Shooting foul by S. Hawes (drawn by T. Jones),12,13
78,1,3:30.0,,T. Jones makes free throw 1 of 1,12,14
79,1,3:16.0,K. Walker makes 2-pt layup from 3 ft (assist by S. Hawes),,14,14
80,1,3:08.0,Violation by K. Walker (kicked ball),,14,14
81,1,2:57.0,,L. Galloway misses 3-pt jump shot from 25 ft,14,14
82,1,2:56.0,Defensive rebound by M. Kidd-Gilchrist,,14,14
83,1,2:39.0,S. Hawes misses 3-pt jump shot from 24 ft,,14,14
84,1,2:38.0,,Defensive rebound by T. Jones,14,14
85,1,2:33.0,,Personal foul by S. Hawes (drawn by A. Davis),14,14
86,1,2:33.0,R. Sessions enters the game for K. Walker,,14,14
87,1,2:33.0,Charlotte full timeout,,14,14
88,1,2:24.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by J. Holiday),14,17
89,1,2:12.0,Personal foul by S. Hill (drawn by M. Belinelli),,14,17
90,1,1:58.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by R. Sessions),,17,17
91,1,1:51.0,,Shooting foul by M. Belinelli (drawn by S. Hill),17,17
92,1,1:51.0,,S. Hill makes free throw 1 of 2,17,18
93,1,1:51.0,,S. Hill makes free throw 2 of 2,17,19
94,1,1:35.0,R. Sessions misses 3-pt jump shot from 26 ft,,17,19
95,1,1:33.0,,Defensive rebound by J. Holiday,17,19
96,1,1:21.0,,J. Holiday misses 3-pt jump shot from 23 ft,17,19
97,1,1:20.0,Defensive rebound by M. Belinelli,,17,19
98,1,1:14.0,Turnover by M. Belinelli (bad pass; steal by L. Galloway),,17,19
99,1,1:09.0,,Turnover by L. Galloway (bad pass; steal by M. Kidd-Gilchrist),17,19
100,1,1:02.0,R. Sessions makes 2-pt layup from 2 ft (assist by M. Kidd-Gilchrist),,19,19
101,1,0:47.0,,J. Holiday makes 2-pt layup from 2 ft (assist by T. Jones),19,21
102,1,0:37.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by R. Sessions),,22,21
103,1,0:23.0,,T. Jones misses 3-pt jump shot from 25 ft,22,21
104,1,0:22.0,Defensive rebound by M. Belinelli,,22,21
105,1,0:00.0,M. Belinelli misses 3-pt jump shot from 25 ft,,22,21
106,1,0:00.0,Offensive rebound by M. Kidd-Gilchrist,,22,21
107,1,0:00.0,Shooting foul by S. Hill (drawn by M. Kidd-Gilchrist),,22,21
108,1,0:00.0,M. Kidd-Gilchrist makes free throw 1 of 2,,23,21
109,1,0:00.0,M. Kidd-Gilchrist misses free throw 2 of 2,,23,21
110,1,0:00.0,,Defensive rebound by A. Davis,23,21
111,2,11:38.0,,Turnover by L. Galloway (lost ball; steal by R. Sessions),23,21
112,2,11:27.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by M. Belinelli),,25,21
113,2,11:16.0,,L. Galloway misses 3-pt jump shot from 25 ft,25,21
114,2,11:15.0,Defensive rebound by M. Kidd-Gilchrist,,25,21
115,2,11:08.0,Shooting foul by J. Holiday (drawn by M. Kidd-Gilchrist),,25,21
116,2,11:08.0,M. Kidd-Gilchrist makes free throw 1 of 2,,26,21
117,2,11:08.0,M. Kidd-Gilchrist misses free throw 2 of 2,,26,21
118,2,11:06.0,,Defensive rebound by T. Jones,26,21
119,2,10:54.0,,J. Holiday makes 3-pt jump shot from 25 ft,26,24
120,2,10:38.0,Turnover by S. Hawes (traveling),,26,24
121,2,10:38.0,,B. Hield enters the game for S. Hill,26,24
122,2,10:21.0,,T. Jones misses 3-pt jump shot from 25 ft,26,24
123,2,10:20.0,Defensive rebound by Team,,26,24
124,2,10:03.0,F. Kaminsky makes 2-pt layup from 1 ft (assist by M. Belinelli),,28,24
125,2,9:52.0,,B. Hield misses 3-pt jump shot from 24 ft,28,24
