,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
0,1,11:44.0,,Turnover by K. Bazemore (bad pass; steal by S. Rodríguez),0,0
1,1,11:34.0,Turnover by J. Okafor (bad pass; steal by D. Schröder),,0,0
2,1,11:12.0,,Personal foul by J. Okafor (drawn by P. Millsap),0,0
3,1,11:12.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by K. Korver),0,2
4,1,10:48.0,J. Okafor misses 2-pt jump shot from 17 ft,,0,2
5,1,10:47.0,,Defensive rebound by D. Howard,0,2
6,1,10:40.0,,D. Schröder misses 2-pt layup from 3 ft (block by J. Okafor),0,2
7,1,10:36.0,,Offensive rebound by Team,0,2
8,1,10:29.0,,D. Schröder makes 2-pt jump shot from 18 ft (assist by K. Korver),0,4
9,1,10:05.0,G. Henderson makes 2-pt jump shot from 22 ft,,2,4
10,1,9:55.0,,Turnover by D. Schröder (bad pass),2,4
11,1,9:53.0,D. Šarić makes 2-pt jump shot from 20 ft (assist by J. Okafor),,4,4
12,1,9:41.0,,Turnover by K. Korver (bad pass; steal by R. Covington),4,4
13,1,9:34.0,G. Henderson makes 2-pt dunk at rim (assist by S. Rodríguez),,6,4
14,1,9:16.0,,P. Millsap makes 2-pt jump shot from 12 ft,6,6
15,1,9:08.0,S. Rodríguez misses 2-pt jump shot from 8 ft,,6,6
16,1,9:07.0,Offensive rebound by D. Šarić,,6,6
17,1,9:06.0,D. Šarić misses 2-pt layup from 2 ft (block by K. Korver),,6,6
18,1,9:05.0,,Defensive rebound by D. Schröder,6,6
19,1,9:01.0,,K. Bazemore misses 3-pt jump shot from 23 ft,6,6
20,1,8:59.0,,Offensive rebound by D. Howard,6,6
21,1,8:56.0,,P. Millsap misses 3-pt jump shot from 25 ft,6,6
22,1,8:55.0,Defensive rebound by R. Covington,,6,6
23,1,8:49.0,D. Šarić makes 2-pt jump shot from 16 ft (assist by S. Rodríguez),,8,6
24,1,8:43.0,,Atlanta full timeout,8,6
25,1,8:33.0,,D. Howard makes 2-pt dunk at rim (assist by D. Schröder),8,8
26,1,8:16.0,J. Okafor makes 2-pt jump shot from 10 ft,,10,8
27,1,8:00.0,,D. Schröder misses 2-pt layup at rim,10,8
28,1,7:59.0,Defensive rebound by J. Okafor,,10,8
29,1,7:45.0,D. Šarić misses 2-pt layup from 3 ft (block by K. Korver),,10,8
30,1,7:43.0,,Defensive rebound by K. Bazemore,10,8
31,1,7:39.0,,Shooting foul by G. Henderson (drawn by D. Schröder),10,8
32,1,7:39.0,,D. Schröder misses free throw 1 of 2,10,8
33,1,7:39.0,,Offensive rebound by Team,10,8
34,1,7:39.0,,D. Schröder misses free throw 2 of 2,10,8
35,1,7:39.0,Defensive rebound by D. Šarić,,10,8
36,1,7:39.0,R. Holmes enters the game for J. Okafor,,10,8
37,1,7:20.0,G. Henderson misses 3-pt jump shot from 24 ft,,10,8
38,1,7:19.0,,Defensive rebound by D. Schröder,10,8
39,1,7:11.0,,K. Bazemore makes 2-pt layup from 2 ft (assist by D. Schröder),10,10
40,1,6:45.0,R. Holmes misses 2-pt jump shot from 7 ft,,10,10
41,1,6:43.0,,Defensive rebound by K. Bazemore,10,10
42,1,6:33.0,,Turnover by D. Schröder (bad pass; steal by R. Holmes),10,10
43,1,6:28.0,,M. Muscala enters the game for P. Millsap,10,10
44,1,6:28.0,N. Stauskas enters the game for R. Covington,,10,10
45,1,6:28.0,H. Thompson enters the game for G. Henderson,,10,10
46,1,6:28.0,T. McConnell enters the game for S. Rodríguez,,10,10
47,1,6:19.0,D. Šarić makes 3-pt jump shot from 24 ft (assist by T. McConnell),,13,10
48,1,6:04.0,,D. Schröder makes 2-pt jump shot from 20 ft,13,12
49,1,5:44.0,Turnover by N. Stauskas (bad pass; steal by M. Muscala),,13,12
50,1,5:38.0,,Turnover by K. Korver (lost ball; steal by N. Stauskas),13,12
51,1,5:34.0,Shooting foul by K. Korver (drawn by N. Stauskas),,13,12
52,1,5:34.0,N. Stauskas makes free throw 1 of 2,,14,12
53,1,5:34.0,E. İlyasova enters the game for D. Šarić,,14,12
54,1,5:34.0,N. Stauskas makes free throw 2 of 2,,15,12
55,1,5:21.0,,K. Bazemore misses 2-pt jump shot from 17 ft,15,12
56,1,5:18.0,Defensive rebound by E. İlyasova,,15,12
57,1,4:58.0,E. İlyasova misses 3-pt jump shot from 26 ft,,15,12
58,1,4:57.0,,Defensive rebound by K. Bazemore,15,12
59,1,4:49.0,,Turnover by K. Bazemore (bad pass; steal by E. İlyasova),15,12
60,1,4:45.0,,Offensive charge foul by H. Thompson (drawn by K. Korver),15,12
61,1,4:45.0,Turnover by H. Thompson (offensive foul),,15,12
62,1,4:45.0,,T. Hardaway enters the game for K. Korver,15,12
63,1,4:36.0,,D. Schröder makes 2-pt jump shot from 7 ft,15,14
64,1,4:15.0,R. Holmes misses 2-pt jump shot from 16 ft,,15,14
65,1,4:13.0,,Defensive rebound by T. Hardaway,15,14
66,1,4:03.0,,T. Hardaway misses 3-pt jump shot from 24 ft,15,14
67,1,4:01.0,Defensive rebound by E. İlyasova,,15,14
68,1,3:54.0,Philadelphia full timeout,,15,14
69,1,3:54.0,,T. Sefolosha enters the game for K. Bazemore,15,14
70,1,3:54.0,,M. Delaney enters the game for D. Schröder,15,14
71,1,3:42.0,E. İlyasova misses 2-pt layup from 2 ft,,15,14
72,1,3:41.0,,Defensive rebound by D. Howard,15,14
73,1,3:39.0,,Shooting foul by N. Stauskas (drawn by T. Hardaway),15,14
74,1,3:39.0,,T. Hardaway makes free throw 1 of 2,15,15
75,1,3:39.0,,T. Hardaway misses free throw 2 of 2,15,15
76,1,3:39.0,J. Okafor enters the game for R. Holmes,,15,15
77,1,3:38.0,Defensive rebound by E. İlyasova,,15,15
78,1,3:26.0,H. Thompson misses 3-pt jump shot from 25 ft,,15,15
79,1,3:25.0,,Defensive rebound by D. Howard,15,15
80,1,3:13.0,,Turnover by M. Delaney (bad pass; steal by N. Stauskas),15,15
81,1,3:05.0,H. Thompson misses 3-pt jump shot from 25 ft,,15,15
82,1,3:02.0,,Defensive rebound by D. Howard,15,15
83,1,2:52.0,,M. Delaney misses 2-pt jump shot from 19 ft,15,15
84,1,2:50.0,,Offensive rebound by M. Muscala,15,15
85,1,2:46.0,,T. Sefolosha misses 3-pt jump shot from 25 ft,15,15
86,1,2:44.0,Defensive rebound by H. Thompson,,15,15
87,1,2:38.0,T. McConnell makes 2-pt jump shot from 16 ft,,17,15
88,1,2:15.0,,Turnover by T. Sefolosha (lost ball; steal by N. Stauskas),17,15
89,1,2:10.0,N. Stauskas makes 2-pt dunk at rim,,19,15
90,1,2:10.0,,Atlanta full timeout,19,15
91,1,2:10.0,,P. Millsap enters the game for D. Howard,19,15
92,1,2:10.0,,K. Humphries enters the game for M. Muscala,19,15
93,1,1:58.0,,Turnover by T. Hardaway (bad pass; steal by T. McConnell),19,15
94,1,1:52.0,J. Okafor makes 2-pt layup from 1 ft (assist by T. McConnell),,21,15
95,1,1:35.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by K. Humphries),21,18
96,1,1:16.0,E. İlyasova makes 2-pt jump shot from 17 ft (assist by N. Stauskas),,23,18
97,1,1:05.0,,K. Humphries makes 3-pt jump shot from 25 ft (assist by M. Delaney),23,21
98,1,0:42.0,J. Okafor makes 2-pt layup from 2 ft,,25,21
99,1,0:34.0,,Shooting foul by J. Okafor (drawn by M. Delaney),25,21
100,1,0:34.0,,M. Delaney makes free throw 1 of 2,25,22
101,1,0:34.0,R. Holmes enters the game for J. Okafor,,25,22
102,1,0:34.0,,M. Delaney makes free throw 2 of 2,25,23
103,1,0:28.0,Turnover by E. İlyasova (offensive foul),,25,23
104,1,0:28.0,Offensive foul by E. İlyasova (drawn by M. Delaney),,25,23
105,1,0:06.0,,P. Millsap misses 2-pt jump shot from 7 ft (block by E. İlyasova),25,23
106,1,0:04.0,Defensive rebound by E. İlyasova,,25,23
107,1,0:02.0,N. Stauskas makes 2-pt layup from 3 ft (assist by T. McConnell),,27,23
108,2,11:45.0,E. İlyasova misses 3-pt jump shot from 24 ft,,27,23
109,2,11:43.0,,Defensive rebound by P. Millsap,27,23
110,2,11:26.0,,P. Millsap misses 2-pt jump shot from 9 ft,27,23
111,2,11:25.0,,Offensive rebound by K. Humphries,27,23
112,2,11:25.0,,K. Humphries makes 2-pt layup from 1 ft,27,25
113,2,11:17.0,Turnover by E. İlyasova (lost ball; steal by K. Korver),,27,25
114,2,11:11.0,,T. Sefolosha misses 2-pt layup from 1 ft,27,25
115,2,11:09.0,,Offensive rebound by M. Delaney,27,25
116,2,11:09.0,,M. Delaney misses 2-pt layup from 1 ft,27,25
117,2,11:08.0,Defensive rebound by E. İlyasova,,27,25
118,2,10:53.0,E. İlyasova makes 2-pt layup at rim (assist by H. Thompson),,29,25
119,2,10:30.0,,K. Humphries makes 2-pt layup from 1 ft (assist by M. Delaney),29,27
120,2,10:19.0,Offensive foul by E. İlyasova (drawn by M. Delaney),,29,27
121,2,10:19.0,Turnover by E. İlyasova (offensive foul),,29,27
122,2,10:19.0,R. Covington enters the game for T. McConnell,,29,27
123,2,10:19.0,G. Henderson enters the game for N. Stauskas,,29,27
124,2,10:19.0,D. Šarić enters the game for H. Thompson,,29,27
125,2,10:19.0,S. Rodríguez enters the game for E. İlyasova,,29,27
126,2,10:03.0,,K. Humphries makes 2-pt jump shot from 15 ft (assist by P. Millsap),29,29
127,2,9:49.0,D. Šarić misses 2-pt layup from 1 ft,,29,29
128,2,9:47.0,,Defensive rebound by K. Humphries,29,29
129,2,9:42.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by M. Delaney),29,32
130,2,9:41.0,Philadelphia full timeout,,29,32
131,2,9:23.0,Turnover by D. Šarić (bad pass; steal by T. Sefolosha),,29,32
132,2,9:23.0,,Personal foul by R. Covington (drawn by T. Sefolosha),29,32
