,QUARTER,TIME_REMAINING,TORONTO_ACTION,GOLDEN STATE_ACTION,TORONTO_SCORE,GOLDEN STATE_SCORE
0,1,11:49.0,,K. Thompson makes 2-pt layup at rim (assist by D. Green),0,2
1,1,11:32.0,D. DeRozan misses 2-pt jump shot from 19 ft (block by D. Green),,0,2
2,1,11:31.0,,Defensive rebound by K. Thompson,0,2
3,1,11:26.0,,D. Green makes 2-pt layup from 1 ft (assist by K. Thompson),0,4
4,1,10:58.0,D. DeRozan makes 2-pt jump shot from 21 ft (assist by K. Lowry),,2,4
5,1,10:51.0,,Z. Pachulia misses 2-pt jump shot from 3 ft (block by J. Valančiūnas),2,4
6,1,10:49.0,,Offensive rebound by Z. Pachulia,2,4
7,1,10:48.0,,Z. Pachulia makes 2-pt layup from 2 ft,2,6
8,1,10:33.0,D. DeRozan misses 2-pt jump shot from 18 ft,,2,6
9,1,10:33.0,Offensive rebound by D. DeRozan,,2,6
10,1,10:20.0,K. Lowry misses 3-pt jump shot from 28 ft,,2,6
11,1,10:20.0,Offensive rebound by P. Siakam,,2,6
12,1,10:19.0,P. Siakam misses 2-pt layup from 2 ft (block by K. Durant),,2,6
13,1,10:14.0,Offensive rebound by D. Carroll,,2,6
14,1,10:01.0,D. Carroll misses 2-pt jump shot from 9 ft (block by K. Durant),,2,6
15,1,9:59.0,,Defensive rebound by K. Thompson,2,6
16,1,9:44.0,,K. Thompson makes 3-pt jump shot from 27 ft,2,9
17,1,9:24.0,J. Valančiūnas misses 2-pt hook shot from 3 ft,,2,9
18,1,9:23.0,,Defensive rebound by K. Durant,2,9
19,1,9:16.0,,K. Durant makes 2-pt layup from 2 ft,2,11
20,1,9:09.0,Toronto full timeout,,2,11
21,1,9:00.0,Shooting foul by Z. Pachulia (drawn by J. Valančiūnas),,2,11
22,1,9:00.0,J. Valančiūnas makes free throw 1 of 2,,3,11
23,1,9:00.0,J. Valančiūnas makes free throw 2 of 2,,4,11
24,1,8:46.0,,S. Curry makes 2-pt jump shot from 13 ft (assist by K. Durant),4,13
25,1,8:27.0,D. DeRozan misses 2-pt jump shot from 21 ft,,4,13
26,1,8:26.0,,Defensive rebound by S. Curry,4,13
27,1,8:20.0,,K. Thompson makes 3-pt jump shot from 28 ft (assist by S. Curry),4,16
28,1,7:55.0,D. Carroll misses 2-pt jump shot from 22 ft,,4,16
29,1,7:54.0,,Defensive rebound by S. Curry,4,16
30,1,7:49.0,,S. Curry makes 3-pt jump shot from 27 ft,4,19
31,1,7:40.0,Toronto full timeout,,4,19
32,1,7:40.0,P. Patterson enters the game for P. Siakam,,4,19
33,1,7:28.0,D. Carroll misses 2-pt jump shot from 12 ft (block by K. Thompson),,4,19
34,1,7:27.0,,Defensive rebound by S. Curry,4,19
35,1,7:19.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),4,22
36,1,7:03.0,P. Patterson misses 2-pt jump shot from 14 ft,,4,22
37,1,7:03.0,,Defensive rebound by K. Durant,4,22
38,1,6:57.0,,K. Durant misses 2-pt layup from 1 ft,4,22
39,1,6:55.0,Defensive rebound by J. Valančiūnas,,4,22
40,1,6:45.0,D. DeRozan makes 2-pt jump shot from 11 ft,,6,22
41,1,6:26.0,,K. Durant makes 2-pt layup from 1 ft (assist by D. Green),6,24
42,1,6:09.0,Shooting foul by K. Thompson (drawn by D. DeRozan),,6,24
43,1,6:09.0,D. DeRozan makes free throw 1 of 2,,7,24
44,1,6:09.0,L. Nogueira enters the game for J. Valančiūnas,,7,24
45,1,6:09.0,T. Ross enters the game for D. Carroll,,7,24
46,1,6:09.0,D. DeRozan makes free throw 2 of 2,,8,24
47,1,5:57.0,,Personal foul by K. Lowry (drawn by S. Curry),8,24
48,1,5:51.0,,S. Curry misses 3-pt jump shot from 28 ft,8,24
49,1,5:50.0,Defensive rebound by L. Nogueira,,8,24
50,1,5:39.0,K. Lowry misses 3-pt jump shot from 26 ft,,8,24
51,1,5:37.0,,Defensive rebound by K. Durant,8,24
52,1,5:23.0,,D. Green makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),8,27
53,1,4:58.0,T. Ross makes 2-pt jump shot from 20 ft,,10,27
54,1,4:44.0,,K. Thompson makes 2-pt jump shot from 15 ft (assist by D. Green),10,29
55,1,4:37.0,Personal foul by S. Curry (drawn by K. Lowry),,10,29
56,1,4:37.0,,A. Iguodala enters the game for K. Durant,10,29
57,1,4:37.0,,J. McGee enters the game for Z. Pachulia,10,29
58,1,4:28.0,T. Ross misses 3-pt jump shot from 27 ft,,10,29
59,1,4:27.0,,Defensive rebound by D. Green,10,29
60,1,4:22.0,,K. Thompson misses 3-pt jump shot from 28 ft,10,29
61,1,4:20.0,Defensive rebound by T. Ross,,10,29
62,1,4:06.0,P. Patterson misses 3-pt jump shot from 25 ft,,10,29
63,1,4:06.0,,Defensive rebound by K. Thompson,10,29
64,1,3:58.0,,K. Thompson makes 2-pt jump shot from 15 ft (assist by D. Green),10,31
65,1,3:27.0,P. Patterson misses 3-pt jump shot from 23 ft,,10,31
66,1,3:27.0,,Defensive rebound by D. Green,10,31
67,1,3:21.0,,J. McGee misses 2-pt layup from 2 ft,10,31
68,1,3:20.0,Defensive rebound by D. DeRozan,,10,31
69,1,3:09.0,K. Lowry misses 2-pt jump shot from 8 ft,,10,31
70,1,3:09.0,,Defensive rebound by K. Thompson,10,31
71,1,3:04.0,,Golden State full timeout,10,31
72,1,3:04.0,C. Joseph enters the game for K. Lowry,,10,31
73,1,3:04.0,,I. Clark enters the game for K. Thompson,10,31
74,1,2:59.0,,Turnover by A. Iguodala (bad pass; steal by L. Nogueira),10,31
75,1,2:40.0,P. Patterson misses 3-pt jump shot from 26 ft,,10,31
76,1,2:40.0,,Defensive rebound by S. Curry,10,31
77,1,2:34.0,,Turnover by S. Curry (bad pass; steal by T. Ross),10,31
78,1,2:29.0,T. Ross misses 2-pt layup from 3 ft,,10,31
79,1,2:27.0,Offensive rebound by T. Ross,,10,31
80,1,2:27.0,T. Ross misses 2-pt layup from 1 ft,,10,31
81,1,2:25.0,Offensive rebound by T. Ross,,10,31
82,1,2:18.0,Shooting foul by I. Clark (drawn by D. DeRozan),,10,31
83,1,2:18.0,D. DeRozan makes free throw 1 of 2,,11,31
84,1,2:18.0,D. DeRozan makes free throw 2 of 2,,12,31
85,1,2:00.0,,I. Clark makes 2-pt jump shot from 20 ft (assist by S. Curry),12,33
86,1,1:51.0,Turnover by P. Patterson (bad pass),,12,33
87,1,1:42.0,,J. McGee makes 2-pt dunk at rim (assist by D. Green),12,35
88,1,1:24.0,T. Ross makes 2-pt jump shot from 14 ft (assist by D. DeRozan),,14,35
89,1,1:13.0,,S. Curry misses 3-pt jump shot from 26 ft,14,35
90,1,1:13.0,Defensive rebound by D. DeRozan,,14,35
91,1,1:02.0,D. DeRozan misses 2-pt jump shot from 11 ft,,14,35
