,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHOENIX_ACTION,OKLAHOMA CITY_SCORE,PHOENIX_SCORE
0,1,11:40.0,S. Adams misses 2-pt jump shot from 6 ft,,0,0
1,1,11:40.0,,Defensive rebound by A. Len,0,0
2,1,11:28.0,,Shooting foul by T. Gibson (drawn by A. Len),0,0
3,1,11:28.0,,A. Len makes free throw 1 of 2,0,1
4,1,11:28.0,,A. Len misses free throw 2 of 2,0,1
5,1,11:27.0,Defensive rebound by R. Westbrook,,0,1
6,1,11:13.0,T. Gibson makes 2-pt jump shot from 16 ft (assist by S. Adams),,2,1
7,1,11:12.0,Violation by Team (jump ball),,2,1
8,1,10:55.0,,M. Chriss makes 2-pt jump shot from 7 ft,2,3
9,1,10:45.0,Turnover by R. Westbrook (bad pass),,2,3
10,1,10:23.0,,T. Ulis makes 2-pt jump shot from 18 ft,2,5
11,1,10:10.0,Turnover by R. Westbrook (bad pass; steal by M. Chriss),,2,5
12,1,9:59.0,,Turnover by T. Ulis (bad pass),2,5
13,1,9:40.0,R. Westbrook misses 2-pt layup at rim (block by M. Chriss),,2,5
14,1,9:38.0,,Defensive rebound by A. Len,2,5
15,1,9:31.0,,T. Warren misses 3-pt jump shot from 24 ft,2,5
16,1,9:31.0,,Offensive rebound by M. Chriss,2,5
17,1,9:17.0,,A. Len misses 2-pt jump shot from 5 ft,2,5
18,1,9:16.0,Defensive rebound by S. Adams,,2,5
19,1,9:07.0,Turnover by R. Westbrook (bad pass; steal by D. Booker),,2,5
20,1,9:01.0,,T. Warren makes 2-pt layup from 1 ft (assist by D. Booker),2,7
21,1,9:01.0,Oklahoma City full timeout,,2,7
22,1,8:44.0,R. Westbrook misses 2-pt jump shot from 16 ft,,2,7
23,1,8:43.0,Offensive rebound by S. Adams,,2,7
24,1,8:36.0,R. Westbrook misses 2-pt layup from 3 ft,,2,7
25,1,8:36.0,Offensive rebound by R. Westbrook,,2,7
26,1,8:36.0,Turnover by R. Westbrook (bad pass; steal by M. Chriss),,2,7
