,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,NEW ORLEANS_ACTION,OKLAHOMA CITY_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,,A. Davis misses 2-pt jump shot from 13 ft,0,0
1,1,11:43.0,Defensive rebound by D. Sabonis,,0,0
2,1,11:39.0,S. Adams misses 2-pt hook shot from 5 ft,,0,0
3,1,11:39.0,,Defensive rebound by B. Hield,0,0
4,1,11:23.0,,B. Hield makes 2-pt layup from 3 ft,0,2
5,1,11:05.0,S. Adams makes 2-pt layup from 3 ft,,2,2
6,1,10:46.0,,A. Davis misses 2-pt layup from 2 ft,2,2
7,1,10:42.0,Defensive rebound by A. Roberson,,2,2
8,1,10:40.0,R. Westbrook misses 2-pt jump shot from 16 ft,,2,2
9,1,10:39.0,Offensive rebound by S. Adams,,2,2
10,1,10:35.0,A. Roberson makes 2-pt dunk from 1 ft (assist by S. Adams),,4,2
11,1,10:24.0,,J. Holiday makes 2-pt jump shot from 18 ft,4,4
12,1,9:58.0,R. Westbrook makes 3-pt jump shot from 26 ft (assist by A. Roberson),,7,4
13,1,9:46.0,,J. Holiday makes 2-pt layup from 3 ft,7,6
14,1,9:31.0,V. Oladipo misses 3-pt jump shot from 26 ft,,7,6
15,1,9:29.0,,Defensive rebound by S. Hill,7,6
16,1,9:23.0,,B. Hield misses 2-pt layup from 2 ft (block by A. Roberson),7,6
17,1,9:22.0,Defensive rebound by D. Sabonis,,7,6
18,1,9:12.0,D. Sabonis misses 3-pt jump shot from 27 ft,,7,6
19,1,9:12.0,,Defensive rebound by Team,7,6
20,1,9:10.0,Loose ball foul by S. Adams (drawn by T. Jones),,7,6
21,1,9:00.0,,A. Davis misses 2-pt jump shot from 19 ft,7,6
22,1,8:58.0,Defensive rebound by R. Westbrook,,7,6
23,1,8:51.0,V. Oladipo misses 3-pt jump shot from 24 ft,,7,6
24,1,8:48.0,,Defensive rebound by A. Davis,7,6
25,1,8:37.0,,T. Jones misses 2-pt layup from 2 ft,7,6
26,1,8:37.0,,Offensive rebound by T. Jones,7,6
27,1,8:28.0,,S. Hill misses 3-pt jump shot from 28 ft,7,6
28,1,8:27.0,Defensive rebound by R. Westbrook,,7,6
29,1,8:14.0,R. Westbrook misses 2-pt jump shot from 18 ft,,7,6
30,1,8:13.0,,Defensive rebound by A. Davis,7,6
31,1,8:04.0,,B. Hield misses 2-pt layup from 3 ft (block by V. Oladipo),7,6
32,1,8:03.0,Defensive rebound by D. Sabonis,,7,6
33,1,7:57.0,Shooting foul by J. Holiday (drawn by V. Oladipo),,7,6
34,1,7:57.0,V. Oladipo misses free throw 1 of 2,,7,6
35,1,7:57.0,Offensive rebound by Team,,7,6
36,1,7:57.0,V. Oladipo makes free throw 2 of 2,,8,6
37,1,7:34.0,,T. Jones misses 2-pt layup from 3 ft (block by S. Adams),8,6
38,1,7:33.0,Defensive rebound by D. Sabonis,,8,6
39,1,7:25.0,Shooting foul by S. Hill (drawn by R. Westbrook),,8,6
40,1,7:25.0,R. Westbrook makes free throw 1 of 3,,9,6
41,1,7:25.0,R. Westbrook makes free throw 2 of 3,,10,6
42,1,7:25.0,R. Westbrook makes free throw 3 of 3,,11,6
43,1,7:21.0,,New Orleans full timeout,11,6
44,1,7:09.0,,T. Jones makes 2-pt dunk at rim (assist by J. Holiday),11,8
45,1,7:00.0,Shooting foul by T. Jones (drawn by S. Adams),,11,8
46,1,7:00.0,S. Adams misses free throw 1 of 2,,11,8
47,1,7:00.0,Offensive rebound by Team,,11,8
48,1,7:00.0,S. Adams misses free throw 2 of 2,,11,8
49,1,6:58.0,,Defensive rebound by A. Davis,11,8
