,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DALLAS_ACTION,HOUSTON_SCORE,DALLAS_SCORE
0,1,11:45.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,0,0
1,1,11:45.0,Defensive rebound by T. Ariza,,0,0
2,1,11:35.0,J. Harden makes 2-pt layup from 2 ft,,2,0
3,1,11:13.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,2,0
4,1,11:12.0,Defensive rebound by N. Hilário,,2,0
5,1,11:02.0,N. Hilário misses 2-pt layup from 1 ft (block by A. Bogut),,2,0
6,1,11:00.0,,Defensive rebound by A. Bogut,2,0
7,1,10:47.0,,H. Barnes makes 2-pt layup from 2 ft,2,2
8,1,10:24.0,R. Anderson makes 2-pt layup from 2 ft (assist by J. Harden),,4,2
9,1,10:02.0,,Personal foul by J. Harden (drawn by D. Nowitzki),4,2
10,1,10:02.0,,D. Finney-Smith enters the game for A. Bogut,4,2
11,1,9:57.0,,D. Nowitzki misses 2-pt layup from 1 ft (block by N. Hilário),4,2
12,1,9:55.0,Defensive rebound by T. Ariza,,4,2
13,1,9:43.0,J. Harden misses 3-pt jump shot from 25 ft,,4,2
14,1,9:42.0,,Defensive rebound by D. Nowitzki,4,2
15,1,9:23.0,,W. Matthews misses 3-pt jump shot from 26 ft,4,2
16,1,9:22.0,Defensive rebound by N. Hilário,,4,2
17,1,9:15.0,C. Brewer misses 2-pt jump shot from 5 ft,,4,2
18,1,9:13.0,Offensive rebound by R. Anderson,,4,2
19,1,9:13.0,R. Anderson makes 2-pt layup from 1 ft,,6,2
20,1,8:54.0,,D. Finney-Smith makes 2-pt layup from 1 ft (assist by W. Matthews),6,4
21,1,8:46.0,N. Hilário makes 2-pt layup from 1 ft (assist by J. Harden),,8,4
22,1,8:46.0,Shooting block foul by H. Barnes (drawn by N. Hilário),,8,4
23,1,8:46.0,N. Hilário makes free throw 1 of 1,,9,4
24,1,8:40.0,,Personal foul by C. Brewer (drawn by D. Williams),9,4
25,1,8:30.0,,H. Barnes misses 2-pt hook shot from 6 ft,9,4
26,1,8:28.0,Defensive rebound by T. Ariza,,9,4
27,1,8:19.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),,12,4
28,1,8:04.0,,D. Williams misses 2-pt jump shot from 3 ft,12,4
29,1,8:02.0,Defensive rebound by C. Brewer,,12,4
30,1,7:56.0,R. Anderson makes 3-pt jump shot from 24 ft (assist by J. Harden),,15,4
31,1,7:56.0,,Dallas full timeout,15,4
32,1,7:39.0,,Turnover by D. Finney-Smith (bad pass; steal by R. Anderson),15,4
33,1,7:31.0,T. Ariza makes 3-pt jump shot from 22 ft (assist by C. Brewer),,18,4
34,1,7:13.0,,H. Barnes makes 2-pt layup from 3 ft,18,6
35,1,6:54.0,J. Harden makes 2-pt jump shot from 19 ft,,20,6
36,1,6:42.0,,D. Nowitzki makes 2-pt layup from 2 ft (assist by D. Williams),20,8
37,1,6:32.0,N. Hilário makes 2-pt layup from 1 ft (assist by J. Harden),,22,8
38,1,6:21.0,,Personal foul by R. Anderson (drawn by D. Williams),22,8
39,1,6:21.0,M. Harrell enters the game for C. Brewer,,22,8
40,1,6:21.0,E. Gordon enters the game for N. Hilário,,22,8
41,1,6:21.0,,A. Bogut enters the game for D. Nowitzki,22,8
42,1,6:13.0,,W. Matthews makes 2-pt jump shot from 16 ft (assist by D. Williams),22,10
43,1,5:51.0,J. Harden makes 2-pt jump shot from 5 ft,,24,10
44,1,5:34.0,,H. Barnes makes 2-pt layup from 2 ft,24,12
45,1,5:19.0,R. Anderson misses 2-pt jump shot from 13 ft,,24,12
46,1,5:18.0,,Defensive rebound by H. Barnes,24,12
47,1,5:11.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Williams),24,15
48,1,4:55.0,M. Harrell misses 2-pt layup from 2 ft (block by A. Bogut),,24,15
49,1,4:44.0,,Defensive rebound by D. Finney-Smith,24,15
50,1,4:37.0,,D. Williams makes 3-pt jump shot from 25 ft,24,18
51,1,4:37.0,Houston full timeout,,24,18
52,1,4:37.0,,D. Harris enters the game for D. Williams,24,18
53,1,4:37.0,,S. Curry enters the game for D. Finney-Smith,24,18
54,1,4:37.0,S. Dekker enters the game for R. Anderson,,24,18
55,1,4:22.0,J. Harden misses 2-pt jump shot from 12 ft,,24,18
56,1,4:21.0,,Defensive rebound by D. Harris,24,18
57,1,4:00.0,,H. Barnes makes 2-pt jump shot from 19 ft (assist by S. Curry),24,20
58,1,3:49.0,Turnover by J. Harden (bad pass; steal by W. Matthews),,24,20
59,1,3:33.0,,H. Barnes misses 2-pt jump shot from 14 ft,24,20
60,1,3:32.0,,Offensive rebound by A. Bogut,24,20
61,1,3:29.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by A. Bogut),24,23
62,1,3:17.0,E. Gordon misses 2-pt jump shot from 5 ft,,24,23
63,1,3:15.0,,Defensive rebound by W. Matthews,24,23
64,1,3:07.0,,Turnover by A. Bogut (bad pass),24,23
65,1,2:52.0,M. Harrell makes 2-pt dunk at rim (assist by J. Harden),,26,23
66,1,2:32.0,,D. Harris misses 3-pt jump shot from 23 ft,26,23
67,1,2:32.0,,Offensive rebound by A. Bogut,26,23
68,1,2:26.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by A. Bogut),26,26
69,1,1:58.0,T. Ariza misses 2-pt layup from 3 ft,,26,26
70,1,1:56.0,,Defensive rebound by A. Bogut,26,26
71,1,1:41.0,,W. Matthews misses 2-pt jump shot from 10 ft,26,26
72,1,1:40.0,Defensive rebound by S. Dekker,,26,26
73,1,1:36.0,Turnover by J. Harden (bad pass; steal by S. Curry),,26,26
74,1,1:24.0,,W. Matthews makes 3-pt jump shot from 25 ft,26,29
75,1,1:15.0,Personal foul by W. Matthews (drawn by J. Harden),,26,29
76,1,0:56.0,J. Harden misses 2-pt jump shot from 18 ft,,26,29
77,1,0:55.0,,Defensive rebound by A. Bogut,26,29
78,1,0:41.0,,S. Curry misses 3-pt jump shot from 25 ft,26,29
79,1,0:41.0,Defensive rebound by T. Ariza,,26,29
80,1,0:34.0,T. Ariza misses 3-pt jump shot from 25 ft,,26,29
81,1,0:33.0,Offensive rebound by S. Dekker,,26,29
82,1,0:32.0,S. Dekker makes 2-pt layup from 3 ft,,28,29
83,1,0:11.0,,Shooting foul by T. Ariza (drawn by H. Barnes),28,29
84,1,0:11.0,,H. Barnes makes free throw 1 of 2,28,30
85,1,0:11.0,,D. Powell enters the game for A. Bogut,28,30
86,1,0:11.0,,H. Barnes makes free throw 2 of 2,28,31
87,1,0:04.0,J. Harden makes 3-pt jump shot from 27 ft,,31,31
88,1,0:01.0,,W. Matthews misses 3-pt jump shot from 34 ft,31,31
89,1,0:00.0,,Offensive rebound by Team,31,31
90,2,11:41.0,E. Gordon makes 2-pt jump shot from 3 ft,,33,31
91,2,11:16.0,,S. Curry misses 2-pt jump shot from 11 ft,33,31
92,2,11:16.0,Defensive rebound by E. Gordon,,33,31
93,2,11:11.0,S. Dekker makes 2-pt jump shot from 6 ft (assist by T. Ennis),,35,31
94,2,10:49.0,,D. Nowitzki misses 2-pt jump shot from 10 ft,35,31
95,2,10:48.0,,Offensive rebound by S. Curry,35,31
96,2,10:35.0,,D. Williams makes 3-pt jump shot from 26 ft,35,34
97,2,10:16.0,R. Anderson misses 2-pt jump shot from 10 ft,,35,34
98,2,10:15.0,,Defensive rebound by S. Curry,35,34
99,2,9:59.0,,S. Curry misses 2-pt layup from 3 ft (block by M. Harrell),35,34
100,2,9:57.0,Defensive rebound by S. Dekker,,35,34
101,2,9:46.0,M. Harrell makes 2-pt dunk at rim (assist by E. Gordon),,37,34
102,2,9:32.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Williams),37,37
103,2,9:15.0,R. Anderson makes 2-pt hook shot from 3 ft (assist by E. Gordon),,39,37
104,2,9:04.0,,D. Williams misses 3-pt jump shot from 25 ft,39,37
105,2,9:03.0,Defensive rebound by S. Dekker,,39,37
106,2,8:47.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by S. Dekker),,42,37
107,2,8:46.0,,Dallas full timeout,42,37
108,2,8:46.0,,D. Harris enters the game for S. Curry,42,37
109,2,8:28.0,,Turnover by D. Nowitzki (bad pass; steal by S. Dekker),42,37
110,2,8:25.0,Personal foul by D. Williams (drawn by E. Gordon),,42,37
111,2,8:04.0,T. Ennis makes 3-pt jump shot from 25 ft (assist by S. Dekker),,45,37
112,2,7:50.0,,Turnover by D. Williams (bad pass; steal by S. Dekker),45,37
113,2,7:45.0,Personal foul by D. Powell (drawn by T. Ennis),,45,37
114,2,7:45.0,,A. Bogut enters the game for D. Powell,45,37
115,2,7:45.0,,H. Barnes enters the game for D. Nowitzki,45,37
