,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHICAGO_ACTION,LA LAKERS_SCORE,CHICAGO_SCORE
0,1,11:38.0,,Personal foul by J. Randle (drawn by T. Gibson),0,0
1,1,11:27.0,,T. Gibson misses 2-pt jump shot from 8 ft,0,0
2,1,11:26.0,,Offensive rebound by R. Lopez,0,0
3,1,11:26.0,,R. Lopez misses 2-pt layup from 2 ft,0,0
4,1,11:25.0,,Offensive rebound by R. Lopez,0,0
5,1,11:25.0,,R. Lopez misses 2-pt layup from 1 ft,0,0
6,1,11:24.0,Defensive rebound by J. Randle,,0,0
7,1,11:14.0,J. Randle makes 2-pt jump shot from 15 ft,,2,0
8,1,10:59.0,,R. Rondo misses 2-pt jump shot from 20 ft,2,0
9,1,10:58.0,Defensive rebound by J. Randle,,2,0
10,1,10:42.0,L. Deng misses 2-pt jump shot from 5 ft,,2,0
11,1,10:41.0,,Defensive rebound by D. Wade,2,0
12,1,10:39.0,,Turnover by D. Wade (bad pass; steal by L. Deng),2,0
13,1,10:39.0,L. Deng makes 2-pt layup from 2 ft,,4,0
14,1,10:39.0,Shooting foul by D. Wade (drawn by L. Deng),,4,0
15,1,10:39.0,L. Deng misses free throw 1 of 1,,4,0
16,1,10:38.0,,Defensive rebound by T. Gibson,4,0
17,1,10:26.0,,R. Lopez makes 2-pt jump shot from 19 ft (assist by T. Gibson),4,2
18,1,10:03.0,Turnover by T. Mozgov (traveling),,4,2
19,1,9:50.0,,R. Lopez misses 2-pt jump shot from 18 ft,4,2
20,1,9:49.0,Defensive rebound by J. Randle,,4,2
21,1,9:37.0,B. Ingram misses 3-pt jump shot from 25 ft,,4,2
22,1,9:36.0,,Defensive rebound by R. Rondo,4,2
23,1,9:22.0,,J. Butler makes 2-pt layup from 3 ft (assist by R. Lopez),4,4
24,1,9:00.0,L. Deng misses 2-pt layup from 1 ft (block by R. Lopez),,4,4
25,1,8:58.0,Offensive rebound by T. Mozgov,,4,4
26,1,8:56.0,Turnover by Team (shot clock),,4,4
27,1,8:44.0,,T. Gibson makes 2-pt jump shot from 20 ft (assist by R. Rondo),4,6
28,1,8:31.0,T. Mozgov misses 2-pt layup from 2 ft (block by R. Lopez),,4,6
29,1,8:29.0,,Defensive rebound by T. Gibson,4,6
30,1,8:18.0,,J. Butler misses 3-pt jump shot from 25 ft,4,6
31,1,8:17.0,Defensive rebound by J. Randle,,4,6
32,1,7:53.0,L. Deng makes 3-pt jump shot from 24 ft (assist by J. Calderón),,7,6
33,1,7:37.0,,D. Wade misses 2-pt jump shot from 6 ft,7,6
34,1,7:36.0,Defensive rebound by L. Deng,,7,6
35,1,7:30.0,Turnover by J. Randle (bad pass; steal by D. Wade),,7,6
36,1,7:27.0,,D. Wade makes 2-pt dunk at rim (assist by T. Gibson),7,8
37,1,7:13.0,Turnover by J. Calderón (bad pass; steal by J. Butler),,7,8
38,1,7:09.0,,T. Gibson makes 2-pt dunk at rim (assist by R. Rondo),7,10
39,1,6:58.0,J. Randle misses 2-pt jump shot from 10 ft,,7,10
40,1,6:57.0,,Defensive rebound by R. Lopez,7,10
41,1,6:51.0,,Shooting foul by T. Mozgov (drawn by J. Butler),7,10
42,1,6:51.0,,J. Butler misses free throw 1 of 2,7,10
43,1,6:51.0,,Offensive rebound by Team,7,10
44,1,6:51.0,LA Lakers full timeout,,7,10
45,1,6:51.0,,J. Butler makes free throw 2 of 2,7,11
46,1,6:37.0,L. Deng misses 2-pt jump shot from 18 ft,,7,11
47,1,6:36.0,,Defensive rebound by T. Gibson,7,11
