,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CLEVELAND_ACTION,SACRAMENTO_SCORE,CLEVELAND_SCORE
0,1,11:33.0,G. Temple misses 2-pt jump shot from 19 ft,,0,0
1,1,11:31.0,,Defensive rebound by I. Shumpert,0,0
2,1,11:15.0,,K. Love misses 3-pt jump shot from 24 ft,0,0
3,1,11:14.0,Defensive rebound by K. Koufos,,0,0
4,1,10:51.0,D. Cousins makes 2-pt jump shot from 19 ft (assist by K. Koufos),,2,0
5,1,10:36.0,,Turnover by K. Love (bad pass),2,0
6,1,10:29.0,G. Temple makes 2-pt layup from 1 ft,,4,0
7,1,10:29.0,Shooting foul by I. Shumpert (drawn by G. Temple),,4,0
8,1,10:29.0,G. Temple makes free throw 1 of 1,,5,0
9,1,10:16.0,,K. Irving misses 2-pt jump shot from 19 ft,5,0
10,1,10:15.0,,Offensive rebound by T. Thompson,5,0
11,1,10:07.0,,Turnover by K. Love (lost ball; steal by G. Temple),5,0
12,1,9:57.0,D. Cousins makes 2-pt layup at rim,,7,0
13,1,9:39.0,,K. Love misses 2-pt jump shot from 13 ft,7,0
14,1,9:38.0,Defensive rebound by K. Koufos,,7,0
15,1,9:26.0,Turnover by D. Collison (lost ball),,7,0
16,1,9:17.0,,Turnover by K. Love (lost ball; steal by D. Cousins),7,0
17,1,9:17.0,Personal foul by K. Love (drawn by D. Cousins),,7,0
18,1,8:58.0,D. Collison makes 3-pt jump shot from 24 ft (assist by D. Cousins),,10,0
19,1,8:58.0,,Cleveland full timeout,10,0
20,1,8:44.0,,L. James misses 2-pt jump shot from 6 ft,10,0
21,1,8:42.0,Defensive rebound by A. Afflalo,,10,0
22,1,8:22.0,D. Collison misses 3-pt jump shot from 25 ft,,10,0
23,1,8:21.0,,Defensive rebound by K. Love,10,0
24,1,8:15.0,,K. Irving makes 2-pt layup from 2 ft (assist by L. James),10,2
25,1,8:08.0,Turnover by A. Afflalo (bad pass; steal by K. Irving),,10,2
26,1,8:03.0,,T. Thompson misses 2-pt layup from 1 ft,10,2
27,1,8:02.0,,Offensive rebound by L. James,10,2
28,1,8:02.0,,L. James makes 2-pt layup from 1 ft,10,4
29,1,7:41.0,A. Afflalo misses 3-pt jump shot from 25 ft,,10,4
30,1,7:41.0,,Defensive rebound by K. Love,10,4
31,1,7:36.0,,L. James makes 2-pt dunk at rim (assist by K. Love),10,6
32,1,7:36.0,Sacramento full timeout,,10,6
33,1,7:19.0,D. Collison misses 3-pt jump shot from 23 ft,,10,6
34,1,7:19.0,,Defensive rebound by L. James,10,6
35,1,7:13.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by L. James),10,9
36,1,6:53.0,D. Cousins misses 2-pt jump shot from 19 ft,,10,9
37,1,6:50.0,,Defensive rebound by K. Love,10,9
38,1,6:42.0,Violation by D. Cousins (kicked ball),,10,9
39,1,6:35.0,,K. Love misses 3-pt jump shot from 23 ft,10,9
40,1,6:34.0,Defensive rebound by A. Afflalo,,10,9
41,1,6:23.0,Shooting foul by T. Thompson (drawn by D. Cousins),,10,9
42,1,6:23.0,D. Cousins misses free throw 1 of 2,,10,9
43,1,6:23.0,Offensive rebound by Team,,10,9
44,1,6:23.0,D. Cousins makes free throw 2 of 2,,11,9
45,1,6:06.0,,Personal foul by D. Collison (drawn by K. Irving),11,9
46,1,5:55.0,,K. Love makes 3-pt jump shot from 25 ft (assist by I. Shumpert),11,12
47,1,5:28.0,Turnover by D. Cousins (bad pass; steal by L. James),,11,12
48,1,5:18.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by K. Irving),11,15
49,1,4:58.0,A. Tolliver enters the game for K. Koufos,,11,15
50,1,4:50.0,D. Cousins misses 2-pt jump shot from 20 ft,,11,15
51,1,4:50.0,,Defensive rebound by I. Shumpert,11,15
52,1,4:39.0,,Personal foul by D. Collison (drawn by K. Irving),11,15
53,1,4:39.0,T. Lawson enters the game for D. Collison,,11,15
54,1,4:25.0,,K. Irving makes 2-pt jump shot from 15 ft,11,17
55,1,4:14.0,Personal foul by T. Thompson (drawn by D. Cousins),,11,17
56,1,4:14.0,,J. Jones enters the game for T. Thompson,11,17
57,1,4:05.0,G. Temple makes 2-pt jump shot from 14 ft,,13,17
58,1,3:48.0,,K. Irving makes 2-pt layup from 1 ft,13,19
59,1,3:26.0,T. Lawson misses 2-pt jump shot from 13 ft,,13,19
60,1,3:26.0,,Defensive rebound by K. Love,13,19
61,1,3:18.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by K. Irving),13,22
62,1,2:52.0,G. Temple makes 2-pt layup from 1 ft (assist by D. Cousins),,15,22
63,1,2:45.0,,Personal foul by D. Cousins (drawn by K. Love),15,22
64,1,2:45.0,,K. Korver enters the game for L. James,15,22
65,1,2:32.0,,K. Irving misses 2-pt jump shot from 8 ft,15,22
66,1,2:31.0,Defensive rebound by G. Temple,,15,22
67,1,2:24.0,G. Temple makes 3-pt jump shot from 24 ft (assist by T. Lawson),,18,22
68,1,2:05.0,,K. Love makes 2-pt dunk at rim (assist by K. Korver),18,24
69,1,1:42.0,A. Afflalo makes 2-pt jump shot from 7 ft,,20,24
70,1,1:22.0,,K. Love makes 2-pt layup from 1 ft (assist by I. Shumpert),20,26
71,1,1:06.0,A. Tolliver makes 2-pt layup from 1 ft (assist by D. Cousins),,22,26
72,1,0:55.0,,Personal foul by G. Temple (drawn by K. Korver),22,26
73,1,0:55.0,M. Barnes enters the game for G. Temple,,22,26
74,1,0:45.0,,K. Irving misses 2-pt layup from 1 ft,22,26
75,1,0:43.0,,Offensive rebound by K. Love,22,26
76,1,0:43.0,,K. Love misses 2-pt layup from 2 ft,22,26
77,1,0:38.0,Defensive rebound by A. Tolliver,,22,26
78,1,0:33.0,T. Lawson misses 2-pt jump shot from 19 ft (block by K. Korver),,22,26
79,1,0:31.0,,Defensive rebound by K. Irving,22,26
80,1,0:27.0,,K. Irving misses 2-pt layup from 1 ft,22,26
81,1,0:25.0,Defensive rebound by D. Cousins,,22,26
82,1,0:04.0,D. Cousins misses 2-pt jump shot from 16 ft,,22,26
83,1,0:02.0,,Defensive rebound by K. Love,22,26
84,2,11:46.0,,Shooting foul by W. Cauley-Stein (drawn by K. Felder),22,26
85,2,11:46.0,,K. Felder makes free throw 1 of 2,22,27
86,2,11:46.0,,K. Felder misses free throw 2 of 2,22,27
87,2,11:45.0,,Offensive rebound by J. Jones,22,27
88,2,11:44.0,,Personal foul by M. Richardson (drawn by J. Jones),22,27
89,2,11:34.0,,C. Frye makes 2-pt jump shot from 22 ft (assist by L. James),22,29
90,2,11:21.0,M. Barnes misses 2-pt layup from 2 ft (block by C. Frye),,22,29
91,2,11:20.0,Offensive rebound by M. Barnes,,22,29
92,2,11:17.0,M. Barnes misses 2-pt jump shot from 17 ft,,22,29
93,2,11:17.0,,Defensive rebound by C. Frye,22,29
94,2,10:55.0,,J. Jones misses 3-pt jump shot from 23 ft,22,29
95,2,10:55.0,Defensive rebound by M. Barnes,,22,29
96,2,10:39.0,W. Cauley-Stein makes 2-pt jump shot from 7 ft (assist by M. Barnes),,24,29
97,2,10:17.0,,Turnover by K. Felder (bad pass; steal by M. Richardson),24,29
98,2,10:09.0,M. Richardson makes 2-pt jump shot from 23 ft (assist by M. Barnes),,26,29
99,2,9:48.0,,L. James misses 3-pt jump shot from 27 ft,26,29
100,2,9:48.0,Defensive rebound by M. Barnes,,26,29
101,2,9:40.0,T. Lawson makes 2-pt jump shot from 6 ft (assist by A. Tolliver),,28,29
102,2,9:40.0,Shooting foul by K. Felder (drawn by T. Lawson),,28,29
103,2,9:40.0,T. Lawson makes free throw 1 of 1,,29,29
104,2,9:16.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by L. James),29,32
105,2,8:52.0,M. Barnes makes 3-pt jump shot from 25 ft (assist by M. Richardson),,32,32
106,2,8:42.0,,Personal foul by M. Barnes (drawn by K. Felder),32,32
107,2,8:42.0,Official timeout,,32,32
108,2,8:37.0,,Turnover by C. Frye (bad pass),32,32
109,2,8:15.0,M. Barnes misses 3-pt jump shot from 24 ft,,32,32
110,2,8:15.0,,Defensive rebound by J. Jones,32,32
111,2,8:07.0,,Shooting foul by W. Cauley-Stein (drawn by K. Felder),32,32
112,2,8:07.0,,K. Felder misses free throw 1 of 2,32,32
113,2,8:07.0,,Offensive rebound by Team,32,32
114,2,8:07.0,,K. Felder misses free throw 2 of 2,32,32
115,2,8:07.0,,T. Thompson enters the game for J. Jones,32,32
116,2,8:06.0,Defensive rebound by W. Cauley-Stein,,32,32
117,2,7:53.0,M. Richardson makes 2-pt layup at rim (assist by T. Lawson),,34,32
118,2,7:53.0,Shooting foul by K. Felder (drawn by M. Richardson),,34,32
119,2,7:53.0,M. Richardson makes free throw 1 of 1,,35,32
120,2,7:33.0,,Turnover by K. Felder (bad pass; steal by W. Cauley-Stein),35,32
121,2,7:26.0,M. Richardson misses 3-pt jump shot from 25 ft,,35,32
122,2,7:24.0,Offensive rebound by M. Barnes,,35,32
123,2,7:19.0,M. Barnes misses 3-pt jump shot from 25 ft,,35,32
124,2,7:19.0,,Defensive rebound by Team,35,32
125,2,7:19.0,,K. Irving enters the game for K. Felder,35,32
126,2,7:12.0,,Turnover by K. Irving (lost ball; steal by T. Lawson),35,32
127,2,6:56.0,T. Lawson misses 3-pt jump shot from 26 ft,,35,32
128,2,6:56.0,,Defensive rebound by T. Thompson,35,32
129,2,6:49.0,,Personal foul by M. Barnes (drawn by L. James),35,32
130,2,6:49.0,,L. James makes free throw 1 of 2,35,33
131,2,6:49.0,,L. James misses free throw 2 of 2,35,33
132,2,6:48.0,Defensive rebound by W. Cauley-Stein,,35,33
133,2,6:34.0,Shooting foul by C. Frye (drawn by W. Cauley-Stein),,35,33
134,2,6:34.0,W. Cauley-Stein makes free throw 1 of 2,,36,33
135,2,6:34.0,D. Collison enters the game for T. Lawson,,36,33
136,2,6:34.0,D. Cousins enters the game for A. Tolliver,,36,33
137,2,6:34.0,W. Cauley-Stein makes free throw 2 of 2,,37,33
138,2,6:12.0,,C. Frye misses 3-pt jump shot from 23 ft,37,33
139,2,6:12.0,Defensive rebound by M. Barnes,,37,33
140,2,5:59.0,D. Cousins misses 3-pt jump shot from 26 ft,,37,33
141,2,5:58.0,Offensive rebound by M. Richardson,,37,33
142,2,5:54.0,M. Richardson makes 2-pt jump shot from 18 ft,,39,33
143,2,5:33.0,,K. Korver misses 2-pt jump shot from 15 ft,39,33
144,2,5:33.0,,Offensive rebound by T. Thompson,39,33
145,2,5:25.0,,T. Thompson makes 2-pt layup from 3 ft (assist by K. Irving),39,35
146,2,5:01.0,D. Cousins misses 2-pt jump shot from 17 ft,,39,35
147,2,5:00.0,Offensive rebound by Team,,39,35
148,2,5:00.0,Turnover by Team (shot clock),,39,35
149,2,5:00.0,,Cleveland full timeout,39,35
150,2,5:00.0,,I. Shumpert enters the game for K. Korver,39,35
151,2,5:00.0,,K. Love enters the game for C. Frye,39,35
152,2,5:00.0,A. Afflalo enters the game for M. Barnes,,39,35
153,2,5:00.0,K. Koufos enters the game for W. Cauley-Stein,,39,35
154,2,4:42.0,,Shooting foul by D. Cousins (drawn by K. Love),39,35
155,2,4:42.0,,K. Love misses free throw 1 of 2,39,35
156,2,4:42.0,,Offensive rebound by Team,39,35
157,2,4:42.0,,K. Korver enters the game for L. James,39,35
158,2,4:42.0,,K. Love makes free throw 2 of 2,39,36
159,2,4:29.0,A. Afflalo misses 2-pt jump shot from 19 ft,,39,36
160,2,4:28.0,Offensive rebound by D. Collison,,39,36
161,2,4:20.0,M. Richardson makes 2-pt jump shot from 15 ft (assist by A. Afflalo),,41,36
162,2,4:08.0,,Shooting foul by M. Richardson (drawn by T. Thompson),41,36
163,2,4:08.0,,T. Thompson misses free throw 1 of 2,41,36
164,2,4:08.0,,Offensive rebound by Team,41,36
165,2,4:08.0,,T. Thompson misses free throw 2 of 2,41,36
166,2,4:07.0,Defensive rebound by D. Cousins,,41,36
167,2,3:50.0,A. Afflalo makes 3-pt jump shot from 26 ft (assist by D. Cousins),,44,36
168,2,3:32.0,,K. Irving misses 2-pt jump shot from 10 ft,44,36
169,2,3:31.0,,Offensive rebound by Team,44,36
170,2,3:31.0,Loose ball foul by A. Afflalo (drawn by T. Thompson),,44,36
171,2,3:31.0,,T. Thompson makes free throw 1 of 2,44,37
172,2,3:31.0,G. Temple enters the game for M. Richardson,,44,37
173,2,3:31.0,,T. Thompson makes free throw 2 of 2,44,38
174,2,3:15.0,D. Collison makes 2-pt jump shot from 18 ft (assist by D. Cousins),,46,38
175,2,3:04.0,,Turnover by K. Love (bad pass; steal by G. Temple),46,38
176,2,3:00.0,D. Collison misses 2-pt layup from 1 ft (block by K. Irving),,46,38
177,2,2:59.0,Offensive rebound by Team,,46,38
178,2,2:59.0,Sacramento full timeout,,46,38
179,2,2:41.0,D. Cousins misses 2-pt jump shot from 7 ft,,46,38
180,2,2:40.0,,Defensive rebound by K. Love,46,38
181,2,2:18.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by K. Irving),46,41
182,2,1:52.0,D. Cousins misses 2-pt layup from 3 ft,,46,41
183,2,1:49.0,,Defensive rebound by T. Thompson,46,41
184,2,1:36.0,,I. Shumpert misses 3-pt jump shot from 24 ft,46,41
185,2,1:35.0,Defensive rebound by D. Collison,,46,41
186,2,1:33.0,Shooting foul by I. Shumpert (drawn by D. Collison),,46,41
187,2,1:33.0,D. Collison makes free throw 1 of 2,,47,41
188,2,1:33.0,,L. James enters the game for T. Thompson,47,41
189,2,1:33.0,,D. Liggins enters the game for I. Shumpert,47,41
190,2,1:33.0,D. Collison makes free throw 2 of 2,,48,41
191,2,1:22.0,,K. Irving misses 2-pt layup from 4 ft (block by D. Collison),48,41
192,2,1:22.0,,Offensive rebound by Team,48,41
193,2,1:22.0,A. Tolliver enters the game for K. Koufos,,48,41
194,2,1:08.0,,K. Irving makes 2-pt layup from 1 ft (assist by K. Korver),48,43
195,2,1:05.0,D. Collison misses 2-pt layup from 3 ft (block by K. Irving),,48,43
196,2,1:04.0,,Defensive rebound by K. Love,48,43
197,2,1:01.0,Violation by D. Cousins (kicked ball),,48,43
198,2,0:54.0,,Turnover by K. Irving (bad pass; steal by D. Collison),48,43
199,2,0:44.0,A. Tolliver misses 2-pt jump shot from 18 ft,,48,43
200,2,0:41.0,,Defensive rebound by K. Love,48,43
201,2,0:38.0,,K. Korver makes 3-pt jump shot from 26 ft (assist by L. James),48,46
202,2,0:38.0,Sacramento full timeout,,48,46
203,2,0:24.0,Personal foul by K. Irving (drawn by D. Collison),,48,46
204,2,0:24.0,D. Collison makes free throw 1 of 2,,49,46
205,2,0:24.0,W. Cauley-Stein enters the game for D. Cousins,,49,46
206,2,0:24.0,,C. Frye enters the game for D. Liggins,49,46
207,2,0:24.0,D. Collison makes free throw 2 of 2,,50,46
208,2,0:07.0,,Personal foul by A. Afflalo (drawn by K. Love),50,46
209,2,0:07.0,,K. Love misses free throw 1 of 2,50,46
210,2,0:07.0,,Offensive rebound by Team,50,46
211,2,0:07.0,,D. Liggins enters the game for K. Irving,50,46
212,2,0:07.0,,J. Jones enters the game for C. Frye,50,46
213,2,0:07.0,T. Lawson enters the game for G. Temple,,50,46
214,2,0:07.0,,K. Love makes free throw 2 of 2,50,47
215,2,0:01.0,D. Collison makes 3-pt jump shot from 24 ft,,53,47
216,2,0:00.0,,D. Liggins misses 3-pt jump shot from 41 ft,53,47
217,2,0:00.0,,Offensive rebound by Team,53,47
218,3,11:50.0,,Shooting foul by K. Koufos (drawn by L. James),53,47
219,3,11:50.0,,L. James makes free throw 1 of 2,53,48
220,3,11:50.0,,L. James makes free throw 2 of 2,53,49
221,3,11:29.0,D. Cousins misses 2-pt hook shot from 5 ft,,53,49
222,3,11:26.0,,Defensive rebound by K. Love,53,49
223,3,11:22.0,,I. Shumpert misses 3-pt jump shot from 23 ft,53,49
224,3,11:20.0,,Offensive rebound by L. James,53,49
225,3,11:18.0,,K. Irving misses 3-pt jump shot from 25 ft,53,49
226,3,11:18.0,Defensive rebound by D. Cousins,,53,49
227,3,11:18.0,Personal foul by K. Love (drawn by D. Cousins),,53,49
228,3,11:05.0,Turnover by A. Afflalo (bad pass; steal by K. Irving),,53,49
229,3,10:59.0,,K. Irving makes 2-pt layup from 1 ft,53,51
230,3,10:39.0,G. Temple misses 3-pt jump shot from 23 ft,,53,51
231,3,10:38.0,Offensive rebound by K. Koufos,,53,51
232,3,10:38.0,K. Koufos misses 2-pt layup from 1 ft,,53,51
233,3,10:38.0,,Defensive rebound by T. Thompson,53,51
234,3,10:24.0,,L. James makes 2-pt layup from 1 ft,53,53
235,3,10:24.0,,Shooting foul by A. Afflalo (drawn by L. James),53,53
236,3,10:24.0,,L. James misses free throw 1 of 1,53,53
237,3,10:23.0,Defensive rebound by K. Koufos,,53,53
238,3,10:03.0,D. Collison makes 3-pt jump shot from 26 ft (assist by D. Cousins),,56,53
239,3,9:59.0,,Technical foul by I. Shumpert,56,53
240,3,9:59.0,D. Cousins misses technical free throw,,56,53
241,3,9:59.0,,Offensive rebound by Team,56,53
242,3,9:43.0,,T. Thompson makes 2-pt jump shot from 7 ft (assist by K. Irving),56,55
243,3,9:30.0,Shooting foul by T. Thompson (drawn by D. Cousins),,56,55
244,3,9:30.0,D. Cousins makes free throw 1 of 2,,57,55
245,3,9:30.0,D. Cousins makes free throw 2 of 2,,58,55
246,3,9:21.0,,Turnover by K. Irving (bad pass; steal by D. Collison),58,55
247,3,9:20.0,Personal foul by K. Irving (drawn by D. Collison),,58,55
248,3,9:06.0,D. Cousins makes 2-pt jump shot from 19 ft (assist by A. Afflalo),,60,55
249,3,8:47.0,,L. James makes 2-pt layup from 1 ft,60,57
250,3,8:22.0,D. Cousins misses 2-pt layup from 2 ft,,60,57
251,3,8:20.0,,Defensive rebound by L. James,60,57
252,3,8:15.0,,L. James makes 2-pt hook shot from 4 ft,60,59
253,3,7:59.0,G. Temple misses 3-pt jump shot from 24 ft,,60,59
254,3,7:59.0,,Defensive rebound by L. James,60,59
255,3,7:53.0,,L. James makes 2-pt layup at rim,60,61
256,3,7:44.0,Sacramento full timeout,,60,61
257,3,7:25.0,A. Afflalo makes 3-pt jump shot from 25 ft,,63,61
258,3,7:02.0,,I. Shumpert makes 2-pt jump shot from 17 ft (assist by K. Love),63,63
259,3,6:39.0,D. Collison misses 2-pt jump shot from 15 ft,,63,63
260,3,6:38.0,Offensive rebound by D. Cousins,,63,63
261,3,6:38.0,D. Cousins misses 2-pt layup from 1 ft,,63,63
262,3,6:37.0,Offensive rebound by K. Koufos,,63,63
263,3,6:36.0,Shooting foul by L. James (drawn by K. Koufos),,63,63
264,3,6:36.0,K. Koufos makes free throw 1 of 2,,64,63
265,3,6:36.0,K. Koufos makes free throw 2 of 2,,65,63
266,3,6:22.0,,I. Shumpert makes 2-pt jump shot from 16 ft (assist by L. James),65,65
267,3,6:03.0,D. Cousins makes 2-pt dunk at rim (assist by G. Temple),,67,65
268,3,5:46.0,,I. Shumpert misses 3-pt jump shot from 24 ft,67,65
269,3,5:45.0,Defensive rebound by K. Koufos,,67,65
270,3,5:22.0,K. Koufos makes 2-pt hook shot from 5 ft,,69,65
271,3,5:09.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by K. Love),69,68
272,3,4:49.0,Turnover by D. Cousins (lost ball; steal by I. Shumpert),,69,68
273,3,4:47.0,,Personal foul by K. Koufos (drawn by L. James),69,68
274,3,4:47.0,W. Cauley-Stein enters the game for K. Koufos,,69,68
275,3,4:47.0,A. Tolliver enters the game for D. Cousins,,69,68
276,3,4:47.0,,C. Frye enters the game for T. Thompson,69,68
277,3,4:33.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),69,71
278,3,4:16.0,D. Collison makes 2-pt jump shot from 15 ft,,71,71
279,3,4:06.0,,Turnover by L. James (bad pass; steal by G. Temple),71,71
280,3,3:55.0,W. Cauley-Stein makes 2-pt hook shot from 5 ft,,73,71
281,3,3:55.0,,Cleveland full timeout,73,71
282,3,3:44.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),73,74
283,3,3:15.0,D. Collison makes 2-pt jump shot from 20 ft,,75,74
284,3,3:05.0,,Turnover by L. James (offensive foul),75,74
285,3,3:05.0,Offensive charge foul by L. James (drawn by D. Collison),,75,74
286,3,2:41.0,D. Collison misses 2-pt jump shot from 19 ft,,75,74
287,3,2:41.0,,Defensive rebound by C. Frye,75,74
288,3,2:31.0,,K. Irving makes 2-pt layup from 1 ft,75,76
289,3,2:17.0,Personal foul by K. Irving (drawn by G. Temple),,75,76
290,3,2:17.0,G. Temple makes free throw 1 of 2,,76,76
291,3,2:17.0,,K. Korver enters the game for L. James,76,76
292,3,2:17.0,T. Lawson enters the game for D. Collison,,76,76
293,3,2:17.0,G. Temple makes free throw 2 of 2,,77,76
294,3,1:57.0,,Turnover by C. Frye (bad pass),77,76
295,3,1:57.0,M. Barnes enters the game for A. Afflalo,,77,76
296,3,1:57.0,M. Richardson enters the game for G. Temple,,77,76
297,3,1:42.0,T. Lawson misses 3-pt jump shot from 25 ft,,77,76
298,3,1:41.0,,Defensive rebound by K. Love,77,76
299,3,1:35.0,,K. Irving makes 3-pt jump shot from 25 ft,77,79
300,3,1:23.0,Turnover by A. Tolliver (bad pass; steal by I. Shumpert),,77,79
301,3,1:07.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by K. Korver),77,82
302,3,0:41.0,A. Tolliver misses 3-pt jump shot from 25 ft,,77,82
303,3,0:41.0,,Defensive rebound by I. Shumpert,77,82
304,3,0:34.0,,C. Frye misses 3-pt jump shot from 27 ft,77,82
305,3,0:34.0,Defensive rebound by M. Richardson,,77,82
306,3,0:13.0,D. Cousins enters the game for W. Cauley-Stein,,77,82
307,3,0:08.0,A. Tolliver makes 2-pt layup from 2 ft (assist by T. Lawson),,79,82
308,3,0:04.0,,Personal foul by T. Lawson (drawn by K. Irving),79,82
309,3,0:01.0,,K. Love misses 3-pt jump shot from 35 ft,79,82
310,3,0:01.0,Defensive rebound by M. Richardson,,79,82
311,4,11:38.0,A. Tolliver misses 3-pt jump shot from 23 ft,,79,82
312,4,11:38.0,,Defensive rebound by L. James,79,82
313,4,11:27.0,,L. James misses 2-pt jump shot from 7 ft,79,82
314,4,11:27.0,,Offensive rebound by L. James,79,82
315,4,11:27.0,,Shooting foul by A. Tolliver (drawn by L. James),79,82
316,4,11:27.0,,L. James makes free throw 1 of 2,79,83
317,4,11:27.0,,L. James misses free throw 2 of 2,79,83
318,4,11:26.0,Defensive rebound by W. Cauley-Stein,,79,83
319,4,11:07.0,M. Richardson makes 3-pt jump shot from 26 ft,,82,83
320,4,10:54.0,,K. Felder makes 2-pt jump shot from 12 ft (assist by L. James),82,85
321,4,10:38.0,M. Barnes makes 3-pt jump shot from 25 ft (assist by T. Lawson),,85,85
322,4,10:28.0,,Shooting foul by A. Tolliver (drawn by J. Jones),85,85
323,4,10:28.0,,J. Jones makes free throw 1 of 2,85,86
324,4,10:28.0,,J. Jones makes free throw 2 of 2,85,87
325,4,10:06.0,W. Cauley-Stein misses 2-pt jump shot from 12 ft,,85,87
326,4,10:06.0,,Defensive rebound by L. James,85,87
327,4,10:03.0,,Personal foul by M. Barnes (drawn by L. James),85,87
328,4,9:57.0,,Shooting foul by A. Tolliver (drawn by J. Jones),85,87
329,4,9:57.0,,J. Jones misses free throw 1 of 3,85,87
330,4,9:57.0,,Offensive rebound by Team,85,87
331,4,9:57.0,,J. Jones misses free throw 2 of 3,85,87
332,4,9:57.0,,Offensive rebound by Team,85,87
333,4,9:57.0,,J. Jones misses free throw 3 of 3,85,87
334,4,9:55.0,Defensive rebound by M. Barnes,,85,87
335,4,9:55.0,Turnover by M. Barnes (lost ball),,85,87
336,4,9:49.0,,K. Korver misses 3-pt jump shot from 27 ft,85,87
337,4,9:48.0,Defensive rebound by T. Lawson,,85,87
338,4,9:37.0,M. Barnes misses 3-pt jump shot from 26 ft,,85,87
339,4,9:37.0,,Defensive rebound by L. James,85,87
340,4,9:31.0,,K. Felder misses 2-pt layup at rim,85,87
341,4,9:29.0,Defensive rebound by W. Cauley-Stein,,85,87
342,4,9:23.0,T. Lawson makes 2-pt jump shot from 10 ft,,87,87
