,QUARTER,TIME_REMAINING,MIAMI_ACTION,LA CLIPPERS_ACTION,MIAMI_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,W. Ellington misses 3-pt jump shot from 26 ft,,0,0
1,1,11:41.0,,Defensive rebound by L. Mbah a Moute,0,0
2,1,11:28.0,,J. Redick misses 3-pt jump shot from 27 ft,0,0
3,1,11:27.0,Defensive rebound by H. Whiteside,,0,0
4,1,11:18.0,G. Dragić makes 3-pt jump shot from 27 ft,,3,0
5,1,11:04.0,Violation by G. Dragić (kicked ball),,3,0
6,1,10:56.0,,R. Felton makes 3-pt jump shot from 24 ft (assist by C. Paul),3,3
7,1,10:29.0,D. Williams misses 2-pt jump shot from 17 ft,,3,3
8,1,10:27.0,,Defensive rebound by D. Jordan,3,3
9,1,10:16.0,,C. Paul makes 2-pt jump shot from 6 ft,3,5
10,1,10:07.0,Personal foul by R. Felton (drawn by G. Dragić),,3,5
11,1,10:00.0,G. Dragić misses 2-pt jump shot from 19 ft,,3,5
12,1,9:58.0,,Defensive rebound by J. Redick,3,5
13,1,9:51.0,,Personal foul by W. Ellington (drawn by C. Paul),3,5
14,1,9:40.0,,L. Mbah a Moute makes 2-pt jump shot from 22 ft (assist by C. Paul),3,7
15,1,9:21.0,H. Whiteside misses 2-pt jump shot from 8 ft,,3,7
16,1,9:19.0,,Defensive rebound by J. Redick,3,7
17,1,9:07.0,,D. Jordan makes 2-pt layup from 1 ft (assist by C. Paul),3,9
18,1,8:55.0,R. McGruder misses 3-pt jump shot from 26 ft,,3,9
19,1,8:52.0,,Defensive rebound by C. Paul,3,9
20,1,8:46.0,,R. Felton misses 3-pt jump shot from 25 ft,3,9
21,1,8:42.0,Defensive rebound by H. Whiteside,,3,9
22,1,8:32.0,Turnover by D. Williams (bad pass; steal by C. Paul),,3,9
23,1,8:30.0,,C. Paul makes 2-pt layup from 1 ft,3,11
24,1,8:12.0,R. McGruder makes 3-pt jump shot from 25 ft (assist by G. Dragić),,6,11
25,1,7:52.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by C. Paul),6,13
26,1,7:36.0,D. Williams misses 2-pt jump shot from 16 ft,,6,13
27,1,7:33.0,,Defensive rebound by J. Redick,6,13
28,1,7:14.0,,J. Redick misses 2-pt jump shot from 21 ft,6,13
29,1,7:13.0,Defensive rebound by H. Whiteside,,6,13
30,1,7:06.0,W. Ellington misses 3-pt jump shot from 26 ft,,6,13
31,1,7:05.0,,Defensive rebound by D. Jordan,6,13
32,1,6:46.0,,L. Mbah a Moute misses 2-pt layup from 2 ft (block by H. Whiteside),6,13
33,1,6:44.0,Defensive rebound by G. Dragić,,6,13
34,1,6:41.0,G. Dragić makes 2-pt layup from 2 ft (assist by R. McGruder),,8,13
35,1,6:34.0,,LA Clippers full timeout,8,13
36,1,6:34.0,J. Johnson enters the game for D. Williams,,8,13
37,1,6:34.0,T. Johnson enters the game for R. McGruder,,8,13
38,1,6:26.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by C. Paul),8,16
39,1,6:06.0,T. Johnson makes 2-pt jump shot from 6 ft,,10,16
40,1,5:58.0,,Personal foul by W. Ellington (drawn by J. Redick),10,16
41,1,5:51.0,,R. Felton misses 3-pt jump shot from 25 ft,10,16
42,1,5:50.0,,Offensive rebound by D. Jordan,10,16
43,1,5:41.0,,C. Paul misses 3-pt jump shot from 25 ft,10,16
44,1,5:38.0,Defensive rebound by J. Johnson,,10,16
45,1,5:32.0,G. Dragić misses 2-pt layup from 2 ft (block by D. Jordan),,10,16
46,1,5:29.0,,Defensive rebound by D. Jordan,10,16
47,1,5:26.0,,Turnover by C. Paul (bad pass),10,16
48,1,5:26.0,,J. Crawford enters the game for C. Paul,10,16
49,1,5:26.0,D. Waiters enters the game for W. Ellington,,10,16
50,1,5:17.0,Turnover by G. Dragić (bad pass; steal by R. Felton),,10,16
51,1,5:12.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by R. Felton),10,18
52,1,4:54.0,G. Dragić misses 3-pt jump shot from 27 ft,,10,18
53,1,4:53.0,Offensive rebound by H. Whiteside,,10,18
54,1,4:50.0,H. Whiteside misses 2-pt hook shot from 2 ft,,10,18
