,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHOENIX_ACTION,OKLAHOMA CITY_SCORE,PHOENIX_SCORE
0,1,11:41.0,S. Adams makes 2-pt layup from 1 ft,,2,0
1,1,11:15.0,,D. Booker misses 2-pt jump shot from 17 ft,2,0
2,1,11:11.0,Defensive rebound by R. Westbrook,,2,0
3,1,11:02.0,D. Sabonis makes 2-pt layup from 2 ft (assist by R. Westbrook),,4,0
4,1,10:43.0,,Shooting foul by D. Sabonis (drawn by E. Bledsoe),4,0
5,1,10:43.0,,E. Bledsoe makes free throw 1 of 2,4,1
6,1,10:43.0,,E. Bledsoe makes free throw 2 of 2,4,2
7,1,10:21.0,D. Sabonis misses 2-pt jump shot from 6 ft,,4,2
8,1,10:16.0,,Defensive rebound by D. Booker,4,2
9,1,10:16.0,,Turnover by D. Booker (bad pass; steal by D. Sabonis),4,2
10,1,10:10.0,Á. Abrines misses 3-pt jump shot from 24 ft,,4,2
11,1,10:08.0,,Defensive rebound by A. Len,4,2
12,1,9:54.0,,A. Len misses 3-pt jump shot from 26 ft,4,2
13,1,9:52.0,Defensive rebound by Team,,4,2
14,1,9:37.0,R. Westbrook makes 2-pt jump shot from 13 ft,,6,2
15,1,9:23.0,,Turnover by E. Bledsoe (bad pass; steal by A. Roberson),6,2
16,1,9:09.0,Á. Abrines makes 2-pt jump shot from 15 ft,,8,2
17,1,9:06.0,,Phoenix full timeout,8,2
18,1,8:55.0,,D. Booker misses 2-pt jump shot from 13 ft (block by A. Roberson),8,2
19,1,8:53.0,,Offensive rebound by Team,8,2
20,1,8:48.0,,E. Bledsoe misses 2-pt jump shot from 17 ft,8,2
21,1,8:46.0,Defensive rebound by S. Adams,,8,2
22,1,8:33.0,D. Sabonis makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,11,2
23,1,8:15.0,,M. Chriss misses 3-pt jump shot from 25 ft,11,2
24,1,8:13.0,,Offensive rebound by A. Len,11,2
25,1,8:11.0,,A. Len makes 2-pt layup from 1 ft,11,4
26,1,7:57.0,Personal foul by A. Len (drawn by S. Adams),,11,4
27,1,7:45.0,Turnover by R. Westbrook (bad pass; steal by E. Bledsoe),,11,4
28,1,7:39.0,,D. Booker misses 3-pt jump shot from 25 ft,11,4
29,1,7:35.0,Defensive rebound by D. Sabonis,,11,4
30,1,7:28.0,R. Westbrook misses 2-pt jump shot from 9 ft,,11,4
31,1,7:28.0,,Defensive rebound by D. Booker,11,4
32,1,7:22.0,,Turnover by D. Booker (bad pass),11,4
33,1,7:07.0,Turnover by Á. Abrines (bad pass; steal by E. Bledsoe),,11,4
34,1,7:02.0,,E. Bledsoe misses 2-pt layup from 2 ft,11,4
35,1,6:59.0,Defensive rebound by A. Roberson,,11,4
36,1,6:56.0,Á. Abrines misses 2-pt layup from 1 ft (block by D. Booker),,11,4
37,1,6:52.0,,Defensive rebound by T. Warren,11,4
38,1,6:45.0,,T. Warren makes 2-pt jump shot from 17 ft (assist by E. Bledsoe),11,6
39,1,6:25.0,D. Sabonis makes 2-pt jump shot from 18 ft,,13,6
40,1,6:09.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by A. Len),13,9
41,1,5:55.0,R. Westbrook makes 2-pt jump shot from 18 ft,,15,9
42,1,5:41.0,,Shooting foul by D. Sabonis (drawn by E. Bledsoe),15,9
43,1,5:41.0,,E. Bledsoe misses free throw 1 of 2,15,9
44,1,5:41.0,,Offensive rebound by Team,15,9
45,1,5:41.0,,A. Williams enters the game for A. Len,15,9
46,1,5:41.0,E. Freedom enters the game for S. Adams,,15,9
47,1,5:41.0,D. McDermott enters the game for Á. Abrines,,15,9
48,1,5:41.0,,E. Bledsoe makes free throw 2 of 2,15,10
49,1,5:29.0,R. Westbrook misses 2-pt layup from 2 ft,,15,10
50,1,5:29.0,,Defensive rebound by A. Williams,15,10
51,1,5:29.0,,Turnover by A. Williams (lost ball; steal by R. Westbrook),15,10
52,1,5:24.0,R. Westbrook misses 2-pt jump shot from 18 ft,,15,10
53,1,5:22.0,,Defensive rebound by A. Williams,15,10
54,1,5:17.0,,E. Bledsoe misses 2-pt jump shot from 9 ft,15,10
55,1,5:17.0,Defensive rebound by R. Westbrook,,15,10
56,1,5:11.0,D. McDermott misses 2-pt dunk at rim,,15,10
57,1,5:08.0,,Defensive rebound by D. Booker,15,10
58,1,4:51.0,,D. Booker misses 3-pt jump shot from 31 ft,15,10
59,1,4:49.0,Defensive rebound by D. Sabonis,,15,10
60,1,4:46.0,Shooting foul by D. Booker (drawn by R. Westbrook),,15,10
61,1,4:46.0,R. Westbrook makes free throw 1 of 2,,16,10
62,1,4:46.0,T. Gibson enters the game for D. Sabonis,,16,10
63,1,4:46.0,R. Westbrook makes free throw 2 of 2,,17,10
64,1,4:35.0,,Shooting foul by E. Freedom (drawn by T. Warren),17,10
65,1,4:35.0,,T. Warren makes free throw 1 of 2,17,11
66,1,4:35.0,,T. Warren makes free throw 2 of 2,17,12
67,1,4:15.0,E. Freedom makes 2-pt hook shot from 4 ft,,19,12
68,1,3:58.0,,T. Warren misses 2-pt jump shot from 18 ft,19,12
69,1,3:56.0,Defensive rebound by E. Freedom,,19,12
70,1,3:45.0,T. Gibson misses 2-pt jump shot from 17 ft,,19,12
71,1,3:43.0,,Defensive rebound by T. Warren,19,12
72,1,3:37.0,,E. Bledsoe misses 2-pt jump shot from 6 ft,19,12
73,1,3:35.0,Defensive rebound by T. Gibson,,19,12
74,1,3:35.0,Turnover by T. Gibson (step out of bounds),,19,12
75,1,3:30.0,,T. Warren misses 2-pt layup from 2 ft,19,12
76,1,3:27.0,,Offensive rebound by A. Williams,19,12
77,1,3:26.0,,A. Williams misses 2-pt layup at rim (block by T. Gibson),19,12
78,1,3:24.0,Defensive rebound by R. Westbrook,,19,12
79,1,3:21.0,R. Westbrook makes 2-pt layup from 1 ft,,21,12
80,1,3:12.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,21,12
81,1,3:10.0,Defensive rebound by D. McDermott,,21,12
82,1,2:53.0,E. Freedom makes 2-pt layup from 1 ft,,23,12
83,1,2:53.0,Shooting foul by M. Chriss (drawn by E. Freedom),,23,12
84,1,2:53.0,Oklahoma City full timeout,,23,12
85,1,2:53.0,,J. Dudley enters the game for M. Chriss,23,12
86,1,2:53.0,,T. Ulis enters the game for E. Bledsoe,23,12
87,1,2:53.0,N. Cole enters the game for R. Westbrook,,23,12
88,1,2:53.0,E. Freedom makes free throw 1 of 1,,24,12
89,1,2:39.0,,Turnover by D. Booker (bad pass),24,12
90,1,2:25.0,Turnover by T. Gibson (bad pass; steal by T. Ulis),,24,12
91,1,2:22.0,,Shooting foul by N. Cole (drawn by T. Ulis),24,12
92,1,2:22.0,,T. Ulis makes free throw 1 of 2,24,13
93,1,2:22.0,,T. Ulis makes free throw 2 of 2,24,14
94,1,2:06.0,N. Cole misses 3-pt jump shot from 24 ft,,24,14
95,1,2:04.0,Offensive rebound by A. Roberson,,24,14
96,1,2:02.0,Turnover by A. Roberson (lost ball; steal by A. Williams),,24,14
97,1,1:39.0,,A. Williams makes 2-pt layup from 2 ft (assist by J. Dudley),24,16
98,1,1:26.0,Shooting foul by T. Warren (drawn by T. Gibson),,24,16
99,1,1:26.0,T. Gibson misses free throw 1 of 2,,24,16
100,1,1:26.0,Offensive rebound by Team,,24,16
101,1,1:26.0,T. Gibson makes free throw 2 of 2,,25,16
102,1,1:13.0,,T. Ulis makes 2-pt layup from 2 ft,25,18
103,1,1:07.0,N. Cole makes 2-pt layup from 2 ft,,27,18
104,1,0:56.0,,Personal foul by N. Cole (drawn by D. Booker),27,18
105,1,0:56.0,,D. Booker makes free throw 1 of 2,27,19
106,1,0:56.0,,D. Booker makes free throw 2 of 2,27,20
107,1,0:34.0,T. Gibson misses 2-pt jump shot from 5 ft (block by A. Williams),,27,20
108,1,0:32.0,,Defensive rebound by T. Ulis,27,20
109,1,0:28.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by J. Dudley),27,23
110,1,0:14.0,A. Roberson misses 3-pt jump shot from 26 ft,,27,23
111,1,0:11.0,,Defensive rebound by J. Dudley,27,23
112,1,0:05.0,,D. Booker misses 3-pt jump shot from 26 ft,27,23
113,1,0:03.0,Defensive rebound by A. Roberson,,27,23
114,1,0:03.0,Personal foul by A. Williams (drawn by A. Roberson),,27,23
115,1,0:03.0,A. Roberson misses free throw 1 of 2,,27,23
116,1,0:03.0,Offensive rebound by Team,,27,23
117,1,0:03.0,A. Roberson makes free throw 2 of 2,,28,23
118,1,0:01.0,,D. Booker misses 3-pt jump shot from 27 ft,28,23
119,1,0:00.0,Defensive rebound by Team,,28,23
120,2,11:46.0,,Personal foul by N. Cole (drawn by T. Ulis),28,23
121,2,11:33.0,,A. Williams misses 2-pt hook shot from 6 ft,28,23
