,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,WASHINGTON_ACTION,NEW ORLEANS_SCORE,WASHINGTON_SCORE
0,1,11:43.0,Turnover by J. Holiday (bad pass),,0,0
1,1,11:31.0,,M. Gortat misses 2-pt hook shot from 11 ft,0,0
2,1,11:31.0,Defensive rebound by A. Davis,,0,0
3,1,11:15.0,B. Hield makes 2-pt layup from 2 ft (assist by A. Davis),,2,0
4,1,10:59.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by B. Beal),2,3
5,1,10:46.0,Turnover by T. Jones (bad pass; steal by O. Porter),,2,3
6,1,10:40.0,,O. Porter makes 2-pt layup from 1 ft,2,5
7,1,10:18.0,Turnover by S. Hill (lost ball; steal by O. Porter),,2,5
8,1,10:13.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),2,7
9,1,10:08.0,New Orleans full timeout,,2,7
10,1,10:03.0,Turnover by J. Holiday (bad pass; steal by M. Morris),,2,7
11,1,9:58.0,,Shooting foul by J. Holiday (drawn by J. Wall),2,7
12,1,9:58.0,,J. Wall makes free throw 1 of 2,2,8
13,1,9:58.0,,J. Wall makes free throw 2 of 2,2,9
14,1,9:42.0,J. Holiday misses 3-pt jump shot from 26 ft,,2,9
15,1,9:41.0,,Defensive rebound by M. Gortat,2,9
16,1,9:31.0,,O. Porter makes 3-pt jump shot from 27 ft (assist by B. Beal),2,12
17,1,9:13.0,A. Davis misses 2-pt jump shot from 5 ft,,2,12
18,1,9:12.0,,Defensive rebound by O. Porter,2,12
19,1,8:58.0,,M. Gortat misses 2-pt layup from 2 ft (block by A. Davis),2,12
20,1,8:56.0,Defensive rebound by J. Holiday,,2,12
21,1,8:39.0,S. Hill misses 3-pt jump shot from 29 ft,,2,12
22,1,8:38.0,,Defensive rebound by M. Gortat,2,12
23,1,8:18.0,,M. Morris makes 2-pt jump shot from 9 ft,2,14
24,1,7:52.0,J. Holiday makes 2-pt layup from 1 ft,,4,14
25,1,7:34.0,,B. Beal misses 3-pt jump shot from 26 ft (block by T. Jones),4,14
26,1,7:33.0,,Offensive rebound by M. Gortat,4,14
27,1,7:30.0,,M. Morris misses 3-pt jump shot from 24 ft,4,14
28,1,7:28.0,,Offensive rebound by M. Gortat,4,14
29,1,7:25.0,,J. Wall misses 3-pt jump shot from 27 ft,4,14
30,1,7:24.0,Defensive rebound by S. Hill,,4,14
31,1,7:07.0,B. Hield misses 3-pt jump shot from 26 ft,,4,14
32,1,7:06.0,Offensive rebound by A. Davis,,4,14
33,1,7:06.0,Shooting foul by O. Porter (drawn by A. Davis),,4,14
34,1,7:06.0,A. Davis makes free throw 1 of 2,,5,14
35,1,7:06.0,A. Davis makes free throw 2 of 2,,6,14
36,1,6:46.0,,M. Gortat misses 2-pt jump shot from 11 ft,6,14
37,1,6:45.0,Defensive rebound by J. Holiday,,6,14
