,QUARTER,TIME_REMAINING,DALLAS_ACTION,GOLDEN STATE_ACTION,DALLAS_SCORE,GOLDEN STATE_SCORE
0,1,11:39.0,,D. Green misses 2-pt jump shot from 10 ft,0,0
1,1,11:39.0,,Offensive rebound by Team,0,0
2,1,11:39.0,Loose ball foul by D. Powell (drawn by D. Green),,0,0
3,1,11:32.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by S. Curry),0,2
4,1,11:19.0,H. Barnes misses 2-pt jump shot from 11 ft,,0,2
5,1,11:19.0,,Defensive rebound by D. Green,0,2
6,1,11:03.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by Z. Pachulia),0,4
7,1,10:44.0,S. Curry misses 3-pt jump shot from 27 ft,,0,4
8,1,10:43.0,,Defensive rebound by D. Green,0,4
9,1,10:38.0,,S. Curry misses 3-pt jump shot from 28 ft,0,4
10,1,10:38.0,Defensive rebound by D. Finney-Smith,,0,4
11,1,10:24.0,D. Powell makes 2-pt jump shot from 18 ft (assist by S. Curry),,2,4
12,1,10:13.0,,Turnover by K. Durant (bad pass; steal by D. Powell),2,4
13,1,10:10.0,Personal foul by D. Green (drawn by S. Curry),,2,4
14,1,9:55.0,H. Barnes makes 2-pt jump shot from 17 ft (assist by S. Curry),,4,4
15,1,9:42.0,,D. Green makes 3-pt jump shot from 27 ft (assist by Z. Pachulia),4,7
16,1,9:18.0,J. Anderson misses 3-pt jump shot from 29 ft,,4,7
17,1,9:17.0,Offensive rebound by H. Barnes,,4,7
18,1,9:13.0,S. Curry makes 3-pt jump shot from 26 ft (assist by H. Barnes),,7,7
19,1,8:49.0,,K. Durant makes 2-pt jump shot from 13 ft,7,9
20,1,8:32.0,H. Barnes misses 2-pt jump shot from 17 ft,,7,9
21,1,8:31.0,,Defensive rebound by Z. Pachulia,7,9
22,1,8:17.0,,D. Green misses 2-pt layup from 3 ft (block by S. Curry),7,9
23,1,8:15.0,Defensive rebound by D. Powell,,7,9
24,1,8:00.0,S. Curry misses 2-pt layup from 1 ft (block by D. Green),,7,9
25,1,7:58.0,,Defensive rebound by Z. Pachulia,7,9
26,1,7:52.0,,Offensive foul by Z. Pachulia (drawn by D. Finney-Smith),7,9
27,1,7:52.0,,Turnover by Z. Pachulia (offensive foul),7,9
28,1,7:42.0,H. Barnes misses 3-pt jump shot from 26 ft,,7,9
29,1,7:42.0,,Defensive rebound by K. Durant,7,9
30,1,7:31.0,,K. Thompson makes 2-pt jump shot from 11 ft (assist by Z. Pachulia),7,11
31,1,7:06.0,J. Anderson misses 2-pt hook shot from 7 ft,,7,11
32,1,7:06.0,,Defensive rebound by K. Durant,7,11
33,1,6:54.0,,Z. Pachulia misses 2-pt hook shot from 3 ft,7,11
34,1,6:52.0,Defensive rebound by D. Powell,,7,11
35,1,6:36.0,Shooting foul by K. Thompson (drawn by H. Barnes),,7,11
36,1,6:36.0,H. Barnes makes free throw 1 of 2,,8,11
37,1,6:36.0,,Golden State full timeout,8,11
38,1,6:36.0,H. Barnes makes free throw 2 of 2,,9,11
39,1,6:19.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),9,14
40,1,5:57.0,D. Finney-Smith misses 3-pt jump shot from 22 ft (block by D. Green),,9,14
41,1,5:57.0,Offensive rebound by Team,,9,14
42,1,5:50.0,D. Powell misses 3-pt jump shot from 24 ft,,9,14
43,1,5:50.0,,Defensive rebound by D. Green,9,14
44,1,5:44.0,,Turnover by K. Durant (bad pass; steal by D. Powell),9,14
45,1,5:32.0,H. Barnes misses 2-pt jump shot from 12 ft,,9,14
46,1,5:29.0,,Defensive rebound by Z. Pachulia,9,14
47,1,5:23.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by K. Durant),9,17
48,1,5:22.0,Dallas full timeout,,9,17
49,1,5:22.0,,A. Iguodala enters the game for K. Durant,9,17
50,1,5:22.0,S. Mejri enters the game for S. Curry,,9,17
51,1,5:22.0,N. Brussino enters the game for D. Powell,,9,17
52,1,4:56.0,J. Anderson makes 2-pt jump shot from 4 ft,,11,17
53,1,4:41.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by Z. Pachulia),11,20
54,1,4:14.0,H. Barnes makes 2-pt jump shot from 11 ft,,13,20
55,1,4:04.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),13,23
56,1,4:03.0,Dallas full timeout,,13,23
57,1,4:03.0,,K. Durant enters the game for Z. Pachulia,13,23
58,1,4:03.0,,S. Livingston enters the game for S. Curry,13,23
59,1,3:49.0,J. Anderson misses 2-pt jump shot from 17 ft,,13,23
60,1,3:48.0,,Defensive rebound by D. Green,13,23
61,1,3:32.0,,Personal foul by D. Finney-Smith (drawn by K. Thompson),13,23
62,1,3:32.0,Q. Acy enters the game for H. Barnes,,13,23
63,1,3:32.0,S. Curry enters the game for D. Finney-Smith,,13,23
64,1,3:22.0,,K. Thompson misses 3-pt jump shot from 29 ft,13,23
65,1,3:22.0,,Offensive rebound by A. Iguodala,13,23
66,1,3:17.0,,D. Green makes 3-pt jump shot from 28 ft (assist by A. Iguodala),13,26
67,1,3:03.0,Turnover by N. Brussino (bad pass),,13,26
68,1,2:52.0,,D. Green misses 3-pt jump shot from 27 ft,13,26
69,1,2:52.0,Defensive rebound by J. Anderson,,13,26
70,1,2:39.0,S. Curry misses 3-pt jump shot from 28 ft,,13,26
71,1,2:38.0,Offensive rebound by N. Brussino,,13,26
72,1,2:26.0,Q. Acy makes 2-pt jump shot from 15 ft,,15,26
73,1,2:15.0,,D. Green makes 2-pt layup from 1 ft (assist by K. Thompson),15,28
74,1,2:15.0,,Shooting foul by S. Curry (drawn by D. Green),15,28
75,1,2:15.0,,D. Green misses free throw 1 of 1,15,28
76,1,2:13.0,Defensive rebound by Q. Acy,,15,28
77,1,1:50.0,Q. Acy misses 3-pt jump shot from 23 ft,,15,28
78,1,1:50.0,,Defensive rebound by D. Green,15,28
79,1,1:41.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by D. Green),15,31
80,1,1:24.0,J. Anderson misses 3-pt jump shot from 26 ft,,15,31
81,1,1:22.0,Offensive rebound by Q. Acy,,15,31
82,1,1:16.0,Turnover by N. Brussino (bad pass; steal by A. Iguodala),,15,31
83,1,1:15.0,,Personal foul by Q. Acy (drawn by A. Iguodala),15,31
84,1,1:15.0,,D. West enters the game for D. Green,15,31
85,1,1:05.0,,S. Livingston misses 2-pt jump shot from 12 ft,15,31
86,1,1:04.0,Defensive rebound by S. Mejri,,15,31
87,1,0:50.0,Q. Acy misses 3-pt jump shot from 25 ft,,15,31
88,1,0:49.0,,Defensive rebound by A. Iguodala,15,31
89,1,0:43.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by A. Iguodala),15,34
90,1,0:22.0,J. Anderson misses 2-pt layup from 3 ft,,15,34
91,1,0:21.0,,Defensive rebound by K. Durant,15,34
92,1,0:05.0,,Turnover by K. Durant (bad pass; steal by N. Brussino),15,34
93,1,0:01.0,S. Curry misses 3-pt jump shot from 29 ft,,15,34
94,1,0:00.0,Offensive rebound by Team,,15,34
95,2,11:43.0,H. Barnes misses 2-pt jump shot from 14 ft,,15,34
96,2,11:42.0,,Defensive rebound by Team,15,34
97,2,11:26.0,,A. Iguodala misses 3-pt jump shot from 27 ft,15,34
98,2,11:26.0,Defensive rebound by S. Mejri,,15,34
99,2,11:07.0,S. Curry makes 2-pt jump shot from 22 ft,,17,34
100,2,10:48.0,,Shooting foul by S. Curry (drawn by K. Durant),17,34
101,2,10:48.0,,K. Durant makes free throw 1 of 2,17,35
102,2,10:48.0,,K. Durant misses free throw 2 of 2,17,35
103,2,10:47.0,Defensive rebound by Q. Acy,,17,35
104,2,10:29.0,Turnover by S. Curry (bad pass),,17,35
105,2,10:12.0,,K. Durant makes 2-pt jump shot from 16 ft (assist by S. Curry),17,37
106,2,10:03.0,Turnover by S. Curry (dbl dribble),,17,37
107,2,9:39.0,,S. Curry misses 3-pt jump shot from 23 ft,17,37
108,2,9:38.0,Defensive rebound by S. Mejri,,17,37
109,2,9:25.0,N. Brussino makes 3-pt jump shot from 28 ft (assist by S. Curry),,20,37
110,2,9:16.0,,D. West misses 2-pt jump shot from 4 ft,20,37
111,2,9:15.0,Defensive rebound by S. Mejri,,20,37
112,2,9:02.0,S. Curry misses 3-pt jump shot from 27 ft,,20,37
113,2,9:01.0,,Defensive rebound by K. Durant,20,37
114,2,8:52.0,,Def 3 sec tech foul by S. Mejri,20,37
115,2,8:52.0,Official timeout,,20,37
116,2,8:52.0,,P. McCaw enters the game for A. Iguodala,20,37
117,2,8:52.0,D. Powell enters the game for S. Mejri,,20,37
118,2,8:52.0,,S. Curry makes technical free throw,20,38
119,2,8:42.0,,S. Curry makes 2-pt layup from 2 ft (assist by D. West),20,40
120,2,8:17.0,N. Brussino misses 2-pt jump shot from 19 ft (block by D. West),,20,40
121,2,8:15.0,,Defensive rebound by P. McCaw,20,40
122,2,8:10.0,,S. Curry makes 3-pt jump shot from 31 ft,20,43
123,2,8:03.0,Dallas full timeout,,20,43
124,2,8:03.0,,D. Green enters the game for K. Durant,20,43
