,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DALLAS_ACTION,PHILADELPHIA_SCORE,DALLAS_SCORE
0,1,11:42.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,0,0
1,1,11:41.0,Defensive rebound by T. McConnell,,0,0
2,1,11:35.0,J. Okafor misses 2-pt jump shot from 3 ft,,0,0
3,1,11:34.0,,Defensive rebound by D. Nowitzki,0,0
4,1,11:16.0,,D. Nowitzki makes 2-pt jump shot from 15 ft (assist by W. Matthews),0,2
5,1,10:56.0,E. İlyasova makes 2-pt jump shot from 13 ft (assist by N. Stauskas),,2,2
6,1,10:43.0,Offensive charge foul by Y. Ferrell (drawn by E. İlyasova),,2,2
7,1,10:43.0,,Turnover by Y. Ferrell (offensive foul),2,2
8,1,10:33.0,E. İlyasova makes 2-pt layup from 2 ft (assist by T. McConnell),,4,2
9,1,10:18.0,,H. Barnes misses 2-pt jump shot from 16 ft,4,2
10,1,10:17.0,Defensive rebound by T. McConnell,,4,2
11,1,10:05.0,J. Okafor makes 2-pt jump shot from 2 ft (assist by T. Luwawu-Cabarrot),,6,2
12,1,9:55.0,,Turnover by S. Curry (traveling),6,2
13,1,9:55.0,,Dallas full timeout,6,2
14,1,9:46.0,N. Stauskas misses 3-pt jump shot from 24 ft,,6,2
15,1,9:45.0,,Defensive rebound by W. Matthews,6,2
16,1,9:38.0,,W. Matthews misses 2-pt layup at rim,6,2
17,1,9:36.0,Defensive rebound by E. İlyasova,,6,2
18,1,9:27.0,J. Okafor misses 2-pt layup at rim,,6,2
19,1,9:26.0,,Defensive rebound by D. Nowitzki,6,2
20,1,9:13.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,6,2
21,1,9:12.0,Defensive rebound by T. Luwawu-Cabarrot,,6,2
22,1,9:00.0,J. Okafor makes 2-pt jump shot from 5 ft,,8,2
23,1,8:39.0,,Turnover by S. Curry (bad pass),8,2
24,1,8:18.0,J. Okafor misses 2-pt jump shot from 13 ft,,8,2
25,1,8:17.0,,Defensive rebound by W. Matthews,8,2
26,1,8:08.0,,D. Nowitzki misses 2-pt jump shot from 17 ft,8,2
27,1,8:08.0,Defensive rebound by E. İlyasova,,8,2
